heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,chicangliangbianhua,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri
IC.CZC,2015/4/16,0,7681.0,7790.0,7480.2,7707.8,116888,1.7928587988e+11,0,-110.8,-1.417133502,0,7669.131129,6643,0,7818.6,7642.8,-175.8,-2.248484383,2015/4/16,2015/4/16
IC.CZC,2015/4/17,7707.8,7722.0,7918.8,7631.2,7758.2,114214,1.781399818e+11,0,115.4,1.509917831,3.731285192,7798.517774,9144,2501,7642.8,7803.4,160.6,2.101324122,2015/4/17,2015/4/17
IC.CZC,2015/4/20,7758.2,7760.0,7857.0,7582.0,7622.2,98781,1.5254160816e+11,0,-181.2,-2.322064741,3.544636643,7721.201859,10706,1562,7803.4,7621.2,-182.2,-2.334879668,2015/4/20,2015/4/20
IC.CZC,2015/4/21,7622.2,7650.2,8147.0,7640.2,8140.4,132545,2.0937525848e+11,0,519.2,6.812575447,6.648998977,7898.270719,16732,6026,7621.2,8055.6,434.4,5.699889781,2015/4/21,2015/4/21
IC.CZC,2015/4/22,8140.4,8158.0,8237.8,8104.4,8189.8,121034,1.9763685172e+11,0,134.2,1.665921843,1.638740111,8164.517892,14854,-1878,8055.6,8197.2,141.6,1.757783405,2015/4/22,2015/4/22
IC.CZC,2015/4/23,8189.8,8193.0,8378.8,8160.4,8265.6,132278,2.1853638912e+11,0,68.4,0.834431269,2.666731788,8260.496421,14805,-49,8197.2,8266.4,69.2,0.844190699,2015/4/23,2015/4/23
IC.CZC,2015/4/24,8265.6,8247.8,8349.8,8123.8,8327.2,126381,2.07787786e+11,0,60.8,0.735507597,2.734223771,8220.689265,14603,-202,8266.4,8307.6,41.2,0.498403174,2015/4/24,2015/4/24
IC.CZC,2015/4/27,8327.2,8368.0,8548.0,8292.0,8347.2,125335,2.1056365708e+11,0,39.6,0.476671963,3.074262657,8400.034192,15187,584,8307.6,8361.6,54.0,0.650007222,2015/4/27,2015/4/27
IC.CZC,2015/4/28,8347.2,8308.0,8419.0,8011.6,8147.0,164120,2.689237368e+11,0,-214.6,-2.566494451,4.880678551,8192.89961,15900,713,8361.6,8087.4,-274.2,-3.279276693,2015/4/28,2015/4/28
IC.CZC,2015/4/29,8147,8138.0,8309.0,8079.0,8302.2,134158,2.2060645088e+11,0,214.8,2.655983382,2.823125077,8221.889521,17677,1777,8087.4,8276.2,188.8,2.334495635,2015/4/29,2015/4/29
IC.CZC,2015/4/30,8302.2,8320.0,8408.0,8291.2,8338.8,120118,2.0066017768e+11,0,62.6,0.756385781,1.406856014,8352.62732,16354,-1323,8276.2,8355.4,79.2,0.956960924,2015/4/30,2015/4/30
IC.CZC,2015/5/4,8338.8,8370.2,8527.4,8202.4,8347.2,101734,1.6908235348e+11,0,-8.2,-0.098140125,3.897443277,8310.021894,16271,-83,8355.4,8322.4,-33.0,-0.394954161,2015/5/4,2015/5/4
IC.CZC,2015/5/5,8347.2,8334.8,8345.0,8090.0,8145.0,109987,1.8081200268e+11,0,-177.4,-2.131596655,3.054916619,8219.698814,15884,-387,8322.4,8139.2,-183.2,-2.20128809,2015/5/5,2015/5/5
IC.CZC,2015/5/6,8145,8168.0,8280.6,7970.0,8040.8,111973,1.8309550724e+11,0,-98.4,-1.208964026,3.813382443,8175.877544,15456,-428,8139.2,8058.4,-80.8,-0.992726558,2015/5/6,2015/5/6
IC.CZC,2015/5/7,8040.8,8020.0,8068.0,7901.0,7911.4,109599,1.7460415348e+11,0,-147.0,-1.824183461,2.07690777,7965.590629,15127,-329,8058.4,7928.6,-129.8,-1.610741586,2015/5/7,2015/5/7
IC.CZC,2015/5/8,7911.4,7933.4,8171.4,7921.0,8171.2,121062,1.943685136e+11,0,242.6,3.059808793,3.165052962,8027.643422,16258,1131,7928.6,8103.0,174.4,2.199631713,2015/5/8,2015/5/8
IC.CZC,2015/5/11,8171.2,8170.0,8508.0,8144.0,8489.8,124722,2.0742989844e+11,0,386.8,4.773540664,4.454670061,8315.690032,16314,56,8103.0,8442.6,339.6,4.191040355,2015/5/11,2015/5/11
IC.CZC,2015/5/12,8489.8,8499.6,8648.0,8415.4,8647.8,152019,2.5910436384e+11,0,205.2,2.430530879,2.739758298,8522.1046,14671,-1643,8442.6,8597.6,155.0,1.835927321,2015/5/12,2015/5/12
IC.CZC,2015/5/13,8647.8,8595.0,8779.0,8492.0,8695.8,189658,3.2836694876e+11,0,98.2,1.142179213,3.318763154,8656.817766,14624,-47,8597.6,8690.8,93.2,1.084023448,2015/5/13,2015/5/13
IC.CZC,2015/5/14,8695.8,8530.0,8680.0,8477.6,8603.0,133372,2.286977118e+11,0,27.8,0.324190689,2.327560431,8573.677826,23309,8685,8575.2,8593.8,18.6,0.216904562,2015/5/14,2015/5/14
IC.CZC,2015/5/15,8603,8610.0,8718.0,8482.0,8579.8,182662,3.134913368e+11,0,-14.0,-0.162908143,2.743229106,8581.186476,28064,4755,8593.8,8651.4,57.6,0.670250646,2015/5/15,2015/5/15
IC.CZC,2015/5/18,8579.8,8640.6,8822.2,8580.0,8798.4,202968,3.551941394e+11,0,147.0,1.699146959,2.822909625,8750.003434,32183,4119,8651.4,8797.0,145.6,1.682964607,2015/5/18,2015/5/18
IC.CZC,2015/5/19,8798.4,8805.6,9154.4,8736.2,9120.8,228488,4.0824663416e+11,0,323.8,3.680800273,4.753136934,8933.655907,33556,1373,8797.0,9102.2,305.2,3.469364556,2015/5/19,2015/5/19
