heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,chicangliangbianhua,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri
IH.CZC,2015/4/16,0,3100.0,3288.2,3088.8,3283.8,144423.0,1.3772866404e+11,0,225.0,7.355825814,0,3178.825719,28848.0,0,3058.8,3223.6,164.8,5.387733752,2015/4/16,2015/4/16
IH.CZC,2015/4/17,3283.8,3303.6,3341.6,3238.0,3254.0,271224.0,2.6755207272e+11,0,30.4,0.943045043,3.15488154,3288.205477,37853.0,9005,3223.6,3280.8,57.2,1.774413699,2015/4/17,2015/4/17
IH.CZC,2015/4/20,3254,3258.0,3315.0,3143.6,3146.8,267213.0,2.605294335e+11,0,-134.0,-4.084369666,5.267363245,3249.959564,37975.0,122,3280.8,3176.8,-104.0,-3.169958547,2015/4/20,2015/4/20
IH.CZC,2015/4/21,3146.8,3176.8,3242.2,3153.0,3234.0,239311.0,2.2932009348e+11,0,57.2,1.800554017,2.834625651,3194.171232,37771.0,-204,3176.8,3211.2,34.4,1.082850667,2015/4/21,2015/4/21
IH.CZC,2015/4/22,3234,3250.0,3333.2,3229.8,3308.0,239676.0,2.3547571548e+11,0,96.8,3.014449427,3.197278912,3274.917187,42623.0,4852,3211.2,3309.6,98.4,3.064275037,2015/4/22,2015/4/22
IH.CZC,2015/4/23,3308,3318.6,3348.2,3253.4,3267.8,246929.0,2.4434814828e+11,0,-41.8,-1.262992507,2.865779927,3298.494011,39573.0,-3050,3309.6,3273.2,-36.4,-1.099830795,2015/4/23,2015/4/23
IH.CZC,2015/4/24,3267.8,3248.8,3267.8,3170.0,3233.0,224297.0,2.1701019552e+11,0,-40.2,-1.228155933,2.992839219,3225.042325,36034.0,-3539,3273.2,3236.6,-36.6,-1.11817182,2015/4/24,2015/4/24
IH.CZC,2015/4/27,3233,3260.0,3358.0,3257.8,3357.6,259172.0,2.5695510942e+11,0,121.0,3.738491009,3.099288586,3304.820858,45698.0,9664,3236.6,3326.4,89.8,2.774516468,2015/4/27,2015/4/27
IH.CZC,2015/4/28,3357.6,3339.0,3376.0,3265.0,3286.8,329692.0,3.2777472114e+11,0,-39.6,-1.19047619,3.305932809,3313.948788,36374.0,-9324,3326.4,3287.0,-39.4,-1.184463684,2015/4/28,2015/4/28
IH.CZC,2015/4/29,3286.8,3282.0,3325.6,3261.0,3295.2,242567.0,2.3978665446e+11,0,8.2,0.2494676,1.965437508,3295.126081,39968.0,3594,3287.0,3301.6,14.6,0.444174019,2015/4/29,2015/4/29
IH.CZC,2015/4/30,3295.2,3315.2,3331.2,3247.2,3269.4,202408.0,2.0002330458e+11,0,-32.2,-0.97528471,2.549162418,3294.061246,41181.0,1213,3301.6,3275.4,-26.2,-0.79355464,2015/4/30,2015/4/30
IH.CZC,2015/5/4,3269.4,3295.8,3301.8,3225.8,3273.2,189061.0,1.8514600842e+11,0,-2.2,-0.067167369,2.324585551,3264.308141,40335.0,-846,3275.4,3269.4,-6.0,-0.183183733,2015/5/4,2015/5/4
IH.CZC,2015/5/5,3273.2,3279.6,3281.6,3141.2,3163.0,217674.0,2.1002333316e+11,0,-106.4,-3.254419771,4.289380423,3216.175461,38274.0,-2061,3269.4,3165.8,-103.6,-3.168777146,2015/5/5,2015/5/5
IH.CZC,2015/5/6,3163,3171.2,3257.4,3116.0,3153.0,261933.0,2.5111305462e+11,0,-12.8,-0.404321183,4.470439456,3195.639783,36206.0,-2068,3165.8,3149.0,-16.8,-0.530671552,2015/5/6,2015/5/6
IH.CZC,2015/5/7,3153,3159.6,3170.0,3103.0,3111.2,234619.0,2.2096186728e+11,0,-37.8,-1.200381073,2.124960355,3139.300558,40498.0,4292,3149.0,3128.4,-20.6,-0.654175929,2015/5/7,2015/5/7
IH.CZC,2015/5/8,3111.2,3131.0,3149.0,3051.2,3099.8,215483.0,2.006585007e+11,0,-28.6,-0.914205345,3.143481615,3104.011309,37887.0,-2611,3128.4,3099.2,-29.2,-0.933384478,2015/5/8,2015/5/8
IH.CZC,2015/5/11,3099.8,3112.0,3170.4,3078.0,3160.0,201465.0,1.889348313e+11,0,60.8,1.961796593,2.980837473,3126.015789,30050.0,-7837,3099.2,3160.8,61.6,1.987609706,2015/5/11,2015/5/11
IH.CZC,2015/5/12,3160,3151.0,3194.6,3138.0,3175.0,189729.0,1.8033006588e+11,0,14.2,0.449253354,1.791139241,3168.204226,23176.0,-6874,3160.8,3173.4,12.6,0.398633257,2015/5/12,2015/5/12
IH.CZC,2015/5/13,3175,3200.0,3204.8,3112.4,3125.4,165986.0,1.5722948448e+11,0,-48.0,-1.512573265,2.91023622,3157.484858,17535.0,-5641,3173.4,3129.4,-44.0,-1.386525493,2015/5/13,2015/5/13
IH.CZC,2015/5/14,3125.4,3148.0,3165.0,3095.6,3113.4,130846.0,1.2267916758e+11,0,0.8,0.025701985,2.220515774,3125.281312,24276.0,6741,3112.6,3111.6,-1.0,-0.032127482,2015/5/14,2015/5/14
IH.CZC,2015/5/15,3113.4,3115.2,3129.8,3021.0,3041.4,202862.0,1.8713921364e+11,0,-70.2,-2.256074046,3.494571851,3074.983875,29113.0,4837,3111.6,3077.6,-34.0,-1.092685435,2015/5/15,2015/5/15
