heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,chicangliangbianhua,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri
JM.DCE,2013/3/22,0,1280.0,1304.0,1257.0,1267.0,845512,64781058200,0,-73.0,-5.447761194,0,1276.959172,96086,0,1340.0,1276.0,-64.0,-4.776119403,2013/3/22,2013/3/22
JM.DCE,2013/3/25,1267,1276.0,1286.0,1251.0,1258.0,722022,54874344500,0,-18.0,-1.410658307,2.762430939,1266.68219,139712,43626,1276.0,1266.0,-10.0,-0.78369906,2013/3/25,2013/3/25
JM.DCE,2013/3/26,1258,1255.0,1276.0,1249.0,1272.0,835326,63447634000,0,6.0,0.473933649,2.146263911,1265.925599,141544,1832,1266.0,1265.0,-1.0,-0.078988942,2013/3/26,2013/3/26
JM.DCE,2013/3/27,1272,1279.0,1279.0,1260.0,1261.0,499234,37939174600,0,-4.0,-0.316205534,1.493710692,1266.579553,126094,-15450,1265.0,1266.0,1.0,0.079051383,2013/3/27,2013/3/27
JM.DCE,2013/3/28,1261,1264.0,1273.0,1248.0,1259.0,646266,48998378400,0,-7.0,-0.552922591,1.982553529,1263.627732,99004,-27090,1266.0,1263.0,-3.0,-0.236966825,2013/3/28,2013/3/28
JM.DCE,2013/3/29,1259,1257.0,1268.0,1231.0,1240.0,734728,55198605600,0,-23.0,-1.821060966,2.938840349,1252.132435,96024,-2980,1263.0,1252.0,-11.0,-0.870942201,2013/3/29,2013/3/29
JM.DCE,2013/4/1,1240,1235.0,1242.0,1202.0,1202.0,710132,51791801900,0,-50.0,-3.993610224,3.225806452,1215.544009,155262,59238,1252.0,1215.0,-37.0,-2.955271566,2013/4/1,2013/4/1
JM.DCE,2013/4/2,1202,1197.0,1231.0,1192.0,1228.0,1049448,76140051200,0,13.0,1.069958848,3.244592346,1209.207939,130106,-25156,1215.0,1209.0,-6.0,-0.49382716,2013/4/2,2013/4/2
JM.DCE,2013/4/3,1228,1225.0,1233.0,1214.0,1216.0,606564,44471813900,0,7.0,0.578990902,1.54723127,1221.959922,103114,-26992,1209.0,1221.0,12.0,0.992555831,2013/4/3,2013/4/3
JM.DCE,2013/4/8,1216,1199.0,1223.0,1197.0,1220.0,555970,40406335800,0,-1.0,-0.081900082,2.138157895,1211.286454,121180,18066,1221.0,1211.0,-10.0,-0.819000819,2013/4/8,2013/4/8
JM.DCE,2013/4/9,1220,1222.0,1232.0,1213.0,1223.0,551698,40512897300,0,12.0,0.990916598,1.557377049,1223.885087,143828,22648,1211.0,1223.0,12.0,0.990916598,2013/4/9,2013/4/9
JM.DCE,2013/4/10,1223,1225.0,1227.0,1211.0,1215.0,377802,27628031800,0,-8.0,-0.654129191,1.308258381,1218.805609,133686,-10142,1223.0,1218.0,-5.0,-0.408830744,2013/4/10,2013/4/10
JM.DCE,2013/4/11,1215,1209.0,1225.0,1202.0,1206.0,403510,29397528400,0,-12.0,-0.985221675,1.893004115,1214.242043,137344,3658,1218.0,1214.0,-4.0,-0.328407225,2013/4/11,2013/4/11
JM.DCE,2013/4/12,1206,1206.0,1220.0,1203.0,1209.0,462186,33620987100,0,-5.0,-0.411861614,1.409618574,1212.390217,137526,182,1214.0,1212.0,-2.0,-0.164744646,2013/4/12,2013/4/12
JM.DCE,2013/4/15,1209,1191.0,1195.0,1164.0,1174.0,442460,31359669400,0,-38.0,-3.135313531,2.564102564,1181.261937,128974,-8552,1212.0,1181.0,-31.0,-2.557755776,2013/4/15,2013/4/15
JM.DCE,2013/4/16,1174,1160.0,1180.0,1151.0,1179.0,326226,22904003400,0,-2.0,-0.16934801,2.470187394,1170.150111,118742,-10232,1181.0,1170.0,-11.0,-0.931414056,2013/4/16,2013/4/16
JM.DCE,2013/4/17,1179,1182.0,1189.0,1148.0,1165.0,702122,49036004200,0,-5.0,-0.427350427,3.477523325,1163.995341,121140,2398,1170.0,1163.0,-7.0,-0.598290598,2013/4/17,2013/4/17
JM.DCE,2013/4/18,1165,1149.0,1169.0,1127.0,1157.0,571028,39248124400,0,-6.0,-0.515907137,3.605150215,1145.539985,123652,2512,1163.0,1145.0,-18.0,-1.54772141,2013/4/18,2013/4/18
JM.DCE,2013/4/19,1157,1160.0,1167.0,1148.0,1163.0,428568,29790256800,0,18.0,1.572052402,1.642178047,1158.519255,123092,-560,1145.0,1158.0,13.0,1.135371179,2013/4/19,2013/4/19
JM.DCE,2013/4/22,1163,1161.0,1164.0,1146.0,1146.0,273978,18918689300,0,-12.0,-1.03626943,1.54772141,1150.86426,112424,-10668,1158.0,1150.0,-8.0,-0.690846287,2013/4/22,2013/4/22
JM.DCE,2013/4/23,1146,1151.0,1153.0,1129.0,1134.0,239490,16378952800,0,-16.0,-1.391304348,2.094240838,1139.849458,104430,-7994,1150.0,1139.0,-11.0,-0.956521739,2013/4/23,2013/4/23
JM.DCE,2013/4/24,1134,1134.0,1158.0,1129.0,1145.0,410522,28117974600,0,6.0,0.526777875,2.557319224,1141.553705,98632,-5798,1139.0,1141.0,2.0,0.175592625,2013/4/24,2013/4/24
JM.DCE,2013/4/25,1145,1144.0,1148.0,1137.0,1142.0,158444,10865461800,0,1.0,0.087642419,0.96069869,1142.93397,87468,-11164,1141.0,1142.0,1.0,0.087642419,2013/4/25,2013/4/25
JM.DCE,2013/4/26,1142,1147.0,1155.0,1136.0,1138.0,165514,11373640000,0,-4.0,-0.350262697,1.663747811,1145.28479,76072,-11396,1142.0,1145.0,3.0,0.262697023,2013/4/26,2013/4/26
JM.DCE,2013/5/2,1138,1123.0,1123.0,1102.0,1119.0,111004,7448520200,0,-26.0,-2.270742358,1.845342707,1118.356125,82206,6134,1145.0,1118.0,-27.0,-2.358078603,2013/5/2,2013/5/2
JM.DCE,2013/5/3,1119,1128.0,1138.0,1124.0,1129.0,182180,12347654400,0,11.0,0.983899821,1.251117069,1129.620375,91990,9784,1118.0,1129.0,11.0,0.983899821,2013/5/3,2013/5/3
JM.DCE,2013/5/6,1129,1147.0,1149.0,1135.0,1140.0,119430,8176386800,0,11.0,0.974313552,1.24003543,1141.029166,86880,-5110,1129.0,1141.0,12.0,1.062887511,2013/5/6,2013/5/6
JM.DCE,2013/5/7,1140,1135.0,1148.0,1131.0,1134.0,108358,7399214400,0,-7.0,-0.613496933,1.49122807,1138.081545,82130,-4750,1141.0,1138.0,-3.0,-0.262927257,2013/5/7,2013/5/7
JM.DCE,2013/5/8,1134,1133.0,1149.0,1132.0,1148.0,89126,6101387000,0,10.0,0.878734622,1.499118166,1140.966534,85916,3786,1138.0,1140.0,2.0,0.175746924,2013/5/8,2013/5/8
JM.DCE,2013/5/9,1148,1146.0,1150.0,1138.0,1142.0,89712,6156320900,0,2.0,0.175438596,1.045296167,1143.719328,83144,-2772,1140.0,1143.0,3.0,0.263157895,2013/5/9,2013/5/9
JM.DCE,2013/5/10,1142,1142.0,1153.0,1137.0,1150.0,87178,5986623400,0,7.0,0.612423447,1.401050788,1144.521057,81344,-1800,1143.0,1144.0,1.0,0.087489064,2013/5/10,2013/5/10
JM.DCE,2013/5/13,1150,1150.0,1187.0,1146.0,1178.0,339222,23863902200,0,34.0,2.972027972,3.565217391,1172.482042,90620,9276,1144.0,1172.0,28.0,2.447552448,2013/5/13,2013/5/13
JM.DCE,2013/5/14,1178,1179.0,1185.0,1161.0,1180.0,298132,21006587200,0,8.0,0.682593857,2.037351443,1174.344876,89308,-1312,1172.0,1174.0,2.0,0.170648464,2013/5/14,2013/5/14
JM.DCE,2013/5/15,1180,1176.0,1180.0,1143.0,1145.0,312422,21829410900,0,-29.0,-2.470187394,3.13559322,1164.525914,82016,-7292,1174.0,1164.0,-10.0,-0.851788756,2013/5/15,2013/5/15
JM.DCE,2013/5/16,1145,1146.0,1157.0,1125.0,1146.0,321066,22051567000,0,-18.0,-1.546391753,2.794759825,1144.705813,83884,1868,1164.0,1144.0,-20.0,-1.718213058,2013/5/16,2013/5/16
JM.DCE,2013/5/17,1146,1150.0,1165.0,1142.0,1163.0,346354,23997977900,0,19.0,1.660839161,2.006980803,1154.79047,80466,-3418,1144.0,1154.0,10.0,0.874125874,2013/5/17,2013/5/17
JM.DCE,2013/5/20,1163,1161.0,1173.0,1160.0,1162.0,207376,14512015600,0,8.0,0.693240901,1.117798796,1166.320725,84028,3562,1154.0,1166.0,12.0,1.039861352,2013/5/20,2013/5/20
JM.DCE,2013/5/21,1162,1166.0,1171.0,1151.0,1163.0,204500,14239373600,0,-3.0,-0.25728988,1.721170396,1160.503146,87446,3418,1166.0,1160.0,-6.0,-0.51457976,2013/5/21,2013/5/21
JM.DCE,2013/5/22,1163,1159.0,1175.0,1158.0,1170.0,171670,12027928800,0,10.0,0.862068966,1.461736887,1167.737403,88040,594,1160.0,1167.0,7.0,0.603448276,2013/5/22,2013/5/22
JM.DCE,2013/5/23,1170,1159.0,1164.0,1145.0,1145.0,175054,12144569100,0,-22.0,-1.885175664,1.623931624,1156.268837,82002,-6038,1167.0,1156.0,-11.0,-0.942587832,2013/5/23,2013/5/23
JM.DCE,2013/5/24,1145,1149.0,1156.0,1143.0,1144.0,136242,9411669400,0,-12.0,-1.038062284,1.135371179,1151.342146,82428,426,1156.0,1151.0,-5.0,-0.432525952,2013/5/24,2013/5/24
JM.DCE,2013/5/27,1144,1141.0,1141.0,1126.0,1127.0,133258,9074042200,0,-24.0,-2.085143354,1.311188811,1134.896492,79374,-3054,1151.0,1134.0,-17.0,-1.476976542,2013/5/27,2013/5/27
JM.DCE,2013/5/28,1127,1128.0,1131.0,1119.0,1125.0,123140,8305266600,0,-9.0,-0.793650794,1.064773736,1124.09542,83870,4496,1134.0,1124.0,-10.0,-0.881834215,2013/5/28,2013/5/28
JM.DCE,2013/5/29,1125,1125.0,1130.0,1108.0,1111.0,153690,10339403400,0,-13.0,-1.15658363,1.955555556,1121.240094,92118,8248,1124.0,1121.0,-3.0,-0.266903915,2013/5/29,2013/5/29
JM.DCE,2013/5/30,1111,1103.0,1114.0,1100.0,1108.0,182216,12105801800,0,-13.0,-1.159678858,1.260126013,1107.275779,92916,798,1121.0,1107.0,-14.0,-1.248884924,2013/5/30,2013/5/30
JM.DCE,2013/5/31,1108,1115.0,1115.0,1093.0,1094.0,162744,10765921700,0,-13.0,-1.174345077,1.985559567,1102.541589,100388,7472,1107.0,1102.0,-5.0,-0.451671183,2013/5/31,2013/5/31
JM.DCE,2013/6/3,1094,1094.0,1105.0,1084.0,1098.0,213142,13989922500,0,-4.0,-0.362976407,1.919561243,1093.943826,97522,-2866,1102.0,1093.0,-9.0,-0.816696915,2013/6/3,2013/6/3
JM.DCE,2013/6/4,1098,1101.0,1102.0,1090.0,1102.0,154230,10148997600,0,9.0,0.823421775,1.092896175,1096.738378,99082,1560,1093.0,1096.0,3.0,0.274473925,2013/6/4,2013/6/4
JM.DCE,2013/6/5,1102,1105.0,1105.0,1092.0,1100.0,140344,9264804900,0,4.0,0.364963504,1.179673321,1100.249494,100090,1008,1096.0,1100.0,4.0,0.364963504,2013/6/5,2013/6/5
JM.DCE,2013/6/6,1100,1096.0,1096.0,1056.0,1056.0,299564,19187020200,0,-44.0,-4.0,3.636363636,1067.496996,131436,31346,1100.0,1067.0,-33.0,-3.0,2013/6/6,2013/6/6
JM.DCE,2013/6/7,1056,1050.0,1054.0,1032.0,1042.0,293122,18359890800,0,-25.0,-2.343017807,2.083333333,1043.927716,123800,-7636,1067.0,1043.0,-24.0,-2.249297095,2013/6/7,2013/6/7
JM.DCE,2013/6/13,1042,1033.0,1042.0,1025.0,1035.0,187906,11651722800,0,-8.0,-0.767018217,1.631477927,1033.470884,129210,5410,1043.0,1033.0,-10.0,-0.958772771,2013/6/13,2013/6/13
