heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,chicangliangbianhua,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri
SR.CZC,2010/1/4,5761.0,5803.0,5901.0,5800.0,5901.0,1145488.0,67051589200.0,0,227.0,4.00070497,1.753167853,5853.539208,883190.0,34928.0,5674.0,5854.0,180.0,3.172365174,2010/1/4,2010/1/4
SR.CZC,2010/1/5,5901.0,5950.0,5993.0,5901.0,5925.0,2152544.0,1.280010916e+11,0,71.0,1.212845917,1.559057787,5946.50291,821560.0,-61630.0,5854.0,5947.0,93.0,1.588657328,2010/1/5,2010/1/5
SR.CZC,2010/1/6,5925.0,5913.0,5990.0,5888.0,5923.0,2337148.0,1.388593721e+11,0,-24.0,-0.403564823,1.721518987,5941.402603,764236.0,-57324.0,5947.0,5941.0,-6.0,-0.100891206,2010/1/6,2010/1/6
SR.CZC,2010/1/7,5923.0,5969.0,5985.0,5703.0,5794.0,2158418.0,1.258302812e+11,0,-147.0,-2.474330921,4.761100794,5829.74573,655066.0,-109170.0,5941.0,5830.0,-111.0,-1.868372328,2010/1/7,2010/1/7
SR.CZC,2010/1/8,5794.0,5795.0,5800.0,5596.0,5597.0,1696348.0,96150753800.0,0,-233.0,-3.996569468,3.520883673,5668.103113,543520.0,-111546.0,5830.0,5668.0,-162.0,-2.778730703,2010/1/8,2010/1/8
SR.CZC,2010/1/11,5597.0,5599.0,5665.0,5551.0,5613.0,2460750.0,1.382745938e+11,0,-55.0,-0.970359915,2.036805431,5619.205275,607864.0,64344.0,5668.0,5619.0,-49.0,-0.86450247,2010/1/11,2010/1/11
SR.CZC,2010/1/12,5613.0,5573.0,5601.0,5527.0,5545.0,1555102.0,86646449500.0,0,-74.0,-1.316960313,1.318368074,5571.753461,601602.0,-6262.0,5619.0,5572.0,-47.0,-0.836447767,2010/1/12,2010/1/12
SR.CZC,2010/1/13,5545.0,5515.0,5608.0,5354.0,5377.0,2568264.0,1.409078733e+11,0,-195.0,-3.499641062,4.580703336,5486.502684,593118.0,-8484.0,5572.0,5487.0,-85.0,-1.525484566,2010/1/13,2010/1/13
SR.CZC,2010/1/14,5377.0,5450.0,5479.0,5322.0,5455.0,3022878.0,1.640449121e+11,0,-32.0,-0.583196647,2.919843779,5426.779119,635342.0,42224.0,5487.0,5427.0,-60.0,-1.093493712,2010/1/14,2010/1/14
SR.CZC,2010/1/15,5455.0,5443.0,5488.0,5388.0,5391.0,2611636.0,1.420214262e+11,0,-36.0,-0.663349917,1.833180568,5438.025291,602286.0,-33056.0,5427.0,5438.0,11.0,0.202690252,2010/1/15,2010/1/15
SR.CZC,2010/1/18,5391.0,5380.0,5473.0,5367.0,5430.0,2381104.0,1.292886828e+11,0,-8.0,-0.147112909,1.96624003,5429.778909,654202.0,51916.0,5438.0,5430.0,-8.0,-0.147112909,2010/1/18,2010/1/18
SR.CZC,2010/1/19,5430.0,5451.0,5483.0,5424.0,5451.0,1837926.0,1.002046381e+11,0,21.0,0.386740331,1.086556169,5452.049653,644956.0,-9246.0,5430.0,5452.0,22.0,0.405156538,2010/1/19,2010/1/19
SR.CZC,2010/1/20,5451.0,5519.0,5549.0,5470.0,5489.0,1788642.0,98420764200.0,0,37.0,0.678650037,1.449275362,5502.541269,609776.0,-35180.0,5452.0,5503.0,51.0,0.935436537,2010/1/20,2010/1/20
SR.CZC,2010/1/21,5489.0,5494.0,5701.0,5485.0,5680.0,3414108.0,1.908875679e+11,0,177.0,3.216427403,3.935143013,5591.140289,701836.0,92060.0,5503.0,5591.0,88.0,1.599127749,2010/1/21,2010/1/21
SR.CZC,2010/1/22,5680.0,5650.0,5682.0,5533.0,5584.0,2615296.0,1.465991008e+11,0,-7.0,-0.125201216,2.623239437,5605.449662,630464.0,-71372.0,5591.0,5605.0,14.0,0.250402432,2010/1/22,2010/1/22
SR.CZC,2010/1/25,5584.0,5583.0,5625.0,5570.0,5605.0,1632596.0,91493664500.0,0,0.0,0.0,0.98495702,5604.182817,665968.0,35504.0,5605.0,5604.0,-1.0,-0.017841213,2010/1/25,2010/1/25
SR.CZC,2010/1/26,5605.0,5657.0,5688.0,5633.0,5652.0,1961196.0,1.11095533e+11,0,48.0,0.856531049,0.981266726,5664.682826,679762.0,13794.0,5604.0,5665.0,61.0,1.088508208,2010/1/26,2010/1/26
SR.CZC,2010/1/27,5652.0,5645.0,5665.0,5578.0,5584.0,1709924.0,95899171400.0,0,-81.0,-1.429832304,1.539278132,5608.38794,691406.0,11644.0,5665.0,5608.0,-57.0,-1.006178288,2010/1/27,2010/1/27
SR.CZC,2010/1/28,5584.0,5500.0,5505.0,5383.0,5383.0,1442992.0,78240043900.0,0,-225.0,-4.012125535,2.184813754,5422.070524,609526.0,-81880.0,5608.0,5422.0,-186.0,-3.316690442,2010/1/28,2010/1/28
SR.CZC,2010/1/29,5383.0,5421.0,5441.0,5352.0,5378.0,1645452.0,88775398900.0,0,-44.0,-0.811508668,1.653353149,5395.198335,562542.0,-46984.0,5422.0,5395.0,-27.0,-0.497971228,2010/1/29,2010/1/29
SR.CZC,2010/2/1,5378.0,5420.0,5486.0,5345.0,5430.0,2245886.0,1.216259783e+11,0,35.0,0.648748842,2.621792488,5415.500978,594528.0,31986.0,5395.0,5416.0,21.0,0.389249305,2010/2/1,2010/2/1
SR.CZC,2010/2/2,5430.0,5452.0,5529.0,5424.0,5497.0,2683812.0,1.472479667e+11,0,81.0,1.495568685,1.933701657,5486.523151,644972.0,50444.0,5416.0,5487.0,71.0,1.310930576,2010/2/2,2010/2/2
SR.CZC,2010/2/3,5497.0,5580.0,5660.0,5549.0,5657.0,2583420.0,1.445640739e+11,0,170.0,3.098232185,2.019283245,5595.840936,689228.0,44256.0,5487.0,5596.0,109.0,1.986513578,2010/2/3,2010/2/3
SR.CZC,2010/2/4,5657.0,5590.0,5618.0,5536.0,5573.0,2232436.0,1.245369515e+11,0,-23.0,-0.411007863,1.449531554,5578.522811,662014.0,-27214.0,5596.0,5579.0,-17.0,-0.30378842,2010/2/4,2010/2/4
SR.CZC,2010/2/5,5573.0,5495.0,5523.0,5463.0,5497.0,1720022.0,94490163500.0,0,-82.0,-1.469797455,1.076619415,5493.543891,652616.0,-9398.0,5579.0,5494.0,-85.0,-1.523570532,2010/2/5,2010/2/5
SR.CZC,2010/2/8,5497.0,5448.0,5552.0,5445.0,5539.0,2102440.0,1.160267817e+11,0,45.0,0.819075355,1.946516282,5518.672671,732388.0,79772.0,5494.0,5519.0,25.0,0.455041864,2010/2/8,2010/2/8
SR.CZC,2010/2/9,5539.0,5536.0,5563.0,5514.0,5558.0,1182540.0,65437151500.0,0,39.0,0.706649755,0.884636216,5533.609984,645702.0,-86686.0,5519.0,5534.0,15.0,0.271788367,2010/2/9,2010/2/9
SR.CZC,2010/2/10,5558.0,5582.0,5756.0,5576.0,5756.0,1956908.0,1.11360775e+11,0,222.0,4.011564872,3.238575027,5690.649484,708430.0,62728.0,5534.0,5691.0,157.0,2.837007589,2010/2/10,2010/2/10
SR.CZC,2010/2/11,5756.0,5761.0,5843.0,5735.0,5785.0,1781088.0,1.029429189e+11,0,94.0,1.651730803,1.876302988,5779.777243,624288.0,-84142.0,5691.0,5780.0,89.0,1.563872782,2010/2/11,2010/2/11
SR.CZC,2010/2/12,5785.0,5830.0,5868.0,5816.0,5840.0,990698.0,57907893900.0,0,60.0,1.038062284,0.898876404,5845.161078,580312.0,-43976.0,5780.0,5845.0,65.0,1.124567474,2010/2/12,2010/2/12
SR.CZC,2010/2/22,5840.0,5947.0,5976.0,5650.0,5733.0,1788322.0,1.036890534e+11,0,-112.0,-1.916167665,5.582191781,5798.11988,601410.0,21098.0,5845.0,5798.0,-47.0,-0.804106074,2010/2/22,2010/2/22
SR.CZC,2010/2/23,5733.0,5613.0,5771.0,5613.0,5764.0,2203862.0,1.258695302e+11,0,-34.0,-0.586409107,2.755974185,5711.316326,698476.0,97066.0,5798.0,5711.0,-87.0,-1.50051742,2010/2/23,2010/2/23
SR.CZC,2010/2/24,5764.0,5745.0,5809.0,5720.0,5780.0,2191008.0,1.263852542e+11,0,69.0,1.208194712,1.54406662,5768.361147,704890.0,6414.0,5711.0,5768.0,57.0,0.998073892,2010/2/24,2010/2/24
SR.CZC,2010/2/25,5780.0,5790.0,5876.0,5720.0,5741.0,2144800.0,1.240555983e+11,0,-27.0,-0.468099861,2.698961938,5784.017079,657298.0,-47592.0,5768.0,5784.0,16.0,0.27739251,2010/2/25,2010/2/25
SR.CZC,2010/2/26,5741.0,5740.0,5780.0,5731.0,5765.0,992612.0,57167386500.0,0,-19.0,-0.328492393,0.853509841,5759.288272,651828.0,-5470.0,5784.0,5759.0,-25.0,-0.432226833,2010/2/26,2010/2/26
SR.CZC,2010/3/1,5765.0,5810.0,5820.0,5713.0,5754.0,855028.0,49180319800.0,0,-5.0,-0.086820629,1.856027754,5751.895821,651106.0,-722.0,5759.0,5752.0,-7.0,-0.12154888,2010/3/1,2010/3/1
SR.CZC,2010/3/2,5754.0,5721.0,5729.0,5584.0,5670.0,1669322.0,94516558200.0,0,-82.0,-1.425591099,2.519986097,5661.972837,678216.0,27110.0,5752.0,5662.0,-90.0,-1.564673157,2010/3/2,2010/3/2
SR.CZC,2010/3/3,5670.0,5690.0,5719.0,5646.0,5682.0,977416.0,55545310000.0,0,20.0,0.353232073,1.287477954,5682.873004,664636.0,-13580.0,5662.0,5683.0,21.0,0.370893677,2010/3/3,2010/3/3
SR.CZC,2010/3/4,5682.0,5660.0,5680.0,5611.0,5635.0,1024838.0,57783422600.0,0,-48.0,-0.844624318,1.21436114,5638.298209,646088.0,-18548.0,5683.0,5638.0,-45.0,-0.791835298,2010/3/4,2010/3/4
SR.CZC,2010/3/5,5635.0,5630.0,5705.0,5601.0,5697.0,792194.0,44822057800.0,0,59.0,1.04647038,1.845607808,5657.964817,637746.0,-8342.0,5638.0,5658.0,20.0,0.354735722,2010/3/5,2010/3/5
SR.CZC,2010/3/8,5697.0,5736.0,5748.0,5694.0,5747.0,553176.0,31663117200.0,0,89.0,1.572993991,0.947867299,5723.877609,626860.0,-10886.0,5658.0,5724.0,66.0,1.166489926,2010/3/8,2010/3/8
