heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
A.DCE,2010/1/4,4038.0,4080.0,4090.0,4049.0,4057.0,321838.0,13095756600.0,0,31.0,0.00767706785537,1.015354136,4069.052318,284296.0,4026.0,4069.0,43.0,0.0106805762543,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,6990.0,28358430.0,0.00764111412374,1.0
A.DCE,2010/1/5,4057.0,4067.0,4082.0,4060.0,4066.0,253640.0,10324152000.0,0,-3.0,-0.000739462657136,0.542272615,4070.395837,283384.0,4069.0,4070.0,1.0,0.000245760629147,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-912.0,-3708192.0,-0.000737825873094,1.0
A.DCE,2010/1/6,4066.0,4066.0,4194.0,4057.0,4154.0,860812.0,35642430200.0,0,84.0,0.0206591244466,3.36940482,4140.55917,352830.0,4070.0,4140.0,70.0,0.017199017199,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,69446.0,288478684.0,0.0202214732788,1.0
A.DCE,2010/1/7,4154.0,4165.0,4188.0,3975.0,4044.0,705704.0,28863794600.0,0,-96.0,-0.0231102551757,5.127587867,4090.070993,297236.0,4140.0,4090.0,-50.0,-0.012077294686,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-55594.0,-224822136.0,-0.0237388724036,0.0
A.DCE,2010/1/8,4044.0,4040.0,4050.0,3947.0,3981.0,526594.0,21064926300.0,0,-109.0,-0.0269535113749,2.546983185,4000.22148,270074.0,4090.0,4000.0,-90.0,-0.0220048899756,2010/1/8,2010/1/8,-18.1259497725,0.0,0.0,0.0,0.0,0.0,-27162.0,-108131922.0,-0.0273800552625,0.0
A.DCE,2010/1/11,3981.0,4012.0,4050.0,4012.0,4031.0,316116.0,12757455100.0,0,31.0,0.00778698819392,0.954534037,4035.68788,270738.0,4000.0,4035.0,35.0,0.00875,2010/1/11,2010/1/11,-18.2787334849,0.0,0.0,0.0,0.0,0.0,664.0,2676584.0,0.00769039940461,1.0
A.DCE,2010/1/12,4031.0,4000.0,4029.0,3981.0,4004.0,447848.0,17933786900.0,0,-31.0,-0.00769039940461,1.190771521,4004.436081,271068.0,4035.0,4004.0,-31.0,-0.00768277571252,2010/1/12,2010/1/12,-18.642555658,0.0,0.0,0.0,0.0,0.0,330.0,1321320.0,-0.00774225774226,0.0
A.DCE,2010/1/13,4004.0,3905.0,3938.0,3896.0,3909.0,300960.0,11789933400.0,0,-95.0,-0.0237262737263,1.048951049,3917.441986,260966.0,4004.0,3917.0,-87.0,-0.0217282717283,2010/1/13,2010/1/13,-20.0727074561,0.0,0.0,0.0,0.0,0.0,-10102.0,-39488718.0,-0.0243028907649,0.0
A.DCE,2010/1/14,3909.0,3943.0,3943.0,3918.0,3919.0,190364.0,7483760800.0,0,2.0,0.000511639805577,0.639549757,3931.28995,259500.0,3917.0,3931.0,14.0,0.00357416390094,2010/1/14,2010/1/14,-20.7973301723,0.0,0.0,0.0,0.0,0.0,-1466.0,-5745254.0,0.000510334268946,1.0
A.DCE,2010/1/15,3919.0,3905.0,3949.0,3902.0,3915.0,313576.0,12320233800.0,0,-16.0,-0.00408267415157,1.199285532,3928.946667,265124.0,3931.0,3928.0,-3.0,-0.000763164589163,2010/1/15,2010/1/15,-21.1784430212,-19.8654933533,0.0,0.0,0.0,0.0,5624.0,22017960.0,-0.00408684546616,0.0
