heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AG,20120510,6166.0,6166.0,6190.0,6196.0,6082.0,6140.0,6126.0,-26,-40.0,-0.00648718780409,2389296.08,33726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00657678395265,0.0
AG,20120511,6140.0,6126.0,6110.0,6115.0,6000.0,6002.0,6056.0,-124,-70.0,-0.0114006514658,1878753.82,55020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116666666667,0.0
AG,20120514,6002.0,6056.0,6040.0,6045.0,5960.0,5976.0,5999.0,-80,-57.0,-0.00949683438854,1868733.84,57028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00956375838926,0.0
AG,20120515,5976.0,5999.0,5895.0,5910.0,5711.0,5842.0,5813.0,-157,-186.0,-0.031124497992,3882019.26,82238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032568727018,0.0
AG,20120516,5842.0,5813.0,5750.0,5786.0,5643.0,5647.0,5704.0,-166,-109.0,-0.0186579938377,5126826.62,108376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0289151029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0193159666844,0.0
AG,20120517,5647.0,5704.0,5705.0,5787.0,5691.0,5763.0,5748.0,59,44.0,0.00779174783071,4813684.66,89738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0224736325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00773150588649,1.0
AG,20120518,5763.0,5748.0,5808.0,5881.0,5768.0,5863.0,5827.0,115,79.0,0.0137081381225,6080604.45,92162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3918784932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136962552011,1.0
AG,20120521,5863.0,5827.0,5957.0,5964.0,5903.0,5940.0,5932.0,113,105.0,0.0179089203479,3610778.43,97686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2330886625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177875656446,1.0
AG,20120522,5940.0,5932.0,5920.0,5930.0,5882.0,5890.0,5903.0,-42,-29.0,-0.00488215488215,3286240.25,90716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.704881742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00493029581775,0.0
AG,20120523,5890.0,5903.0,5800.0,5818.0,5759.0,5791.0,5791.0,-112,-112.0,-0.0190152801358,2607478.55,90202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0171446741,29.7337513326,0.0,0.0,0.0,0.0,0.0,0.0,-0.0194478208022,0.0
AG,20120524,5791.0,5791.0,5785.0,5838.0,5766.0,5832.0,5804.0,41,13.0,0.00224486271801,2623008.79,85938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2157120376,29.3224052942,0.0,0.0,0.0,0.0,0.0,0.0,0.00225459590704,0.0
AG,20120525,5832.0,5804.0,5858.0,5912.0,5804.0,5904.0,5849.0,100,45.0,0.00771604938272,3687852.69,92544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3101005044,29.06136345,0.0,0.0,0.0,0.0,0.0,0.0,0.00775327360441,0.0
AG,20120528,5904.0,5849.0,5940.0,5992.0,5916.0,5986.0,5955.0,137,106.0,0.0179539295393,3407380.26,94920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3440383271,29.0021374212,0.0,0.0,0.0,0.0,0.0,0.0,0.0179175118323,1.0
AG,20120529,5986.0,5955.0,5933.0,5982.0,5922.0,5962.0,5950.0,7,-5.0,-0.000835282325426,3123068.38,93104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4479744005,29.284067684,0.0,0.0,0.0,0.0,0.0,0.0,-0.000844309354948,0.0
AG,20120530,5962.0,5950.0,5817.0,5855.0,5798.0,5801.0,5826.0,-149,-124.0,-0.0207983898021,3055650.07,94548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5486042464,29.4878264336,0.0,0.0,0.0,0.0,0.0,0.0,-0.0213866850638,0.0
AG,20120531,5801.0,5826.0,5836.0,5878.0,5826.0,5851.0,5853.0,25,27.0,0.00465436993622,3213313.5,85856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7020588367,29.6629965659,0.0,0.0,0.0,0.0,0.0,0.0,0.00463439752832,1.0
AG,20120601,5851.0,5853.0,5800.0,5840.0,5771.0,5832.0,5811.0,-21,-42.0,-0.00717826012647,2588722.17,86528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6178626008,29.6668650215,0.0,0.0,0.0,0.0,0.0,0.0,-0.0072777681511,0.0
AG,20120604,5832.0,5811.0,5923.0,5998.0,5901.0,5949.0,5951.0,138,140.0,0.0240054869684,3514599.03,87274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5794269502,29.6642861679,0.0,0.0,0.0,0.0,0.0,0.0,0.0237247924081,1.0
AG,20120605,5949.0,5951.0,5954.0,5985.0,5921.0,5931.0,5952.0,-20,1.0,0.000168095478232,2887633.56,87988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.576860911,29.7144895815,0.0,0.0,0.0,0.0,0.0,0.0,0.000168890390137,0.0
AG,20120606,5931.0,5952.0,6001.0,6092.0,5991.0,6088.0,6050.0,136,98.0,0.01652335188,3120719.57,89946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0636577502,30.0094768145,30.8415187079,0.0,0.0,0.0,0.0,0.0,0.0163578701385,1.0
AG,20120607,6088.0,6050.0,6145.0,6154.0,6110.0,6134.0,6125.0,84,75.0,0.0123193166886,2505831.41,91644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.749439951,30.4354250369,30.858775537,0.0,0.0,0.0,0.0,0.0,0.0122749590835,1.0
AG,20120608,6134.0,6125.0,6005.0,6023.0,5905.0,5935.0,5959.0,-190,-166.0,-0.0270622758396,2829143.59,79718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.060579648,30.5579106671,30.8001276065,0.0,0.0,0.0,0.0,0.0,-0.0281117696867,0.0
AG,20120611,5935.0,5959.0,6054.0,6099.0,6031.0,6062.0,6068.0,103,109.0,0.0183656276327,1885002.41,77300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3549264474,30.6959617758,30.8439854462,0.0,0.0,0.0,0.0,0.0,0.0180732880119,1.0
AG,20120612,6062.0,6068.0,5992.0,6038.0,5978.0,5989.0,6005.0,-79,-63.0,-0.0103926096998,2195171.65,87952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4816767967,30.7626440208,31.0075289948,0.0,0.0,0.0,0.0,0.0,-0.0105386416862,0.0
AG,20120613,5989.0,6005.0,6050.0,6083.0,6040.0,6083.0,6062.0,78,57.0,0.00951744865587,1679076.68,80188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5895201829,31.0467430216,31.2466721017,0.0,0.0,0.0,0.0,0.0,0.00943708609272,1.0
AG,20120614,6083.0,6062.0,6068.0,6128.0,6061.0,6080.0,6086.0,18,24.0,0.00394542166694,1727714.39,82052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4816767967,31.3163553601,31.465248232,0.0,0.0,0.0,0.0,0.0,0.00395974261673,0.0
AG,20120615,6080.0,6086.0,6050.0,6085.0,6032.0,6070.0,6062.0,-16,-24.0,-0.00394736842105,1896352.29,80836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7590700478,31.6086351869,31.6186879303,0.0,0.0,0.0,0.0,0.0,-0.00397877984085,0.0
AG,20120618,6070.0,6062.0,6087.0,6095.0,6003.0,6010.0,6026.0,-52,-36.0,-0.00593080724876,2801715.9,99022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6985045771,31.7208296355,31.6762647991,0.0,0.0,0.0,0.0,0.0,-0.00599700149925,0.0
AG,20120619,6010.0,6026.0,6058.0,6080.0,6045.0,6061.0,6063.0,35,37.0,0.00615640599002,1530243.27,76972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8428738603,31.8556982429,31.7694769121,0.0,0.0,0.0,0.0,0.0,0.00612076095947,1.0
AG,20120620,6061.0,6063.0,5996.0,6029.0,5990.0,6010.0,6007.0,-53,-56.0,-0.00923939943904,1584111.84,83302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7353162685,31.8546172605,31.9002257199,30.8696846758,0.0,0.0,0.0,0.0,-0.0093489148581,0.0
AG,20120621,6010.0,6007.0,5900.0,5925.0,5893.0,5911.0,5909.0,-96,-98.0,-0.016306156406,1254721.79,75606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3661010064,31.6174758056,31.9714381629,30.7938790017,0.0,0.0,0.0,0.0,-0.0166298998812,0.0
AG,20120625,5911.0,5909.0,5700.0,5742.0,5691.0,5716.0,5724.0,-193,-185.0,-0.0312975807816,1395570.65,89926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5789864382,31.3785709833,31.9080992128,30.6689405869,0.0,0.0,0.0,0.0,-0.0325074679318,0.0
AG,20120626,5716.0,5724.0,5830.0,5830.0,5783.0,5791.0,5809.0,67,85.0,0.0148705388383,1215630.97,83698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0438156612,31.0953805381,31.8330674129,30.5968119538,0.0,0.0,0.0,0.0,0.0146982535016,1.0
AG,20120627,5791.0,5809.0,5767.0,5771.0,5725.0,5745.0,5748.0,-64,-61.0,-0.0105335865999,1158156.1,90242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2262291911,30.7994049935,31.7209679226,30.6025319835,0.0,0.0,0.0,0.0,-0.0106550218341,0.0
AG,20120628,5745.0,5748.0,5778.0,5782.0,5733.0,5736.0,5747.0,-12,-1.0,-0.000174064403829,1037413.85,88594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5354073502,30.430550165,31.6837278962,30.6392423037,0.0,0.0,0.0,0.0,-0.000174428745857,0.0
AG,20120629,5736.0,5747.0,5651.0,5764.0,5632.0,5751.0,5704.0,4,-43.0,-0.00749651324965,2007916.37,83390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8021514276,29.8970526699,31.5718317916,30.6151886253,0.0,0.0,0.0,0.0,-0.00763494318182,0.0
AG,20120702,5751.0,5704.0,5831.0,5835.0,5785.0,5796.0,5804.0,92,100.0,0.0173882802991,1366902.74,73088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0699411767,29.5802189144,31.5799444061,30.6221240203,0.0,0.0,0.0,0.0,0.0172860847018,1.0
AG,20120703,5796.0,5804.0,5820.0,5915.0,5810.0,5908.0,5870.0,104,66.0,0.0113871635611,1638849.88,68056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1460866747,29.3276854633,31.5271075264,30.5841370319,0.0,0.0,0.0,0.0,0.0113597246127,1.0
AG,20120704,5908.0,5870.0,5952.0,5979.0,5932.0,5948.0,5952.0,78,82.0,0.0138794854435,1195162.08,61944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7184707003,29.1777943961,31.5335075815,30.6045742289,0.0,0.0,0.0,0.0,0.0138233310856,1.0
AG,20120705,5948.0,5952.0,5960.0,5995.0,5944.0,5994.0,5969.0,42,17.0,0.00285810356422,1058632.62,64576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2813230344,29.1163448224,31.5061365251,30.6799072303,30.1168242432,0.0,0.0,0.0,0.0028600269179,0.0
AG,20120706,5994.0,5969.0,5929.0,5932.0,5864.0,5872.0,5891.0,-97,-78.0,-0.013013013013,1309787.98,64902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8765004213,29.0774761697,31.3617922044,30.7196320638,30.048163709,0.0,0.0,0.0,-0.0133015006821,0.0
AG,20120709,5872.0,5891.0,5790.0,5832.0,5782.0,5808.0,5806.0,-83,-85.0,-0.0144754768392,1233862.56,71908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8689610592,29.1991095142,31.2889357986,30.7107251608,29.9791552096,0.0,0.0,0.0,-0.0147007955725,0.0
AG,20120710,5808.0,5806.0,5813.0,5834.0,5795.0,5798.0,5812.0,-8,6.0,0.00103305785124,879571.59,69612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8312028824,29.2150760035,31.1478629254,30.6616241967,29.9266922315,0.0,0.0,0.0,0.00103537532355,0.0
AG,20120711,5798.0,5812.0,5755.0,5780.0,5750.0,5775.0,5767.0,-37,-45.0,-0.00776129699897,825887.96,69574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3648844437,29.2482849082,31.0099624714,30.5914981976,29.939110613,0.0,0.0,0.0,-0.00782608695652,0.0
AG,20120712,5775.0,5767.0,5774.0,5779.0,5728.0,5743.0,5745.0,-24,-22.0,-0.00380952380952,978720.86,77556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7916493942,29.2416490296,30.8186780295,30.5628475771,29.9661376151,0.0,0.0,0.0,-0.00384078212291,0.0
AG,20120713,5743.0,5745.0,5770.0,5830.0,5764.0,5828.0,5799.0,83,54.0,0.00940275117534,842647.12,69344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5189110775,29.4158483236,30.6338047112,30.5374176282,29.9893067143,0.0,0.0,0.0,0.00936849410132,1.0
AG,20120716,5828.0,5799.0,5810.0,5834.0,5787.0,5828.0,5811.0,29,12.0,0.00205902539465,790084.22,63190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5326591434,29.418471935,30.4792424946,30.5439850261,29.9953306166,0.0,0.0,0.0,0.00207361327112,0.0
AG,20120717,5828.0,5811.0,5845.0,5877.0,5812.0,5830.0,5847.0,19,36.0,0.00617707618394,919689.65,59076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5793149299,29.4210950764,30.3574503051,30.5074112084,29.9664552642,0.0,0.0,0.0,0.00619408121129,0.0
AG,20120718,5830.0,5847.0,5835.0,5838.0,5780.0,5811.0,5805.0,-36,-42.0,-0.00720411663808,662186.18,57180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6613185755,29.220394387,30.1865810143,30.4492552434,29.934017244,0.0,0.0,0.0,-0.00726643598616,0.0
AG,20120719,5811.0,5805.0,5815.0,5828.0,5797.0,5822.0,5814.0,17,9.0,0.00154878678369,563447.11,55478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8483310924,29.0237007253,30.060747706,30.3688112281,29.9461109253,0.0,0.0,0.0,0.00155252716923,0.0
AG,20120720,5822.0,5814.0,5809.0,5811.0,5787.0,5799.0,5799.0,-15,-15.0,-0.00257643421505,537121.3,54728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9101753639,28.9196485054,29.9911373853,30.2337731687,29.9527897261,0.0,0.0,0.0,-0.00259201658891,0.0
AG,20120723,5799.0,5799.0,5806.0,5808.0,5755.0,5761.0,5782.0,-38,-17.0,-0.00293153992068,525550.51,50946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8240641031,28.8829958332,30.0332087098,30.1705920484,29.93720082,0.0,0.0,0.0,-0.00295395308427,0.0
AG,20120724,5790.0,5809.0,5796.0,5822.0,5792.0,5794.0,5805.0,-15,-4.0,-0.000690846286701,556637.36,53654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7700022834,28.8789179614,30.0391146117,30.0693058008,29.8976725422,0.0,0.0,0.0,-0.000690607734807,1.0
AG,20120725,5794.0,5805.0,5784.0,5817.0,5740.0,5740.0,5788.0,-65,-17.0,-0.0029340697273,706992.38,64072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6613185755,28.865317321,30.0489520979,29.9676871562,29.8394504384,0.0,0.0,0.0,-0.00296167247387,0.0
AG,20120726,5740.0,5788.0,5840.0,5886.0,5820.0,5872.0,5859.0,84,71.0,0.0123693379791,884916.16,55172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7239030141,28.9899947132,30.1058695175,29.8730808859,29.8465012299,0.0,0.0,0.0,0.0121993127148,1.0
AG,20120727,5872.0,5859.0,5862.0,5932.0,5862.0,5927.0,5897.0,68,38.0,0.00647138964578,740797.76,57758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9262681677,29.1216982015,30.2551930319,29.7869467645,29.8580312013,0.0,0.0,0.0,0.00648242920505,0.0
AG,20120730,5927.0,5897.0,5923.0,5925.0,5887.0,5893.0,5905.0,-4,8.0,0.00134975535684,585292.04,53020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.276084771,29.2549178366,30.3208830865,29.7238509014,29.8951184495,0.0,0.0,0.0,0.00135892644811,0.0
AG,20120731,5893.0,5905.0,5978.0,6044.0,5972.0,6024.0,6018.0,119,113.0,0.0191752927202,1120202.41,61994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7401654494,29.4656165806,30.4245450561,29.710324764,29.9177695789,0.0,0.0,0.0,0.0189216342934,1.0
AG,20120801,6024.0,6018.0,5965.0,5992.0,5949.0,5990.0,5972.0,-28,-46.0,-0.00763612217795,685675.96,60402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2604905778,29.6849039179,30.4353756321,29.6683553258,29.9266922315,0.0,0.0,0.0,-0.00773239199866,0.0
AG,20120802,5990.0,5972.0,5880.0,5910.0,5880.0,5896.0,5898.0,-76,-74.0,-0.0123539232053,594143.33,60746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4062272216,29.7913792496,30.3945547498,29.6201127177,29.8912864281,30.3143258647,0.0,0.0,-0.0125850340136,0.0
AG,20120803,5896.0,5898.0,5866.0,5868.0,5842.0,5862.0,5852.0,-36,-46.0,-0.00780189959294,476195.5,62202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.357827611,29.8614932937,30.3804930275,29.5976903307,29.8054284665,30.2633633251,0.0,0.0,-0.00787401574803,0.0
AG,20120806,5862.0,5852.0,5970.0,5972.0,5941.0,5952.0,5953.0,100,101.0,0.0172296144661,434316.69,58854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4880961132,30.0960062748,30.4817809505,29.7072686855,29.8169923832,30.2508049646,0.0,0.0,0.0170005049655,1.0
AG,20120807,5952.0,5953.0,5966.0,5974.0,5956.0,5966.0,5965.0,13,12.0,0.00201612903226,348215.7,58194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4496338972,30.2994680392,30.5835404606,29.7826043949,29.7928901086,30.2499531205,0.0,0.0,0.00201477501679,1.0
AG,20120808,5966.0,5965.0,5999.0,5999.0,5953.0,5955.0,5977.0,-10,12.0,0.00201139792156,508601.99,60102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4592601653,30.5591175863,30.7106991283,29.8812769833,29.7848468004,30.3013914879,0.0,0.0,0.0020157903578,0.0
AG,20120809,5955.0,5977.0,5988.0,6022.0,5980.0,6020.0,6005.0,43,28.0,0.00470193115029,630918.3,69126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.697600772,30.7507624871,30.8667794383,29.9873866681,29.76552405,30.3726903381,0.0,0.0,0.00468227424749,1.0
AG,20120810,6020.0,6005.0,6005.0,6006.0,5961.0,5976.0,5983.0,-29,-22.0,-0.00365448504983,507949.28,65498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9754565005,30.8678924528,30.9874341315,30.1274582173,29.7332604205,30.4295354856,0.0,0.0,-0.00369065593021,0.0
AG,20120813,5976.0,5983.0,6004.0,6024.0,5986.0,5995.0,6002.0,12,19.0,0.00317938420348,706372.46,68494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0789058691,30.9839191273,31.1081074341,30.2123250838,29.7183943518,30.4752521905,0.0,0.0,0.00317407283662,1.0
AG,20120814,5995.0,6002.0,5974.0,5980.0,5944.0,5976.0,5961.0,-26,-41.0,-0.00683903252711,555220.27,63982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0514060428,30.9512151304,31.1874858475,30.2686051629,29.6993041142,30.4838322918,0.0,0.0,-0.00689771197847,0.0
AG,20120815,5976.0,5961.0,5961.0,5969.0,5950.0,5953.0,5959.0,-8,-2.0,-0.000334672021419,379248.99,62360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0445212455,30.9523846449,31.2889357986,30.2761470481,29.6685115114,30.4980501526,0.0,0.0,-0.000336134453782,0.0
AG,20120816,5953.0,5959.0,5969.0,5978.0,5945.0,5952.0,5961.0,-7,2.0,0.000335965059634,363900.58,64478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9639073504,31.0281625684,31.3765445391,30.2765659159,29.6539022386,30.5368602375,0.0,0.0,0.000336417157275,0.0
AG,20120817,5952.0,5961.0,6016.0,6037.0,6003.0,6031.0,6018.0,70,57.0,0.00957661290323,523929.41,70790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.060579648,31.2138253261,31.5032208114,30.3346597977,29.689587345,30.5861423411,0.0,0.0,0.00949525237381,1.0
AG,20120820,6031.0,6018.0,6000.0,6034.0,5996.0,6019.0,6017.0,1,-1.0,-0.000165809981761,482361.13,71480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0834830533,31.2765893101,31.6429065457,30.4236002771,29.7880646768,30.6259280502,0.0,0.0,-0.000166777851901,0.0
AG,20120821,6019.0,6017.0,6100.0,6158.0,6094.0,6148.0,6129.0,131,112.0,0.0186077421499,1094996.24,91262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4218118224,31.4325952693,31.8155036589,30.5468572059,29.8877728115,30.6627017045,0.0,0.0,0.0183787331802,1.0
AG,20120822,6148.0,6129.0,6208.0,6266.0,6202.0,6260.0,6239.0,131,110.0,0.0178919973975,1051899.81,102880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9684303016,31.7087848105,32.0743248064,30.7309589866,30.0393197228,30.720332066,0.0,0.0,0.0177362141245,1.0
AG,20120823,6260.0,6239.0,6337.0,6565.0,6333.0,6526.0,6477.0,287,238.0,0.0380191693291,4067011.08,151188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7580041359,32.0887786998,32.3544037522,30.9732100484,30.2275793697,30.8297150634,0.0,0.0,0.0375809253119,1.0
AG,20120824,6526.0,6477.0,6518.0,6548.0,6459.0,6487.0,6504.0,10,27.0,0.00413729696598,3061906.35,155740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6083295678,32.6022367026,32.6707897752,31.245657813,30.4827695461,30.957897345,0.0,0.0,0.00418021365536,0.0
