heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AP.CZC,2017/12/22,0,7920,8228,7915,8117,735694,59859534500.0,0,317,4.064102564,0.0,8136.471753,21646,7800,8136,336,0.0,2017/12/22,2017/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
AP.CZC,2017/12/25,8117,8118,8157,8060,8095,358024,29012574500.0,0,-41,-1.0,1.195022792,8103.527836,25296,8136,8104,-32,-1.0,2017/12/25,2017/12/25,0.0,0.0,0.0,0.0,0.0,0.0,3650,29546750,-1.0,0
AP.CZC,2017/12/26,8095,8105,8144,8079,8090,146420,11866651000.0,0,-14,-1.0,0.802964793,8104.528753,21018,8104,8105,1,0.0,2017/12/26,2017/12/26,0.0,0.0,0.0,0.0,0.0,0.0,-4278,-34609020,-1.0,0
AP.CZC,2017/12/27,8090,8094,8109,8067,8086,67888,5490342400.0,0,-19,-1.0,0.519159456,8087.353288,17524,8105,8087,-18,-1.0,2017/12/27,2017/12/27,0.0,0.0,0.0,0.0,0.0,0.0,-3494,-28252484,-1.0,0
AP.CZC,2017/12/28,8086,8092,8145,8088,8104,71176,5776067600.0,0,17,0.0,0.704922088,8115.189952,15558,8087,8115,28,0.0,2017/12/28,2017/12/28,14.937318846,0.0,0.0,0.0,0.0,0.0,-1966,-15932464,0.0,1
AP.CZC,2017/12/29,8104,8106,8122,8078,8088,25762,2085548900.0,0,-27,-1.0,0.542941757,8095.446394,13754,8115,8095,-20,-1.0,2017/12/29,2017/12/29,14.7812936461,0.0,0.0,0.0,0.0,0.0,-1804,-14590752,-1.0,0
AP.CZC,2018/1/2,8088,8088,8106,8086,8101,16426,1330130900.0,0,6,0.0,0.247279921,8097.716425,12360,8095,8098,3,0.0,2018/1/2,2018/1/2,14.8136166959,0.0,0.0,0.0,0.0,0.0,-1394,-11292794,0.0,1
AP.CZC,2018/1/3,8101,8103,8122,8088,8094,20154,1632484300.0,0,-4,-1.0,0.419701271,8100.051106,11852,8098,8100,2,0.0,2018/1/3,2018/1/3,14.8351532401,0.0,0.0,0.0,0.0,0.0,-508,-4111752,-1.0,0
AP.CZC,2018/1/4,8094,8098,8114,8076,8092,16652,1347790500.0,0,-8,-1.0,0.469483568,8093.865602,11252,8100,8094,-6,-1.0,2018/1/4,2018/1/4,14.8674398094,0.0,0.0,0.0,0.0,0.0,-600,-4855200,-1.0,0
AP.CZC,2018/1/5,8092,8098,8111,8082,8099,9538,772258300.0,0,5,0.0,0.358378646,8096.648144,10090,8094,8097,3,0.0,2018/1/5,2018/1/5,14.8405358559,16.9886053997,0.0,0.0,0.0,0.0,-1162,-9411038,0.0,1
