heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
AU,20100104,247.51,245.6,245.38,247.43,244.58,245.96,246.01,0.36,0.41,0.00165649872732,1420800.81,101232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00167634311882,0.0
AU,20100105,245.96,246.01,250.0,253.28,249.71,253.23,251.4,7.22,5.39,0.0219141323792,1880495.34,106498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215850386448,1.0
AU,20100106,253.23,251.4,251.01,253.14,250.59,251.1,252.17,-0.3,0.77,0.00304071397544,1863642.2,109054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00307274831398,0.0
AU,20100107,251.1,252.17,255.1,255.5,251.2,252.36,253.19,0.19,1.02,0.00406212664277,2195180.34,100124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406050955414,1.0
AU,20100108,252.36,253.19,251.22,251.22,249.0,249.56,249.93,-3.63,-3.26,-0.0129180535743,1342524.01,91082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0631835035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0130923694779,0.0
AU,20100111,249.56,249.93,257.5,258.44,256.66,256.85,257.41,6.92,7.48,0.0299727520436,1320602.7,93998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1768654986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291436141198,1.0
AU,20100112,256.85,257.41,256.85,257.5,255.38,257.15,256.53,-0.26,-0.88,-0.003426124197,980835.5,94330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.7593881256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00344584540684,0.0
AU,20100113,257.15,256.53,251.0,251.0,249.3,250.72,250.34,-5.81,-6.19,-0.024071553568,1233021.51,83830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.854448158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0248295226635,0.0
AU,20100114,250.72,250.34,254.28,254.38,252.41,252.97,253.12,2.63,2.78,0.0110880663689,683800.53,81238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.765284642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110138267105,1.0
AU,20100115,252.97,253.12,253.22,253.55,251.81,252.21,252.62,-0.91,-0.5,-0.00197651895482,638394.01,78682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5580661319,-18.1616464793,0.0,0.0,0.0,0.0,0.0,0.0,-0.00198562408165,0.0
AU,20100118,252.21,252.62,250.5,252.05,249.91,251.81,250.98,-0.81,-1.64,-0.00650251774315,637797.88,79576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0554701767,-17.9698309634,0.0,0.0,0.0,0.0,0.0,0.0,-0.00656236245048,0.0
AU,20100119,251.81,250.98,252.4,253.0,251.89,252.39,252.43,1.41,1.45,0.00575830983678,490936.0,81094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.31214782,-17.8913224922,0.0,0.0,0.0,0.0,0.0,0.0,0.00575648100361,1.0
AU,20100120,252.39,252.43,253.49,253.99,251.2,251.38,252.46,-1.05,0.03,0.000118863663378,820247.74,81338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1724524803,-17.8693488916,0.0,0.0,0.0,0.0,0.0,0.0,0.000119426751592,0.0
AU,20100121,251.38,252.46,247.5,248.31,246.51,248.3,247.56,-4.16,-4.9,-0.0194924019413,965175.41,79524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.605898408,-18.0382299383,0.0,0.0,0.0,0.0,0.0,0.0,-0.019877489757,0.0
AU,20100122,248.3,247.56,243.05,243.99,242.66,243.32,243.37,-4.24,-4.19,-0.0168747482884,858902.63,76678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2760197687,-18.2662897272,0.0,0.0,0.0,0.0,0.0,0.0,-0.0172669578835,0.0
AU,20100125,243.32,243.37,243.32,245.99,243.0,245.36,244.68,1.99,1.31,0.00538385664968,855163.14,77788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.7803075054,-18.7567078293,0.0,0.0,0.0,0.0,0.0,0.0,0.00539094650206,0.0
AU,20100126,245.36,244.68,245.77,246.28,242.72,243.1,244.28,-1.58,-0.4,-0.0016302575807,926273.92,73382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.4470097194,-19.2100084484,0.0,0.0,0.0,0.0,0.0,0.0,-0.00164798945287,0.0
AU,20100127,243.1,244.28,244.57,245.15,243.54,243.81,244.47,-0.47,0.19,0.000781571369807,689220.15,74518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0016026232,-19.4158460263,0.0,0.0,0.0,0.0,0.0,0.0,0.000780159316745,1.0
AU,20100128,243.81,244.47,241.6,241.98,239.6,241.44,241.06,-3.03,-3.41,-0.013986300808,875123.57,67022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.4999839896,-19.8726801889,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142320534224,0.0
AU,20100129,241.44,241.06,240.01,240.91,239.3,239.36,239.99,-1.7,-1.07,-0.00443174287608,670355.35,64946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.7416436908,-20.3175173339,-19.4695154844,0.0,0.0,0.0,0.0,0.0,-0.00447137484329,0.0
AU,20100201,239.36,239.99,240.78,240.8,238.58,239.56,239.66,-0.43,-0.33,-0.00137867647059,666740.39,63424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0588448653,-20.7192417734,-19.5773457492,0.0,0.0,0.0,0.0,0.0,-0.00138318383771,0.0
AU,20100202,239.56,239.66,244.81,245.2,243.96,244.74,244.58,5.08,4.92,0.0205376523627,838194.99,62160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.9699371529,-20.999738487,-19.6806148649,0.0,0.0,0.0,0.0,0.0,0.0201672405312,1.0
AU,20100203,244.74,244.58,246.87,247.35,245.93,247.24,246.73,2.66,2.15,0.00878483288388,559749.45,59746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.7983965543,-21.1858314656,-19.7642582824,0.0,0.0,0.0,0.0,0.0,0.00874232505184,1.0
AU,20100204,247.24,246.73,245.0,246.06,244.83,245.11,245.42,-1.62,-1.31,-0.0052984953891,507044.32,61560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.4222121921,-21.2451015016,-19.8785225283,0.0,0.0,0.0,0.0,0.0,-0.00535065147245,0.0
AU,20100205,245.11,245.42,235.0,235.9,234.88,235.77,235.49,-9.65,-9.93,-0.0405124229938,840700.17,55754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.7402065815,-21.5192346198,-20.1315029488,0.0,0.0,0.0,0.0,0.0,-0.0422769073569,0.0
AU,20100208,235.77,235.49,236.5,237.18,236.1,236.86,236.78,1.37,1.29,0.00547143402469,434635.48,55750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.9182842506,-21.7618799556,-20.4991027083,0.0,0.0,0.0,0.0,0.0,0.00546378653113,1.0
AU,20100209,236.86,236.78,236.3,238.88,236.1,238.47,237.49,1.69,0.71,0.00299755129612,383227.69,55820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.4809930532,-21.9942456471,-20.8429705494,0.0,0.0,0.0,0.0,0.0,0.00300720033884,0.0
AU,20100210,238.47,237.49,239.38,239.88,238.85,239.85,239.4,2.36,1.91,0.00800939321508,360206.54,52298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.9856004466,-22.1586061876,-21.02899962,0.0,0.0,0.0,0.0,0.0,0.00799665061754,1.0
AU,20100211,239.85,239.4,239.5,240.8,239.48,240.3,240.23,0.9,0.83,0.00346049614342,286596.94,51840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.3654350662,-22.162808704,-21.2588275147,0.0,0.0,0.0,0.0,0.0,0.00346584265909,0.0
AU,20100212,240.3,240.23,242.16,242.5,241.8,242.2,242.08,1.97,1.85,0.0076987099459,317374.45,49826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.8738922612,-22.0752266263,-21.436482927,-20.48928248,0.0,0.0,0.0,0.0,0.00765095119934,1.0
AU,20100222,242.2,242.08,250.4,251.5,248.33,248.33,249.59,6.25,7.51,0.0310074318745,461004.02,50400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0000581649,-21.7330678044,-21.4645026367,-20.4449783164,0.0,0.0,0.0,0.0,0.0302420166714,1.0
AU,20100223,248.33,249.59,246.5,247.45,245.85,247.22,246.82,-2.37,-2.77,-0.0111545121411,492071.27,52922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.2989796736,-21.6666345961,-21.571560684,-20.4905818644,0.0,0.0,0.0,0.0,-0.0112670327435,0.0
AU,20100224,247.22,246.82,245.0,245.46,244.88,245.06,245.11,-1.76,-1.71,-0.00691691610711,404187.7,54514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.8635210086,-21.7035461831,-21.6834872432,-20.5580156755,0.0,0.0,0.0,0.0,-0.00698301208755,0.0
AU,20100225,245.06,245.11,244.0,244.0,241.76,242.28,243.01,-2.83,-2.1,-0.00856932996001,612386.86,57358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.6985113091,-21.8114075709,-21.7675451661,-20.6694304881,0.0,0.0,0.0,0.0,-0.00868630046327,0.0
AU,20100226,242.28,243.01,245.16,246.6,244.89,246.4,245.95,3.39,2.94,0.0121347201585,797926.28,61264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.4745731104,-21.4593826871,-21.7280890621,-20.7179111899,0.0,0.0,0.0,0.0,0.0120053901752,1.0
AU,20100301,246.4,245.95,248.87,248.87,247.23,247.79,247.8,1.84,1.85,0.00750811688312,571578.78,56566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.5543322904,-21.0668601442,-21.6532128962,-20.8290825661,0.0,0.0,0.0,0.0,0.00748291065,1.0
