heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
BB.DCE,2013/12/6,0.0,126.05,129.0,123.0,125.85,87078,5508600400,0,-0.15,-0.119047619,0.0,126.5210593,4052,126.0,126.5,0.5,0.00396825396825,2013/12/6,2013/12/6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.00119189511323,1.0
BB.DCE,2013/12/9,125.85,126.0,131.55,124.75,131.55,62682,4058333800,0,5.05,0.0401271354787,5.403257847,129.4896079,12556,126.5,129.45,2.95,0.0233201581028,2013/12/9,2013/12/9,0.0,0.0,0.0,0.0,0.0,0.0,8504,1118701.2,0.038388445458,1.0
BB.DCE,2013/12/10,131.55,133.0,135.65,131.7,132.95,342330,22848162200,0,3.5,0.0266058532877,3.002660585,133.4861812,27272,129.45,133.45,4.0,0.030899961375,2013/12/10,2013/12/10,0.0,0.0,0.0,0.0,0.0,0.0,14716,1956492.2,0.0263256863483,1.0
BB.DCE,2013/12/11,132.95,132.95,136.6,132.0,136.25,343232,23013074800,0,2.8,0.0210605490786,3.459947349,134.0963244,49252,133.45,134.05,0.6,0.0044960659423,2013/12/11,2013/12/11,0.0,0.0,0.0,0.0,0.0,0.0,21980,2994775.0,0.0205504587156,1.0
BB.DCE,2013/12/12,136.25,136.1,138.05,133.8,134.05,532196,36119885300,0,0.0,0.0,3.119266055,135.7390334,47298,134.05,135.7,1.65,0.0123088399851,2013/12/12,2013/12/12,0.0486833678533,0.0,0.0,0.0,0.0,0.0,-1954,-261933.7,0.0,0.0
BB.DCE,2013/12/13,134.05,133.7,135.1,132.3,132.85,244810,16349833700,0,-2.85,-0.0212607236106,2.088772846,133.5716164,37858,135.7,133.55,-2.15,-0.0158437730287,2013/12/13,2013/12/13,0.798852672136,0.0,0.0,0.0,0.0,0.0,-9440,-1254104.0,-0.0214527662778,0.0
BB.DCE,2013/12/16,132.85,133.1,134.9,132.1,134.5,252466,16880999000,0,0.95,0.00715092209259,2.107640196,133.7288902,47976,133.55,133.7,0.15,0.00112317484088,2013/12/16,2013/12/16,1.11381462918,0.0,0.0,0.0,0.0,0.0,10118,1360871.0,0.00706319702602,1.0
BB.DCE,2013/12/17,134.5,134.95,134.95,132.4,132.55,197926,13231748700,0,-1.15,-0.00855018587361,1.895910781,133.7039975,44078,133.7,133.7,0.0,0.0,2013/12/17,2013/12/17,1.0711501998,0.0,0.0,0.0,0.0,0.0,-3898,-516679.9,-0.00867597133157,0.0
BB.DCE,2013/12/18,132.55,132.6,133.05,129.7,131.35,231182,15154559800,0,-2.35,-0.017729158808,2.527348171,131.1050151,42176,133.7,131.1,-2.6,-0.0194465220643,2013/12/18,2013/12/18,0.54744230958,0.0,0.0,0.0,0.0,0.0,-1902,-249827.7,-0.0178911305672,0.0
BB.DCE,2013/12/19,131.35,131.4,132.1,130.55,131.35,128568,8447377600,0,0.25,0.00190331176247,1.180053293,131.4071557,43722,131.1,131.4,0.3,0.00228832951945,2013/12/19,2013/12/19,0.258045158496,0.566176649025,0.0,0.0,0.0,0.0,1546,203067.1,0.00190331176247,0.0
BB.DCE,2013/12/20,131.35,131.15,131.9,129.85,130.95,122328,7993775700,0,-0.45,-0.00342596117244,1.560715645,130.6941289,39572,131.4,130.65,-0.75,-0.00570776255708,2013/12/20,2013/12/20,0.0540552580951,0.840777624894,0.0,0.0,0.0,0.0,-4150,-543442.5,-0.00343642611684,0.0
BB.DCE,2013/12/23,130.95,130.9,133.35,130.6,131.75,187814,12400457200,0,1.1,0.00840015273005,2.100038183,132.0504031,46882,130.65,132.05,1.4,0.0107156525067,2013/12/23,2013/12/23,-0.241678661436,0.851535389411,0.0,0.0,0.0,0.0,7310,963092.5,0.00834914611006,1.0
BB.DCE,2013/12/24,131.75,131.9,133.35,131.0,132.05,208442,13782609500,0,0.0,0.0,1.783681214,132.2440727,66380,132.05,132.2,0.15,0.00113593335858,2013/12/24,2013/12/24,-0.295509058835,0.803118924949,0.0,0.0,0.0,0.0,19498,2574710.9,0.0,1.0
BB.DCE,2013/12/25,132.05,132.35,133.2,130.55,130.6,169752,11231074800,0,-1.6,-0.0121166224915,2.0068156,132.3233281,73346,132.2,132.3,0.1,0.000756429652042,2013/12/25,2013/12/25,-0.376289124349,0.498791705497,0.0,0.0,0.0,0.0,6966,909759.6,-0.0122511485452,0.0
BB.DCE,2013/12/26,130.6,130.15,130.2,127.05,127.05,200080,12820077200,0,-5.25,-0.0401990811639,2.41194487,128.1495122,64060,132.3,128.1,-4.2,-0.031746031746,2013/12/26,2013/12/26,-0.840210798896,0.120860900417,0.0,0.0,0.0,0.0,-9286,-1179786.3,-0.0413223140496,0.0
BB.DCE,2013/12/27,127.05,126.05,126.45,124.35,124.5,266966,16712039600,0,-3.6,-0.0283353010626,1.652892562,125.1997603,67064,128.1,125.15,-2.95,-0.0230288836846,2013/12/27,2013/12/27,-1.53848731789,-0.331197955455,0.0,0.0,0.0,0.0,3004,373998.0,-0.0289156626506,0.0
BB.DCE,2013/12/30,124.5,124.0,124.5,120.5,122.85,264712,16260032700,0,-2.3,-0.0184738955823,3.212851406,122.8507412,63302,125.15,122.85,-2.3,-0.0183779464642,2013/12/30,2013/12/30,-2.50636055191,-0.964067037137,0.0,0.0,0.0,0.0,-3762,-462161.7,-0.018722018722,0.0
BB.DCE,2013/12/31,122.85,122.5,123.75,121.7,122.85,131290,8062590900,0,0.0,0.0,1.668701669,122.8210968,59742,122.85,122.8,-0.05,-0.000407000407,2013/12/31,2013/12/31,-3.51162228937,-1.4928150707,0.0,0.0,0.0,0.0,-3560,-437346.0,0.0,0.0
BB.DCE,2014/1/2,122.85,123.0,123.5,121.35,121.55,98992,6049068400,0,-1.25,-0.010175010175,1.75010175,122.2132778,64480,122.8,122.2,-0.6,-0.00488599348534,2014/1/2,2014/1/2,-4.50460636917,-2.0285833704,0.0,0.0,0.0,0.0,4738,575903.9,-0.0102838338132,0.0
BB.DCE,2014/1/3,121.55,120.95,122.65,120.1,122.5,125444,7608704900,0,0.3,0.00246812011518,2.097902098,121.308391,55958,122.2,121.3,-0.9,-0.00736497545008,2014/1/3,2014/1/3,-5.00518744682,-2.5136903366,-0.429743773203,0.0,0.0,0.0,-8522,-1043945.0,0.00244897959184,1.0
BB.DCE,2014/1/6,122.5,122.35,122.45,117.4,120.35,324644,19381774700,0,-0.95,-0.00775510204082,4.12244898,119.4032522,53322,121.3,119.4,-1.9,-0.0156636438582,2014/1/6,2014/1/6,-5.46245751344,-3.09621157817,-0.582049681163,0.0,0.0,0.0,-2636,-317242.6,-0.00789364353968,0.0
BB.DCE,2014/1/7,120.35,120.95,122.35,120.15,121.1,235264,14269643100,0,1.7,0.0141254673868,1.828001662,121.3074937,53530,119.4,121.3,1.9,0.0159128978224,2014/1/7,2014/1/7,-5.65546620746,-3.68299685782,-0.871822190194,0.0,0.0,0.0,208,25188.8,0.0140379851363,1.0
BB.DCE,2014/1/8,121.1,121.0,121.1,118.7,120.6,189634,11364697700,0,-0.7,-0.00578034682081,1.981833196,119.8592837,50766,121.3,119.85,-1.45,-0.0119538334707,2014/1/8,2014/1/8,-5.90377030205,-4.31541042094,-1.214923853,0.0,0.0,0.0,-2764,-333338.4,-0.00580431177446,0.0
BB.DCE,2014/1/9,120.6,120.7,124.6,120.05,123.65,319882,19768997700,0,3.8,0.0315091210614,3.772802653,123.6018138,57004,119.85,123.6,3.75,0.0312891113892,2014/1/9,2014/1/9,-5.67201464584,-4.69999525515,-1.56566408144,0.0,0.0,0.0,6238,771328.7,0.0307319045693,1.0
BB.DCE,2014/1/10,123.65,122.9,125.1,122.6,124.15,204376,12659658100,0,0.55,0.00444803881925,2.021835827,123.8859563,62000,123.6,123.85,0.25,0.00202265372168,2014/1/10,2014/1/10,-5.49002373388,-4.8606191239,-1.84171934584,0.0,0.0,0.0,4996,620253.4,0.00443012484897,1.0
BB.DCE,2014/1/13,124.15,124.6,124.85,123.4,123.8,131256,8139774000,0,-0.05,-0.000402738622634,1.167942006,124.0289815,66222,123.85,124.0,0.15,0.0012111425111,2014/1/13,2014/1/13,-5.10980745224,-4.89940312956,-2.09442530106,0.0,0.0,0.0,4222,522683.6,-0.000403877221325,0.0
BB.DCE,2014/1/14,123.8,124.05,125.4,122.3,125.25,232054,14373742800,0,1.25,0.0100969305331,2.504038772,123.8827411,67636,124.0,123.85,-0.15,-0.00120967741935,2014/1/14,2014/1/14,-4.65304270032,-4.76644991435,-2.35305288354,0.0,0.0,0.0,1414,177103.5,0.00998003992016,1.0
