heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
C.DCE,2010/1/4,1873.0,1878.0,1900.0,1875.0,1892.0,176352.0,3334698300.0,0,22.0,0.0117458622531,1.334757074,1890.933077,217210.0,1870.0,1890.0,20.0,0.0106951871658,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,52356.0,99057552.0,0.0116279069767,1.0
C.DCE,2010/1/5,1892.0,1893.0,1904.0,1889.0,1891.0,103552.0,1962357700.0,0,1.0,0.000528541226216,0.792811839,1895.045678,226796.0,1890.0,1895.0,5.0,0.0026455026455,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,9586.0,18127126.0,0.000528820729773,0.0
C.DCE,2010/1/6,1891.0,1895.0,1918.0,1890.0,1908.0,160396.0,3056239200.0,0,13.0,0.00687466948704,1.480698043,1905.433552,241304.0,1895.0,1905.0,10.0,0.00527704485488,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,14508.0,27681264.0,0.00681341719078,1.0
C.DCE,2010/1/7,1908.0,1910.0,1921.0,1881.0,1898.0,162554.0,3094341500.0,0,-7.0,-0.00366876310273,2.096436059,1903.57758,228008.0,1905.0,1903.0,-2.0,-0.0010498687664,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-13296.0,-25235808.0,-0.00368809272919,0.0
C.DCE,2010/1/8,1898.0,1898.0,1927.0,1895.0,1925.0,605112.0,11592264800.0,0,22.0,0.0115911485774,1.685985248,1915.72218,298488.0,1903.0,1915.0,12.0,0.00630583289543,2010/1/8,2010/1/8,-25.0766818938,0.0,0.0,0.0,0.0,0.0,70480.0,135674000.0,0.0114285714286,1.0
C.DCE,2010/1/11,1925.0,1932.0,1936.0,1918.0,1921.0,242470.0,4668005300.0,0,6.0,0.00311688311688,0.935064935,1925.188807,305364.0,1915.0,1925.0,10.0,0.00522193211488,2010/1/11,2010/1/11,-24.8783421228,0.0,0.0,0.0,0.0,0.0,6876.0,13208796.0,0.0031233732431,0.0
C.DCE,2010/1/12,1921.0,1915.0,1922.0,1905.0,1908.0,195492.0,3741112100.0,0,-17.0,-0.00884955752212,0.884955752,1913.690637,288226.0,1925.0,1913.0,-12.0,-0.00623376623377,2010/1/12,2010/1/12,-24.761884879,0.0,0.0,0.0,0.0,0.0,-17138.0,-32699304.0,-0.00890985324948,0.0
C.DCE,2010/1/13,1908.0,1885.0,1896.0,1879.0,1887.0,217122.0,4102039900.0,0,-26.0,-0.0136268343816,0.890985325,1889.278793,230980.0,1913.0,1889.0,-24.0,-0.0125457396759,2010/1/13,2010/1/13,-24.9057235842,0.0,0.0,0.0,0.0,0.0,-57246.0,-108023202.0,-0.0137784843667,0.0
C.DCE,2010/1/14,1887.0,1898.0,1903.0,1892.0,1896.0,108336.0,2056089000.0,0,7.0,0.00370959194489,0.582935877,1897.881591,225416.0,1889.0,1897.0,8.0,0.00423504499735,2010/1/14,2010/1/14,-24.9194114138,0.0,0.0,0.0,0.0,0.0,-5564.0,-10549344.0,0.00369198312236,1.0
C.DCE,2010/1/15,1896.0,1894.0,1897.0,1890.0,1891.0,78334.0,1482887500.0,0,-6.0,-0.00316455696203,0.369198312,1893.031761,223028.0,1897.0,1893.0,-4.0,-0.0021085925145,2010/1/15,2010/1/15,-25.1518069902,-25.1881788622,0.0,0.0,0.0,0.0,-2388.0,-4515708.0,-0.00317292437864,0.0
C.DCE,2010/1/18,1891.0,1888.0,1897.0,1888.0,1896.0,65240.0,1235899800.0,0,3.0,0.00158646218932,0.475938657,1894.389638,227506.0,1893.0,1894.0,1.0,0.000528262017961,2010/1/18,2010/1/18,-25.322324583,-25.1745369526,0.0,0.0,0.0,0.0,4478.0,8490288.0,0.00158227848101,1.0
C.DCE,2010/1/19,1896.0,1898.0,1903.0,1894.0,1896.0,56094.0,1064751200.0,0,2.0,0.00105485232068,0.474683544,1898.155239,231082.0,1894.0,1898.0,4.0,0.00211193241816,2010/1/19,2010/1/19,-25.4040631725,-25.1574818045,0.0,0.0,0.0,0.0,3576.0,6780096.0,0.00105485232068,0.0
C.DCE,2010/1/20,1896.0,1896.0,1898.0,1888.0,1890.0,52456.0,992490100.0,0,-8.0,-0.0042194092827,0.52742616,1892.043046,224912.0,1898.0,1892.0,-6.0,-0.0031612223393,2010/1/20,2010/1/20,-25.3836352355,-25.2188659713,0.0,0.0,0.0,0.0,-6170.0,-11661300.0,-0.0042328042328,0.0
C.DCE,2010/1/21,1890.0,1891.0,1896.0,1888.0,1895.0,77808.0,1472242600.0,0,3.0,0.0015873015873,0.423280423,1892.148108,234780.0,1892.0,1892.0,0.0,0.0,2010/1/21,2010/1/21,-25.3904450456,-25.2290927939,0.0,0.0,0.0,0.0,9868.0,18699860.0,0.00158311345646,1.0
