heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
CF.CZC,2010/1/4,16520.0,16600.0,16845.0,16530.0,16610.0,498986.0,41703860500.0,0,85.0,0.00514527845036,1.906779661,16715.44312,265668.0,16525.0,16715.0,190.0,0.011497730711,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-2040.0,-33884400.0,0.00511739915713,1.0
CF.CZC,2010/1/5,16610.0,16650.0,16680.0,16485.0,16525.0,275464.0,22832321200.0,0,-190.0,-0.0114388922336,1.173991571,16577.35399,237418.0,16715.0,16575.0,-140.0,-0.00837571043972,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-28250.0,-466831250.0,-0.011497730711,0.0
CF.CZC,2010/1/6,16525.0,16280.0,16480.0,16190.0,16320.0,300808.0,24593451500.0,0,-255.0,-0.0154311649017,1.754916793,16351.59404,198944.0,16575.0,16350.0,-225.0,-0.0135746606335,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,-38474.0,-627895680.0,-0.015625,0.0
CF.CZC,2010/1/7,16320.0,16395.0,16500.0,15710.0,16035.0,313640.0,25391831700.0,0,-315.0,-0.0193014705882,4.840686275,16191.70495,161464.0,16350.0,16190.0,-160.0,-0.00978593272171,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-37480.0,-600991800.0,-0.0196445275959,0.0
CF.CZC,2010/1/8,16035.0,16030.0,16065.0,15800.0,15960.0,190082.0,15161567900.0,0,-230.0,-0.014343623324,1.652634861,15952.66033,146278.0,16190.0,15955.0,-235.0,-0.014515132798,2010/1/8,2010/1/8,-10.5208970931,0.0,0.0,0.0,0.0,0.0,-15186.0,-242368560.0,-0.0144110275689,0.0
CF.CZC,2010/1/11,15960.0,16060.0,16165.0,15985.0,16040.0,116288.0,9346423900.0,0,85.0,0.00532581453634,1.127819549,16074.61458,139556.0,15955.0,16075.0,120.0,0.0075211532435,2010/1/11,2010/1/11,-10.9346518534,0.0,0.0,0.0,0.0,0.0,-6722.0,-107820880.0,0.00529925187032,1.0
CF.CZC,2010/1/12,16040.0,16950.0,17045.0,16780.0,16875.0,284682.0,24107166600.0,0,-25.0,-0.00155860349127,1.652119701,16936.20714,156324.0,16900.0,16935.0,35.0,0.00207100591716,2010/1/12,2010/1/12,-10.6806009909,0.0,0.0,0.0,0.0,0.0,16768.0,282960000.0,-0.00148148148148,1.0
CF.CZC,2010/1/13,16875.0,16590.0,16640.0,16385.0,16425.0,234868.0,19418211600.0,0,-510.0,-0.0302222222222,1.511111111,16535.42552,139172.0,16935.0,16535.0,-400.0,-0.0236197224683,2010/1/13,2010/1/13,-10.6043798796,0.0,0.0,0.0,0.0,0.0,-17152.0,-281721600.0,-0.0310502283105,0.0
CF.CZC,2010/1/14,16425.0,16575.0,16625.0,16450.0,16465.0,163302.0,13501746000.0,0,-70.0,-0.00426179604262,1.065449011,16535.9224,137380.0,16535.0,16535.0,0.0,0.0,2010/1/14,2010/1/14,-10.2922162547,0.0,0.0,0.0,0.0,0.0,-1792.0,-29505280.0,-0.00425144245369,1.0
CF.CZC,2010/1/15,16465.0,16400.0,16520.0,16300.0,16325.0,207254.0,16996454900.0,0,-210.0,-0.0127543273611,1.336167628,16401.56996,134572.0,16535.0,16400.0,-135.0,-0.00816449954642,2010/1/15,2010/1/15,-10.0272253582,-10.4839266242,0.0,0.0,0.0,0.0,-2808.0,-45840600.0,-0.0128637059724,0.0
