heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
CS.DCE,2014/12/19,0,2800.0,2834.0,2784.0,2793.0,29124.0,817477300.0,0,-7.0,-0.25,0.0,2806.885387,4928.0,2800.0,2806.0,6.0,0.00214285714286,2014/12/19,2014/12/19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.00250626566416,1.0
CS.DCE,2014/12/22,2793,2795.0,2800.0,2727.0,2738.0,26170.0,721170100.0,0,-68.0,-0.0243465807376,2.61367705,2755.71303,8132.0,2806.0,2755.0,-51.0,-0.0181753385602,2014/12/22,2014/12/22,0.0,0.0,0.0,0.0,0.0,0.0,3204,8772552.0,-0.0248356464573,0.0
CS.DCE,2014/12/23,2738,2736.0,2760.0,2715.0,2740.0,18726.0,514200600.0,0,-15.0,-0.0054784514244,1.643535427,2745.917975,8664.0,2755.0,2745.0,-10.0,-0.00362976406534,2014/12/23,2014/12/23,0.0,0.0,0.0,0.0,0.0,0.0,532,1457680.0,-0.00547445255474,1.0
CS.DCE,2014/12/24,2740,2747.0,2760.0,2741.0,2752.0,8284.0,228018500.0,0,7.0,0.00255474452555,0.693430657,2752.5169,7722.0,2745.0,2752.0,7.0,0.00255009107468,2014/12/24,2014/12/24,0.0,0.0,0.0,0.0,0.0,0.0,-942,-2592384.0,0.00254360465116,1.0
CS.DCE,2014/12/25,2752,2750.0,2750.0,2665.0,2727.0,20260.0,551918200.0,0,-25.0,-0.00908430232558,3.088662791,2724.176703,8792.0,2752.0,2724.0,-28.0,-0.0101744186047,2014/12/25,2014/12/25,24.5378467247,0.0,0.0,0.0,0.0,0.0,1070,2917890.0,-0.00916758342501,0.0
CS.DCE,2014/12/26,2727,2727.0,2738.0,2718.0,2721.0,9158.0,249651400.0,0,-3.0,-0.001100110011,0.733406674,2726.047172,9116.0,2724.0,2726.0,2.0,0.000734214390602,2014/12/26,2014/12/26,24.0360843606,0.0,0.0,0.0,0.0,0.0,324,881604.0,-0.00110253583241,0.0
CS.DCE,2014/12/29,2721,2722.0,2737.0,2720.0,2731.0,5406.0,147539400.0,0,5.0,0.00183755972069,0.624770305,2729.17869,8528.0,2726.0,2729.0,3.0,0.001100513573,2014/12/29,2014/12/29,23.9867398183,0.0,0.0,0.0,0.0,0.0,-588,-1605828.0,0.00183083119736,1.0
CS.DCE,2014/12/30,2731,2727.0,2733.0,2710.0,2721.0,9056.0,246421500.0,0,-8.0,-0.00292932991578,0.842182351,2721.085468,8196.0,2729.0,2721.0,-8.0,-0.0029314767314,2014/12/30,2014/12/30,23.8523025235,0.0,0.0,0.0,0.0,0.0,-332,-903372.0,-0.00294009555311,0.0
CS.DCE,2014/12/31,2721,2728.0,2728.0,2708.0,2713.0,5280.0,143533500.0,0,-8.0,-0.00294009555311,0.735023888,2718.4375,7520.0,2721.0,2718.0,-3.0,-0.00110253583241,2014/12/31,2014/12/31,23.5740534825,0.0,0.0,0.0,0.0,0.0,-676,-1833988.0,-0.00294876520457,0.0
CS.DCE,2015/1/5,2713,2718.0,2718.0,2678.0,2684.0,13408.0,360861800.0,0,-34.0,-0.0125322521194,1.474382602,2691.391706,9790.0,2718.0,2691.0,-27.0,-0.00993377483444,2015/1/5,2015/1/5,23.2636840488,25.1067363841,0.0,0.0,0.0,0.0,2270,6092680.0,-0.0126676602086,0.0
CS.DCE,2015/1/6,2684,2689.0,2697.0,2624.0,2630.0,28882.0,766008900.0,0,-61.0,-0.0227272727273,2.719821162,2652.201717,14276.0,2691.0,2652.0,-39.0,-0.0144927536232,2015/1/6,2015/1/6,22.5944818067,24.5257368231,0.0,0.0,0.0,0.0,4486,11798180.0,-0.0231939163498,0.0
CS.DCE,2015/1/7,2630,2640.0,2651.0,2625.0,2643.0,16506.0,435739000.0,0,-9.0,-0.00342205323194,0.988593156,2639.882467,12144.0,2652.0,2639.0,-13.0,-0.00490196078431,2015/1/7,2015/1/7,21.9313932732,24.1803006186,0.0,0.0,0.0,0.0,-2132,-5634876.0,-0.00340522133939,1.0
CS.DCE,2015/1/8,2643,2640.0,2657.0,2636.0,2652.0,10858.0,287581100.0,0,13.0,0.00491865304578,0.794551646,2648.564192,12230.0,2639.0,2648.0,9.0,0.00341038272073,2015/1/8,2015/1/8,21.4005436476,23.8558368387,0.0,0.0,0.0,0.0,86,228072.0,0.00490196078431,1.0
CS.DCE,2015/1/9,2652,2652.0,2662.0,2637.0,2648.0,12278.0,325231100.0,0,0.0,0.0,0.942684766,2648.893142,12758.0,2648.0,2648.0,0.0,0.0,2015/1/9,2015/1/9,20.8917194583,23.4668245887,0.0,0.0,0.0,0.0,528,1398144.0,0.0,0.0
CS.DCE,2015/1/12,2648,2649.0,2660.0,2648.0,2658.0,8452.0,224281600.0,0,10.0,0.00377643504532,0.453172205,2653.592049,12546.0,2648.0,2653.0,5.0,0.00188821752266,2015/1/12,2015/1/12,20.6858222021,23.2054107228,0.0,0.0,0.0,0.0,-212,-563496.0,0.00376222723853,1.0
CS.DCE,2015/1/13,2658,2658.0,2661.0,2638.0,2658.0,10230.0,270753000.0,0,5.0,0.00188111361926,0.865312265,2646.656892,13294.0,2653.0,2646.0,-7.0,-0.00263852242744,2015/1/13,2015/1/13,20.9075017612,22.9644178844,0.0,0.0,0.0,0.0,748,1988184.0,0.00188111361926,0.0
CS.DCE,2015/1/14,2658,2646.0,2665.0,2646.0,2647.0,8676.0,230287300.0,0,1.0,0.000376222723853,0.714823175,2654.302674,12464.0,2646.0,2654.0,8.0,0.00302343159486,2015/1/14,2015/1/14,20.9390423693,22.6396664857,0.0,0.0,0.0,0.0,-830,-2197010.0,0.000377786173026,0.0
CS.DCE,2015/1/15,2647,2645.0,2663.0,2640.0,2662.0,7404.0,196509300.0,0,8.0,0.00302228938421,0.868908198,2654.096434,12536.0,2654.0,2654.0,0.0,0.0,2015/1/15,2015/1/15,21.0177538448,22.4092279884,0.0,0.0,0.0,0.0,72,191664.0,0.00300525920361,1.0
