heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
CU,20100104,60020.0,59690.0,60150.0,60710.0,59820.0,60030.0,60370.0,340,680.0,0.0113295568144,8621753.12,161040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113674356403,0.0
CU,20100105,60030.0,60370.0,60450.0,60670.0,59900.0,60590.0,60360.0,220,-10.0,-0.000166583374979,8158225.92,160152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016694490818,0.0
CU,20100106,60590.0,60360.0,60660.0,61940.0,60510.0,61630.0,61400.0,1270,1040.0,0.0171645486054,9736312.42,172100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171872417782,0.0
CU,20100107,61630.0,61400.0,62070.0,63450.0,60510.0,61170.0,61860.0,-230,460.0,0.00746389745254,18104545.56,159808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00760204924806,0.0
CU,20100108,61170.0,61860.0,61200.0,61460.0,59680.0,60690.0,60500.0,-1170,-1360.0,-0.0222331208109,16141655.06,155876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45181650783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0227882037534,0.0
CU,20100111,60690.0,60500.0,61550.0,62520.0,61530.0,62170.0,61990.0,1670,1490.0,0.0245509968693,9717879.9,156532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97813057914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242158296766,1.0
CU,20100112,62170.0,61990.0,61520.0,61850.0,61050.0,61700.0,61480.0,-290,-510.0,-0.00820331349525,8282071.12,151668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33048096861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00835380835381,0.0
CU,20100113,61700.0,61480.0,59500.0,60480.0,58770.0,59770.0,59860.0,-1710,-1620.0,-0.0262560777958,11370755.3,157426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7968555507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0275650842266,0.0
CU,20100114,59770.0,59860.0,61010.0,61240.0,60600.0,60750.0,60880.0,890,1020.0,0.0170654174335,5503808.55,150502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8245295421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168316831683,1.0
CU,20100115,60750.0,60880.0,60710.0,60960.0,60170.0,60510.0,60570.0,-370,-310.0,-0.00510288065844,4762838.43,148232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97506094816,4.88694737767,0.0,0.0,0.0,0.0,0.0,0.0,-0.00515206913744,0.0
