heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
CY.CZC,2017/8/18,0,22995,23330,22900,23050,78284,9048583000,0,50,0.217391304,0.0,23117.3241,7634,23000,23115,115,0.0,2017/8/18,2017/8/18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
CY.CZC,2017/8/21,23050,23005,23080,22910,22985,25088,2886650800,0,-130,-1.0,0.737527115,23012.20344,8476,23115,23010,-105,-1.0,2017/8/21,2017/8/21,0.0,0.0,0.0,0.0,0.0,0.0,842,19353370,-1.0,0
CY.CZC,2017/8/22,22985,23005,23095,22985,23080,13782,1588062800,0,70,0.0,0.478572982,23045.4622,7516,23010,23045,35,0.0,2017/8/22,2017/8/22,0.0,0.0,0.0,0.0,0.0,0.0,-960,-22156800,0.0,1
CY.CZC,2017/8/23,23080,23080,23155,23045,23070,9078,1048137000,0,25,0.0,0.47660312,23091.80436,6958,23045,23090,45,0.0,2017/8/23,2017/8/23,0.0,0.0,0.0,0.0,0.0,0.0,-558,-12873060,0.0,0
CY.CZC,2017/8/24,23070,23070,23120,23010,23050,4510,520075600,0,-40,-1.0,0.47680971,23063.21951,6420,23090,23065,-25,-1.0,2017/8/24,2017/8/24,-17.4114825705,0.0,0.0,0.0,0.0,0.0,-538,-12400900,-1.0,0
CY.CZC,2017/8/25,23050,23040,23095,23030,23050,3012,347255000,0,-15,-1.0,0.281995662,23058.10093,5830,23065,23060,-5,-1.0,2017/8/25,2017/8/25,-17.4114825705,0.0,0.0,0.0,0.0,0.0,-590,-13599500,-1.0,0
CY.CZC,2017/8/28,23050,23055,23100,23000,23075,3914,451322100,0,15,0.0,0.433839479,23061.93664,5684,23060,23060,0,0.0,2017/8/28,2017/8/28,-16.2039983397,0.0,0.0,0.0,0.0,0.0,-146,-3368950,0.0,1
CY.CZC,2017/8/29,23075,23100,23135,23035,23050,2572,296838600,0,-10,-1.0,0.433369447,23082.31726,5352,23060,23080,20,0.0,2017/8/29,2017/8/29,-16.6071930155,0.0,0.0,0.0,0.0,0.0,-332,-7652600,-1.0,0
CY.CZC,2017/8/30,23050,23025,23085,23005,23020,1842,212207900,0,-60,-1.0,0.347071584,23041.03149,5314,23080,23040,-40,-1.0,2017/8/30,2017/8/30,-17.27763884,0.0,0.0,0.0,0.0,0.0,-38,-874760,-1.0,0
CY.CZC,2017/8/31,23020,23030,23080,23020,23025,1784,205593300,0,-15,-1.0,0.260642919,23048.57623,4908,23040,23050,10,0.0,2017/8/31,2017/8/31,-17.6120877006,-19.1536438786,0.0,0.0,0.0,0.0,-406,-9348150,-1.0,1
CY.CZC,2017/9/1,23025,23020,23095,23020,23030,2186,252015800,0,-20,-1.0,0.325732899,23057.25526,4792,23050,23055,5,0.0,2017/9/1,2017/9/1,-17.8792537901,-19.3009769792,0.0,0.0,0.0,0.0,-116,-2671480,-1.0,1
CY.CZC,2017/9/4,23030,23055,23650,23040,23400,14420,1685393100,0,345,0.0,2.648719062,23375.77115,6228,23055,23375,320,0.0,2017/9/4,2017/9/4,-13.5015546952,-16.2198861225,0.0,0.0,0.0,0.0,1436,33602400,0.0,1
CY.CZC,2017/9/5,23400,23425,23575,23300,23495,5994,701107500,0,120,0.0,1.175213675,23393.64364,5966,23375,23395,20,0.0,2017/9/5,2017/9/5,-7.44878309895,-13.1005973943,0.0,0.0,0.0,0.0,-262,-6155690,0.0,1
CY.CZC,2017/9/6,23495,23535,23585,23330,23345,6078,712126100,0,-50,-1.0,1.085337306,23432.90885,5762,23395,23435,40,0.0,2017/9/6,2017/9/6,-3.05733392277,-11.0218466435,0.0,0.0,0.0,0.0,-204,-4762380,-1.0,0
CY.CZC,2017/9/7,23345,23365,23410,23215,23295,4074,474907500,0,-140,-1.0,0.835296637,23314.0648,5270,23435,23315,-120,-1.0,2017/9/7,2017/9/7,0.529038333428,-9.16735361405,0.0,0.0,0.0,0.0,-492,-11461140,-1.0,0
CY.CZC,2017/9/8,23295,23325,23340,23020,23080,5524,639309100,0,-235,-1.0,1.37368534,23146.60029,4380,23315,23145,-170,-1.0,2017/9/8,2017/9/8,1.18445036626,-8.94031592766,0.0,0.0,0.0,0.0,-890,-20541200,-1.0,0
CY.CZC,2017/9/11,23080,23105,24075,22530,23210,15894,1847527100,0,65,0.0,6.694107452,23248.10746,4024,23145,23250,105,0.0,2017/9/11,2017/9/11,-1.3214694177,-7.91917726412,0.0,0.0,0.0,0.0,-356,-8262760,0.0,1
CY.CZC,2017/9/12,23210,23165,23290,23130,23225,2178,252994800,0,-25,-1.0,0.689358035,23231.84573,3876,23250,23230,-20,-1.0,2017/9/12,2017/9/12,-4.94175247032,-6.59760712386,0.0,0.0,0.0,0.0,-148,-3437300,-1.0,1
CY.CZC,2017/9/13,23225,23190,23285,23050,23155,3018,349719500,0,-75,-1.0,1.011840689,23175.57985,3580,23230,23175,-55,-1.0,2017/9/13,2017/9/13,-7.51672640996,-5.5805916296,0.0,0.0,0.0,0.0,-296,-6853880,-1.0,0
CY.CZC,2017/9/14,23155,23125,23210,23080,23085,1432,165633300,0,-90,-1.0,0.561433816,23133.14246,3482,23175,23135,-40,-1.0,2017/9/14,2017/9/14,-10.3744283836,-5.12947257702,-12.3983605223,0.0,0.0,0.0,-98,-2262330,-1.0,0
CY.CZC,2017/9/15,23085,23075,23120,23020,23050,1498,172797200,0,-85,-1.0,0.43318172,23070.38718,3390,23135,23070,-65,-1.0,2017/9/15,2017/9/15,-10.7828569558,-4.97923631026,-12.3983605223,0.0,0.0,0.0,-92,-2120600,-1.0,0
CY.CZC,2017/9/18,23050,23030,23095,22880,23080,1904,219393000,0,10,0.0,0.932754881,23045.48319,3038,23070,23045,-25,-1.0,2017/9/18,2017/9/18,-12.5512169011,-7.39019277905,-12.0092445966,0.0,0.0,0.0,-352,-8124160,0.0,1
CY.CZC,2017/9/19,23080,23160,23200,23035,23095,1962,226619500,0,50,0.0,0.714904679,23100.86646,2674,23045,23100,55,0.0,2017/9/19,2017/9/19,-14.3145639063,-10.4163458656,-11.9477867774,0.0,0.0,0.0,-364,-8406580,0.0,1
CY.CZC,2017/9/20,23095,23085,23390,23070,23385,3342,388684500,0,285,0.0,1.385581295,23260.59246,2334,23100,23260,160,0.0,2017/9/20,2017/9/20,-11.1912034696,-10.1135507804,-10.6563278697,0.0,0.0,0.0,-340,-7950900,0.0,1
CY.CZC,2017/9/21,23385,23390,23390,23210,23210,1426,166069000,0,-50,-1.0,0.769724182,23291.58485,2034,23260,23290,30,0.0,2017/9/21,2017/9/21,-9.48942228344,-10.7569607988,-10.0,0.0,0.0,0.0,-300,-6963000,-1.0,0
CY.CZC,2017/9/22,23210,23235,23280,23125,23155,1880,218055400,0,-135,-1.0,0.667815597,23197.38298,1952,23290,23195,-95,-1.0,2017/9/22,2017/9/22,-8.06051632939,-10.1892508464,-9.56927377275,0.0,0.0,0.0,-82,-1898710,-1.0,0
CY.CZC,2017/9/25,23155,23145,23245,23135,23235,974,112994300,0,40,0.0,0.475059382,23202.11499,1880,23195,23200,5,0.0,2017/9/25,2017/9/25,-5.95625556935,-10.0,-8.91304244251,0.0,0.0,0.0,-72,-1672920,0.0,1
CY.CZC,2017/9/26,23235,23255,23370,23205,23320,1508,175639000,0,120,0.0,0.710135571,23294.29708,1952,23200,23295,95,0.0,2017/9/26,2017/9/26,-2.92328345752,-9.2808830338,-7.80641118561,0.0,0.0,0.0,72,1679040,0.0,1
CY.CZC,2017/9/27,23320,23300,23310,23085,23105,1778,205937400,0,-190,-1.0,0.96483705,23165.06187,1910,23295,23165,-130,-1.0,2017/9/27,2017/9/27,-6.70193965362,-9.65935133851,-7.45833663748,0.0,0.0,0.0,-42,-970410,-1.0,0
CY.CZC,2017/9/28,23105,23080,23145,22860,22900,1928,221866200,0,-265,-1.0,1.233499243,23015.16598,2080,23165,23015,-150,-1.0,2017/9/28,2017/9/28,-10.9189836913,-11.0596840723,-7.97027051788,-10.8419826328,0.0,0.0,170,3893000,-1.0,0
CY.CZC,2017/9/29,22900,22845,23010,22845,22920,1072,123035600,0,-95,-1.0,0.720524017,22954.40299,1848,23015,22955,-60,-1.0,2017/9/29,2017/9/29,-14.1114673903,-12.0430229923,-8.42105226421,-11.3283145996,0.0,0.0,-232,-5317440,-1.0,1
CY.CZC,2017/10/9,22920,23055,23055,22860,22960,582,66693100,0,5,0.0,0.85078534,22918.59107,1820,22955,22920,-35,-1.0,2017/10/9,2017/10/9,-17.8124957671,-12.9496317241,-10.2256216808,-11.4218195685,0.0,0.0,-28,-642880,0.0,1
CY.CZC,2017/10/10,22960,22980,22995,22920,22935,658,75505400,0,15,0.0,0.326655052,22949.9696,1796,22920,22950,30,0.0,2017/10/10,2017/10/10,-22.8732532827,-14.1559884262,-12.5211934979,-11.9639780433,0.0,0.0,-24,-550440,0.0,0
CY.CZC,2017/10/11,22935,22995,23000,22900,22910,604,69289300,0,-40,-1.0,0.436014825,22943.47682,1732,22950,22945,-5,-1.0,2017/10/11,2017/10/11,-25.3597446751,-17.7106687903,-14.2989918735,-12.5617965289,0.0,0.0,-64,-1466240,-1.0,0
CY.CZC,2017/10/12,22910,22900,22965,22860,22925,1104,126495800,0,-20,-1.0,0.458315146,22915.9058,1736,22945,22915,-30,-1.0,2017/10/12,2017/10/12,-25.044374839,-19.8155941271,-15.8045393897,-13.0284480288,0.0,0.0,4,91700,-1.0,1
CY.CZC,2017/10/13,22925,22940,23010,22910,22940,826,94787100,0,25,0.0,0.436205016,22950.87167,1650,22915,22950,35,0.0,2017/10/13,2017/10/13,-24.7913279461,-21.3852334212,-16.3721459967,-13.4387596736,0.0,0.0,-86,-1972840,0.0,1
CY.CZC,2017/10/16,22940,23000,23110,22925,23060,980,112913300,0,110,0.0,0.806451613,23043.53061,1596,22950,23045,95,0.0,2017/10/16,2017/10/16,-23.516447436,-22.6493573164,-16.9788400828,-13.4946839294,0.0,0.0,-54,-1245240,0.0,1
CY.CZC,2017/10/17,23060,23005,23070,22990,23000,404,46509400,0,-45,-1.0,0.346921075,23024.45545,1540,23045,23025,-20,-1.0,2017/10/17,2017/10/17,-22.679582353,-24.9251963423,-17.8857567704,-13.6810476522,0.0,0.0,-56,-1288000,-1.0,0
CY.CZC,2017/10/18,23000,22990,23080,22990,23015,332,38253300,0,-10,-1.0,0.391304348,23044.15663,1518,23025,23045,20,0.0,2017/10/18,2017/10/18,-21.3151579597,-25.5561491964,-18.4479878574,-13.6996796501,0.0,0.0,-22,-506330,-1.0,1
