heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
FG.CZC,2012/12/3,0,1373,1385,1314,1318,694116,18549367400.0,0,-102,-7.183098592,0.0,1336.186416,82472,1420,1336,-84,-1.0,2012/12/3,2012/12/3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,1
FG.CZC,2012/12/4,1318,1309,1326,1296,1311,1373086,35994604600.0,0,-25,-1.0,2.276176024,1310.719234,168662,1336,1311,-25,-1.0,2012/12/4,2012/12/4,0.0,0.0,0.0,0.0,0.0,0.0,86190,112995090,-1.0,0
FG.CZC,2012/12/5,1311,1313,1345,1311,1331,1526540,40485230500.0,0,20,0.0,2.593440122,1326.045518,148090,1311,1326,15,0.0,2012/12/5,2012/12/5,0.0,0.0,0.0,0.0,0.0,0.0,-20572,-27381332,0.0,1
FG.CZC,2012/12/6,1331,1333,1338,1320,1325,1005208,26739383600.0,0,-1,-1.0,1.352366642,1330.04232,166778,1326,1330,4,0.0,2012/12/6,2012/12/6,0.0,0.0,0.0,0.0,0.0,0.0,18688,24761600,-1.0,0
FG.CZC,2012/12/7,1325,1322,1340,1319,1331,903684,24017489700.0,0,1,0.0,1.58490566,1328.865494,136784,1330,1329,-1,-1.0,2012/12/7,2012/12/7,-5.89160025726,0.0,0.0,0.0,0.0,0.0,-29994,-39922014,0.0,1
FG.CZC,2012/12/10,1331,1331,1344,1331,1336,631448,16885316100.0,0,7,0.0,0.976709241,1337.031402,148746,1329,1337,8,0.0,2012/12/10,2012/12/10,-5.71906523933,0.0,0.0,0.0,0.0,0.0,11962,15981232,0.0,1
FG.CZC,2012/12/11,1336,1335,1337,1286,1293,1624386,42624965000.0,0,-44,-1.0,3.817365269,1312.033131,305548,1337,1312,-25,-1.0,2012/12/11,2012/12/11,-5.89160025726,0.0,0.0,0.0,0.0,0.0,156802,202744986,-1.0,0
FG.CZC,2012/12/12,1293,1289,1306,1283,1299,1755162,45460746300.0,0,-13,-1.0,1.778808971,1295.058413,223502,1312,1295,-17,-1.0,2012/12/12,2012/12/12,-6.19851828355,0.0,0.0,0.0,0.0,0.0,-82046,-106577754,-1.0,1
FG.CZC,2012/12/13,1299,1297,1312,1282,1289,1986856,51497688300.0,0,-6,-1.0,2.309468822,1295.959252,306244,1295,1296,1,0.0,2012/12/13,2012/12/13,-6.54407093783,0.0,0.0,0.0,0.0,0.0,82742,106654438,-1.0,0
FG.CZC,2012/12/14,1289,1287,1315,1283,1304,1926362,49976734300.0,0,8,0.0,2.482544608,1297.179198,239266,1296,1297,1,0.0,2012/12/14,2012/12/14,-6.80340798821,-6.48237735987,0.0,0.0,0.0,0.0,-66978,-87339312,0.0,1
FG.CZC,2012/12/17,1304,1307,1335,1307,1327,1997146,52844025700.0,0,30,0.0,2.147239264,1322.988547,230150,1297,1323,26,0.0,2012/12/17,2012/12/17,-6.88988437639,-6.43941828713,0.0,0.0,0.0,0.0,-9116,-12096932,0.0,1
FG.CZC,2012/12/18,1327,1328,1339,1316,1325,1888574,50064696400.0,0,2,0.0,1.733232856,1325.462926,239250,1323,1325,2,0.0,2012/12/18,2012/12/18,-6.58248224972,-6.3726013306,0.0,0.0,0.0,0.0,9100,12057500,0.0,0
FG.CZC,2012/12/19,1325,1324,1353,1318,1351,2774384,74283228400.0,0,26,0.0,2.641509434,1338.733723,419230,1325,1339,14,0.0,2012/12/19,2012/12/19,-6.08339649999,-6.27716632816,0.0,0.0,0.0,0.0,179980,243152980,0.0,1
FG.CZC,2012/12/20,1351,1348,1356,1342,1350,2593940,69976543200.0,0,11,0.0,1.03626943,1348.846604,391226,1339,1349,10,0.0,2012/12/20,2012/12/20,-5.49872163084,-6.15790276653,0.0,0.0,0.0,0.0,-28004,-37805400,0.0,0
FG.CZC,2012/12/21,1350,1345,1354,1330,1336,1961266,52507654400.0,0,-13,-1.0,1.777777778,1338.616343,278578,1349,1339,-10,-1.0,2012/12/21,2012/12/21,-5.19238830209,-6.134054165,0.0,0.0,0.0,0.0,-112648,-150497728,-1.0,0
