heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
HC,20140321,3316.0,3316.0,3252.0,3336.0,3230.0,3324.0,3300.0,8,-16.0,-0.00482509047045,619004.02,52030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00495356037152,0.0
HC,20140324,3324.0,3300.0,3314.0,3330.0,3266.0,3330.0,3304.0,30,4.0,0.00120336943442,286857.78,47616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012247397428,0.0
HC,20140325,3330.0,3304.0,3326.0,3400.0,3320.0,3378.0,3358.0,74,54.0,0.0162162162162,402611.43,61256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016265060241,0.0
HC,20140326,3378.0,3358.0,3370.0,3382.0,3354.0,3376.0,3368.0,18,10.0,0.00296033155713,127606.69,60560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00298151460942,0.0
HC,20140327,3376.0,3368.0,3368.0,3386.0,3350.0,3362.0,3364.0,-6,-4.0,-0.00118483412322,135364.98,61430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.338902620317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00119402985075,0.0
HC,20140328,3362.0,3364.0,3376.0,3386.0,3360.0,3382.0,3372.0,18,8.0,0.00237953599048,115673.84,63080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189473846887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00238095238095,0.0
HC,20140331,3382.0,3372.0,3396.0,3422.0,3382.0,3410.0,3402.0,38,30.0,0.00887049083383,207475.02,65640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659378996213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00887049083383,0.0
HC,20140401,3410.0,3402.0,3412.0,3418.0,3396.0,3414.0,3406.0,12,4.0,0.00117302052786,60984.52,64136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966412789502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117785630153,0.0
HC,20140402,3414.0,3406.0,3410.0,3426.0,3388.0,3390.0,3404.0,-16,-2.0,-0.000585823081429,97274.42,68700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10355014376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000590318772137,0.0
HC,20140403,3390.0,3404.0,3384.0,3414.0,3382.0,3410.0,3398.0,6,-6.0,-0.00176991150442,70374.1,68410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23249437726,0.567001434725,0.0,0.0,0.0,0.0,0.0,0.0,-0.00177409816677,0.0
HC,20140404,3410.0,3398.0,3412.0,3440.0,3402.0,3440.0,3422.0,42,24.0,0.00703812316716,73132.9,70094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4015456516,0.919049155658,0.0,0.0,0.0,0.0,0.0,0.0,0.00705467372134,0.0
HC,20140408,3440.0,3422.0,3450.0,3488.0,3442.0,3480.0,3468.0,58,46.0,0.0133720930233,139763.12,80872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64267163977,1.27835976849,0.0,0.0,0.0,0.0,0.0,0.0,0.013364323068,1.0
HC,20140409,3480.0,3468.0,3488.0,3488.0,3444.0,3452.0,3462.0,-16,-6.0,-0.00172413793103,113911.15,81834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83524881441,1.5309334581,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174216027875,0.0
HC,20140410,3452.0,3462.0,3450.0,3470.0,3442.0,3446.0,3456.0,-16,-6.0,-0.00173812282735,67862.72,81232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05154828431,1.70988356031,0.0,0.0,0.0,0.0,0.0,0.0,-0.00174317257408,0.0
HC,20140411,3446.0,3456.0,3430.0,3452.0,3430.0,3434.0,3440.0,-22,-16.0,-0.00464306442252,45076.6,76840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24349858056,1.87234897162,0.0,0.0,0.0,0.0,0.0,0.0,-0.00466472303207,0.0
HC,20140414,3434.0,3440.0,3432.0,3464.0,3432.0,3438.0,3446.0,-2,6.0,0.00174723354688,43570.27,77020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36331447478,2.01838925485,0.0,0.0,0.0,0.0,0.0,0.0,0.00174825174825,0.0
HC,20140415,3438.0,3446.0,3442.0,3448.0,3418.0,3448.0,3430.0,2,-16.0,-0.00465386852821,71119.02,75524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26747122902,2.09134531488,0.0,0.0,0.0,0.0,0.0,0.0,-0.00468110005851,0.0
HC,20140416,3448.0,3430.0,3446.0,3446.0,3410.0,3418.0,3418.0,-12,-12.0,-0.00348027842227,63399.1,68152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13156398343,2.11970550455,0.0,0.0,0.0,0.0,0.0,0.0,-0.00351906158358,0.0
HC,20140417,3418.0,3418.0,3428.0,3428.0,3410.0,3412.0,3418.0,-6,0.0,0.0,19112.18,67404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00351405235,2.16425832994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC,20140418,3412.0,3418.0,3410.0,3412.0,3346.0,3354.0,3370.0,-64,-48.0,-0.0140679953107,174502.52,66498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66675963021,2.09134531488,1.69938644991,0.0,0.0,0.0,0.0,0.0,-0.0143454871488,0.0
HC,20140421,3354.0,3370.0,3340.0,3364.0,3340.0,3340.0,3350.0,-30,-20.0,-0.00596302921884,27784.83,64836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29692016652,1.9656721338,1.81381090134,0.0,0.0,0.0,0.0,0.0,-0.0059880239521,0.0
HC,20140422,3340.0,3350.0,3340.0,3366.0,3324.0,3354.0,3344.0,4,-6.0,-0.00179640718563,80130.26,60950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917978676433,1.72613942839,1.87410233302,0.0,0.0,0.0,0.0,0.0,-0.00180505415162,0.0
HC,20140423,3354.0,3344.0,3358.0,3388.0,3336.0,3380.0,3358.0,36,14.0,0.00417412045319,66637.44,58920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618929964813,1.50651203037,1.89072938864,0.0,0.0,0.0,0.0,0.0,0.00419664268585,0.0
HC,20140424,3380.0,3358.0,3376.0,3396.0,3366.0,3390.0,3380.0,32,22.0,0.00650887573964,42766.44,58086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440818639983,1.35173734337,1.90319824004,0.0,0.0,0.0,0.0,0.0,0.00653594771242,0.0
HC,20140425,3390.0,3380.0,3398.0,3400.0,3372.0,3378.0,3382.0,-2,2.0,0.000589970501475,28979.22,58570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546092856776,1.23349805171,1.92605459015,0.0,0.0,0.0,0.0,0.0,0.000593119810202,0.0
HC,20140428,3378.0,3382.0,3372.0,3372.0,3334.0,3336.0,3342.0,-46,-40.0,-0.0118413262285,58015.15,56630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52180561135,1.03347803344,1.8990420935,0.0,0.0,0.0,0.0,0.0,-0.0119976004799,0.0
HC,20140429,3336.0,3342.0,3334.0,3374.0,3334.0,3360.0,3358.0,18,16.0,0.00479616306954,29335.9,55692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.562282077211,0.861799172831,1.84915764026,0.0,0.0,0.0,0.0,0.0,0.00479904019196,0.0
HC,20140430,3360.0,3358.0,3370.0,3370.0,3338.0,3344.0,3344.0,-14,-14.0,-0.00416666666667,33284.81,55210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570376003477,0.714477125796,1.78885432899,0.0,0.0,0.0,0.0,0.0,-0.00419412822049,0.0
HC,20140505,3344.0,3344.0,3334.0,3362.0,3224.0,3352.0,3340.0,8,-4.0,-0.0011961722488,38652.2,53726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00540706652682,0.333188945382,1.61818713949,0.0,0.0,0.0,0.0,0.0,-0.00124069478908,0.0
HC,20140506,3352.0,3340.0,3342.0,3364.0,3336.0,3344.0,3350.0,4,10.0,0.00298329355609,15818.94,52980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.151731556561,0.312661208348,1.57027641775,1.28018024485,0.0,0.0,0.0,0.0,0.00299760191847,0.0
HC,20140507,3344.0,3350.0,3338.0,3358.0,3330.0,3332.0,3340.0,-18,-10.0,-0.00299043062201,31841.78,52784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.167998401448,0.292130613318,1.4952502476,1.34902941802,0.0,0.0,0.0,0.0,-0.003003003003,0.0
HC,20140508,3332.0,3340.0,3330.0,3338.0,3310.0,3312.0,3320.0,-28,-20.0,-0.00600240096038,44166.62,49644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.265635155064,0.26338298917,1.35759062546,1.37931175404,0.0,0.0,0.0,0.0,-0.00604229607251,0.0
HC,20140509,3312.0,3320.0,3312.0,3330.0,3302.0,3318.0,3318.0,-2,-2.0,-0.0006038647343,31903.26,49350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.412204011577,0.193544145081,1.20934252508,1.36692436235,0.0,0.0,0.0,0.0,-0.000605693519079,0.0
HC,20140512,3318.0,3318.0,3332.0,3336.0,3298.0,3336.0,3316.0,18,-2.0,-0.000602772754671,38193.1,48264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.111071915973,0.0537686476709,1.05883940538,1.3283784061,0.0,0.0,0.0,0.0,-0.000606428138266,0.0
HC,20140513,3336.0,3316.0,3336.0,3346.0,3320.0,3326.0,3332.0,10,16.0,0.00479616306954,22306.11,47826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.176132462968,-0.0532056197036,0.943759754491,1.30772418599,0.0,0.0,0.0,0.0,0.00481927710843,0.0
HC,20140514,3326.0,3332.0,3326.0,3330.0,3314.0,3324.0,3318.0,-8,-14.0,-0.00420926037282,25706.17,45016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.241220248401,-0.0943694905272,0.820204033005,1.27604816341,0.0,0.0,0.0,0.0,-0.00422450211225,0.0
HC,20140515,3324.0,3318.0,3324.0,3328.0,3298.0,3300.0,3312.0,-18,-6.0,-0.00180505415162,15458.96,44738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.290053858692,-0.168492150231,0.694442132532,1.21818562765,0.0,0.0,0.0,0.0,-0.0018192844148,0.0
HC,20140516,3300.0,3312.0,3294.0,3300.0,3240.0,3272.0,3272.0,-40,-40.0,-0.0121212121212,38933.24,44178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.542600595711,-0.370449039444,0.516088500571,1.11066060688,0.0,0.0,0.0,0.0,-0.0123456790123,0.0
HC,20140519,3272.0,3272.0,3262.0,3284.0,3250.0,3264.0,3268.0,-8,-4.0,-0.00122249388753,24199.87,43860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.738392007774,-0.316843374067,0.348024629557,1.01547129438,0.0,0.0,0.0,0.0,-0.00123076923077,0.0
HC,20140520,3264.0,3268.0,3260.0,3276.0,3254.0,3262.0,3264.0,-6,-4.0,-0.00122549019608,10535.34,43792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.00798248741,-0.485968725696,0.251300554002,0.927120646243,0.840194708258,0.0,0.0,0.0,-0.00122925629994,0.0
HC,20140521,3262.0,3264.0,3264.0,3284.0,3254.0,3274.0,3266.0,10,2.0,0.000613120784795,16581.61,44056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25343445846,-0.642877973442,0.16082752266,0.824894872249,0.852541559543,0.0,0.0,0.0,0.000614628149969,0.0
HC,20140522,3274.0,3266.0,3272.0,3314.0,3272.0,3280.0,3292.0,14,26.0,0.00794135613928,18669.09,44030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35990389771,-0.721389149055,0.106096357283,0.707381117589,0.855628101586,0.0,0.0,0.0,0.00794621026895,0.0
HC,20140523,3280.0,3292.0,3286.0,3294.0,3276.0,3282.0,3284.0,-10,-8.0,-0.00243902439024,8139.51,43846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21250175914,-0.77512882969,0.0429203195155,0.591153923323,0.83299187393,0.0,0.0,0.0,-0.002442002442,0.0
HC,20140526,3282.0,3284.0,3288.0,3330.0,3286.0,3326.0,3316.0,42,32.0,0.00975015234613,21644.82,43958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06522348771,-0.799937621202,-0.0413552903457,0.483144124908,0.798001400187,0.0,0.0,0.0,0.00973828362751,1.0
HC,20140527,3326.0,3316.0,3332.0,3370.0,3320.0,3340.0,3348.0,24,32.0,0.00962116656645,57655.08,47808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.795541682862,-0.799937621202,-0.0961593372368,0.406934865558,0.782561648055,0.0,0.0,0.0,0.00963855421687,0.0
HC,20140528,3340.0,3348.0,3300.0,3342.0,3300.0,3312.0,3324.0,-36,-24.0,-0.00718562874251,22241.36,47400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.60783836911,-0.828885873122,-0.13200330052,0.315431242588,0.751677052711,0.0,0.0,0.0,-0.00727272727273,0.0
HC,20140529,3312.0,3324.0,3308.0,3324.0,3300.0,3308.0,3310.0,-16,-14.0,-0.0042270531401,18857.4,47004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.493689491179,-0.824750101721,-0.167855570121,0.233584424746,0.709457156385,0.0,0.0,0.0,-0.00424242424242,0.0
HC,20140530,3308.0,3310.0,3300.0,3300.0,3252.0,3264.0,3270.0,-46,-40.0,-0.0120918984281,38903.97,46412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.591526473133,-0.799937621202,-0.258577604484,0.123922403648,0.635284429586,0.0,0.0,0.0,-0.0123001230012,0.0
HC,20140603,3264.0,3270.0,3256.0,3290.0,3246.0,3268.0,3270.0,-2,0.0,0.0,37597.26,45992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.754718480569,-0.808208038626,-0.235364627188,0.0100114170722,0.562104069233,0.0,0.0,0.0,0.0,0.0
HC,20140604,3268.0,3270.0,3268.0,3276.0,3260.0,3262.0,3268.0,-8,-2.0,-0.000611995104039,25572.15,46136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999806762496,-0.795802566177,-0.315569459487,-0.0497565234137,0.499201003632,0.0,0.0,0.0,-0.000613496932515,0.0
HC,20140605,3262.0,3268.0,3268.0,3284.0,3252.0,3270.0,3264.0,2,-4.0,-0.00122624156959,42621.2,44186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.19613135315,-0.799937621202,-0.39792732829,-0.110938541751,0.421823663271,0.0,0.0,0.0,-0.00123001230012,0.0
HC,20140606,3270.0,3264.0,3276.0,3282.0,3260.0,3282.0,3270.0,18,6.0,0.00183486238532,17045.06,43436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35990389771,-0.824750101721,-0.450743255006,-0.15544980132,0.32788400527,0.0,0.0,0.0,0.00184049079755,0.0
HC,20140609,3282.0,3270.0,3278.0,3282.0,3254.0,3262.0,3266.0,-8,-4.0,-0.00121876904327,36146.47,39938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35171167456,-0.8702491987,-0.501462922155,-0.212498517304,0.229751148739,0.0,0.0,0.0,-0.00122925629994,0.0
HC,20140610,3262.0,3266.0,3262.0,3272.0,3230.0,3268.0,3252.0,2,-14.0,-0.00429184549356,28927.29,39432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41725997133,-0.986120482328,-0.573343085398,-0.307161827598,0.120179108132,0.0,0.0,0.0,-0.00433436532508,0.0
HC,20140611,3268.0,3252.0,3270.0,3278.0,3254.0,3260.0,3262.0,8,10.0,0.0030599755202,17265.44,39396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44184675795,-1.12278411756,-0.643139537721,-0.38934224495,0.0291529664078,0.0,0.0,0.0,0.00307314074985,0.0
HC,20140612,3260.0,3262.0,3252.0,3256.0,3230.0,3246.0,3244.0,-16,-18.0,-0.00552147239264,38985.19,39652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53202693204,-1.26784817409,-0.732014373618,-0.461807643618,-0.0753874102792,0.0,0.0,0.0,-0.00557275541796,0.0
HC,20140613,3246.0,3244.0,3238.0,3258.0,3230.0,3248.0,3246.0,4,2.0,0.000616142945163,42187.06,40670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.65507173174,-1.4130315922,-0.803995653704,-0.534305773405,-0.172746332913,0.0,0.0,0.0,0.00061919504644,0.0
HC,20140616,3248.0,3246.0,3250.0,3250.0,3216.0,3226.0,3228.0,-20,-18.0,-0.00554187192118,60397.34,45438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81104578726,-1.48774320147,-0.829408236639,-0.619393053059,-0.273276432605,0.0,0.0,0.0,-0.00559701492537,0.0
HC,20140617,3226.0,3228.0,3218.0,3246.0,3208.0,3238.0,3230.0,10,2.0,0.000619962802232,25471.45,44160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90140562268,-1.56663886497,-0.873889532602,-0.630555336704,-0.378020481054,0.0,0.0,0.0,0.000623441396509,0.0
HC,20140618,3238.0,3230.0,3240.0,3276.0,3232.0,3264.0,3258.0,34,28.0,0.00864731315627,62222.35,45192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.99180819823,-1.62479429132,-0.897193955198,-0.703128703593,-0.437163984738,1.21545395295,0.0,0.0,0.00866336633663,0.0
HC,20140619,3264.0,3258.0,3266.0,3280.0,3260.0,3264.0,3272.0,6,14.0,0.00428921568627,56134.54,47470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8685425312,-1.60817657824,-0.890837884081,-0.751994157775,-0.478681259432,1.22578013965,0.0,0.0,0.00429447852761,0.0
HC,20140620,3264.0,3272.0,3270.0,3286.0,3254.0,3278.0,3270.0,6,-2.0,-0.000612745098039,62439.3,50848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76998738905,-1.62063972257,-0.909906815392,-0.791096888503,-0.51501767106,1.2216497602,0.0,0.0,-0.000614628149969,0.0
HC,20140623,3278.0,3270.0,3282.0,3304.0,3278.0,3298.0,3292.0,28,22.0,0.00671140939597,28790.02,49562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51562720364,-1.57079221309,-0.907787938921,-0.807858012478,-0.545131180355,1.20719243246,0.0,0.0,0.00671140939597,0.0
HC,20140624,3298.0,3292.0,3300.0,3300.0,3278.0,3282.0,3282.0,-10,-10.0,-0.00303214069133,21408.59,48822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22887369436,-1.47113795066,-0.916263604147,-0.821826900942,-0.590831326338,1.18102760581,0.0,0.0,-0.00305064063453,0.0
HC,20140625,3282.0,3282.0,3290.0,3292.0,3272.0,3288.0,3284.0,6,2.0,0.000609384521633,22351.65,49218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06522348771,-1.43378171238,-0.967126500707,-0.855356989305,-0.642778875606,1.15416895322,0.0,0.0,0.000611246943765,0.0
HC,20140626,3288.0,3284.0,3296.0,3320.0,3288.0,3320.0,3310.0,36,26.0,0.00790754257908,37902.88,45718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.950760641012,-1.3134644771,-0.979844604078,-0.873521917558,-0.666680285658,1.12937161589,0.0,0.0,0.00790754257908,0.0
HC,20140627,3320.0,3310.0,3322.0,3328.0,3302.0,3304.0,3314.0,-6,4.0,0.00120481927711,15956.2,46066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.754718480569,-1.16421869931,-0.977724854238,-0.870727185499,-0.683309404974,1.10181369959,0.0,0.0,0.00121138703816,0.0
HC,20140630,3304.0,3314.0,3300.0,3308.0,3286.0,3286.0,3290.0,-28,-24.0,-0.00726392251816,16235.45,44760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.722067143717,-1.01924107416,-0.941693146461,-0.838591106724,-0.710335305576,1.06391244555,0.0,0.0,-0.00730371272063,0.0
HC,20140701,3286.0,3290.0,3288.0,3296.0,3276.0,3294.0,3282.0,4,-8.0,-0.00243457090688,12885.54,44460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.730229374483,-0.878523085851,-0.909906815392,-0.820429959575,-0.683309404974,1.02531126116,0.0,0.0,-0.002442002442,0.0
HC,20140702,3294.0,3282.0,3294.0,3312.0,3278.0,3308.0,3298.0,26,16.0,0.00485731633273,24322.94,43246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.705743891126,-0.783398016379,-0.890837884081,-0.803667573661,-0.713453963619,0.989457562943,0.0,0.0,0.00488102501525,0.0
