heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
I.DCE,2013/10/18,0.0,978.0,984.0,962.0,977.0,300818.0,29345529200.0,0,17.0,1.770833333,0.0,975.5243769,65042.0,960.0,975.0,15.0,0.015625,2013/10/18,2013/10/18,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0174002047083,1.0
I.DCE,2013/10/21,977.0,976.0,977.0,960.0,969.0,95432.0,9230707200.0,0,-6.0,-0.00614124872057,1.740020471,967.254925,68130.0,975.0,967.0,-8.0,-0.00820512820513,2013/10/21,2013/10/21,0.0,0.0,0.0,0.0,0.0,0.0,3088,2992272.0,-0.0061919504644,0.0
I.DCE,2013/10/22,969.0,963.0,966.0,948.0,948.0,91296.0,8728862400.0,0,-19.0,-0.0196078431373,1.857585139,956.1056782,76004.0,967.0,956.0,-11.0,-0.0113753877973,2013/10/22,2013/10/22,0.0,0.0,0.0,0.0,0.0,0.0,7874,7464552.0,-0.0200421940928,0.0
I.DCE,2013/10/23,948.0,949.0,953.0,936.0,939.0,116490.0,11000123000.0,0,-17.0,-0.0179324894515,1.793248945,944.2976221,81162.0,956.0,944.0,-12.0,-0.0125523012552,2013/10/23,2013/10/23,0.0,0.0,0.0,0.0,0.0,0.0,5158,4843362.0,-0.0181043663472,0.0
I.DCE,2013/10/24,939.0,938.0,939.0,916.0,926.0,169028.0,15687645400.0,0,-18.0,-0.0191693290735,2.449414271,928.1092718,87872.0,944.0,928.0,-16.0,-0.0169491525424,2013/10/24,2013/10/24,26.7523767365,0.0,0.0,0.0,0.0,0.0,6710,6213460.0,-0.0194384449244,0.0
I.DCE,2013/10/25,926.0,928.0,936.0,917.0,918.0,104060.0,9647274400.0,0,-10.0,-0.0107991360691,2.051835853,927.0876802,86472.0,928.0,927.0,-1.0,-0.0010775862069,2013/10/25,2013/10/25,26.1407924751,0.0,0.0,0.0,0.0,0.0,-1400,-1285200.0,-0.0108932461874,0.0
I.DCE,2013/10/28,918.0,920.0,928.0,917.0,923.0,83790.0,7727837400.0,0,-4.0,-0.00435729847495,1.198257081,922.2863588,93480.0,927.0,922.0,-5.0,-0.00539374325782,2013/10/28,2013/10/28,25.6508155816,0.0,0.0,0.0,0.0,0.0,7008,6468384.0,-0.00433369447454,1.0
I.DCE,2013/10/29,923.0,924.0,925.0,913.0,921.0,105876.0,9710710600.0,0,-1.0,-0.00108342361863,1.300108342,917.1776984,99058.0,922.0,917.0,-5.0,-0.00542299349241,2013/10/29,2013/10/29,25.3578376525,0.0,0.0,0.0,0.0,0.0,5578,5137338.0,-0.00108577633008,0.0
I.DCE,2013/10/30,921.0,919.0,930.0,916.0,924.0,118272.0,10913153000.0,0,7.0,0.00760043431053,1.520086862,922.7165348,91262.0,917.0,922.0,5.0,0.00545256270447,2013/10/30,2013/10/30,25.193348713,0.0,0.0,0.0,0.0,0.0,-7796,-7203504.0,0.00757575757576,1.0
I.DCE,2013/10/31,924.0,925.0,927.0,920.0,922.0,74672.0,6893437200.0,0,0.0,0.0,0.757575758,923.1622563,84820.0,922.0,923.0,1.0,0.00108459869848,2013/10/31,2013/10/31,25.1492769395,26.5515981672,0.0,0.0,0.0,0.0,-6442,-5939524.0,0.0,0.0
I.DCE,2013/11/1,922.0,921.0,954.0,921.0,942.0,321242.0,30276584000.0,0,19.0,0.0206073752711,3.579175705,942.4852292,107582.0,923.0,942.0,19.0,0.0205850487541,2013/11/1,2013/11/1,25.4123936393,26.3665921585,0.0,0.0,0.0,0.0,22762,21441804.0,0.02016985138,1.0
I.DCE,2013/11/4,942.0,943.0,957.0,942.0,950.0,175080.0,16619307400.0,0,8.0,0.00849256900212,1.592356688,949.2407699,122298.0,942.0,949.0,7.0,0.00743099787686,2013/11/4,2013/11/4,25.7046334217,26.2654344474,0.0,0.0,0.0,0.0,14716,13980200.0,0.00842105263158,1.0
I.DCE,2013/11/5,950.0,948.0,954.0,943.0,946.0,108384.0,10267662400.0,0,-3.0,-0.00315789473684,1.157894737,947.3411574,121942.0,949.0,947.0,-2.0,-0.00210748155954,2013/11/5,2013/11/5,25.97167499,26.254756528,0.0,0.0,0.0,0.0,-356,-336776.0,-0.00317124735729,0.0
I.DCE,2013/11/6,946.0,949.0,951.0,942.0,944.0,69362.0,6560806600.0,0,-3.0,-0.00317124735729,0.951374207,945.8790981,123650.0,947.0,945.0,-2.0,-0.00211193241816,2013/11/6,2013/11/6,26.1828539023,26.2814407027,0.0,0.0,0.0,0.0,1708,1612352.0,-0.00317796610169,0.0
