heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
IC.CZC,2015/4/16,0.0,7681.0,7790.0,7480.2,7707.8,116888.0,1.7928587988e+11,0,-110.8,-1.417133502,0.0,7669.131129,6643.0,7818.6,7642.8,-175.8,-0.0224848438339,2015/4/16,2015/4/16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.014375048652,1.0
IC.CZC,2015/4/17,7707.8,7722.0,7918.8,7631.2,7758.2,114214.0,1.781399818e+11,0,115.4,0.0149718467007,3.731285192,7798.517774,9144.0,7642.8,7803.4,160.6,0.0210132412205,2015/4/17,2015/4/17,0.0,0.0,0.0,0.0,0.0,0.0,2501,19403258.2,0.0148745843108,1.0
IC.CZC,2015/4/20,7758.2,7760.0,7857.0,7582.0,7622.2,98781.0,1.5254160816e+11,0,-181.2,-0.0233559330773,3.544636643,7721.201859,10706.0,7803.4,7621.2,-182.2,-0.0233487966784,2015/4/20,2015/4/20,0.0,0.0,0.0,0.0,0.0,0.0,1562,11905876.4,-0.0237726640602,0.0
IC.CZC,2015/4/21,7622.2,7650.2,8147.0,7640.2,8140.4,132545.0,2.0937525848e+11,0,519.2,0.0681168166671,6.648998977,7898.270719,16732.0,7621.2,8055.6,434.4,0.0569988978114,2015/4/21,2015/4/21,0.0,0.0,0.0,0.0,0.0,0.0,6026,49054050.4,0.0637806495995,1.0
IC.CZC,2015/4/22,8140.4,8158.0,8237.8,8104.4,8189.8,121034.0,1.9763685172e+11,0,134.2,0.0164856763795,1.638740111,8164.517892,14854.0,8055.6,8197.2,141.6,0.0175778340533,2015/4/22,2015/4/22,32.8724314522,0.0,0.0,0.0,0.0,0.0,-1878,-15380444.4,0.0163862365381,1.0
IC.CZC,2015/4/23,8189.8,8193.0,8378.8,8160.4,8265.6,132278.0,2.1853638912e+11,0,68.4,0.00835185230409,2.666731788,8260.496421,14805.0,8197.2,8266.4,69.2,0.00844190699263,2015/4/23,2015/4/23,34.1837120256,0.0,0.0,0.0,0.0,0.0,-49,-405014.4,0.00827526132404,1.0
IC.CZC,2015/4/24,8265.6,8247.8,8349.8,8123.8,8327.2,126381.0,2.07787786e+11,0,60.8,0.00735578784359,2.734223771,8220.689265,14603.0,8266.4,8307.6,41.2,0.00498403174296,2015/4/24,2015/4/24,35.3179979641,0.0,0.0,0.0,0.0,0.0,-202,-1682094.4,0.00730137381112,1.0
IC.CZC,2015/4/27,8327.2,8368.0,8548.0,8292.0,8347.2,125335.0,2.1056365708e+11,0,39.6,0.00475550004804,3.074262657,8400.034192,15187.0,8307.6,8361.6,54.0,0.00650007222302,2015/4/27,2015/4/27,36.4984649455,0.0,0.0,0.0,0.0,0.0,584,4874764.8,0.00474410580794,1.0
IC.CZC,2015/4/28,8347.2,8308.0,8419.0,8011.6,8147.0,164120.0,2.689237368e+11,0,-214.6,-0.0257092198582,4.880678551,8192.89961,15900.0,8361.6,8087.4,-274.2,-0.0327927669346,2015/4/28,2015/4/28,36.5079688142,0.0,0.0,0.0,0.0,0.0,713,5808811.0,-0.0263409844114,0.0
IC.CZC,2015/4/29,8147.0,8138.0,8309.0,8079.0,8302.2,134158.0,2.2060645088e+11,0,214.8,0.0263655333252,2.823125077,8221.889521,17677.0,8087.4,8276.2,188.8,0.0233449563519,2015/4/29,2015/4/29,36.6665970618,35.2686483833,0.0,0.0,0.0,0.0,1777,14753009.4,0.0258726602587,1.0
IC.CZC,2015/4/30,8302.2,8320.0,8408.0,8291.2,8338.8,120118.0,2.0066017768e+11,0,62.6,0.0075401700754,1.406856014,8352.62732,16354.0,8276.2,8355.4,79.2,0.00956960924096,2015/4/30,2015/4/30,36.7666763889,35.8286745619,0.0,0.0,0.0,0.0,-1323,-11032232.4,0.00750707535856,1.0
