heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
IF.CZC,2010/4/16,0.0,3450.0,3488.0,3413.2,3415.6,48988.0,50538805320.0,0,16.6,0.488378935,0.0,3438.856136,2702.0,3399.0,3431.2,32.2,0.00947337452192,2010/4/16,2010/4/16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00486005387048,1.0
IF.CZC,2010/4/19,3415.6,3396.0,3398.0,3166.2,3197.4,109733.0,1.0820641224e+11,0,-233.8,-0.068450638248,6.786508959,3286.960539,3954.0,3431.2,3201.2,-230.0,-0.0670319421777,2010/4/19,2010/4/19,0.0,0.0,0.0,0.0,0.0,0.0,1252,4003144.8,-0.0731219115531,0.0
IF.CZC,2010/4/20,3197.4,3209.2,3240.0,3168.8,3214.6,141862.0,1.3634209026e+11,0,13.4,0.0041909051104,2.226809283,3203.631939,4496.0,3201.2,3216.6,15.4,0.004810695989,2010/4/20,2010/4/20,0.0,0.0,0.0,0.0,0.0,0.0,542,1742313.2,0.00416848130405,1.0
IF.CZC,2010/4/21,3214.6,3215.0,3281.2,3208.0,3267.2,114531.0,1.112678949e+11,0,50.6,0.0157406831332,2.277110683,3238.363264,5062.0,3216.6,3266.0,49.4,0.0153578312504,2010/4/21,2010/4/21,0.0,0.0,0.0,0.0,0.0,0.0,566,1849235.2,0.0154872673849,1.0
IF.CZC,2010/4/22,3267.2,3260.2,3274.4,3211.0,3236.2,133247.0,1.2962980758e+11,0,-29.8,-0.00912095984329,1.94049951,3242.844932,5383.0,3266.0,3240.0,-26.0,-0.00796080832823,2010/4/22,2010/4/22,-3.78575179762,0.0,0.0,0.0,0.0,0.0,321,1038820.2,-0.0092083307583,0.0
IF.CZC,2010/4/23,3236.2,3241.0,3266.0,3221.0,3221.2,116981.0,1.1388681534e+11,0,-18.8,-0.00580928249181,1.390519745,3245.165606,5808.0,3240.0,3235.6,-4.4,-0.00135802469136,2010/4/23,2010/4/23,-4.60649828549,0.0,0.0,0.0,0.0,0.0,425,1369010.0,-0.00583633428536,0.0
IF.CZC,2010/4/26,3221.2,3243.0,3252.0,3211.8,3219.6,112229.0,1.0894972776e+11,0,-16.0,-0.00496709300882,1.247982118,3235.93509,7079.0,3235.6,3224.8,-10.8,-0.0033378662381,2010/4/26,2010/4/26,-4.51264729342,0.0,0.0,0.0,0.0,0.0,1271,4092111.6,-0.0049695614362,0.0
IF.CZC,2010/4/27,3219.6,3201.2,3205.0,3107.6,3138.8,139961.0,1.3200716022e+11,0,-86.0,-0.0267113927196,3.025220524,3143.903426,7386.0,3224.8,3121.8,-103.0,-0.0319399652692,2010/4/27,2010/4/27,-4.83321705503,0.0,0.0,0.0,0.0,0.0,307,963611.6,-0.0273990059896,0.0
IF.CZC,2010/4/28,3138.8,3101.6,3142.6,3094.2,3129.0,128530.0,1.2047029896e+11,0,7.2,0.00229387026889,1.54199057,3124.310769,7092.0,3121.8,3132.8,11.0,0.00352360817477,2010/4/28,2010/4/28,-5.41854051588,0.0,0.0,0.0,0.0,0.0,-294,-919926.0,0.00230105465005,0.0
IF.CZC,2010/4/29,3129.0,3141.0,3157.6,3082.2,3083.8,116254.0,1.094156538e+11,0,-49.0,-0.0156599552573,2.409715564,3137.258469,8705.0,3132.8,3114.4,-18.4,-0.005873340143,2010/4/29,2010/4/29,-6.06515628436,-4.8085634552,0.0,0.0,0.0,0.0,1613,4974169.4,-0.0158894869966,0.0
IF.CZC,2010/4/30,3083.8,3103.0,3119.6,3043.0,3107.0,184157.0,1.7031030156e+11,0,-7.4,-0.00239963681173,2.483948375,3082.701202,8297.0,3114.4,3089.8,-24.6,-0.00789879270485,2010/4/30,2010/4/30,-6.55038621867,-5.4625905914,0.0,0.0,0.0,0.0,-408,-1267656.0,-0.00238171869971,1.0
IF.CZC,2010/5/4,3107.0,3079.8,3094.4,3060.8,3076.4,150123.0,1.3859134764e+11,0,-13.4,-0.00431284196975,1.081429031,3077.284352,8261.0,3089.8,3069.4,-20.4,-0.00660236908538,2010/5/4,2010/5/4,-7.15955260824,-5.71937637271,0.0,0.0,0.0,0.0,-36,-110750.4,-0.00435574047588,0.0
IF.CZC,2010/5/5,3076.4,3046.4,3087.0,3031.0,3076.4,145542.0,1.334931984e+11,0,7.0,0.00227538681576,1.820309453,3057.38088,9600.0,3069.4,3078.6,9.2,0.0029973284681,2010/5/5,2010/5/5,-7.42521589374,-6.01288210343,0.0,0.0,0.0,0.0,1339,4119299.6,0.00227538681576,0.0
IF.CZC,2010/5/6,3076.4,3078.6,3083.4,2953.6,2967.4,170221.0,1.5450680862e+11,0,-111.2,-0.0361461448446,4.219217267,3025.611972,10150.0,3078.6,2972.6,-106.0,-0.0344312349769,2010/5/6,2010/5/6,-8.11371906382,-6.65031597568,0.0,0.0,0.0,0.0,550,1632070.0,-0.0374738828604,0.0
IF.CZC,2010/5/7,2967.4,2928.0,2959.8,2862.2,2897.6,240106.0,2.0959790502e+11,0,-75.0,-0.0252746512098,3.289074611,2909.796854,8282.0,2972.6,2896.0,-76.6,-0.0257686873444,2010/5/7,2010/5/7,-8.90771682151,-7.37127244533,0.0,0.0,0.0,0.0,-1868,-5412716.8,-0.0258834897846,0.0
IF.CZC,2010/5/10,2897.6,2910.0,2931.0,2870.0,2918.0,201919.0,1.7591719758e+11,0,22.0,0.00759249033683,2.105190502,2904.088563,9873.0,2896.0,2912.0,16.0,0.00552486187845,2010/5/10,2010/5/10,-9.71409573334,-8.01759281347,0.0,0.0,0.0,0.0,1591,4642538.0,0.00753941055517,1.0
IF.CZC,2010/5/11,2918.0,2949.0,2957.8,2797.2,2801.6,224626.0,1.9432511244e+11,0,-110.4,-0.0378341329678,5.503769705,2883.683878,8987.0,2912.0,2816.4,-95.6,-0.0328296703297,2010/5/11,2010/5/11,-10.88666453,-8.90944821178,0.0,0.0,0.0,0.0,-886,-2482217.6,-0.0394060536836,0.0
IF.CZC,2010/5/12,2801.6,2809.0,2855.0,2782.0,2836.2,273131.0,2.3121405522e+11,0,19.8,0.00706739006282,2.605653912,2821.7724,8144.0,2816.4,2829.2,12.8,0.004544808976,2010/5/12,2010/5/12,-11.9110030346,-9.55544935775,0.0,0.0,0.0,0.0,-843,-2390916.6,0.00698117199069,1.0
IF.CZC,2010/5/13,2836.2,2847.8,2915.6,2823.0,2894.6,217422.0,1.8668412408e+11,0,65.4,0.0230590226359,3.264931951,2862.085776,8276.0,2829.2,2902.8,73.6,0.0260144210377,2010/5/13,2010/5/13,-12.221242378,-10.0559436314,0.0,0.0,0.0,0.0,132,382087.2,0.0225937953431,1.0
IF.CZC,2010/5/14,2894.6,2880.0,2894.8,2850.4,2862.6,185453.0,1.5986582586e+11,0,-40.2,-0.0138879292476,1.533890693,2873.429312,6237.0,2902.8,2861.2,-41.6,-0.0143309907675,2010/5/14,2010/5/14,-12.37034917,-10.5282463549,-7.87437996448,0.0,0.0,0.0,-2039,-5836841.4,-0.0140431775309,0.0
IF.CZC,2010/5/17,2862.6,2840.0,2840.2,2708.0,2719.0,117625.0,97865068800.0,0,-142.2,-0.0496751205198,4.618179278,2773.363622,4126.0,2861.2,2727.6,-133.6,-0.0466936949532,2010/5/17,2010/5/17,-13.2174353454,-11.3564787864,-8.6079713759,0.0,0.0,0.0,-2111,-5739809.0,-0.0522986392056,0.0
