heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
J.DCE,2011/4/15,0.0,2300.0,2300.0,2225.0,2247.0,57134,12887467600.0,0,67.0,3.073394495,0.0,2255.656457,6404,2180.0,2255.0,75.0,0.0344036697248,2011/4/15,2011/4/15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0298175344904,1.0
J.DCE,2011/4/18,2247.0,2233.0,2388.0,2233.0,2381.0,132702,31109082200.0,0,126.0,0.0560747663551,6.898086337,2344.281337,19488,2255.0,2344.0,89.0,0.0394678492239,2011/4/18,2011/4/18,0.0,0.0,0.0,0.0,0.0,0.0,13084,31153004.0,0.0529189416212,1.0
J.DCE,2011/4/19,2381.0,2375.0,2384.0,2320.0,2336.0,204462,47943881000.0,0,-8.0,-0.00335993280134,2.687946241,2344.879782,23270,2344.0,2344.0,0.0,0.0,2011/4/19,2011/4/19,0.0,0.0,0.0,0.0,0.0,0.0,3782,8834752.0,-0.00342465753425,0.0
J.DCE,2011/4/20,2336.0,2350.0,2395.0,2328.0,2343.0,175506,41284932200.0,0,-1.0,-0.000428082191781,2.868150685,2352.337367,23484,2344.0,2352.0,8.0,0.00341296928328,2011/4/20,2011/4/20,0.0,0.0,0.0,0.0,0.0,0.0,214,501402.0,-0.000426803243705,1.0
J.DCE,2011/4/21,2343.0,2353.0,2363.0,2323.0,2335.0,97576,22891350000.0,0,-17.0,-0.00725565514298,1.707212975,2346.002091,22246,2352.0,2346.0,-6.0,-0.00255102040816,2011/4/21,2011/4/21,7.99436038897,0.0,0.0,0.0,0.0,0.0,-1238,-2890730.0,-0.00728051391863,0.0
J.DCE,2011/4/22,2335.0,2336.0,2351.0,2297.0,2330.0,128218,29736098800.0,0,-16.0,-0.006852248394,2.312633833,2319.18286,18880,2346.0,2319.0,-27.0,-0.0115089514066,2011/4/22,2011/4/22,8.35236187603,0.0,0.0,0.0,0.0,0.0,-3366,-7842780.0,-0.0068669527897,0.0
J.DCE,2011/4/25,2330.0,2340.0,2359.0,2317.0,2329.0,64954,15165091400.0,0,10.0,0.00429184549356,1.802575107,2334.743264,18038,2319.0,2334.0,15.0,0.00646830530401,2011/4/25,2011/4/25,8.12827025232,0.0,0.0,0.0,0.0,0.0,-842,-1961018.0,0.00429368827823,0.0
J.DCE,2011/4/26,2329.0,2315.0,2329.0,2303.0,2322.0,44336,10269163200.0,0,-12.0,-0.00515242593388,1.116358952,2316.21328,17852,2334.0,2316.0,-18.0,-0.00771208226221,2011/4/26,2011/4/26,8.0678240036,0.0,0.0,0.0,0.0,0.0,-186,-431892.0,-0.00516795865633,0.0
J.DCE,2011/4/27,2322.0,2332.0,2339.0,2315.0,2320.0,32038,7455898800.0,0,4.0,0.00172265288544,1.033591731,2327.204819,16356,2316.0,2327.0,11.0,0.00474956822107,2011/4/27,2011/4/27,7.96841518063,0.0,0.0,0.0,0.0,0.0,-1496,-3470720.0,0.00172413793103,0.0
J.DCE,2011/4/28,2320.0,2330.0,2347.0,2326.0,2337.0,26286,6139532200.0,0,10.0,0.00431034482759,0.905172414,2335.66621,14190,2327.0,2335.0,8.0,0.00343790287924,2011/4/28,2011/4/28,7.97706456021,7.7673135382,0.0,0.0,0.0,0.0,-2166,-5061942.0,0.00427899015832,1.0
J.DCE,2011/4/29,2337.0,2337.0,2343.0,2323.0,2329.0,17654,4117706400.0,0,-6.0,-0.00256739409499,0.855798032,2332.44953,11762,2335.0,2332.0,-3.0,-0.00128479657388,2011/4/29,2011/4/29,7.97273999248,7.94277845425,0.0,0.0,0.0,0.0,-2428,-5654812.0,-0.00257621296694,0.0
J.DCE,2011/5/3,2329.0,2330.0,2354.0,2326.0,2344.0,26594,6230842000.0,0,12.0,0.00515242593388,1.202232718,2342.95029,12876,2332.0,2342.0,10.0,0.00428816466552,2011/5/3,2011/5/3,8.03758284829,7.86365459564,0.0,0.0,0.0,0.0,1114,2611216.0,0.00511945392491,1.0
J.DCE,2011/5/4,2344.0,2341.0,2346.0,2320.0,2329.0,14518,3385485800.0,0,-13.0,-0.00554607508532,1.109215017,2331.922992,10782,2342.0,2331.0,-11.0,-0.00469684030743,2011/5/4,2011/5/4,8.0678240036,7.84867607903,0.0,0.0,0.0,0.0,-2094,-4876926.0,-0.0055817947617,0.0
J.DCE,2011/5/5,2329.0,2309.0,2319.0,2293.0,2308.0,13896,3207532000.0,0,-23.0,-0.00987548303993,1.116358952,2308.241221,10736,2331.0,2308.0,-23.0,-0.00986700986701,2011/5/5,2011/5/5,8.01597467629,7.77373999889,0.0,0.0,0.0,0.0,-46,-106168.0,-0.00996533795494,0.0
J.DCE,2011/5/6,2308.0,2255.0,2289.0,2255.0,2271.0,14736,3351935000.0,0,-37.0,-0.0160311958406,1.473136915,2274.657302,10206,2308.0,2274.0,-34.0,-0.0147313691508,2011/5/6,2011/5/6,7.73017603488,7.63652721562,0.0,0.0,0.0,0.0,-530,-1203630.0,-0.0162923822105,0.0
J.DCE,2011/5/9,2271.0,2280.0,2284.0,2273.0,2280.0,7240,1649553600.0,0,6.0,0.00264200792602,0.48436812,2278.38895,9292,2274.0,2278.0,4.0,0.00175901495163,2011/5/9,2011/5/9,7.51731144029,7.52916252638,0.0,0.0,0.0,0.0,-914,-2083920.0,0.00263157894737,1.0
J.DCE,2011/5/10,2280.0,2285.0,2288.0,2275.0,2287.0,7890,1800361000.0,0,9.0,0.00394736842105,0.570175439,2281.826362,8290,2278.0,2281.0,3.0,0.00131694468832,2011/5/10,2011/5/10,7.26897221246,7.43886345095,0.0,0.0,0.0,0.0,-1002,-2291574.0,0.0039352864014,1.0
J.DCE,2011/5/11,2287.0,2293.0,2338.0,2286.0,2314.0,30078,6983378000.0,0,33.0,0.0144293834718,2.273721032,2321.756101,9430,2281.0,2321.0,40.0,0.0175361683472,2011/5/11,2011/5/11,7.20349196827,7.4216519972,0.0,0.0,0.0,0.0,1140,2637960.0,0.014261019879,1.0
J.DCE,2011/5/12,2314.0,2290.0,2352.0,2288.0,2344.0,61826,14430103200.0,0,23.0,0.00993949870354,2.765773552,2333.986219,17712,2321.0,2333.0,12.0,0.00517018526497,2011/5/12,2011/5/12,7.36055531394,7.47327520394,0.0,0.0,0.0,0.0,8282,19413008.0,0.00981228668942,1.0
J.DCE,2011/5/13,2344.0,2360.0,2444.0,2353.0,2419.0,134808,32505755000.0,0,86.0,0.0366894197952,3.88225256,2411.263056,26414,2333.0,2411.0,78.0,0.0334333476211,2011/5/13,2011/5/13,8.00300683734,7.64940114184,7.79970989437,0.0,0.0,0.0,8702,21050138.0,0.0355518809425,1.0
J.DCE,2011/5/16,2419.0,2415.0,2423.0,2396.0,2407.0,57056,13753587200.0,0,-4.0,-0.00165357585779,1.116163704,2410.541784,25800,2411.0,2410.0,-1.0,-0.000414765657404,2011/5/16,2011/5/16,8.55003703606,7.81656948646,7.97153804634,0.0,0.0,0.0,-614,-1477898.0,-0.00166181969256,0.0
J.DCE,2011/5/17,2407.0,2414.0,2417.0,2371.0,2391.0,57660,13793401600.0,0,-19.0,-0.00789364353968,1.911092646,2392.195907,21764,2410.0,2392.0,-18.0,-0.00746887966805,2011/5/17,2011/5/17,8.99499250466,7.91712557246,7.98226457203,0.0,0.0,0.0,-4036,-9650076.0,-0.00794646591384,0.0
J.DCE,2011/5/18,2391.0,2400.0,2423.0,2370.0,2372.0,70386,16868029000.0,0,-20.0,-0.00836470096194,2.216645755,2396.503424,21830,2392.0,2396.0,4.0,0.00167224080268,2011/5/18,2011/5/18,9.24194336988,8.00900871779,8.02086761736,0.0,0.0,0.0,66,156552.0,-0.00843170320405,0.0
J.DCE,2011/5/19,2372.0,2394.0,2394.0,2363.0,2367.0,47602,11302192400.0,0,-29.0,-0.0122259696459,1.306913997,2374.310407,18316,2396.0,2374.0,-22.0,-0.00918196994992,2011/5/19,2011/5/19,9.3396320548,8.13490125775,8.04659214464,0.0,0.0,0.0,-3514,-8317638.0,-0.0122517955218,0.0
J.DCE,2011/5/20,2367.0,2364.0,2392.0,2362.0,2376.0,37048,8809309000.0,0,2.0,0.000844951415294,1.267427123,2377.809598,18196,2374.0,2377.0,3.0,0.00126368997473,2011/5/20,2011/5/20,9.15688559555,8.35842963795,8.09051812371,0.0,0.0,0.0,-120,-285120.0,0.000841750841751,1.0
J.DCE,2011/5/23,2376.0,2388.0,2389.0,2350.0,2357.0,18982,4485878200.0,0,-20.0,-0.00841750841751,1.641414141,2363.227373,17736,2377.0,2363.0,-14.0,-0.00588977702987,2011/5/23,2011/5/23,8.94379156953,8.52192585302,8.11943112735,0.0,0.0,0.0,-460,-1084220.0,-0.00848536274926,0.0
J.DCE,2011/5/24,2357.0,2356.0,2380.0,2345.0,2380.0,30504,7234447200.0,0,17.0,0.00721255833687,1.484938481,2371.638867,20964,2363.0,2371.0,8.0,0.00338552687262,2011/5/24,2011/5/24,8.89682511542,8.71891207047,8.17401448817,0.0,0.0,0.0,3228,7682640.0,0.00714285714286,1.0
J.DCE,2011/5/25,2380.0,2382.0,2385.0,2366.0,2375.0,18206,4320948000.0,0,4.0,0.00168067226891,0.798319328,2373.364825,18796,2371.0,2373.0,2.0,0.000843525938423,2011/5/25,2011/5/25,8.90963720517,8.84782886352,8.23069658892,0.0,0.0,0.0,-2168,-5149000.0,0.00168421052632,0.0
J.DCE,2011/5/26,2375.0,2385.0,2398.0,2377.0,2378.0,19554,4669179600.0,0,5.0,0.00210526315789,0.884210526,2387.838601,19388,2373.0,2387.0,14.0,0.00589970501475,2011/5/26,2011/5/26,8.95659524943,8.91958409978,8.29267712435,0.0,0.0,0.0,592,1407776.0,0.00210260723297,1.0
J.DCE,2011/5/27,2378.0,2379.0,2380.0,2351.0,2371.0,21708,5128421800.0,0,-16.0,-0.0067283431455,1.219512195,2362.457067,18558,2387.0,2362.0,-25.0,-0.0104733975702,2011/5/27,2011/5/27,8.93525450769,8.81826174942,8.32898671043,8.48134546307,0.0,0.0,-830,-1967930.0,-0.00674820750738,0.0
J.DCE,2011/5/30,2371.0,2370.0,2382.0,2360.0,2365.0,16418,3893057000.0,0,3.0,0.00126528890763,0.927878532,2371.212693,17792,2362.0,2371.0,9.0,0.00381033022862,2011/5/30,2011/5/30,8.96939663277,8.72948766762,8.36741291551,8.56635595502,0.0,0.0,-766,-1811590.0,0.00126849894292,0.0
J.DCE,2011/5/31,2365.0,2370.0,2378.0,2361.0,2364.0,15208,3605924600.0,0,-7.0,-0.00295983086681,0.718816068,2371.070884,15882,2371.0,2371.0,0.0,0.0,2011/5/31,2011/5/31,8.90109606658,8.67236114646,8.3887522441,8.55411473619,0.0,0.0,-1910,-4515240.0,-0.00296108291032,0.0
J.DCE,2011/6/1,2364.0,2370.0,2375.0,2357.0,2359.0,13608,3217637000.0,0,-12.0,-0.00507614213198,0.76142132,2364.518665,15718,2371.0,2364.0,-7.0,-0.00295234078448,2011/6/1,2011/6/1,8.83273033295,8.64483978468,8.42074975261,8.57067589785,0.0,0.0,-164,-386876.0,-0.00508690122933,0.0
J.DCE,2011/6/2,2359.0,2351.0,2363.0,2337.0,2339.0,18632,4376358200.0,0,-25.0,-0.0105977108944,1.102161933,2348.839738,15418,2364.0,2348.0,-16.0,-0.00676818950931,2011/6/2,2011/6/2,8.66581704398,8.58552775795,8.45379934792,8.56779596422,0.0,0.0,-300,-701700.0,-0.0106883283454,0.0
J.DCE,2011/6/3,2339.0,2340.0,2344.0,2320.0,2326.0,16864,3930557200.0,0,-22.0,-0.00940572894399,1.026079521,2330.738378,15508,2348.0,2330.0,-18.0,-0.0076660988075,2011/6/3,2011/6/3,8.4727487917,8.47949402343,8.51239939802,8.56131570031,0.0,0.0,90,209340.0,-0.00945829750645,0.0
J.DCE,2011/6/7,2326.0,2321.0,2341.0,2312.0,2331.0,15600,3637384800.0,0,1.0,0.000429922613929,1.24677558,2331.656923,14872,2330.0,2331.0,1.0,0.000429184549356,2011/6/7,2011/6/7,8.32653930369,8.42429618364,8.56669601476,8.56203575789,0.0,0.0,-636,-1482516.0,0.000429000429,1.0
J.DCE,2011/6/8,2331.0,2338.0,2338.0,2320.0,2326.0,7924,1844468000.0,0,-5.0,-0.002145002145,0.772200772,2327.698132,14088,2331.0,2327.0,-4.0,-0.001716001716,2011/6/8,2011/6/8,8.16278933601,8.30952323646,8.60818987723,8.55987556398,0.0,0.0,-784,-1823584.0,-0.00214961306965,0.0
J.DCE,2011/6/9,2326.0,2330.0,2333.0,2318.0,2318.0,8022,1865987600.0,0,-9.0,-0.00386930352537,0.644883921,2326.087759,14184,2327.0,2326.0,-1.0,-0.000429737859905,2011/6/9,2011/6/9,7.98571296312,8.18818258971,8.61244432903,8.55699520657,0.0,0.0,96,222528.0,-0.00388265746333,0.0
J.DCE,2011/6/10,2318.0,2324.0,2324.0,2306.0,2311.0,12900,2986102600.0,0,-15.0,-0.00647109577222,0.776531493,2314.808217,15946,2326.0,2314.0,-12.0,-0.00515907136715,2011/6/10,2011/6/10,7.86454658897,8.04530420021,8.5773377062,8.55051398937,0.0,0.0,1762,4071982.0,-0.00649069666811,0.0
J.DCE,2011/6/13,2311.0,2306.0,2321.0,2295.0,2320.0,9360,2163965800.0,0,6.0,0.00259627866724,1.125054089,2311.929274,17520,2314.0,2311.0,-3.0,-0.00129645635264,2011/6/13,2011/6/13,7.83855755499,7.93636603664,8.47191705608,8.53827013036,8.78944530337,0.0,1574,3651680.0,0.00258620689655,1.0
J.DCE,2011/6/14,2320.0,2313.0,2353.0,2313.0,2334.0,42350,9887837200.0,0,23.0,0.00991379310345,1.724137931,2334.790366,15432,2311.0,2334.0,23.0,0.00995240155777,2011/6/14,2011/6/14,7.85155316427,7.87007307087,8.3940861196,8.54187147706,8.83711256978,0.0,-2088,-4873392.0,0.00985432733505,1.0
J.DCE,2011/6/15,2334.0,2339.0,2342.0,2321.0,2323.0,9736,2268762400.0,0,-11.0,-0.00471293916024,0.899742931,2330.281841,14966,2334.0,2330.0,-4.0,-0.00171379605827,2011/6/15,2011/6/15,7.83855755499,7.78230778676,8.32151264934,8.52674463585,8.80533789317,0.0,-466,-1082518.0,-0.00473525613431,0.0
J.DCE,2011/6/16,2323.0,2315.0,2321.0,2299.0,2307.0,9420,2176301400.0,0,-23.0,-0.00990099009901,0.947051227,2310.298726,14454,2330.0,2310.0,-20.0,-0.00858369098712,2011/6/16,2011/6/16,7.79088831899,7.67085299084,8.25207497076,8.51089413366,8.78944530337,0.0,-512,-1181184.0,-0.00996965756394,0.0
J.DCE,2011/6/17,2307.0,2310.0,2320.0,2304.0,2307.0,6440,1487787000.0,0,-3.0,-0.00130039011704,0.693541396,2310.228261,14474,2310.0,2310.0,0.0,0.0,2011/6/17,2011/6/17,7.77354678682,7.60218642872,8.18792159099,8.51017357524,8.76971170542,0.0,20,46140.0,-0.00130039011704,0.0
J.DCE,2011/6/20,2307.0,2306.0,2310.0,2280.0,2281.0,8336,1911622400.0,0,-29.0,-0.012570437798,1.300390117,2293.213052,15056,2310.0,2293.0,-17.0,-0.00735930735931,2011/6/20,2011/6/20,7.60426455789,7.5055226965,8.08623377907,8.51737884235,8.74010121226,0.0,582,1327542.0,-0.0127137220517,0.0
J.DCE,2011/6/21,2281.0,2288.0,2300.0,2270.0,2295.0,10346,2361110800.0,0,2.0,0.000876808417361,1.315212626,2282.148463,14996,2293.0,2282.0,-11.0,-0.00479720889664,2011/6/21,2011/6/21,7.434617469,7.42810672776,8.01979557382,8.5281854214,8.7209027613,0.0,-60,-137700.0,0.000871459694989,1.0
J.DCE,2011/6/22,2295.0,2290.0,2296.0,2283.0,2288.0,6136,1404766000.0,0,6.0,0.00261437908497,0.566448802,2289.383963,14434,2282.0,2289.0,7.0,0.00306748466258,2011/6/22,2011/6/22,7.28206189525,7.34630825986,7.92110327045,8.5289058036,8.69840668736,0.0,-562,-1285856.0,0.00262237762238,0.0
J.DCE,2011/6/23,2288.0,2287.0,2322.0,2280.0,2318.0,23256,5370499600.0,0,29.0,0.0126748251748,1.835664336,2309.296354,15954,2289.0,2309.0,20.0,0.0087374399301,2011/6/23,2011/6/23,7.33003920579,7.34630825986,7.85989328834,8.53178726187,8.69621157551,0.0,1520,3523360.0,0.0125107851596,1.0
J.DCE,2011/6/24,2318.0,2318.0,2323.0,2300.0,2302.0,13368,3086205800.0,0,-7.0,-0.0030198446937,0.992234685,2308.651855,14442,2309.0,2308.0,-1.0,-0.000433087916847,2011/6/24,2011/6/24,7.30823488374,7.32692269766,7.77820449601,8.50152632465,8.68633275217,0.0,-1512,-3480624.0,-0.00304083405734,0.0
J.DCE,2011/6/27,2302.0,2296.0,2318.0,2291.0,2308.0,12430,2866609200.0,0,0.0,0.0,1.172893136,2306.202092,14432,2308.0,2306.0,-2.0,-0.000866551126516,2011/6/27,2011/6/27,7.4259078382,7.30106800418,7.71042360979,8.42149122719,8.67041404882,0.0,-10,-23080.0,0.0,1.0
J.DCE,2011/6/28,2308.0,2316.0,2338.0,2302.0,2303.0,18786,4357065800.0,0,-3.0,-0.00129982668977,1.559792028,2319.315341,15274,2306.0,2319.0,13.0,0.00563746747615,2011/6/28,2011/6/28,7.46074064981,7.23423828938,7.64366112664,8.34642492166,8.65613914967,0.0,842,1939126.0,-0.00130264871906,0.0
J.DCE,2011/6/29,2303.0,2310.0,2313.0,2288.0,2296.0,10906,2506516000.0,0,-23.0,-0.00998697351281,1.085540599,2298.290849,15078,2319.0,2298.0,-21.0,-0.00905562742561,2011/6/29,2011/6/29,7.4955582154,7.17598673656,7.57037240657,8.27778862035,8.62977814785,0.0,-196,-450016.0,-0.0100174216028,0.0
J.DCE,2011/6/30,2296.0,2299.0,2312.0,2296.0,2309.0,11084,2556744800.0,0,11.0,0.00479094076655,0.696864111,2306.698665,14546,2298.0,2306.0,8.0,0.00348128807659,2011/6/30,2011/6/30,7.45638738159,7.18030310116,7.51644016063,8.23223720201,8.61879158817,0.0,-532,-1228388.0,0.00476396708532,1.0
J.DCE,2011/7/1,2309.0,2308.0,2317.0,2295.0,2296.0,7398,1706469800.0,0,-10.0,-0.00433087916847,0.952793417,2306.663693,14530,2306.0,2306.0,0.0,0.0,2011/7/1,2011/7/1,7.43026277253,7.15656025865,7.47002904021,8.18086838143,8.61219885976,0.0,-16,-36736.0,-0.00435540069686,0.0
J.DCE,2011/7/4,2296.0,2299.0,2325.0,2293.0,2316.0,15622,3611928600.0,0,10.0,0.00435540069686,1.393728223,2312.078223,15352,2306.0,2312.0,6.0,0.00260190806592,2011/7/4,2011/7/4,7.46509367981,7.23208157118,7.4592318684,8.13743082764,8.63691852585,0.0,822,1903752.0,0.00431778929188,1.0
J.DCE,2011/7/5,2316.0,2317.0,2322.0,2306.0,2315.0,9450,2186640800.0,0,3.0,0.00129533678756,0.690846287,2313.905608,15922,2312.0,2313.0,1.0,0.000432525951557,2011/7/5,2011/7/5,7.51731144029,7.27520500358,7.44195334549,8.10700969836,8.65613914967,0.0,570,1319550.0,0.00129589632829,0.0
J.DCE,2011/7/6,2315.0,2321.0,2345.0,2316.0,2342.0,22492,5251116800.0,0,29.0,0.0125269978402,1.252699784,2334.65979,18846,2313.0,2334.0,21.0,0.00907911802853,2011/7/6,2011/7/6,7.71716010097,7.39152301818,7.4592318684,8.07947530407,8.68633275217,0.0,2924,6848008.0,0.0123825789923,1.0
J.DCE,2011/7/7,2342.0,2340.0,2348.0,2307.0,2311.0,19208,4466265800.0,0,-23.0,-0.00982066609735,1.750640478,2325.211266,15390,2334.0,2325.0,-9.0,-0.00385604113111,2011/7/7,2011/7/7,7.72583763151,7.37645426862,7.45167297609,8.03307904328,8.68468615118,0.0,-3456,-7986816.0,-0.00995240155777,0.0
J.DCE,2011/7/8,2311.0,2316.0,2322.0,2302.0,2307.0,12320,2849001200.0,0,-18.0,-0.00778883600173,0.865426222,2312.500974,14696,2325.0,2312.0,-13.0,-0.00559139784946,2011/7/8,2011/7/8,7.77354678682,7.3872179508,7.44735328673,7.98157515452,8.66437500964,0.0,-694,-1601058.0,-0.00780234070221,0.0
J.DCE,2011/7/11,2307.0,2303.0,2316.0,2302.0,2304.0,6404,1478653200.0,0,-8.0,-0.00346770697876,0.606848721,2308.95253,13954,2312.0,2308.0,-4.0,-0.00173010380623,2011/7/11,2011/7/11,7.72149898686,7.37860712088,7.43007218629,7.93294109736,8.60120965867,9.55991293672,-742,-1709568.0,-0.00347222222222,0.0
J.DCE,2011/7/12,2304.0,2306.0,2315.0,2290.0,2297.0,7230,1662832800.0,0,-11.0,-0.00477430555556,1.085069444,2299.907054,13448,2308.0,2299.0,-9.0,-0.00389948006932,2011/7/12,2011/7/12,7.64336218017,7.36568913886,7.39009529759,7.88354966346,8.54073958348,9.57899321937,-506,-1162282.0,-0.0047888550283,0.0
J.DCE,2011/7/13,2297.0,2304.0,2313.0,2300.0,2310.0,5688,1313190400.0,0,11.0,0.0047888550283,0.565955594,2308.703235,12648,2299.0,2308.0,9.0,0.00391474554154,2011/7/13,2011/7/13,7.50426022158,7.39582785378,7.37604461476,7.84430450029,8.4961797917,9.55189762975,-800,-1848000.0,0.0047619047619,1.0
J.DCE,2011/7/14,2310.0,2316.0,2316.0,2297.0,2305.0,6374,1469227600.0,0,-3.0,-0.0012987012987,0.822510823,2305.032319,12444,2308.0,2305.0,-3.0,-0.00129982668977,2011/7/14,2011/7/14,7.47815133998,7.3872179508,7.37388275227,7.80503941152,8.45930133606,9.54006379374,-204,-470220.0,-0.00130151843818,0.0
J.DCE,2011/7/15,2305.0,2303.0,2309.0,2298.0,2303.0,3296,759670200.0,0,-2.0,-0.000867678958785,0.477223427,2304.824636,11752,2305.0,2304.0,-1.0,-0.000433839479393,2011/7/15,2011/7/15,7.46074064981,7.40228467248,7.36955885216,7.77885163419,8.42405697336,9.52479130575,-692,-1593676.0,-0.000868432479375,0.0
J.DCE,2011/7/18,2303.0,2307.0,2314.0,2303.0,2305.0,5970,1378399200.0,0,1.0,0.000434216239687,0.477637864,2308.876382,11822,2304.0,2308.0,4.0,0.00173611111111,2011/7/18,2011/7/18,7.46509367981,7.37860712088,7.39549874919,7.76357135305,8.3849381489,9.51333470626,70,161350.0,0.000433839479393,1.0
J.DCE,2011/7/19,2305.0,2306.0,2310.0,2302.0,2305.0,2810,647629200.0,0,-3.0,-0.00130151843818,0.347071584,2304.730249,11162,2308.0,2304.0,-4.0,-0.00173310225303,2011/7/19,2011/7/19,7.49990933783,7.35707599331,7.40630455656,7.74464875085,8.35627467723,9.50378607834,-660,-1521300.0,-0.00130151843818,0.0
J.DCE,2011/7/20,2305.0,2308.0,2314.0,2296.0,2298.0,6294,1450375800.0,0,-6.0,-0.00260303687636,0.780911063,2304.378456,11772,2304.0,2304.0,0.0,0.0,2011/7/20,2011/7/20,7.44768013071,7.26227039143,7.41710890217,7.72426542247,8.31105218056,9.49194393511,610,1401780.0,-0.00261096605744,0.0
J.DCE,2011/7/21,2298.0,2300.0,2300.0,2283.0,2286.0,6128,1403145800.0,0,-18.0,-0.00783289817232,0.739773716,2289.728786,12006,2304.0,2289.0,-15.0,-0.00651041666667,2011/7/21,2011/7/21,7.36491381016,7.20835387792,7.38252985191,7.7009636678,8.26193825008,9.47818920713,234,534924.0,-0.00787401574803,0.0
J.DCE,2011/7/22,2286.0,2279.0,2293.0,2276.0,2286.0,3014,689506800.0,0,-3.0,-0.00131233595801,0.743657043,2287.680159,11562,2289.0,2287.0,-2.0,-0.00087374399301,2011/7/22,2011/7/22,7.29078716984,7.16303626699,7.36523471858,7.68275433601,8.21113497514,9.46519610438,-444,-1014984.0,-0.00131233595801,0.0
J.DCE,2011/7/25,2286.0,2285.0,2298.0,2282.0,2286.0,4536,1038264200.0,0,-1.0,-0.000437445319335,0.699912511,2288.94224,10992,2287.0,2288.0,1.0,0.0004372540446,2011/7/25,2011/7/25,7.20785896631,7.12417248811,7.34144781305,7.65798284429,8.16416668021,9.44570185169,-570,-1303020.0,-0.000437445319335,0.0
