heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
JD.DCE,2013/11/8,0,4050.0,4078.0,3970.0,3976.0,264550.0,10610770500.0,0,-24.0,-0.6,0.0,4010.87526,38942.0,4000.0,4010.0,10.0,0.0025,2013/11/8,2013/11/8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.00603621730382,1.0
JD.DCE,2013/11/11,3976,3982.0,3983.0,3932.0,3941.0,148860.0,5879625600.0,0,-69.0,-0.0173541247485,1.282696177,3949.768642,44132.0,4010.0,3949.0,-61.0,-0.0152119700748,2013/11/11,2013/11/11,0.0,0.0,0.0,0.0,0.0,0.0,5190,20453790.0,-0.0175082466379,0.0
JD.DCE,2013/11/12,3941,3940.0,3970.0,3932.0,3951.0,93396.0,3695680200.0,0,2.0,0.000507485409794,0.964222279,3957.000514,38812.0,3949.0,3957.0,8.0,0.00202582932388,2013/11/12,2013/11/12,0.0,0.0,0.0,0.0,0.0,0.0,-5320,-21019320.0,0.000506200961782,1.0
JD.DCE,2013/11/13,3951,3946.0,3970.0,3935.0,3952.0,62148.0,2459827200.0,0,-5.0,-0.00126550240445,0.885851683,3958.015061,36600.0,3957.0,3958.0,1.0,0.000252716704574,2013/11/13,2013/11/13,0.0,0.0,0.0,0.0,0.0,0.0,-2212,-8741824.0,-0.00126518218623,1.0
JD.DCE,2013/11/14,3952,3958.0,3963.0,3939.0,3957.0,37318.0,1475082800.0,0,-1.0,-0.000253036437247,0.607287449,3952.738089,32232.0,3958.0,3952.0,-6.0,-0.00151591712986,2013/11/14,2013/11/14,-11.0141507816,0.0,0.0,0.0,0.0,0.0,-4368,-17284176.0,-0.000252716704574,1.0
JD.DCE,2013/11/15,3957,3955.0,4015.0,3954.0,4013.0,133512.0,5332990400.0,0,61.0,0.015415718979,1.541571898,3994.390317,43098.0,3952.0,3994.0,42.0,0.0106275303644,2013/11/15,2013/11/15,-10.8156443599,0.0,0.0,0.0,0.0,0.0,10866,43605258.0,0.0152005980563,1.0
JD.DCE,2013/11/18,4013,4015.0,4039.0,4003.0,4029.0,108186.0,4354554400.0,0,35.0,0.00872165462248,0.897084475,4025.062762,50176.0,3994.0,4025.0,31.0,0.0077616424637,2013/11/18,2013/11/18,-10.343448891,0.0,0.0,0.0,0.0,0.0,7078,28517262.0,0.00868701911144,1.0
JD.DCE,2013/11/19,4029,4025.0,4036.0,4012.0,4023.0,62266.0,2505124300.0,0,-2.0,-0.000496401092082,0.59568131,4023.261973,43000.0,4025.0,4023.0,-2.0,-0.000496894409938,2013/11/19,2013/11/19,-9.9570683666,0.0,0.0,0.0,0.0,0.0,-7176,-28869048.0,-0.000497141436739,0.0
JD.DCE,2013/11/20,4023,4025.0,4048.0,4016.0,4036.0,59612.0,2405943300.0,0,13.0,0.0032314193388,0.795426299,4036.004999,43524.0,4023.0,4036.0,13.0,0.0032314193388,2013/11/20,2013/11/20,-9.50629872272,0.0,0.0,0.0,0.0,0.0,524,2114864.0,0.00322101090188,1.0
JD.DCE,2013/11/21,4036,4039.0,4039.0,4005.0,4010.0,40740.0,1638528300.0,0,-26.0,-0.00644202180377,0.842418236,4021.915317,35924.0,4036.0,4021.0,-15.0,-0.00371655104063,2013/11/21,2013/11/21,-9.22191333111,-10.3894920931,0.0,0.0,0.0,0.0,-7600,-30476000.0,-0.00648379052369,0.0
