heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
JM.DCE,2013/3/22,0.0,1280.0,1304.0,1257.0,1267.0,845512.0,64781058200.0,0,-73.0,-5.447761194,0.0,1276.959172,96086.0,1340.0,1276.0,-64.0,-0.0477611940299,2013/3/22,2013/3/22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0576164167324,1.0
JM.DCE,2013/3/25,1267.0,1276.0,1286.0,1251.0,1258.0,722022.0,54874344500.0,0,-18.0,-0.0142067876875,2.762430939,1266.68219,139712.0,1276.0,1266.0,-10.0,-0.00783699059561,2013/3/25,2013/3/25,0.0,0.0,0.0,0.0,0.0,0.0,43626,54881508.0,-0.0143084260731,0.0
JM.DCE,2013/3/26,1258.0,1255.0,1276.0,1249.0,1272.0,835326.0,63447634000.0,0,6.0,0.00476947535771,2.146263911,1265.925599,141544.0,1266.0,1265.0,-1.0,-0.000789889415482,2013/3/26,2013/3/26,0.0,0.0,0.0,0.0,0.0,0.0,1832,2330304.0,0.00471698113208,1.0
JM.DCE,2013/3/27,1272.0,1279.0,1279.0,1260.0,1261.0,499234.0,37939174600.0,0,-4.0,-0.00314465408805,1.493710692,1266.579553,126094.0,1265.0,1266.0,1.0,0.000790513833992,2013/3/27,2013/3/27,0.0,0.0,0.0,0.0,0.0,0.0,-15450,-19482450.0,-0.00317208564631,0.0
JM.DCE,2013/3/28,1261.0,1264.0,1273.0,1248.0,1259.0,646266.0,48998378400.0,0,-7.0,-0.00555114988105,1.982553529,1263.627732,99004.0,1266.0,1263.0,-3.0,-0.00236966824645,2013/3/28,2013/3/28,8.68589825191,0.0,0.0,0.0,0.0,0.0,-27090,-34106310.0,-0.00555996822875,0.0
JM.DCE,2013/3/29,1259.0,1257.0,1268.0,1231.0,1240.0,734728.0,55198605600.0,0,-23.0,-0.0182684670373,2.938840349,1252.132435,96024.0,1263.0,1252.0,-11.0,-0.00870942201108,2013/3/29,2013/3/29,8.46487031269,0.0,0.0,0.0,0.0,0.0,-2980,-3695200.0,-0.0185483870968,0.0
JM.DCE,2013/4/1,1240.0,1235.0,1242.0,1202.0,1202.0,710132.0,51791801900.0,0,-50.0,-0.0403225806452,3.225806452,1215.544009,155262.0,1252.0,1215.0,-37.0,-0.029552715655,2013/4/1,2013/4/1,8.0043366282,0.0,0.0,0.0,0.0,0.0,59238,71204076.0,-0.0415973377704,0.0
JM.DCE,2013/4/2,1202.0,1197.0,1231.0,1192.0,1228.0,1049448.0,76140051200.0,0,13.0,0.0108153078203,3.244592346,1209.207939,130106.0,1215.0,1209.0,-6.0,-0.00493827160494,2013/4/2,2013/4/2,7.6405273424,0.0,0.0,0.0,0.0,0.0,-25156,-30891568.0,0.0105863192182,1.0
JM.DCE,2013/4/3,1228.0,1225.0,1233.0,1214.0,1216.0,606564.0,44471813900.0,0,7.0,0.0057003257329,1.54723127,1221.959922,103114.0,1209.0,1221.0,12.0,0.00992555831266,2013/4/3,2013/4/3,7.26669778301,0.0,0.0,0.0,0.0,0.0,-26992,-32822272.0,0.00575657894737,0.0
JM.DCE,2013/4/8,1216.0,1199.0,1223.0,1197.0,1220.0,555970.0,40406335800.0,0,-1.0,-0.000822368421053,2.138157895,1211.286454,121180.0,1221.0,1211.0,-10.0,-0.00819000819001,2013/4/8,2013/4/8,6.9413037234,7.66856861805,0.0,0.0,0.0,0.0,18066,22040520.0,-0.000819672131148,1.0
JM.DCE,2013/4/9,1220.0,1222.0,1232.0,1213.0,1223.0,551698.0,40512897300.0,0,12.0,0.00983606557377,1.557377049,1223.885087,143828.0,1211.0,1223.0,12.0,0.00990916597853,2013/4/9,2013/4/9,6.79906170209,7.48841650386,0.0,0.0,0.0,0.0,22648,27698504.0,0.00981193785773,1.0
JM.DCE,2013/4/10,1223.0,1225.0,1227.0,1211.0,1215.0,377802.0,27628031800.0,0,-8.0,-0.00654129190515,1.308258381,1218.805609,133686.0,1223.0,1218.0,-5.0,-0.00408830744072,2013/4/10,2013/4/10,6.90785692334,7.31196283816,0.0,0.0,0.0,0.0,-10142,-12322530.0,-0.00658436213992,0.0
JM.DCE,2013/4/11,1215.0,1209.0,1225.0,1202.0,1206.0,403510.0,29397528400.0,0,-12.0,-0.00987654320988,1.893004115,1214.242043,137344.0,1218.0,1214.0,-4.0,-0.00328407224959,2013/4/11,2013/4/11,6.72365881345,7.0403734069,0.0,0.0,0.0,0.0,3658,4411548.0,-0.00995024875622,0.0
JM.DCE,2013/4/12,1206.0,1206.0,1220.0,1203.0,1209.0,462186.0,33620987100.0,0,-5.0,-0.00414593698176,1.409618574,1212.390217,137526.0,1214.0,1212.0,-2.0,-0.00164744645799,2013/4/12,2013/4/12,6.66496530079,6.82575815852,0.0,0.0,0.0,0.0,182,220038.0,-0.00413564929694,1.0
JM.DCE,2013/4/15,1209.0,1191.0,1195.0,1164.0,1174.0,442460.0,31359669400.0,0,-38.0,-0.0314309346567,2.564102564,1181.261937,128974.0,1212.0,1181.0,-31.0,-0.0255775577558,2013/4/15,2013/4/15,6.2782550478,6.47375538938,0.0,0.0,0.0,0.0,-8552,-10040048.0,-0.0323679727428,0.0
JM.DCE,2013/4/16,1174.0,1160.0,1180.0,1151.0,1179.0,326226.0,22904003400.0,0,-2.0,-0.00170357751278,2.470187394,1170.150111,118742.0,1181.0,1170.0,-11.0,-0.00931414055885,2013/4/16,2013/4/16,5.90674124546,6.22024487256,0.0,0.0,0.0,0.0,-10232,-12063528.0,-0.00169635284139,1.0
JM.DCE,2013/4/17,1179.0,1182.0,1189.0,1148.0,1165.0,702122.0,49036004200.0,0,-5.0,-0.00424088210348,3.477523325,1163.995341,121140.0,1170.0,1163.0,-7.0,-0.00598290598291,2013/4/17,2013/4/17,5.48268805775,6.06611597737,0.0,0.0,0.0,0.0,2398,2793670.0,-0.00429184549356,0.0
JM.DCE,2013/4/18,1165.0,1149.0,1169.0,1127.0,1157.0,571028.0,39248124400.0,0,-6.0,-0.00515021459227,3.605150215,1145.539985,123652.0,1163.0,1145.0,-18.0,-0.0154772141015,2013/4/18,2013/4/18,5.06522084367,5.76960300289,0.0,0.0,0.0,0.0,2512,2906384.0,-0.00518582541054,0.0
JM.DCE,2013/4/19,1157.0,1160.0,1167.0,1148.0,1163.0,428568.0,29790256800.0,0,18.0,0.0155574762316,1.642178047,1158.519255,123092.0,1145.0,1158.0,13.0,0.0113537117904,2013/4/19,2013/4/19,4.6716461445,5.54762565995,0.0,0.0,0.0,0.0,-560,-651280.0,0.0154772141015,1.0
JM.DCE,2013/4/22,1163.0,1161.0,1164.0,1146.0,1146.0,273978.0,18918689300.0,0,-12.0,-0.0103181427343,1.54772141,1150.86426,112424.0,1158.0,1150.0,-8.0,-0.00690846286701,2013/4/22,2013/4/22,4.43130517731,5.23679869231,6.30696802174,0.0,0.0,0.0,-10668,-12225528.0,-0.0104712041885,0.0
JM.DCE,2013/4/23,1146.0,1151.0,1153.0,1129.0,1134.0,239490.0,16378952800.0,0,-16.0,-0.0139616055846,2.094240838,1139.849458,104430.0,1150.0,1139.0,-11.0,-0.0095652173913,2013/4/23,2013/4/23,4.0438417831,4.86160666564,6.03086757081,0.0,0.0,0.0,-7994,-9065196.0,-0.0141093474427,0.0
JM.DCE,2013/4/24,1134.0,1134.0,1158.0,1129.0,1145.0,410522.0,28117974600.0,0,6.0,0.00529100529101,2.557319224,1141.553705,98632.0,1139.0,1141.0,2.0,0.0017559262511,2013/4/24,2013/4/24,3.87116849792,4.56548880323,5.79560747378,0.0,0.0,0.0,-5798,-6638710.0,0.00524017467249,1.0
JM.DCE,2013/4/25,1145.0,1144.0,1148.0,1137.0,1142.0,158444.0,10865461800.0,0,1.0,0.000873362445415,0.96069869,1142.93397,87468.0,1141.0,1142.0,1.0,0.000876424189308,2013/4/25,2013/4/25,3.74147760333,4.29397918932,5.52419424263,0.0,0.0,0.0,-11164,-12749288.0,0.000875656742557,0.0
JM.DCE,2013/4/26,1142.0,1147.0,1155.0,1136.0,1138.0,165514.0,11373640000.0,0,-4.0,-0.00350262697023,1.663747811,1145.28479,76072.0,1142.0,1145.0,3.0,0.00262697022767,2013/4/26,2013/4/26,3.52497598661,3.99192449863,5.26665757588,0.0,0.0,0.0,-11396,-12968648.0,-0.00351493848858,0.0
JM.DCE,2013/5/2,1138.0,1123.0,1123.0,1102.0,1119.0,111004.0,7448520200.0,0,-26.0,-0.0228471001757,1.845342707,1118.356125,82206.0,1145.0,1118.0,-27.0,-0.0235807860262,2013/5/2,2013/5/2,3.29066901553,3.75733536102,4.9726669375,0.0,0.0,0.0,6134,6863946.0,-0.0232350312779,0.0
JM.DCE,2013/5/3,1119.0,1128.0,1138.0,1124.0,1129.0,182180.0,12347654400.0,0,11.0,0.00983020554066,1.251117069,1129.620375,91990.0,1118.0,1129.0,11.0,0.00983899821109,2013/5/3,2013/5/3,3.24722415809,3.54362304539,4.73893398765,0.0,0.0,0.0,9784,11046136.0,0.00974313551816,1.0
JM.DCE,2013/5/6,1129.0,1147.0,1149.0,1135.0,1140.0,119430.0,8176386800.0,0,11.0,0.00974313551816,1.24003543,1141.029166,86880.0,1129.0,1141.0,12.0,0.0106288751107,2013/5/6,2013/5/6,3.2037623399,3.43660834019,4.60813715549,0.0,0.0,0.0,-5110,-5825400.0,0.00964912280702,1.0
JM.DCE,2013/5/7,1140.0,1135.0,1148.0,1131.0,1134.0,108358.0,7399214400.0,0,-7.0,-0.00614035087719,1.49122807,1138.081545,82130.0,1141.0,1138.0,-3.0,-0.00262927256792,2013/5/7,2013/5/7,3.13418828032,3.33806233977,4.4095034704,0.0,0.0,0.0,-4750,-5386500.0,-0.00617283950617,0.0
JM.DCE,2013/5/8,1134.0,1133.0,1149.0,1132.0,1148.0,89126.0,6101387000.0,0,10.0,0.00881834215168,1.499118166,1140.966534,85916.0,1138.0,1140.0,2.0,0.00175746924429,2013/5/8,2013/5/8,3.22114909919,3.27374575906,4.26556641871,0.0,0.0,0.0,3786,4346328.0,0.00871080139373,1.0
JM.DCE,2013/5/9,1148.0,1146.0,1150.0,1138.0,1142.0,89712.0,6156320900.0,0,2.0,0.00174216027875,1.045296167,1143.719328,83144.0,1140.0,1143.0,3.0,0.00263157894737,2013/5/9,2013/5/9,3.42090131213,3.25658837035,4.10021198157,5.25688997455,0.0,0.0,-2772,-3165624.0,0.00175131348511,0.0
JM.DCE,2013/5/10,1142.0,1142.0,1153.0,1137.0,1150.0,87178.0,5986623400.0,0,7.0,0.0061295971979,1.401050788,1144.521057,81344.0,1143.0,1144.0,1.0,0.00087489063867,2013/5/10,2013/5/10,3.60296668604,3.32520201281,3.94521741992,5.09133575175,0.0,0.0,-1800,-2070000.0,0.00608695652174,1.0
JM.DCE,2013/5/13,1150.0,1150.0,1187.0,1146.0,1178.0,339222.0,23863902200.0,0,34.0,0.0295652173913,3.565217391,1172.482042,90620.0,1144.0,1172.0,28.0,0.0244755244755,2013/5/13,2013/5/13,3.93163650969,3.46658304232,3.86657076296,4.9779704859,0.0,0.0,9276,10927128.0,0.0288624787776,1.0
JM.DCE,2013/5/14,1178.0,1179.0,1185.0,1161.0,1180.0,298132.0,21006587200.0,0,8.0,0.00679117147708,2.037351443,1174.344876,89308.0,1172.0,1174.0,2.0,0.00170648464164,2013/5/14,2013/5/14,4.3281253546,3.62915892621,3.81127044298,4.84743530515,0.0,0.0,-1312,-1548160.0,0.00677966101695,1.0
JM.DCE,2013/5/15,1180.0,1176.0,1180.0,1143.0,1145.0,312422.0,21829410900.0,0,-29.0,-0.0245762711864,3.13559322,1164.525914,82016.0,1174.0,1164.0,-10.0,-0.00851788756388,2013/5/15,2013/5/15,4.30231397454,3.65908046907,3.67502387543,4.68259774529,0.0,0.0,-7292,-8349340.0,-0.025327510917,0.0
JM.DCE,2013/5/16,1145.0,1146.0,1157.0,1125.0,1146.0,321066.0,22051567000.0,0,-18.0,-0.0157205240175,2.794759825,1144.705813,83884.0,1164.0,1144.0,-20.0,-0.0171821305842,2013/5/16,2013/5/16,4.33672769091,3.7744139431,3.61536143119,4.52175786869,0.0,0.0,1868,2140728.0,-0.0157068062827,1.0
