heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
L.DCE,2010/1/4,12495.0,12600.0,12695.0,12550.0,12635.0,190792.0,12054828800.0,0,190.0,0.015206082433,1.160464186,12636.61873,90050.0,12445.0,12635.0,190.0,0.0152671755725,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,4260.0,53825100.0,0.015037593985,1.0
L.DCE,2010/1/5,12635.0,12720.0,12745.0,12620.0,12660.0,158990.0,10074814800.0,0,25.0,0.0019786307875,0.989315394,12673.5201,84230.0,12635.0,12670.0,35.0,0.00277008310249,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-5820.0,-73681200.0,0.0019747235387,1.0
L.DCE,2010/1/6,12660.0,12650.0,12700.0,12560.0,12605.0,257520.0,16264921100.0,0,-65.0,-0.00513428120063,1.105845182,12631.9673,84866.0,12670.0,12630.0,-40.0,-0.00315706393054,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,636.0,8016780.0,-0.00515668385561,0.0
L.DCE,2010/1/7,12605.0,12705.0,12840.0,12000.0,12235.0,326148.0,20324680600.0,0,-395.0,-0.0313367711226,6.664022213,12463.47094,66252.0,12630.0,12460.0,-170.0,-0.0134600158353,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-18614.0,-227742290.0,-0.0322844299142,0.0
L.DCE,2010/1/8,12235.0,12300.0,12365.0,12040.0,12175.0,251674.0,15359567700.0,0,-285.0,-0.0232938291786,2.656313854,12205.9233,57566.0,12460.0,12205.0,-255.0,-0.0204654895666,2010/1/8,2010/1/8,18.4351586585,0.0,0.0,0.0,0.0,0.0,-8686.0,-105752050.0,-0.02340862423,0.0
L.DCE,2010/1/11,12175.0,12310.0,12495.0,12310.0,12490.0,194252.0,12069755400.0,0,285.0,0.02340862423,1.519507187,12426.90464,63628.0,12205.0,12425.0,220.0,0.0180253994265,2010/1/11,2010/1/11,18.1541948776,0.0,0.0,0.0,0.0,0.0,6062.0,75714380.0,0.0228182546037,1.0
L.DCE,2010/1/12,12490.0,12415.0,12445.0,12230.0,12255.0,179180.0,11024325800.0,0,-170.0,-0.013610888711,1.721377102,12305.30841,58786.0,12425.0,12305.0,-120.0,-0.00965794768612,2010/1/12,2010/1/12,17.3583611799,0.0,0.0,0.0,0.0,0.0,-4842.0,-59338710.0,-0.0138718890249,0.0
L.DCE,2010/1/13,12255.0,11995.0,11995.0,11740.0,11765.0,158518.0,9384495100.0,0,-540.0,-0.0440636474908,2.080783354,11840.28956,52806.0,12305.0,11840.0,-465.0,-0.0377895164567,2010/1/13,2010/1/13,15.6566626961,0.0,0.0,0.0,0.0,0.0,-5980.0,-70354700.0,-0.0458988525287,0.0
L.DCE,2010/1/14,11765.0,11900.0,12150.0,11850.0,12065.0,334574.0,20120384400.0,0,225.0,0.019124521887,2.549936252,12027.46442,64460.0,11840.0,12025.0,185.0,0.015625,2010/1/14,2010/1/14,15.3040527446,0.0,0.0,0.0,0.0,0.0,11654.0,140605510.0,0.0186489846664,1.0
L.DCE,2010/1/15,12065.0,12035.0,12055.0,11770.0,11840.0,212622.0,12656038900.0,0,-185.0,-0.0153336096146,2.362204724,11904.73131,57490.0,12025.0,11900.0,-125.0,-0.010395010395,2010/1/15,2010/1/15,14.6012804124,16.9592720826,0.0,0.0,0.0,0.0,-6970.0,-82524800.0,-0.015625,0.0
L.DCE,2010/1/18,11840.0,11685.0,12040.0,11680.0,11985.0,378828.0,22640879100.0,0,85.0,0.00717905405405,3.040540541,11953.11809,73890.0,11900.0,11950.0,50.0,0.00420168067227,2010/1/18,2010/1/18,13.5223725105,16.2980335374,0.0,0.0,0.0,0.0,16400.0,196554000.0,0.00709219858156,1.0
L.DCE,2010/1/19,11985.0,12030.0,12075.0,11920.0,12000.0,268256.0,16083144800.0,0,50.0,0.00417188151856,1.293283271,11990.89288,74398.0,11950.0,11990.0,40.0,0.00334728033473,2010/1/19,2010/1/19,12.9688575118,15.6160873848,0.0,0.0,0.0,0.0,508.0,6096000.0,0.00416666666667,1.0
L.DCE,2010/1/20,12000.0,12100.0,12205.0,12000.0,12100.0,353290.0,21397246700.0,0,110.0,0.00916666666667,1.708333333,12113.13465,73472.0,11990.0,12110.0,120.0,0.0100083402836,2010/1/20,2010/1/20,13.6948290472,15.0872283762,0.0,0.0,0.0,0.0,-926.0,-11204600.0,0.00909090909091,1.0
L.DCE,2010/1/21,12100.0,12100.0,12335.0,12065.0,12335.0,366340.0,22406705300.0,0,225.0,0.0185950413223,2.231404959,12232.73751,81580.0,12110.0,12230.0,120.0,0.00990916597853,2010/1/21,2010/1/21,14.2726016448,15.1924351047,0.0,0.0,0.0,0.0,8108.0,100012180.0,0.0182407782732,1.0
L.DCE,2010/1/22,12335.0,12135.0,12315.0,11920.0,12070.0,429676.0,26044858500.0,0,-160.0,-0.0129712201054,3.202269964,12123.02223,65192.0,12230.0,12120.0,-110.0,-0.00899427636958,2010/1/22,2010/1/22,14.7595238969,15.0819618171,0.0,0.0,0.0,0.0,-16388.0,-197803160.0,-0.013256006628,0.0
L.DCE,2010/1/25,12070.0,12030.0,12070.0,11880.0,11945.0,319172.0,19091328600.0,0,-175.0,-0.0144987572494,1.574150787,11963.03473,67690.0,12120.0,11960.0,-160.0,-0.013201320132,2010/1/25,2010/1/25,14.6751920929,14.5043746206,0.0,0.0,0.0,0.0,2498.0,29838610.0,-0.014650481373,0.0
L.DCE,2010/1/26,11945.0,12000.0,12050.0,11775.0,11775.0,279996.0,16684050100.0,0,-185.0,-0.0154876517371,2.302218501,11917.34889,65778.0,11960.0,11915.0,-45.0,-0.00376254180602,2010/1/26,2010/1/26,14.1980790605,13.9899315739,0.0,0.0,0.0,0.0,-1912.0,-22513800.0,-0.0157112526539,0.0
L.DCE,2010/1/27,11775.0,11835.0,11845.0,11535.0,11575.0,392762.0,22835207600.0,0,-340.0,-0.0288747346072,2.632696391,11628.01269,79610.0,11915.0,11625.0,-290.0,-0.0243390684012,2010/1/27,2010/1/27,13.066955442,13.7848294832,0.0,0.0,0.0,0.0,13832.0,160105400.0,-0.029373650108,0.0
L.DCE,2010/1/28,11575.0,11445.0,11520.0,11330.0,11450.0,346678.0,19810803600.0,0,-175.0,-0.0151187904968,1.641468683,11428.93613,77622.0,11625.0,11425.0,-200.0,-0.0172043010753,2010/1/28,2010/1/28,11.1055733748,13.1153105534,0.0,0.0,0.0,0.0,-1988.0,-22762600.0,-0.0152838427948,0.0
L.DCE,2010/1/29,11450.0,11425.0,11500.0,11360.0,11450.0,233502.0,13346978900.0,0,25.0,0.00218340611354,1.222707424,11432.00392,70530.0,11425.0,11430.0,5.0,0.000437636761488,2010/1/29,2010/1/29,9.69265294747,12.6863328611,15.6588928799,0.0,0.0,0.0,-7092.0,-81203400.0,0.00218340611354,0.0
L.DCE,2010/2/1,11450.0,11415.0,11495.0,11245.0,11375.0,279494.0,15886795300.0,0,-55.0,-0.00480349344978,2.183406114,11368.25499,71662.0,11430.0,11365.0,-65.0,-0.00568678915136,2010/2/1,2010/2/1,8.36707901107,12.0086376673,14.9848330807,0.0,0.0,0.0,1132.0,12876500.0,-0.00483516483516,0.0
L.DCE,2010/2/2,11375.0,11500.0,11600.0,11150.0,11285.0,285564.0,16220398600.0,0,-80.0,-0.00703296703297,3.956043956,11360.25451,75532.0,11365.0,11360.0,-5.0,-0.000439947206335,2010/2/2,2010/2/2,7.20828629306,11.2040540776,14.2381051217,0.0,0.0,0.0,3870.0,43672950.0,-0.00708905626938,0.0
L.DCE,2010/2/3,11285.0,11480.0,11500.0,11215.0,11475.0,350400.0,19943905000.0,0,115.0,0.0101905183872,2.525476296,11383.50742,73476.0,11360.0,11380.0,20.0,0.00176056338028,2010/2/3,2010/2/3,6.96970082433,10.4919255196,13.6158771156,0.0,0.0,0.0,-2056.0,-23592600.0,0.0100217864924,1.0
