heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
LR.CZC,2014/7/8,0,2760,2816,2760,2813,25016,1401797900,0,53,1.920289855,0.0,2801.802646,9500,2760,2802,42,0.0,2014/7/8,2014/7/8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
LR.CZC,2014/7/9,2813,2820,2824,2799,2804,9050,508016800,0,2,0.0,0.888730892,2806.722652,10854,2802,2807,5,0.0,2014/7/9,2014/7/9,0.0,0.0,0.0,0.0,0.0,0.0,1354,3796616,0.0,0
LR.CZC,2014/7/10,2804,2805,2810,2795,2804,2190,122722800,0,-3,-1.0,0.534950071,2801.890411,10614,2807,2802,-5,-1.0,2014/7/10,2014/7/10,0.0,0.0,0.0,0.0,0.0,0.0,-240,-672960,-1.0,0
LR.CZC,2014/7/11,2804,2805,2845,2804,2828,4068,229631800,0,26,0.0,1.462196862,2822.416421,10322,2802,2822,20,0.0,2014/7/11,2014/7/11,0.0,0.0,0.0,0.0,0.0,0.0,-292,-825776,0.0,1
LR.CZC,2014/7/14,2828,2828,2839,2818,2830,1684,95270200,0,8,0.0,0.742574257,2828.687648,10136,2822,2829,7,0.0,2014/7/14,2014/7/14,-6.42743989652,0.0,0.0,0.0,0.0,0.0,-186,-526380,0.0,1
LR.CZC,2014/7/15,2830,2833,2837,2826,2831,1362,77142100,0,2,0.0,0.38869258,2831.941997,9826,2829,2832,3,0.0,2014/7/15,2014/7/15,-5.61641789034,0.0,0.0,0.0,0.0,0.0,-310,-877610,0.0,1
LR.CZC,2014/7/16,2831,2833,2833,2816,2828,982,55522200,0,-4,-1.0,0.600494525,2826.995927,9674,2832,2827,-5,-1.0,2014/7/16,2014/7/16,-4.53794751949,0.0,0.0,0.0,0.0,0.0,-152,-429856,-1.0,0
LR.CZC,2014/7/17,2828,2823,2824,2806,2815,1066,60010600,0,-12,-1.0,0.636492221,2814.756098,9780,2827,2815,-12,-1.0,2014/7/17,2014/7/17,-4.04494729589,0.0,0.0,0.0,0.0,0.0,106,298390,-1.0,0
LR.CZC,2014/7/18,2815,2811,2824,2806,2816,1312,73844100,0,1,0.0,0.639431616,2814.18064,9340,2815,2814,-1,-1.0,2014/7/18,2014/7/18,-4.58280881298,0.0,0.0,0.0,0.0,0.0,-440,-1239040,0.0,1
LR.CZC,2014/7/21,2816,2808,2822,2808,2819,468,26383600,0,5,0.0,0.497159091,2818.760684,9296,2814,2819,5,0.0,2014/7/21,2014/7/21,-5.07672834779,-5.84772804438,0.0,0.0,0.0,0.0,-44,-124036,0.0,1
