heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
M.DCE,2010/1/4,3020.0,3050.0,3055.0,3024.0,3033.0,996272.0,30269532000.0,0,24.0,0.00794701986755,1.026490066,3038.279908,1064048.0,3009.0,3038.0,29.0,0.00963775340645,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,28254.0,85694382.0,0.00791295746785,1.0
M.DCE,2010/1/5,3033.0,3035.0,3051.0,3032.0,3032.0,966822.0,29397073200.0,0,-6.0,-0.00197823936696,0.626442466,3040.587947,1072058.0,3038.0,3040.0,2.0,0.000658327847268,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,24286320.0,-0.00197889182058,0.0
M.DCE,2010/1/6,3032.0,3035.0,3082.0,3030.0,3058.0,1301166.0,39791909400.0,0,18.0,0.00593667546174,1.715039578,3058.173162,1101624.0,3040.0,3058.0,18.0,0.00592105263158,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,29566.0,90412828.0,0.0058862001308,1.0
M.DCE,2010/1/7,3058.0,3065.0,3080.0,2936.0,2988.0,1524266.0,45982604400.0,0,-70.0,-0.0228907782865,4.708960105,3016.704722,1053354.0,3058.0,3016.0,-42.0,-0.0137344669719,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-48270.0,-144230760.0,-0.0234270414993,0.0
M.DCE,2010/1/8,2988.0,2980.0,2986.0,2930.0,2962.0,1081884.0,32034267400.0,0,-54.0,-0.0180722891566,1.87416332,2960.970622,1041282.0,3016.0,2960.0,-56.0,-0.0185676392573,2010/1/8,2010/1/8,-9.07040880052,0.0,0.0,0.0,0.0,0.0,-12072.0,-35757264.0,-0.0182309250506,0.0
M.DCE,2010/1/11,2962.0,2984.0,2998.0,2980.0,2985.0,579852.0,17332451700.0,0,25.0,0.008440243079,0.607697502,2989.116481,1036886.0,2960.0,2989.0,29.0,0.0097972972973,2010/1/11,2010/1/11,-9.42733966031,0.0,0.0,0.0,0.0,0.0,-4396.0,-13122060.0,0.00837520938023,1.0
M.DCE,2010/1/12,2985.0,2958.0,2967.0,2941.0,2955.0,640288.0,18928104900.0,0,-34.0,-0.0113902847571,0.871021776,2956.186107,1069506.0,2989.0,2956.0,-33.0,-0.0110404817665,2010/1/12,2010/1/12,-10.0,0.0,0.0,0.0,0.0,0.0,32620.0,96392100.0,-0.0115059221658,0.0
M.DCE,2010/1/13,2955.0,2890.0,2898.0,2860.0,2869.0,843484.0,24281261400.0,0,-87.0,-0.0294416243655,1.285956007,2878.686662,1047434.0,2956.0,2878.0,-78.0,-0.0263870094723,2010/1/13,2010/1/13,-11.405378307,0.0,0.0,0.0,0.0,0.0,-22072.0,-63324568.0,-0.0303241547578,0.0
M.DCE,2010/1/14,2869.0,2889.0,2898.0,2880.0,2881.0,620724.0,17927356900.0,0,3.0,0.00104566050889,0.627396305,2888.136579,1065782.0,2878.0,2888.0,10.0,0.00347463516331,2010/1/14,2010/1/14,-12.2003544126,0.0,0.0,0.0,0.0,0.0,18348.0,52860588.0,0.0010413051024,1.0
M.DCE,2010/1/15,2881.0,2875.0,2905.0,2870.0,2886.0,1040630.0,30102310900.0,0,-2.0,-0.000694203401597,1.214855953,2892.700662,1035494.0,2888.0,2892.0,4.0,0.00138504155125,2010/1/15,2010/1/15,-12.7644976059,-11.1093881643,0.0,0.0,0.0,0.0,-30288.0,-87411168.0,-0.000693000693001,1.0
