heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
MA.CZC,2011/10/28,0,3199,3220,3130,3139,40508,6394235800.0,0,89,2.918032787,0.0,3157.023699,3342,3050,3157,107,0.0,2011/10/28,2011/10/28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
MA.CZC,2011/10/31,3139,3136,3198,3110,3134,34928,5490071800.0,0,-23,-1.0,2.803440586,3143.650825,3646,3157,3144,-13,-1.0,2011/10/31,2011/10/31,0.0,0.0,0.0,0.0,0.0,0.0,304,952736,-1.0,0
MA.CZC,2011/11/1,3134,3140,3154,3125,3131,13354,2094407400.0,0,-13,-1.0,0.925335035,3136.749139,3052,3144,3137,-7,-1.0,2011/11/1,2011/11/1,0.0,0.0,0.0,0.0,0.0,0.0,-594,-1859814,-1.0,0
MA.CZC,2011/11/2,3131,3112,3128,3095,3123,7712,1200586500.0,0,-14,-1.0,1.053976365,3113.554201,3482,3137,3114,-23,-1.0,2011/11/2,2011/11/2,0.0,0.0,0.0,0.0,0.0,0.0,430,1342890,-1.0,0
MA.CZC,2011/11/3,3123,3120,3122,3107,3114,3308,515493600.0,0,0,0.0,0.480307397,3116.648126,3006,3114,3117,3,0.0,2011/11/3,2011/11/3,7.2935878024,0.0,0.0,0.0,0.0,0.0,-476,-1482264,0.0,0
MA.CZC,2011/11/4,3114,3126,3145,3122,3139,5856,917186300.0,0,22,0.0,0.738599872,3132.466872,2726,3117,3132,15,0.0,2011/11/4,2011/11/4,7.2935878024,0.0,0.0,0.0,0.0,0.0,-280,-878920,0.0,1
MA.CZC,2011/11/7,3139,3139,3142,3121,3126,1748,273519700.0,0,-6,-1.0,0.669002867,3129.516018,2640,3132,3130,-2,-1.0,2011/11/7,2011/11/7,7.23415528853,0.0,0.0,0.0,0.0,0.0,-86,-268836,-1.0,0
MA.CZC,2011/11/8,3126,3130,3134,3114,3118,1648,257301900.0,0,-12,-1.0,0.639795266,3122.595874,2774,3130,3123,-7,-1.0,2011/11/8,2011/11/8,7.13748431601,0.0,0.0,0.0,0.0,0.0,134,417812,-1.0,0
MA.CZC,2011/11/9,3118,3125,3128,3008,3019,22388,3404842500.0,0,-104,-1.0,3.848620911,3041.667411,6810,3123,3042,-81,-1.0,2011/11/9,2011/11/9,6.36002978255,0.0,0.0,0.0,0.0,0.0,4036,12184684,-1.0,0
MA.CZC,2011/11/10,3019,2975,2975,2920,2920,12856,1888083000.0,0,-122,-1.0,1.821795296,2937.279091,8186,3042,2937,-105,-1.0,2011/11/10,2011/11/10,4.89114274906,5.97285483774,0.0,0.0,0.0,0.0,1376,4017920,-1.0,0
