heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
NI,20150327,102070.0,102070.0,101870.0,102710.0,100650.0,101080.0,101180.0,-990,-890.0,-0.00871950622122,292013.14,14364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00884252359662,0.0
NI,20150330,101080.0,101180.0,99010.0,100000.0,96820.0,98430.0,98390.0,-2750,-2790.0,-0.0276018994856,656151.76,34186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0288163602561,0.0
NI,20150331,98430.0,98390.0,98000.0,98200.0,93840.0,95040.0,95950.0,-3350,-2440.0,-0.0247891902875,1013274.91,54888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0260017050298,0.0
NI,20150401,95040.0,95950.0,93940.0,94130.0,91270.0,92500.0,92870.0,-3450,-3080.0,-0.0324074074074,1476338.49,70960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0337460282678,0.0
NI,20150402,92500.0,92870.0,92870.0,96600.0,92550.0,96160.0,94320.0,3290,1450.0,0.0156756756757,1913386.81,80724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55708782097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156672069152,1.0
NI,20150403,96160.0,94320.0,96000.0,97800.0,95660.0,97300.0,96530.0,2980,2210.0,0.0229825291181,1450703.29,80998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40788979355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231026552373,0.0
NI,20150407,97300.0,96530.0,97500.0,97980.0,95950.0,96420.0,96790.0,-110,260.0,0.00267214799589,732658.13,83542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20590984975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00270974465868,0.0
NI,20150408,96420.0,96790.0,94500.0,95630.0,93300.0,93950.0,94450.0,-2840,-2340.0,-0.0242688238955,1729307.82,95102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08030743852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0250803858521,0.0
NI,20150409,93950.0,94450.0,94450.0,95260.0,93880.0,94300.0,94500.0,-150,50.0,0.000532197977648,1521333.54,99084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68570602722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000532594801875,0.0
NI,20150410,94300.0,94500.0,94500.0,94970.0,93180.0,94540.0,94080.0,40,-420.0,-0.00445387062566,1295809.03,105628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83119504612,7.43993930331,0.0,0.0,0.0,0.0,0.0,0.0,-0.00450740502254,0.0
