heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
OI.CZC,2010/1/4,8516,8586,8686,8552,8624,64990,2801610900,0,158,0.0,1.57350869,8621.667641,44288,8466,8622,156,0.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,2936,25320064,0.0,1
OI.CZC,2010/1/5,8624,8650,8678,8610,8628,56432,2437168800,0,6,0.0,0.788497217,8637.54182,45460,8622,8638,16,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,1172,10112016,0.0,1
OI.CZC,2010/1/6,8628,8602,8782,8586,8708,127922,5573366400,0,70,0.0,2.271673621,8713.694908,56532,8638,8714,76,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,11072,96414976,0.0,1
OI.CZC,2010/1/7,8708,8746,8796,8280,8506,130756,5606967400,0,-208,-1.0,5.925585668,8576.229619,52974,8714,8576,-138,-1.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-3558,-30264348,-1.0,0
OI.CZC,2010/1/8,8506,8500,8546,8330,8396,102814,4335188300,0,-180,-1.0,2.539383964,8433.07001,50950,8576,8434,-142,-1.0,2010/1/8,2010/1/8,-2.37419488086,0.0,0.0,0.0,0.0,0.0,-2024,-16993504,-1.0,0
OI.CZC,2010/1/11,8396,8454,8534,8452,8474,76800,3263969500,0,40,0.0,0.97665555,8499.920573,56608,8434,8500,66,0.0,2010/1/11,2010/1/11,-2.54289644384,0.0,0.0,0.0,0.0,0.0,5658,47945892,0.0,1
OI.CZC,2010/1/12,8474,8412,8432,8352,8378,57964,2432202800,0,-122,-1.0,0.944064196,8392.115106,54698,8500,8392,-108,-1.0,2010/1/12,2010/1/12,-2.82436786247,0.0,0.0,0.0,0.0,0.0,-1910,-16001980,-1.0,0
OI.CZC,2010/1/13,8378,8188,8228,8126,8142,73500,3007953700,0,-250,-1.0,1.217474338,8184.908027,56104,8392,8186,-206,-1.0,2010/1/13,2010/1/13,-3.46294788766,0.0,0.0,0.0,0.0,0.0,1406,11447652,-1.0,0
OI.CZC,2010/1/14,8142,8204,8254,8184,8184,50540,2075126100,0,-2,-1.0,0.859739622,8211.816779,54178,8186,8212,26,0.0,2010/1/14,2010/1/14,-3.82701269177,0.0,0.0,0.0,0.0,0.0,-1926,-15762384,-1.0,1
OI.CZC,2010/1/15,8184,8150,8228,8122,8138,49124,2006838900,0,-74,-1.0,1.295210166,8170.502809,55760,8212,8172,-40,-1.0,2010/1/15,2010/1/15,-4.11909577217,-3.22721762909,0.0,0.0,0.0,0.0,1582,12874316,-1.0,0
