heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
P.DCE,2010/1/4,7276,7300,7368,7244,7302,641592,46900641500.0,0,116,0.0,1.704233095,7310.041506,302644,7186,7310,124,0.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-46378,-338652156,0.0,1
P.DCE,2010/1/5,7302,7320,7388,7288,7344,726722,53400369600.0,0,34,0.0,1.369487812,7348.11518,329262,7310,7348,38,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,26618,195482592,0.0,1
P.DCE,2010/1/6,7344,7314,7466,7304,7376,758566,56141624800.0,0,28,0.0,2.205882353,7401.020452,345622,7348,7400,52,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,16360,120671360,0.0,1
P.DCE,2010/1/7,7376,7420,7464,7030,7134,971910,70194542400.0,0,-266,-1.0,5.883947939,7222.329475,284252,7400,7222,-178,-1.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-61370,-437813580,-1.0,0
P.DCE,2010/1/8,7134,7130,7150,6914,7036,857686,60433039000.0,0,-186,-1.0,3.308102047,7046.056366,264762,7222,7046,-176,-1.0,2010/1/8,2010/1/8,2.43692950757,0.0,0.0,0.0,0.0,0.0,-19490,-137131640,-1.0,0
P.DCE,2010/1/11,7036,7124,7204,7120,7124,697064,49890203400.0,0,78,0.0,1.193860148,7157.191219,279150,7046,7156,110,0.0,2010/1/11,2010/1/11,2.09339410526,0.0,0.0,0.0,0.0,0.0,14388,102500112,0.0,1
P.DCE,2010/1/12,7124,7022,7100,7008,7034,495840,34946754100.0,0,-122,-1.0,1.291409321,7047.990098,286586,7156,7046,-110,-1.0,2010/1/12,2010/1/12,1.49283051219,0.0,0.0,0.0,0.0,0.0,7436,52304824,-1.0,0
P.DCE,2010/1/13,7034,6800,6880,6736,6794,544822,37167218000.0,0,-252,-1.0,2.047199318,6821.901098,263236,7046,6820,-226,-1.0,2010/1/13,2010/1/13,0.357948554916,0.0,0.0,0.0,0.0,0.0,-23350,-158639900,-1.0,0
P.DCE,2010/1/14,6794,6880,6918,6844,6888,472570,32529564400.0,0,68,0.0,1.08919635,6883.54411,248218,6820,6882,62,0.0,2010/1/14,2010/1/14,-0.124457064216,0.0,0.0,0.0,0.0,0.0,-15018,-103443984,0.0,1
P.DCE,2010/1/15,6888,6860,6944,6786,6842,586250,40270070700.0,0,-40,-1.0,2.293844367,6869.095215,255726,6882,6868,-14,-1.0,2010/1/15,2010/1/15,-0.505959354904,1.32566670237,0.0,0.0,0.0,0.0,7508,51369736,-1.0,0
P.DCE,2010/1/18,6842,6790,6862,6750,6820,581646,39605314200.0,0,-48,-1.0,1.636948261,6809.178469,308022,6868,6808,-60,-1.0,2010/1/18,2010/1/18,-1.10558302167,0.84414599701,0.0,0.0,0.0,0.0,52296,356658720,-1.0,0
P.DCE,2010/1/19,6820,6850,6892,6810,6846,434246,29741339100.0,0,38,0.0,1.202346041,6848.960981,297188,6808,6848,40,0.0,2010/1/19,2010/1/19,-1.47745520625,0.344890752627,0.0,0.0,0.0,0.0,-10834,-74169564,0.0,1
P.DCE,2010/1/20,6846,6888,6894,6698,6702,622982,42259903900.0,0,-146,-1.0,2.862985685,6783.487147,292092,6848,6782,-66,-1.0,2010/1/20,2010/1/20,-1.65971611642,-0.333503721955,0.0,0.0,0.0,0.0,-5096,-34153392,-1.0,0
P.DCE,2010/1/21,6702,6688,6830,6662,6818,694602,46774032000.0,0,36,0.0,2.506714414,6733.932813,280430,6782,6732,-50,-1.0,2010/1/21,2010/1/21,-1.79851333013,-0.652582046129,0.0,0.0,0.0,0.0,-11662,-79511516,0.0,1
P.DCE,2010/1/22,6818,6752,6826,6658,6808,786590,53118083400.0,0,76,0.0,2.464065708,6752.956864,278932,6732,6752,20,0.0,2010/1/22,2010/1/22,-1.86596610809,-0.883190503253,0.0,0.0,0.0,0.0,-1498,-10198384,0.0,0
P.DCE,2010/1/25,6808,6790,6868,6774,6818,800640,54697181000.0,0,66,0.0,1.380728555,6831.682279,313968,6752,6830,78,0.0,2010/1/25,2010/1/25,-1.86993466549,-1.19318665952,0.0,0.0,0.0,0.0,35036,238875448,0.0,1
P.DCE,2010/1/26,6818,6826,6846,6706,6706,765770,51874514600.0,0,-124,-1.0,2.05338809,6774.163861,306826,6830,6774,-56,-1.0,2010/1/26,2010/1/26,-2.14793705549,-1.52608099463,0.0,0.0,0.0,0.0,-7142,-47894252,-1.0,0
P.DCE,2010/1/27,6706,6750,6774,6690,6750,665180,44838001400.0,0,-24,-1.0,1.252609603,6740.732042,289686,6774,6740,-34,-1.0,2010/1/27,2010/1/27,-2.05257711462,-1.57078442183,0.0,0.0,0.0,0.0,-17140,-115695000,-1.0,1
P.DCE,2010/1/28,6750,6682,6720,6618,6704,631430,42213263600.0,0,-36,-1.0,1.511111111,6685.343363,276574,6740,6684,-56,-1.0,2010/1/28,2010/1/28,-2.27913209411,-1.75784359943,0.0,0.0,0.0,0.0,-13112,-87902848,-1.0,0
P.DCE,2010/1/29,6704,6700,6772,6640,6646,720468,48383128100.0,0,-38,-1.0,1.968973747,6715.513819,304518,6684,6714,30,0.0,2010/1/29,2010/1/29,-2.60151666439,-1.95730754981,-0.916402022985,0.0,0.0,0.0,27944,185715824,-1.0,0
P.DCE,2010/2/1,6646,6662,6682,6554,6556,575700,38003683800.0,0,-158,-1.0,1.925970509,6601.299948,286032,6714,6600,-114,-1.0,2010/2/1,2010/2/1,-3.12394298457,-2.22629933162,-1.27723950927,0.0,0.0,0.0,-18486,-121194216,-1.0,0
P.DCE,2010/2/2,6556,6644,6644,6534,6558,459570,30257276500.0,0,-42,-1.0,1.677852349,6583.823248,282612,6600,6582,-18,-1.0,2010/2/2,2010/2/2,-3.41959273564,-2.52015857796,-1.65822333325,0.0,0.0,0.0,-3420,-22428360,-1.0,1
P.DCE,2010/2/3,6558,6686,6724,6636,6720,470116,31381385900.0,0,138,0.0,1.341872522,6675.24311,285022,6582,6674,92,0.0,2010/2/3,2010/2/3,-3.47956718871,-2.5017800172,-1.97679718369,0.0,0.0,0.0,2410,16195200,0.0,1
P.DCE,2010/2/4,6720,6662,6694,6608,6648,447720,29764691100.0,0,-26,-1.0,1.279761905,6648.0593,289572,6674,6648,-26,-1.0,2010/2/4,2010/2/4,-3.59155954876,-2.67541975252,-2.21315454242,0.0,0.0,0.0,4550,30248400,-1.0,0
P.DCE,2010/2/5,6648,6582,6728,6572,6684,529578,35282499600.0,0,36,0.0,2.346570397,6662.380159,295658,6648,6662,14,0.0,2010/2/5,2010/2/5,-3.51555907266,-2.80216440878,-2.38451921431,0.0,0.0,0.0,6086,40678824,0.0,1
P.DCE,2010/2/8,6684,6740,6796,6732,6784,469572,31775907600.0,0,122,0.0,0.957510473,6766.993688,322866,6662,6766,104,0.0,2010/2/8,2010/2/8,-3.06006874755,-2.83693001013,-2.55017878802,0.0,0.0,0.0,27208,184579072,0.0,1
P.DCE,2010/2/9,6784,6802,6814,6748,6776,351342,23791531200.0,0,10,0.0,0.972877358,6771.616032,310254,6766,6770,4,0.0,2010/2/9,2010/2/9,-2.62541696243,-2.76535986164,-2.67597315464,0.0,0.0,0.0,-12612,-85458912,0.0,0
