heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
PB,20110324,18350.0,18350.0,19230.0,19570.0,18830.0,18935.0,19095.0,585,745.0,0.0405994550409,3506074.3,9696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395645246946,1.0
PB,20110325,18935.0,19095.0,18935.0,19135.0,18860.0,18950.0,18995.0,-145,-100.0,-0.00528122524426,1180466.85,8494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00530222693531,0.0
PB,20110328,18950.0,18995.0,18900.0,19035.0,18500.0,18605.0,18775.0,-390,-220.0,-0.0116094986807,796226.15,8262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0118918918919,0.0
PB,20110329,18605.0,18775.0,18530.0,18735.0,18485.0,18675.0,18635.0,-100,-140.0,-0.0075248589089,494775.53,7968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00757370841223,0.0
PB,20110330,18675.0,18635.0,18800.0,18850.0,18695.0,18760.0,18755.0,125,120.0,0.00642570281124,379213.55,7320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9114705238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641882856379,1.0
PB,20110331,18760.0,18755.0,18700.0,18720.0,18580.0,18665.0,18650.0,-90,-105.0,-0.00559701492537,142487.35,6776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.629181357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056512378902,0.0
PB,20110401,18665.0,18650.0,18780.0,18780.0,18570.0,18640.0,18665.0,-10,15.0,0.000803643182427,118995.63,6716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2985559484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000807754442649,0.0
PB,20110406,18640.0,18665.0,18675.0,19360.0,18675.0,19220.0,19080.0,555,415.0,0.0222639484979,734737.63,9362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4984780548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222222222222,1.0
PB,20110407,19220.0,19080.0,19200.0,19300.0,19035.0,19075.0,19135.0,-5,55.0,0.0028616024974,498821.1,8644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1187308812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00288941423693,0.0
PB,20110408,19075.0,19135.0,19090.0,19250.0,19005.0,19175.0,19145.0,40,10.0,0.000524246395806,403720.35,9388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4629087458,21.3169535323,0.0,0.0,0.0,0.0,0.0,0.0,0.000526177321757,0.0
PB,20110411,19175.0,19145.0,19250.0,19440.0,19145.0,19210.0,19285.0,65,140.0,0.00730117340287,672127.03,10242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0801047873,21.4930131779,0.0,0.0,0.0,0.0,0.0,0.0,0.0073126142596,0.0
PB,20110412,19210.0,19285.0,19000.0,19125.0,18790.0,18800.0,18955.0,-485,-330.0,-0.0171785528371,438690.7,9154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3168915644,21.4539781491,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175625332624,0.0
PB,20110413,18800.0,18955.0,18610.0,18745.0,18540.0,18715.0,18645.0,-240,-310.0,-0.0164893617021,259488.8,8776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1718259964,21.4762901336,0.0,0.0,0.0,0.0,0.0,0.0,-0.0167206040992,0.0
PB,20110414,18715.0,18645.0,18555.0,18690.0,18540.0,18580.0,18605.0,-65,-40.0,-0.00213732300294,178920.78,8574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6335275667,21.5069418813,0.0,0.0,0.0,0.0,0.0,0.0,-0.00215749730313,0.0
PB,20110415,18580.0,18605.0,18605.0,18780.0,18505.0,18580.0,18650.0,-25,45.0,0.0024219590958,465898.7,8818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0796261927,21.4009203659,0.0,0.0,0.0,0.0,0.0,0.0,0.00243177519589,0.0
PB,20110418,18580.0,18650.0,18575.0,18650.0,18525.0,18580.0,18585.0,-70,-65.0,-0.0034983853606,154906.48,8898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3786732132,21.3701597312,0.0,0.0,0.0,0.0,0.0,0.0,-0.00350877192982,0.0
PB,20110419,18580.0,18585.0,18300.0,18350.0,17950.0,17980.0,18150.0,-605,-435.0,-0.0234122712594,380762.93,10212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4042614504,21.0212264327,0.0,0.0,0.0,0.0,0.0,0.0,-0.0242339832869,0.0
PB,20110420,17980.0,18150.0,18065.0,18180.0,18065.0,18165.0,18120.0,15,-30.0,-0.00166852057842,132729.6,9508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8407752894,20.6740267574,0.0,0.0,0.0,0.0,0.0,0.0,-0.00166066980349,1.0
PB,20110421,18165.0,18120.0,18300.0,18300.0,18140.0,18180.0,18200.0,60,80.0,0.00440407376824,113957.95,9250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3593355654,20.1576481599,0.0,0.0,0.0,0.0,0.0,0.0,0.00441014332966,0.0
PB,20110422,18180.0,18200.0,18235.0,18235.0,17880.0,17975.0,17980.0,-225,-220.0,-0.012101210121,153769.43,9506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5945338717,19.4968900577,20.9313813253,0.0,0.0,0.0,0.0,0.0,-0.0123042505593,0.0
PB,20110425,17975.0,17980.0,17980.0,18050.0,17760.0,17760.0,17855.0,-220,-125.0,-0.00695410292072,93849.78,9514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6378545446,18.6657126257,20.6218497173,0.0,0.0,0.0,0.0,0.0,-0.00703828828829,0.0
PB,20110426,17760.0,17855.0,17695.0,17695.0,17420.0,17645.0,17540.0,-210,-315.0,-0.0177364864865,153740.53,8968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9619943585,17.8245298467,20.2004812326,0.0,0.0,0.0,0.0,0.0,-0.0180826636051,0.0
PB,20110427,17645.0,17540.0,17620.0,17790.0,17420.0,17550.0,17645.0,10,105.0,0.00595069424766,131200.38,8776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1253198619,17.1229904484,19.8808528137,0.0,0.0,0.0,0.0,0.0,0.00602755453502,0.0
PB,20110428,17550.0,17645.0,17555.0,17850.0,17555.0,17755.0,17745.0,110,100.0,0.00569800569801,145426.1,8592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3532705223,16.4958489669,19.6031534137,0.0,0.0,0.0,0.0,0.0,0.00569638279692,1.0
PB,20110429,17755.0,17745.0,17665.0,17725.0,17530.0,17550.0,17600.0,-195,-145.0,-0.0081667136018,68122.7,8520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8854619054,15.865833559,19.2520790298,0.0,0.0,0.0,0.0,0.0,-0.00827153451226,0.0
PB,20110503,17550.0,17600.0,17550.0,17650.0,17460.0,17530.0,17545.0,-70,-55.0,-0.0031339031339,83442.28,8712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4810209284,15.1673092303,18.9112213603,0.0,0.0,0.0,0.0,0.0,-0.00315005727377,0.0
PB,20110504,17530.0,17545.0,17590.0,17595.0,17440.0,17480.0,17500.0,-65,-45.0,-0.00256702795208,49879.68,8546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5080822855,14.829027261,18.564015059,0.0,0.0,0.0,0.0,0.0,-0.00258027522936,0.0
PB,20110505,17480.0,17500.0,17310.0,17310.0,16450.0,16715.0,16980.0,-785,-520.0,-0.0297482837529,172781.28,8648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1796508123,13.7419523069,17.8707231249,0.0,0.0,0.0,0.0,0.0,-0.0316109422492,0.0
PB,20110506,16715.0,16980.0,16220.0,16440.0,16190.0,16255.0,16300.0,-725,-680.0,-0.0406820221358,266571.3,8950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2569483883,12.3980940459,16.9658381629,0.0,0.0,0.0,0.0,0.0,-0.0420012353305,0.0
PB,20110509,16255.0,16300.0,16330.0,16640.0,16330.0,16620.0,16520.0,320,220.0,0.0135342971393,134085.55,8668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51818217406,11.3063425366,16.096477155,19.0017109719,0.0,0.0,0.0,0.0,0.0134721371709,1.0
PB,20110510,16620.0,16520.0,16505.0,16710.0,16465.0,16645.0,16560.0,125,40.0,0.00240673886883,114276.28,8604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04441854649,10.3788000833,15.207805089,18.508129181,0.0,0.0,0.0,0.0,0.00242939568782,0.0
PB,20110511,16645.0,16560.0,16690.0,17200.0,16595.0,16675.0,16750.0,115,190.0,0.0114148392911,152360.08,8608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77157986752,9.78081453445,14.4670264272,18.0291611219,0.0,0.0,0.0,0.0,0.0114492316963,0.0
PB,20110512,16675.0,16750.0,16450.0,16500.0,16220.0,16220.0,16350.0,-530,-400.0,-0.023988005997,180885.03,8802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42192515382,8.90148695599,13.671666639,17.5408895645,0.0,0.0,0.0,0.0,-0.0246609124538,0.0
PB,20110513,16220.0,16350.0,16475.0,16740.0,16340.0,16705.0,16575.0,355,225.0,0.0138717632552,158983.38,8680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65011225391,8.00003772001,12.9059280283,17.075961244,0.0,0.0,0.0,0.0,0.0137698898409,1.0
PB,20110516,16705.0,16575.0,16575.0,16655.0,16460.0,16555.0,16560.0,-20,-15.0,-0.000897934750075,118932.65,8702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84741445026,7.1972473267,12.1843107646,16.5858367143,0.0,0.0,0.0,0.0,-0.000911300121507,0.0
PB,20110517,16555.0,16560.0,16505.0,16610.0,16230.0,16570.0,16485.0,10,-75.0,-0.00453035336756,162095.05,8828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49044058727,6.26451941039,11.3634747089,16.0642953331,0.0,0.0,0.0,0.0,-0.00462107208872,0.0
PB,20110518,16570.0,16485.0,16735.0,16855.0,16620.0,16710.0,16715.0,225,230.0,0.0138805069403,218108.98,8574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52848280364,5.6370559647,10.8825793828,15.6267545652,0.0,0.0,0.0,0.0,0.0138387484958,1.0
PB,20110519,16710.0,16715.0,17180.0,17180.0,16925.0,16945.0,17025.0,230,310.0,0.0185517654099,235835.75,7866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.594685164,6.00106417317,10.4674061989,15.2304428412,0.0,0.0,0.0,0.0,0.0183161004431,1.0
PB,20110520,16945.0,17025.0,16995.0,16995.0,16850.0,16935.0,16920.0,-90,-105.0,-0.00619651814695,101186.9,7918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35777644633,6.50437145984,9.99434701586,14.7308287846,0.0,0.0,0.0,0.0,-0.00623145400593,0.0
PB,20110523,16935.0,16920.0,17000.0,17075.0,16565.0,16610.0,16770.0,-310,-150.0,-0.0088573959256,151026.98,7766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51399897389,6.68287196954,9.50862288011,14.1666973916,17.1748781943,0.0,0.0,0.0,-0.00905523694537,0.0
PB,20110524,16610.0,16770.0,16605.0,16800.0,16525.0,16760.0,16685.0,-10,-85.0,-0.00511739915713,108638.5,7484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9512573325,6.72838627278,9.0492945255,13.553763506,16.7925763855,0.0,0.0,0.0,-0.00514372163389,0.0
PB,20110525,16760.0,16685.0,16870.0,17095.0,16790.0,17090.0,16915.0,405,230.0,0.013723150358,115620.05,7434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20211470388,6.87613727812,8.81382385783,13.0809440501,16.4462346479,0.0,0.0,0.0,0.013698630137,1.0
PB,20110526,17090.0,16915.0,17050.0,17230.0,17050.0,17205.0,17150.0,290,235.0,0.0137507314219,134319.58,7458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38603812173,7.50206846308,8.67517142693,12.7259579412,16.2019396925,0.0,0.0,0.0,0.0137829912023,0.0
PB,20110527,17205.0,17150.0,17100.0,17340.0,17040.0,17315.0,17190.0,165,40.0,0.00232490555071,153873.55,7628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66473124656,8.02615802464,8.48174228648,12.3662587594,15.9571117168,0.0,0.0,0.0,0.00234741784038,0.0
PB,20110530,17315.0,17190.0,17230.0,17370.0,17030.0,17040.0,17170.0,-150,-20.0,-0.00115506786024,134545.1,7512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34229064291,8.45028015347,8.29346090679,12.0103002554,15.6733162723,0.0,0.0,0.0,-0.00117439812096,0.0
PB,20110531,17040.0,17170.0,17115.0,17180.0,16895.0,17095.0,17010.0,-75,-160.0,-0.0093896713615,182223.88,8092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87675525779,8.94203158562,8.08013175332,11.6143676021,15.3842784229,0.0,0.0,0.0,-0.00947025747263,0.0
PB,20110601,17095.0,17010.0,17085.0,17085.0,16910.0,16955.0,16980.0,-55,-30.0,-0.0017548990933,107673.5,8330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0491894778,9.15543111905,7.87947184291,11.3603549187,15.0977377979,0.0,0.0,0.0,-0.00177409816677,0.0
