heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
PM.CZC,2012/1/17,0,2219,2219,2219,2219,2,221900,0,-19,-0.848972297,0.0,2219.0,2,2238,2219,-19,-1.0,2012/1/17,2012/1/17,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,1
PM.CZC,2012/1/18,2219,2219,2219,2219,2219,0,0,0,-2219,-1.0,0.0,2219.0,2,2219,2219,0,0.0,2012/1/17,2012/1/18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
PM.CZC,2012/1/19,2219,2219,2219,2219,2219,0,0,0,-2219,-1.0,0.0,2219.0,2,2219,2219,0,0.0,2012/1/17,2012/1/19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0
PM.CZC,2012/1/20,2219,2218,2218,2204,2204,6,663900,0,-15,-1.0,0.630914826,2213.0,6,2219,2213,-6,-1.0,2012/1/20,2012/1/20,0.0,0.0,0.0,0.0,0.0,0.0,4,8816,-1.0,0
PM.CZC,2012/1/30,2204,2220,2220,2200,2219,8,883900,0,6,0.0,0.907441016,2209.75,12,2213,2210,-3,-1.0,2012/1/30,2012/1/30,-35.8036347777,0.0,0.0,0.0,0.0,0.0,6,13314,0.0,1
PM.CZC,2012/1/31,2219,2206,2210,2198,2200,48,5287600,0,-10,-1.0,0.540784137,2203.166667,46,2210,2203,-7,-1.0,2012/1/31,2012/1/31,-36.1512556326,0.0,0.0,0.0,0.0,0.0,34,74800,-1.0,0
PM.CZC,2012/2/1,2200,2207,2207,2200,2204,36,3963600,0,1,0.0,0.318181818,2202.0,74,2203,2202,-1,-1.0,2012/2/1,2012/2/1,-36.4237502221,0.0,0.0,0.0,0.0,0.0,28,61712,0.0,1
PM.CZC,2012/2/2,2204,2198,2202,2198,2202,4,440000,0,0,0.0,0.181488203,2200.0,74,2202,2200,-2,-1.0,2012/2/2,2012/2/2,-36.7304907699,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
PM.CZC,2012/2/3,2202,2200,2211,2200,2206,26,2868400,0,6,0.0,0.499545867,2206.461538,80,2200,2206,6,0.0,2012/2/3,2012/2/3,-36.6945191679,0.0,0.0,0.0,0.0,0.0,6,13236,0.0,1
PM.CZC,2012/2/6,2206,2222,2225,2208,2220,96,10637000,0,14,0.0,0.770625567,2216.041667,124,2206,2216,10,0.0,2012/2/6,2012/2/6,-36.6765217942,-36.3334636505,0.0,0.0,0.0,0.0,44,97680,0.0,1
PM.CZC,2012/2/7,2220,2223,2223,2204,2208,52,5754100,0,-8,-1.0,0.855855856,2213.115385,146,2216,2213,-3,-1.0,2012/2/7,2012/2/7,-36.5322654461,-36.4335683314,0.0,0.0,0.0,0.0,22,48576,-1.0,0
PM.CZC,2012/2/8,2208,2216,2216,2206,2215,48,5305700,0,2,0.0,0.452898551,2210.708333,176,2213,2211,-2,-1.0,2012/2/8,2012/2/8,-36.3331099261,-36.4699120489,0.0,0.0,0.0,0.0,30,66450,0.0,1
PM.CZC,2012/2/9,2215,2213,2213,2205,2205,62,6853500,0,-6,-1.0,0.361173815,2210.806452,218,2211,2211,0,0.0,2012/2/9,2012/2/9,-36.2786338705,-36.5968710617,0.0,0.0,0.0,0.0,42,92610,-1.0,0
PM.CZC,2012/2/10,2205,2200,2207,2200,2200,28,3081100,0,-11,-1.0,0.317460317,2200.785714,226,2211,2201,-10,-1.0,2012/2/10,2012/2/10,-36.3875170915,-36.633075252,0.0,0.0,0.0,0.0,8,17600,-1.0,0
PM.CZC,2012/2/13,2200,2206,2208,2206,2208,4,441400,0,7,0.0,0.090909091,2207.0,226,2201,2207,6,0.0,2012/2/13,2012/2/13,-36.6044552161,-36.7324764886,0.0,0.0,0.0,0.0,0,0,0.0,1
PM.CZC,2012/2/14,2208,2203,2208,2201,2206,26,2862900,0,-1,-1.0,0.317028986,2202.230769,244,2207,2202,-5,-1.0,2012/2/14,2012/2/14,-36.6405039159,-36.678286792,0.0,0.0,0.0,0.0,18,39708,-1.0,0
PM.CZC,2012/2/15,2206,2201,2201,2191,2199,14,1539300,0,-3,-1.0,0.453309157,2199.0,254,2202,2199,-3,-1.0,2012/2/15,2012/2/15,-36.9277819817,-36.7234497356,0.0,0.0,0.0,0.0,10,21990,-1.0,0
PM.CZC,2012/2/16,2199,2203,2203,2196,2200,6,659900,0,1,0.0,0.318326512,2199.666667,250,2199,2200,1,0.0,2012/2/16,2012/2/16,-37.0171499713,-36.7415012956,0.0,0.0,0.0,0.0,-4,-8800,0.0,1
PM.CZC,2012/2/17,2200,2201,2204,2200,2200,22,2421200,0,0,0.0,0.181818182,2201.090909,266,2200,2201,1,0.0,2012/2/17,2012/2/17,-37.0171499713,-36.7956092494,0.0,0.0,0.0,0.0,16,35200,0.0,0
PM.CZC,2012/2/20,2200,2209,2209,2200,2203,36,3964000,0,2,0.0,0.409090909,2202.222222,286,2201,2202,1,0.0,2012/2/20,2012/2/20,-37.1063238201,-36.9485339001,-39.1683398387,0.0,0.0,0.0,20,44060,0.0,1
PM.CZC,2012/2/21,2203,2204,2204,2201,2201,12,1321200,0,-1,-1.0,0.136177939,2202.0,294,2202,2202,0,0.0,2012/2/21,2012/2/21,-37.19530318,-37.0113387734,-39.2523019207,0.0,0.0,0.0,8,17608,-1.0,0
PM.CZC,2012/2/22,2201,2203,2206,2202,2204,18,1983200,0,2,0.0,0.181735575,2203.555556,304,2202,2204,2,0.0,2012/2/22,2012/2/22,-37.1063238201,-37.1098383296,-39.3221172856,0.0,0.0,0.0,10,22040,0.0,1
PM.CZC,2012/2/23,2204,2203,2203,2201,2201,22,2421800,0,-3,-1.0,0.090744102,2201.636364,314,2204,2202,-2,-1.0,2012/2/23,2012/2/23,-37.0885045983,-37.1455975403,-39.4057118716,0.0,0.0,0.0,10,22010,-1.0,0
PM.CZC,2012/2/24,2201,2202,2202,2201,2201,4,440300,0,-1,-1.0,0.045433894,2201.5,316,2202,2202,0,0.0,2012/2/24,2012/2/24,-37.0706775998,-37.1366606806,-39.4196247877,0.0,0.0,0.0,2,4402,-1.0,0
PM.CZC,2012/2/27,2201,2200,2202,2200,2201,14,1540500,0,-1,-1.0,0.090867787,2200.714286,322,2202,2201,-1,-1.0,2012/2/27,2012/2/27,-37.1063238201,-37.1991774731,-39.5029850976,0.0,0.0,0.0,6,13206,-1.0,0
