heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
RI.CZC,2010/1/4,2118,2131,2131,2120,2123,26470,562220300,0,5,0.0,0.519357885,2123.990555,85910,2118,2124,6,0.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-1670,-3545410,0.0,1
RI.CZC,2010/1/5,2123,2124,2127,2118,2119,17720,376063500,0,-5,-1.0,0.423928403,2122.254515,86080,2124,2122,-2,-1.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,170,360230,-1.0,0
RI.CZC,2010/1/6,2119,2118,2127,2118,2124,24868,528027100,0,2,0.0,0.424728646,2123.319527,83402,2122,2123,1,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,-2678,-5688072,0.0,1
RI.CZC,2010/1/7,2124,2126,2135,2101,2105,47676,1008453000,0,-18,-1.0,1.600753296,2115.221495,79282,2123,2115,-8,-1.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-4120,-8672600,-1.0,0
RI.CZC,2010/1/8,2105,2105,2109,2090,2096,27068,567728300,0,-19,-1.0,0.902612827,2097.415029,76028,2115,2097,-18,-1.0,2010/1/8,2010/1/8,-35.3696592708,0.0,0.0,0.0,0.0,0.0,-3254,-6820384,-1.0,0
RI.CZC,2010/1/11,2096,2101,2107,2096,2100,11996,252149600,0,3,0.0,0.52480916,2101.947316,75430,2097,2102,5,0.0,2010/1/11,2010/1/11,-35.5929788741,0.0,0.0,0.0,0.0,0.0,-598,-1255800,0.0,1
RI.CZC,2010/1/12,2100,2095,2101,2091,2092,10310,215974900,0,-10,-1.0,0.476190476,2094.809893,75328,2102,2095,-7,-1.0,2010/1/12,2010/1/12,-35.8537368995,0.0,0.0,0.0,0.0,0.0,-102,-213384,-1.0,0
RI.CZC,2010/1/13,2092,2082,2084,2072,2073,20760,431084900,0,-22,-1.0,0.573613767,2076.516859,70190,2095,2077,-18,-1.0,2010/1/13,2010/1/13,-36.3421237571,0.0,0.0,0.0,0.0,0.0,-5138,-10651074,-1.0,0
RI.CZC,2010/1/14,2073,2078,2080,2072,2076,8606,178601000,0,-1,-1.0,0.385914134,2075.307925,70038,2077,2075,-2,-1.0,2010/1/14,2010/1/14,-36.6173913283,0.0,0.0,0.0,0.0,0.0,-152,-315552,-1.0,1
RI.CZC,2010/1/15,2076,2077,2079,2067,2070,12874,266927200,0,-5,-1.0,0.578034682,2073.38201,69906,2075,2073,-2,-1.0,2010/1/15,2010/1/15,-36.8626663473,-36.880024609,0.0,0.0,0.0,0.0,-132,-273240,-1.0,0
RI.CZC,2010/1/18,2070,2068,2073,2065,2072,10320,213547500,0,-1,-1.0,0.38647343,2069.258721,69482,2073,2069,-4,-1.0,2010/1/18,2010/1/18,-37.1251963344,-37.1261276668,0.0,0.0,0.0,0.0,-424,-878528,-1.0,1
RI.CZC,2010/1/19,2072,2074,2077,2069,2073,4820,99945700,0,4,0.0,0.386100386,2073.562241,69324,2069,2074,5,0.0,2010/1/19,2010/1/19,-37.3023849987,-37.3468356948,0.0,0.0,0.0,0.0,-158,-327534,0.0,1
RI.CZC,2010/1/20,2073,2074,2075,2065,2067,7944,164322200,0,-7,-1.0,0.482392668,2068.507049,67536,2074,2069,-5,-1.0,2010/1/20,2010/1/20,-37.3581780904,-37.6186461986,0.0,0.0,0.0,0.0,-1788,-3695796,-1.0,0
RI.CZC,2010/1/21,2067,2066,2069,2061,2067,7320,151064400,0,-2,-1.0,0.387034349,2063.721311,66690,2069,2064,-5,-1.0,2010/1/21,2010/1/21,-37.4417223291,-37.7988185375,0.0,0.0,0.0,0.0,-846,-1748682,-1.0,0
RI.CZC,2010/1/22,2067,2069,2069,2058,2064,10052,207271700,0,0,0.0,0.53217223,2061.994628,65596,2064,2062,-2,-1.0,2010/1/22,2010/1/22,-37.4973214346,-37.9498982168,0.0,0.0,0.0,0.0,-1094,-2258016,0.0,0
RI.CZC,2010/1/25,2064,2065,2071,2063,2066,4524,93432500,0,4,0.0,0.387596899,2065.263042,65540,2062,2065,3,0.0,2010/1/25,2010/1/25,-37.5528428012,-38.1097729254,0.0,0.0,0.0,0.0,-56,-115696,0.0,1
RI.CZC,2010/1/26,2066,2066,2066,2058,2059,7866,162170500,0,-6,-1.0,0.387221684,2061.664124,65078,2065,2062,-3,-1.0,2010/1/26,2010/1/26,-37.6820898816,-38.2643057651,0.0,0.0,0.0,0.0,-462,-951258,-1.0,0
RI.CZC,2010/1/27,2059,2060,2062,2057,2061,4832,99535700,0,-1,-1.0,0.242836328,2059.927566,64938,2062,2060,-2,-1.0,2010/1/27,2010/1/27,-37.7373515331,-38.3203429632,0.0,0.0,0.0,0.0,-140,-288540,-1.0,1
RI.CZC,2010/1/28,2061,2058,2059,2051,2054,7952,163376600,0,-6,-1.0,0.388161087,2054.534708,62816,2060,2055,-5,-1.0,2010/1/28,2010/1/28,-37.8568171222,-38.4228605759,0.0,0.0,0.0,0.0,-2122,-4358588,-1.0,0
