heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
RS.CZC,2012/12/28,0,5320,5320,5155,5269,124086,6494380100,0,269,5.38,0.0,5233.773431,8886,5000,5234,234,0.0,2012/12/28,2012/12/28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
RS.CZC,2012/12/31,5269,5274,5386,5233,5273,145038,7699505300,0,39,0.0,2.903776808,5308.612433,8804,5234,5309,75,0.0,2012/12/31,2012/12/31,0.0,0.0,0.0,0.0,0.0,0.0,-82,-432386,0.0,1
RS.CZC,2013/1/4,5273,5273,5357,5256,5346,83848,4462571100,0,37,0.0,1.915418168,5322.215318,13298,5309,5322,13,0.0,2013/1/4,2013/1/4,0.0,0.0,0.0,0.0,0.0,0.0,4494,24024924,0.0,1
RS.CZC,2013/1/7,5346,5333,5530,5333,5440,205756,11220651900,0,118,0.0,3.684998129,5453.377739,22276,5322,5453,131,0.0,2013/1/7,2013/1/7,0.0,0.0,0.0,0.0,0.0,0.0,8978,48840320,0.0,1
RS.CZC,2013/1/8,5440,5460,5465,5380,5413,96738,5242799800,0,-40,-1.0,1.5625,5419.586719,18808,5453,5420,-33,-1.0,2013/1/8,2013/1/8,0.0159652670358,0.0,0.0,0.0,0.0,0.0,-3468,-18772284,-1.0,0
RS.CZC,2013/1/9,5413,5422,5497,5422,5440,100380,5486687900,0,20,0.0,1.385553298,5465.917414,19830,5420,5466,46,0.0,2013/1/9,2013/1/9,0.769637427682,0.0,0.0,0.0,0.0,0.0,1022,5559680,0.0,1
RS.CZC,2013/1/10,5440,5460,5478,5425,5447,54266,2958227700,0,-19,-1.0,0.974264706,5451.346515,19510,5466,5451,-15,-1.0,2013/1/10,2013/1/10,1.53240567429,0.0,0.0,0.0,0.0,0.0,-320,-1743040,-1.0,1
RS.CZC,2013/1/11,5447,5460,5520,5426,5432,91932,5032216400,0,-19,-1.0,1.72572058,5473.846321,22176,5451,5474,23,0.0,2013/1/11,2013/1/11,1.90778422258,0.0,0.0,0.0,0.0,0.0,2666,14481712,-1.0,0
RS.CZC,2013/1/14,5432,5447,5485,5404,5465,76848,4188599900,0,-9,-1.0,1.491163476,5450.499558,22410,5474,5450,-24,-1.0,2013/1/14,2013/1/14,2.01669772721,0.0,0.0,0.0,0.0,0.0,234,1278810,-1.0,1
RS.CZC,2013/1/15,5465,5483,5551,5427,5432,142592,7816766600,0,-18,-1.0,2.268984446,5481.911047,23262,5450,5482,32,0.0,2013/1/15,2013/1/15,2.0994083398,1.14700247949,0.0,0.0,0.0,0.0,852,4628064,-1.0,0
RS.CZC,2013/1/16,5432,5431,5465,5411,5444,62770,3414038500,0,-38,-1.0,0.994108984,5438.96527,20802,5482,5439,-43,-1.0,2013/1/16,2013/1/16,2.1168140577,1.52950167873,0.0,0.0,0.0,0.0,-2460,-13392240,-1.0,1
RS.CZC,2013/1/17,5444,5462,5465,5410,5417,41752,2266377300,0,-22,-1.0,1.010286554,5428.18859,20310,5439,5428,-11,-1.0,2013/1/17,2013/1/17,1.98621151103,1.8434061999,0.0,0.0,0.0,0.0,-492,-2665164,-1.0,0
RS.CZC,2013/1/18,5417,5424,5478,5420,5434,64614,3521071200,0,6,0.0,1.070703341,5449.39363,19986,5428,5449,21,0.0,2013/1/18,2013/1/18,1.99492261937,2.03485545296,0.0,0.0,0.0,0.0,-324,-1760616,0.0,1
RS.CZC,2013/1/21,5434,5444,5465,5416,5430,41540,2257367200,0,-19,-1.0,0.901729849,5434.201252,19674,5449,5434,-15,-1.0,2013/1/21,2013/1/21,1.84239074239,2.01311460951,0.0,0.0,0.0,0.0,-312,-1694160,-1.0,0
RS.CZC,2013/1/22,5430,5423,5443,5405,5428,22418,1216362500,0,-6,-1.0,0.699815838,5425.82969,18444,5434,5426,-8,-1.0,2013/1/22,2013/1/22,1.82494676208,2.0457244486,0.0,0.0,0.0,0.0,-1230,-6676440,-1.0,0
RS.CZC,2013/1/23,5428,5440,5510,5417,5470,181816,9967331000,0,44,0.0,1.713338246,5482.097835,27594,5426,5482,56,0.0,2013/1/23,2013/1/23,1.93828955704,2.11091840672,0.0,0.0,0.0,0.0,9150,50050500,0.0,1
RS.CZC,2013/1/24,5470,5470,5479,5318,5351,152728,8208263800,0,-131,-1.0,2.943327239,5374.432848,26634,5482,5374,-108,-1.0,2013/1/24,2013/1/24,1.65037541897,1.90217737405,0.0,0.0,0.0,0.0,-960,-5136960,-1.0,0
RS.CZC,2013/1/25,5351,5368,5388,5348,5380,66802,3588554100,0,6,0.0,0.747523827,5371.92614,20234,5374,5372,-2,-1.0,2013/1/25,2013/1/25,1.41432905052,1.78896408593,0.0,0.0,0.0,0.0,-6400,-34432000,0.0,1
RS.CZC,2013/1/28,5380,5385,5412,5366,5388,25804,1389620100,0,16,0.0,0.855018587,5385.28949,17934,5372,5385,13,0.0,2013/1/28,2013/1/28,1.23044429204,1.62113629399,0.0,0.0,0.0,0.0,-2300,-12392400,0.0,1
RS.CZC,2013/1/29,5388,5382,5396,5356,5381,18820,1012154500,0,-4,-1.0,0.742390497,5378.079171,17592,5385,5378,-7,-1.0,2013/1/29,2013/1/29,1.02436961117,1.50985728752,1.43992877764,0.0,0.0,0.0,-342,-1840302,-1.0,0
RS.CZC,2013/1/30,5381,5384,5418,5369,5405,18566,1002225900,0,27,0.0,0.910611411,5398.178929,17028,5378,5398,20,0.0,2013/1/30,2013/1/30,0.738862416952,1.42469750712,1.58903157918,0.0,0.0,0.0,-564,-3048420,0.0,1
RS.CZC,2013/1/31,5405,5427,5427,5401,5426,10950,593083300,0,28,0.0,0.481036078,5416.285845,16536,5398,5416,18,0.0,2013/1/31,2013/1/31,1.06824146804,1.44435466883,1.75656734628,0.0,0.0,0.0,-492,-2669592,0.0,1
RS.CZC,2013/2/1,5426,5426,5439,5390,5418,17856,966516500,0,2,0.0,0.903059344,5412.838822,15362,5416,5413,-3,-1.0,2013/2/1,2013/2/1,1.23482544734,1.40940657463,1.83533184155,0.0,0.0,0.0,-1174,-6360732,0.0,0
RS.CZC,2013/2/4,5418,5420,5470,5416,5434,18392,1000592500,0,21,0.0,0.996677741,5440.368095,14964,5413,5440,27,0.0,2013/2/4,2013/2/4,1.43620310855,1.41814446757,1.82876999996,0.0,0.0,0.0,-398,-2162732,0.0,1
RS.CZC,2013/2/5,5434,5431,5457,5407,5413,19468,1057932500,0,-27,-1.0,0.920132499,5434.212554,15420,5440,5434,-6,-1.0,2013/2/5,2013/2/5,1.576110689,1.38537438536,1.82876999996,0.0,0.0,0.0,456,2468328,-1.0,0
RS.CZC,2013/2/6,5413,5421,5427,5401,5402,9298,503438200,0,-32,-1.0,0.480325143,5414.478382,15440,5434,5414,-20,-1.0,2013/2/6,2013/2/6,1.56300072711,1.23671510481,1.78720378335,0.0,0.0,0.0,20,108040,-1.0,0
RS.CZC,2013/2/7,5402,5404,5444,5383,5396,17536,949878600,0,-18,-1.0,1.129211403,5416.734717,14252,5414,5417,3,0.0,2013/2/7,2013/2/7,1.43182858765,1.33511115383,1.7313961945,0.0,0.0,0.0,-1188,-6410448,-1.0,0
RS.CZC,2013/2/8,5396,5399,5419,5393,5402,5814,314284700,0,-15,-1.0,0.481838399,5405.653595,13390,5417,5406,-11,-1.0,2013/2/8,2013/2/8,1.36181651358,1.3831894241,1.69855681021,0.0,0.0,0.0,-862,-4656524,-1.0,1
RS.CZC,2013/2/18,5402,5360,5399,5360,5383,4656,250815800,0,-23,-1.0,0.721954832,5386.937285,13622,5406,5387,-19,-1.0,2013/2/18,2013/2/18,1.138407081,1.37226407636,1.60875298045,0.0,0.0,0.0,232,1248856,-1.0,0
