heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
RU,20100104,24460.0,24355.0,24595.0,24750.0,24330.0,24350.0,24585.0,-5,230.0,0.00940310711365,6011080.74,138342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00945334977394,0.0
RU,20100105,24350.0,24585.0,24545.0,24880.0,24465.0,24705.0,24730.0,120,145.0,0.00595482546201,8010806.16,142610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00592683425301,1.0
RU,20100106,24705.0,24730.0,24680.0,25145.0,24635.0,25050.0,24925.0,320,195.0,0.00789313904068,6664322.47,149612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00791556728232,0.0
RU,20100107,25050.0,24925.0,25465.0,25740.0,24400.0,24855.0,25100.0,-70,175.0,0.00698602794411,10818617.42,153272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717213114754,0.0
RU,20100108,24855.0,25100.0,25030.0,25380.0,24500.0,25355.0,25015.0,255,-85.0,-0.00341983504325,18507268.99,192540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733880397425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034693877551,0.0
RU,20100111,25355.0,25015.0,25760.0,26170.0,25480.0,26040.0,25710.0,1025,695.0,0.0274107671071,12253476.87,193384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12187475236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272762951334,1.0
RU,20100112,26040.0,25710.0,25980.0,26100.0,25660.0,25860.0,25890.0,150,180.0,0.00691244239631,14213216.22,198120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52387897963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00701480904131,0.0
RU,20100113,25860.0,25890.0,25100.0,25780.0,24910.0,25305.0,25445.0,-585,-445.0,-0.0172080433101,15518708.7,206094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61621705367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0178643115215,0.0
RU,20100114,25305.0,25445.0,25890.0,25960.0,25555.0,25680.0,25775.0,235,330.0,0.0130409010077,10236698.16,195920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00331154855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129133242027,1.0
RU,20100115,25680.0,25775.0,25500.0,25590.0,24820.0,25050.0,25290.0,-725,-485.0,-0.0188862928349,13324235.28,203798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11034796069,1.42569554808,0.0,0.0,0.0,0.0,0.0,0.0,-0.0195406929895,0.0
RU,20100118,25050.0,25290.0,24790.0,24920.0,24575.0,24740.0,24775.0,-550,-515.0,-0.0205588822355,8359456.08,174026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80739826199,1.46680825261,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209562563581,0.0
RU,20100119,24740.0,24775.0,25005.0,25405.0,24800.0,25360.0,25045.0,585,270.0,0.0109135004042,11524998.95,174766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51884047162,1.52300272413,0.0,0.0,0.0,0.0,0.0,0.0,0.0108870967742,1.0
RU,20100120,25360.0,25045.0,25540.0,25605.0,25235.0,25270.0,25445.0,225,400.0,0.0157728706625,13257847.39,181660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62796445462,1.62358898659,0.0,0.0,0.0,0.0,0.0,0.0,0.0158510005944,0.0
RU,20100121,25270.0,25445.0,25170.0,25750.0,24955.0,25730.0,25350.0,285,-95.0,-0.00375939849624,13036606.61,190406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42643343013,1.71656162028,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038068523342,0.0
RU,20100122,25730.0,25350.0,24915.0,25155.0,24105.0,24475.0,24660.0,-875,-690.0,-0.0268169452002,13827598.25,160082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18587265969,1.65039879942,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286247666459,0.0
RU,20100125,24475.0,24660.0,24350.0,24745.0,24305.0,24590.0,24590.0,-70,-70.0,-0.00286006128703,10502689.43,167126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09491922145,1.45338511042,0.0,0.0,0.0,0.0,0.0,0.0,-0.00288006583008,0.0
RU,20100126,24590.0,24590.0,24895.0,24895.0,24015.0,24065.0,24465.0,-525,-125.0,-0.00508336722245,11863183.09,180508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.830136639901,1.17706976845,0.0,0.0,0.0,0.0,0.0,0.0,-0.00520508015823,0.0
RU,20100127,24065.0,24465.0,24095.0,24250.0,23655.0,23780.0,23955.0,-685,-510.0,-0.0211926033659,15508797.64,172214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295686410733,0.96588189204,0.0,0.0,0.0,0.0,0.0,0.0,-0.0215599239062,0.0
RU,20100128,23780.0,23955.0,23355.0,23505.0,22760.0,23165.0,23145.0,-790,-810.0,-0.0340622371741,14883490.52,165800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.449993321359,0.494391287982,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355887521968,0.0
RU,20100129,23165.0,23145.0,23165.0,23460.0,22845.0,22985.0,23195.0,-160,50.0,0.00215842866393,15070351.17,172460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.879628616464,0.160293610014,0.457418602258,0.0,0.0,0.0,0.0,0.0,0.00218866272707,0.0
RU,20100201,22985.0,23195.0,23115.0,23245.0,22250.0,23000.0,22675.0,-195,-520.0,-0.0226234500761,15485846.47,171790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.58267803278,-0.233966023557,0.281476885474,0.0,0.0,0.0,0.0,0.0,-0.0233707865169,0.0
RU,20100202,23000.0,22675.0,23450.0,23520.0,22875.0,22955.0,23150.0,280,475.0,0.020652173913,12767996.87,159382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.97387118819,-0.561151412172,0.146841527844,0.0,0.0,0.0,0.0,0.0,0.0207650273224,0.0
RU,20100203,22955.0,23150.0,23245.0,23620.0,23040.0,23525.0,23345.0,375,195.0,0.00849488128948,13055263.96,154746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.18524202412,-0.935032798865,0.0116613424604,0.0,0.0,0.0,0.0,0.0,0.00846354166667,1.0
RU,20100204,23525.0,23345.0,23060.0,23390.0,22850.0,22980.0,23115.0,-365,-230.0,-0.00977683315622,13079997.6,164048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.15429548769,-1.29436086036,-0.119820051254,0.0,0.0,0.0,0.0,0.0,-0.0100656455142,0.0
RU,20100205,22980.0,23115.0,22110.0,22375.0,22000.0,22030.0,22190.0,-1085,-925.0,-0.0402523933856,9588643.68,157034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.44503734678,-1.65441980455,-0.332122170743,0.0,0.0,0.0,0.0,0.0,-0.0420454545455,0.0
RU,20100208,22030.0,22190.0,22300.0,22385.0,21965.0,21980.0,22175.0,-210,-15.0,-0.000680889695869,10905404.17,160348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.54319181942,-2.05549751258,-0.631100167077,0.0,0.0,0.0,0.0,0.0,-0.000682904620988,0.0
RU,20100209,21980.0,22175.0,22000.0,22455.0,21650.0,22380.0,22175.0,205,0.0,0.0,14577194.49,135932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96560287855,-2.46169985869,-0.972849078407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,20100210,22380.0,22175.0,22660.0,23280.0,22555.0,23280.0,22780.0,1105,605.0,0.0270330652368,10097138.71,126314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13306878379,-2.65090706054,-1.17387390758,0.0,0.0,0.0,0.0,0.0,0.0268233207714,1.0
RU,20100211,23280.0,22780.0,23495.0,23955.0,23270.0,23850.0,23665.0,1070,885.0,0.0380154639175,9967141.41,109578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.98803948778,-2.56316241491,-1.36914521132,0.0,0.0,0.0,0.0,0.0,0.0380318006016,0.0
RU,20100212,23850.0,23665.0,24070.0,24370.0,23825.0,24330.0,24045.0,665,380.0,0.0159329140461,6767131.19,95288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.35897546913,-2.39465875587,-1.45424287676,-0.380184676514,0.0,0.0,0.0,0.0,0.0159496327387,0.0
RU,20100222,24330.0,24045.0,25075.0,25380.0,24660.0,24885.0,24995.0,840,950.0,0.0390464447185,6821370.17,108096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4336243176,-1.98087444084,-1.44697165387,-0.361343460207,0.0,0.0,0.0,0.0,0.0385239253852,1.0
RU,20100223,24885.0,24995.0,24680.0,25135.0,24565.0,25105.0,24855.0,110,-140.0,-0.0056258790436,10007453.61,147016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.438075172696,-1.69123540504,-1.4670751608,-0.355634442092,0.0,0.0,0.0,0.0,-0.00569916547934,0.0
RU,20100224,25105.0,24855.0,24870.0,25285.0,24770.0,25145.0,25055.0,290,200.0,0.00796654052977,9658040.0,144682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31432384859,-1.39520753327,-1.5068610227,-0.347927593626,0.0,0.0,0.0,0.0,0.00807428340735,0.0
RU,20100225,25145.0,25055.0,25155.0,25450.0,24635.0,24680.0,24970.0,-375,-85.0,-0.00338039371644,12656315.56,137044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776106168937,-1.09028021413,-1.53424560351,-0.334512862765,0.0,0.0,0.0,0.0,-0.00345037548204,0.0
RU,20100226,24680.0,24970.0,24795.0,25020.0,24685.0,24835.0,24850.0,-135,-120.0,-0.00486223662885,9940542.07,123620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06627311767,-0.632625893414,-1.48461408814,-0.323953129911,0.0,0.0,0.0,0.0,-0.00486125177233,1.0
RU,20100301,24835.0,24850.0,25300.0,25580.0,24630.0,24680.0,24865.0,-170,15.0,0.000603986309644,5742361.34,101142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05616129121,-0.179642357113,-1.45680926065,-0.372476636146,0.0,0.0,0.0,0.0,0.000609013398295,0.0
RU,20100302,25000.0,25170.0,24860.0,24890.0,24060.0,24095.0,24475.0,-1075,-695.0,-0.0278,13117350.24,151084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885833690824,0.228866384653,-1.45295969849,-0.463855153248,0.0,0.0,0.0,0.0,-0.0288861180382,0.0
RU,20100303,24095.0,24475.0,24275.0,24440.0,24135.0,24280.0,24285.0,-195,-190.0,-0.00788545341357,11720316.68,149384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671363076248,0.496080982745,-1.41190281719,-0.508135360343,0.0,0.0,0.0,0.0,-0.00787238450383,1.0
RU,20100304,24280.0,24285.0,24400.0,24510.0,23675.0,23725.0,24075.0,-560,-210.0,-0.00864909390445,16695226.17,171114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346510235929,0.564496999537,-1.33366416618,-0.615600971546,0.0,0.0,0.0,0.0,-0.00887011615628,0.0
RU,20100305,23725.0,24075.0,23790.0,24210.0,23650.0,24020.0,23930.0,-55,-145.0,-0.00611169652266,17278849.6,163414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00452745120386,0.534938508375,-1.26485968869,-0.682516931044,-0.143699353379,0.0,0.0,0.0,-0.0061310782241,0.0
RU,20100308,24020.0,23930.0,24250.0,24835.0,24015.0,24800.0,24425.0,870,495.0,0.020607826811,15922491.15,187304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.213500240335,0.425942098404,-1.11409685069,-0.714554724016,-0.157278186629,0.0,0.0,0.0,0.0206121174266,0.0
RU,20100309,24800.0,24425.0,24655.0,24740.0,24370.0,24530.0,24550.0,105,125.0,0.00504032258065,19014581.1,168184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.108128991917,0.392973595279,-0.986499368958,-0.739159390723,-0.161373623665,0.0,0.0,0.0,0.00512925728355,0.0
RU,20100310,24530.0,24550.0,24310.0,24690.0,24290.0,24555.0,24545.0,5,-5.0,-0.000203832042397,18854114.27,184194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0554702865108,0.311788726307,-0.879885671218,-0.793245264403,-0.176247435087,0.0,0.0,0.0,-0.000205846027172,0.0
RU,20100311,24555.0,24545.0,24585.0,24680.0,23880.0,24090.0,24215.0,-455,-330.0,-0.0134392180819,22332236.92,192372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141473323457,0.184001339041,-0.792086631315,-0.854792854977,-0.198668621839,0.0,0.0,0.0,-0.0138190954774,0.0
RU,20100312,24090.0,24215.0,24210.0,24290.0,23560.0,23730.0,23875.0,-485,-340.0,-0.0141137401411,22731496.05,219494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164125949094,-0.00661274849102,-0.659197587115,-0.886004680964,-0.239207410503,0.0,0.0,0.0,-0.0144312393888,0.0
RU,20100315,23730.0,23875.0,23730.0,23750.0,22770.0,22890.0,23125.0,-985,-750.0,-0.031605562579,16436178.86,220444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.439777711065,-0.322282177748,-0.590665383144,-0.973944224908,-0.356138499948,0.0,0.0,0.0,-0.0329380764163,0.0
RU,20100316,22890.0,23125.0,22640.0,23420.0,22525.0,23310.0,23110.0,185,-15.0,-0.000655307994758,19312093.95,195508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06922426469,-0.583271115136,-0.516206555448,-1.05934919183,-0.491515048337,0.0,0.0,0.0,-0.000665926748058,0.0
RU,20100317,23310.0,23110.0,23510.0,23900.0,23250.0,23880.0,23630.0,770,520.0,0.022308022308,18024265.84,192694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42506173809,-0.73393480946,-0.457089410556,-1.08257064112,-0.56324390502,0.0,0.0,0.0,0.0223655913978,0.0
RU,20100318,23880.0,23630.0,23710.0,24265.0,23580.0,23660.0,23855.0,30,225.0,0.00942211055276,25128807.15,193488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52783947747,-0.750115941207,-0.430727627525,-1.03555762413,-0.64862523674,0.0,0.0,0.0,0.00954198473282,0.0
RU,20100319,23660.0,23855.0,23700.0,24310.0,23665.0,24200.0,23975.0,345,120.0,0.0050718512257,22636197.39,198594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.49186063572,-0.747560920665,-0.444333167359,-0.988557486038,-0.698577743176,0.0,0.0,0.0,0.00507077963237,1.0
RU,20100322,24200.0,23975.0,24010.0,24175.0,23830.0,24005.0,23995.0,30,20.0,0.000826446280992,18760487.73,221232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.12905019969,-0.779075588301,-0.514930416814,-0.898032799984,-0.730806225812,0.0,0.0,0.0,0.00083927822073,0.0
RU,20100323,24005.0,23995.0,24060.0,24150.0,23505.0,23560.0,23820.0,-435,-175.0,-0.00729014788586,19219587.36,231886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.794294557688,-0.92650681617,-0.605135628548,-0.861951018797,-0.786842472106,0.0,0.0,0.0,-0.00744522442034,0.0
RU,20100324,23560.0,23820.0,23640.0,23935.0,23340.0,23750.0,23665.0,-70,-155.0,-0.00657894736842,20896449.62,211466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.763584960675,-1.0885734352,-0.726906550372,-0.844771938236,-0.868875406297,0.0,0.0,0.0,-0.00664095972579,0.0
RU,20100325,23750.0,23665.0,23820.0,24780.0,23785.0,24675.0,24230.0,1010,565.0,0.0237894736842,26030050.19,268370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.693656535579,-1.10478851586,-0.799330439389,-0.791241770318,-0.919543714897,0.0,0.0,0.0,0.0237544671011,1.0
RU,20100326,24675.0,24230.0,24900.0,25025.0,24565.0,24855.0,24800.0,625,570.0,0.0231003039514,22063764.12,235246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.387007455514,-0.933327568009,-0.809557527315,-0.644480150922,-0.899621026583,0.0,0.0,0.0,0.0232037451659,0.0
RU,20100329,24855.0,24800.0,25080.0,25185.0,24900.0,24955.0,25035.0,155,235.0,0.00945483806075,15652186.99,212962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0232045208466,-0.570509380638,-0.786547461023,-0.476709441848,-0.873854949873,0.0,0.0,0.0,0.00943775100402,1.0
RU,20100330,24955.0,25035.0,24980.0,25170.0,24740.0,24915.0,24955.0,-120,-80.0,-0.0032057703867,18368945.28,225418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39562322985,-0.194070235111,-0.728610278783,-0.300267648131,-0.842464641562,0.0,0.0,0.0,-0.00323362974939,0.0
RU,20100331,24915.0,24955.0,25000.0,25090.0,24430.0,24515.0,24740.0,-440,-215.0,-0.00862933975517,17458829.44,229620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764284229547,0.0061023219863,-0.703482065083,-0.193299411183,-0.808915981273,0.0,0.0,0.0,-0.00880065493246,0.0
RU,20100401,24515.0,24740.0,24615.0,24800.0,24485.0,24580.0,24665.0,-160,-75.0,-0.0030593514175,15908813.2,234276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00053288115,0.159446835987,-0.634505658327,-0.124023142869,-0.734267375999,0.0,0.0,0.0,-0.00306309985706,0.0
RU,20100402,24580.0,24665.0,24780.0,25075.0,24610.0,24780.0,24830.0,115,165.0,0.00671277461351,19304410.83,250124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01570650547,0.319401712551,-0.552793479009,-0.0792808909921,-0.657922605199,-0.22094619314,0.0,0.0,0.00670459162942,1.0
RU,20100406,24780.0,24830.0,25080.0,26010.0,24865.0,25390.0,25505.0,560,675.0,0.0272397094431,25232953.18,241664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00390494262,0.494391287982,-0.480478490137,-0.0675987488575,-0.544876560906,-0.205595640617,0.0,0.0,0.0271465915946,1.0
RU,20100407,25390.0,25505.0,25480.0,25615.0,25335.0,25505.0,25505.0,0,0.0,0.0,19422273.81,237968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20439271045,0.803273693399,-0.398419111314,-0.0237274258414,-0.43860307323,-0.180636286518,0.0,0.0,0.0,0.0
RU,20100408,25505.0,25505.0,25400.0,25470.0,25045.0,25050.0,25240.0,-455,-265.0,-0.0103901195844,19514011.01,226250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41130608653,1.09044660042,-0.334246642823,-0.00806214342061,-0.352037974682,-0.168875219954,0.0,0.0,-0.0105809542823,0.0
RU,20100409,25050.0,25240.0,25200.0,25340.0,25105.0,25270.0,25220.0,30,-20.0,-0.000798403193613,15458364.29,223432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61957356292,1.31235956851,-0.230181175456,0.0187075252328,-0.254735686971,-0.148654004942,0.0,0.0,-0.000796654052977,1.0
