heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
SF.CZC,2014/8/8,0,5892,5898,5744,5804,148816,4311770000,0,-196,-3.266666667,0.0,5794.766692,31108,6000,5796,-204,-1.0,2014/8/8,2014/8/8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,1
SF.CZC,2014/8/11,5804,5768,5882,5768,5832,106956,3121776200,0,36,0.0,1.964162646,5837.496167,33658,5796,5838,42,0.0,2014/8/11,2014/8/11,0.0,0.0,0.0,0.0,0.0,0.0,2550,14871600,0.0,1
SF.CZC,2014/8/12,5832,5810,5956,5808,5912,233812,6904898800,0,74,0.0,2.537722908,5906.368193,46588,5838,5906,68,0.0,2014/8/12,2014/8/12,0.0,0.0,0.0,0.0,0.0,0.0,12930,76442160,0.0,1
SF.CZC,2014/8/13,5912,5920,5946,5880,5926,119328,3526016000,0,20,0.0,1.116373478,5909.788147,46610,5906,5910,4,0.0,2014/8/13,2014/8/13,0.0,0.0,0.0,0.0,0.0,0.0,22,130372,0.0,1
SF.CZC,2014/8/14,5926,5918,5936,5710,5740,142708,4126815700,0,-170,-1.0,3.813702329,5783.580038,35404,5910,5784,-126,-1.0,2014/8/14,2014/8/14,4.08073337113,0.0,0.0,0.0,0.0,0.0,-11206,-64322440,-1.0,0
SF.CZC,2014/8/15,5740,5740,5780,5730,5774,63946,1839843000,0,-10,-1.0,0.871080139,5754.36462,33498,5784,5754,-30,-1.0,2014/8/15,2014/8/15,3.96206563313,0.0,0.0,0.0,0.0,0.0,-1906,-11005244,-1.0,1
SF.CZC,2014/8/18,5774,5776,5796,5730,5748,48440,1393883100,0,-6,-1.0,1.143055074,5755.091247,33734,5754,5756,2,0.0,2014/8/18,2014/8/18,3.62908297262,0.0,0.0,0.0,0.0,0.0,236,1356528,-1.0,0
SF.CZC,2014/8/19,5748,5740,5780,5690,5776,39674,1139531300,0,20,0.0,1.565762004,5744.473963,32334,5756,5744,-12,-1.0,2014/8/19,2014/8/19,3.08778899157,0.0,0.0,0.0,0.0,0.0,-1400,-8086400,0.0,1
SF.CZC,2014/8/20,5776,5778,5778,5514,5730,47588,1363308300,0,-14,-1.0,4.570637119,5729.630579,33542,5744,5730,-14,-1.0,2014/8/20,2014/8/20,2.30312737237,0.0,0.0,0.0,0.0,0.0,1208,6921840,-1.0,0
SF.CZC,2014/8/21,5730,5746,5778,5722,5742,15598,447765200,0,12,0.0,0.977312391,5741.315553,33038,5730,5742,12,0.0,2014/8/21,2014/8/21,2.31116046998,3.09848431753,0.0,0.0,0.0,0.0,-504,-2893968,0.0,1
SF.CZC,2014/8/22,5742,5736,5754,5706,5716,27818,796441600,0,-26,-1.0,0.835945664,5726.088144,33512,5742,5726,-16,-1.0,2014/8/22,2014/8/22,2.07798559465,2.9225804617,0.0,0.0,0.0,0.0,474,2709384,-1.0,0
SF.CZC,2014/8/25,5716,5710,5742,5676,5738,40176,1149364200,0,12,0.0,1.154653604,5721.645759,29610,5726,5722,-4,-1.0,2014/8/25,2014/8/25,2.03773831227,2.7343844422,0.0,0.0,0.0,0.0,-3902,-22389676,0.0,1
SF.CZC,2014/8/26,5738,5742,5770,5726,5752,15454,443711600,0,30,0.0,0.766817707,5742.352789,24442,5722,5742,20,0.0,2014/8/26,2014/8/26,1.94109168299,2.413352806,0.0,0.0,0.0,0.0,-5168,-29726336,0.0,1
SF.CZC,2014/8/27,5752,5744,5788,5744,5766,16096,464283600,0,24,0.0,0.764951321,5768.931412,21552,5742,5770,28,0.0,2014/8/27,2014/8/27,2.08603348197,2.09145966194,0.0,0.0,0.0,0.0,-2890,-16663740,0.0,1
SF.CZC,2014/8/28,5766,5760,5780,5734,5780,11954,344000600,0,10,0.0,0.79778009,5755.405722,20416,5770,5756,-14,-1.0,2014/8/28,2014/8/28,2.23884344555,2.17201257712,0.0,0.0,0.0,0.0,-1136,-6566080,0.0,1
SF.CZC,2014/8/29,5780,5776,5810,5756,5800,16324,471521100,0,44,0.0,0.934256055,5777.028914,19760,5756,5778,22,0.0,2014/8/29,2014/8/29,2.57595179273,2.22434364151,0.0,0.0,0.0,0.0,-656,-3804800,0.0,1
SF.CZC,2014/9/1,5800,5804,5828,5776,5776,22664,657733900,0,-2,-1.0,0.896551724,5804.217261,21208,5778,5804,26,0.0,2014/9/1,2014/9/1,2.72813962564,2.28067508909,0.0,0.0,0.0,0.0,1448,8363648,-1.0,0
SF.CZC,2014/9/2,5776,5772,5798,5714,5762,34782,1000617300,0,-42,-1.0,1.454293629,5753.650164,24782,5804,5754,-50,-1.0,2014/9/2,2014/9/2,2.76815616529,2.25251262349,0.0,0.0,0.0,0.0,3574,20593388,-1.0,0
