heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
SM.CZC,2014/8/8,0,6560,6694,6464,6482,119644,3920680800,0,-168,-2.526315789,0.0,6553.91127,24550,6650,6554,-96,-1.0,2014/8/8,2014/8/8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,1
SM.CZC,2014/8/11,6482,6444,6518,6414,6450,84570,2734249000,0,-104,-1.0,1.604443073,6466.238619,25638,6554,6466,-88,-1.0,2014/8/11,2014/8/11,0.0,0.0,0.0,0.0,0.0,0.0,1088,7017600,-1.0,0
SM.CZC,2014/8/12,6450,6422,6500,6404,6414,93996,3031120300,0,-52,-1.0,1.488372093,6449.466573,31852,6466,6450,-16,-1.0,2014/8/12,2014/8/12,0.0,0.0,0.0,0.0,0.0,0.0,6214,39856596,-1.0,0
SM.CZC,2014/8/13,6414,6410,6456,6388,6424,43002,1381313500,0,-26,-1.0,1.060180854,6424.415143,28278,6450,6424,-26,-1.0,2014/8/13,2014/8/13,0.0,0.0,0.0,0.0,0.0,0.0,-3574,-22959376,-1.0,1
SM.CZC,2014/8/14,6424,6416,6466,6352,6396,84352,2702708400,0,-28,-1.0,1.774595268,6408.16673,28028,6424,6408,-16,-1.0,2014/8/14,2014/8/14,-6.51050881405,0.0,0.0,0.0,0.0,0.0,-250,-1599000,-1.0,0
SM.CZC,2014/8/15,6396,6400,6426,6386,6412,28828,923545300,0,4,0.0,0.625390869,6407.279728,22570,6408,6408,0,0.0,2014/8/15,2014/8/15,-6.68260339656,0.0,0.0,0.0,0.0,0.0,-5458,-34996696,0.0,1
SM.CZC,2014/8/18,6412,6418,6478,6398,6404,38498,1240091400,0,-4,-1.0,1.247660636,6442.367915,19164,6408,6442,34,0.0,2014/8/18,2014/8/18,-6.79572810205,0.0,0.0,0.0,0.0,0.0,-3406,-21812024,-1.0,0
SM.CZC,2014/8/19,6404,6394,6408,6364,6386,22378,714127000,0,-56,-1.0,0.687070581,6382.402359,18616,6442,6382,-60,-1.0,2014/8/19,2014/8/19,-6.86459934838,0.0,0.0,0.0,0.0,0.0,-548,-3499528,-1.0,0
SM.CZC,2014/8/20,6386,6376,6410,6354,6386,14756,470206300,0,4,0.0,0.876918259,6373.086202,18918,6382,6374,-8,-1.0,2014/8/20,2014/8/20,-6.95808243933,0.0,0.0,0.0,0.0,0.0,302,1928572,0.0,0
SM.CZC,2014/8/21,6386,6398,6406,6360,6370,6248,199281400,0,-4,-1.0,0.720325712,6379.046095,17696,6374,6380,6,0.0,2014/8/21,2014/8/21,-7.02205424838,-6.72752428235,0.0,0.0,0.0,0.0,-1222,-7784140,-1.0,0
SM.CZC,2014/8/22,6370,6366,6398,6366,6392,12830,409731500,0,12,0.0,0.502354788,6387.084957,11538,6380,6388,8,0.0,2014/8/22,2014/8/22,-7.0712685715,-6.84095359886,0.0,0.0,0.0,0.0,-6158,-39361936,0.0,1
SM.CZC,2014/8/25,6392,6396,6448,6380,6436,24326,781475000,0,48,0.0,1.063829787,6425.018499,11352,6388,6426,38,0.0,2014/8/25,2014/8/25,-6.99252783293,-6.85860048783,0.0,0.0,0.0,0.0,-186,-1197096,0.0,1
SM.CZC,2014/8/26,6436,6426,6446,6412,6442,7344,236250500,0,16,0.0,0.528278434,6433.837146,10202,6426,6434,8,0.0,2014/8/26,2014/8/26,-6.85476001957,-6.82330733057,0.0,0.0,0.0,0.0,-1150,-7408300,0.0,1
SM.CZC,2014/8/27,6442,6484,6484,6398,6398,10064,323564300,0,-36,-1.0,1.334989134,6430.133148,7906,6434,6430,-4,-1.0,2014/8/27,2014/8/27,-6.82524318822,-6.85607946582,0.0,0.0,0.0,0.0,-2296,-14689808,-1.0,0
SM.CZC,2014/8/28,6398,6392,6410,6366,6378,8966,286216500,0,-52,-1.0,0.687714911,6384.485835,8070,6430,6384,-46,-1.0,2014/8/28,2014/8/28,-6.8055662692,-6.87876911654,0.0,0.0,0.0,0.0,164,1045992,-1.0,0
SM.CZC,2014/8/29,6378,6374,6392,6366,6372,3956,126237400,0,-12,-1.0,0.407651301,6382.072801,6908,6384,6382,-2,-1.0,2014/8/29,2014/8/29,-6.85476001957,-6.92919418158,0.0,0.0,0.0,0.0,-1162,-7404264,-1.0,0
SM.CZC,2014/9/1,6372,6370,6388,6368,6378,5250,167470600,0,-4,-1.0,0.313873195,6379.832381,8340,6382,6380,-2,-1.0,2014/9/1,2014/9/1,-6.99744878778,-6.96197312041,0.0,0.0,0.0,0.0,1432,9133296,-1.0,1
SM.CZC,2014/9/2,6378,6368,6368,6306,6344,5886,186796900,0,-36,-1.0,0.972091565,6347.159361,9830,6380,6348,-32,-1.0,2014/9/2,2014/9/2,-7.23863028338,-7.01492805395,0.0,0.0,0.0,0.0,1490,9452560,-1.0,0
SM.CZC,2014/9/3,6344,6326,6352,6324,6340,4738,150280200,0,-8,-1.0,0.441361917,6343.613339,11636,6348,6344,-4,-1.0,2014/9/3,2014/9/3,-7.38141863049,-7.07293236906,0.0,0.0,0.0,0.0,1806,11450040,-1.0,0
SM.CZC,2014/9/4,6340,6340,6360,6318,6342,3934,124777100,0,-2,-1.0,0.662460568,6343.523132,11500,6344,6344,0,0.0,2014/9/4,2014/9/4,-7.47006292176,-7.10824239208,-6.85727105177,0.0,0.0,0.0,-136,-862512,-1.0,1
SM.CZC,2014/9/5,6342,6328,6352,6328,6330,2184,69251800,0,-14,-1.0,0.378429518,6341.739927,12372,6344,6342,-2,-1.0,2014/9/5,2014/9/5,-7.57349706254,-7.18643692233,-6.95256387615,0.0,0.0,0.0,872,5519760,-1.0,0
SM.CZC,2014/9/9,6330,6324,6326,6268,6298,6712,211450000,0,-44,-1.0,0.916271722,6300.655542,14830,6342,6302,-40,-1.0,2014/9/9,2014/9/9,-7.77055913613,-7.36052131065,-7.04787415904,0.0,0.0,0.0,2458,15480484,-1.0,0
SM.CZC,2014/9/10,6298,6282,6310,6156,6300,4424,139144200,0,-2,-1.0,2.445220705,6290.424955,14596,6302,6290,-12,-1.0,2014/9/10,2014/9/10,-7.87896682614,-7.53970422444,-7.11936800113,0.0,0.0,0.0,-234,-1474200,-1.0,1
SM.CZC,2014/9/11,6300,6300,6300,6264,6264,1676,52662500,0,-26,-1.0,0.571428571,6284.307876,14664,6290,6284,-6,-1.0,2014/9/11,2014/9/11,-8.06625298014,-7.70883803328,-7.21972584398,0.0,0.0,0.0,68,425952,-1.0,0
SM.CZC,2014/9/12,6264,6270,6288,6250,6288,1308,41022100,0,4,0.0,0.606641124,6272.492355,14826,6284,6272,-12,-1.0,2014/9/12,2014/9/12,-8.19935090814,-7.82245872894,-7.28747740711,0.0,0.0,0.0,162,1018656,0.0,1
SM.CZC,2014/9/15,6288,6260,6346,6260,6346,2590,81837000,0,74,0.0,1.367684478,6319.459459,14088,6272,6320,48,0.0,2014/9/15,2014/9/15,-8.15991232564,-7.85528582155,-7.32888501627,0.0,0.0,0.0,-738,-4683348,0.0,1
SM.CZC,2014/9/16,6346,6348,6350,6300,6300,1312,41522800,0,-20,-1.0,0.787897888,6329.695122,14146,6320,6330,10,0.0,2014/9/16,2014/9/16,-8.15498262866,-7.95377574062,-7.39413921042,0.0,0.0,0.0,58,365400,-1.0,0
SM.CZC,2014/9/17,6300,6310,6324,6290,6292,778,24515000,0,-38,-1.0,0.53968254,6302.056555,14216,6330,6302,-28,-1.0,2014/9/17,2014/9/17,-8.17470158512,-8.01944266536,-7.45312498391,0.0,0.0,0.0,70,440440,-1.0,0
