heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
SN,20150327,120190.0,120190.0,120000.0,120010.0,115150.0,119270.0,119230.0,-920,-960.0,-0.00798735335718,21437.63,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008336951802,0.0
SN,20150330,119270.0,119230.0,119270.0,119530.0,115600.0,118080.0,117720.0,-1150,-1510.0,-0.0126603504653,29053.72,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013062283737,0.0
SN,20150331,118080.0,117720.0,117650.0,119800.0,115960.0,118160.0,117790.0,440,70.0,0.000592818428184,53268.6,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000603656433253,0.0
SN,20150401,118160.0,117790.0,118020.0,118880.0,117070.0,117910.0,118280.0,120,490.0,0.00414691943128,51736.1,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00418553002477,0.0
SN,20150402,117910.0,118280.0,117970.0,119080.0,117970.0,118620.0,118540.0,340,260.0,0.00220507166483,32195.97,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.8392300361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00220395015682,1.0
SN,20150403,118620.0,118540.0,118810.0,119470.0,118560.0,118850.0,118950.0,310,410.0,0.00345641544428,16534.58,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4602200833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00345816464238,0.0
SN,20150407,118850.0,118950.0,118890.0,119090.0,118270.0,118860.0,118630.0,-90,-320.0,-0.00269246949937,10059.93,904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1633014089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00270567345903,0.0
SN,20150408,118860.0,118630.0,118710.0,118890.0,117150.0,117870.0,118200.0,-760,-430.0,-0.00361770149756,10023.48,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0309271913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00367050789586,0.0
SN,20150409,117870.0,118200.0,117570.0,117980.0,116500.0,116790.0,117190.0,-1410,-1010.0,-0.00856876219564,9563.43,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0943362143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008669527897,0.0
SN,20150410,116790.0,117190.0,116500.0,116980.0,115320.0,115990.0,115860.0,-1200,-1330.0,-0.0113879612981,28015.06,916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.3890603908,-12.5344512201,0.0,0.0,0.0,0.0,0.0,0.0,-0.0115331252168,0.0
SN,20150413,115990.0,115860.0,115960.0,116290.0,115270.0,115940.0,115750.0,80,-110.0,-0.000948357617036,18845.23,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.7547796558,-12.5277993089,0.0,0.0,0.0,0.0,0.0,0.0,-0.000954281252711,0.0
SN,20150414,115940.0,115750.0,115550.0,115650.0,112300.0,112300.0,113680.0,-3450,-2070.0,-0.0178540624461,63527.71,1894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4177960813,-12.7107005525,0.0,0.0,0.0,0.0,0.0,0.0,-0.0184327693678,0.0
SN,20150415,112300.0,113680.0,112400.0,114140.0,112320.0,113850.0,113530.0,170,-150.0,-0.0013357079252,46911.01,1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.9535216164,-12.9123797461,0.0,0.0,0.0,0.0,0.0,0.0,-0.00133547008547,1.0
SN,20150416,113850.0,113530.0,113200.0,113700.0,111010.0,112880.0,112780.0,-650,-750.0,-0.00658761528327,43604.23,1962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5615762866,-13.2479741953,0.0,0.0,0.0,0.0,0.0,0.0,-0.00675614809477,0.0
SN,20150417,112880.0,112780.0,113010.0,113010.0,109300.0,110000.0,111110.0,-2780,-1670.0,-0.0147944720057,125802.03,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.2271001827,-13.7276997905,0.0,0.0,0.0,0.0,0.0,0.0,-0.0152790484904,0.0
SN,20150420,110000.0,111110.0,112000.0,112960.0,111120.0,111440.0,111850.0,330,740.0,0.00672727272727,117652.75,2656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.685047696,-14.1389382644,0.0,0.0,0.0,0.0,0.0,0.0,0.00665946724262,1.0
