heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
SR.CZC,2010/1/4,5761.0,5803.0,5901.0,5800.0,5901.0,1145488.0,67051589200.0,0,227.0,0.0394028814442,1.753167853,5853.539208,883190.0,5674.0,5854.0,180.0,0.0317236517448,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,34928.0,206110128.0,0.0384680562617,1.0
SR.CZC,2010/1/5,5901.0,5950.0,5993.0,5901.0,5925.0,2152544.0,1.280010916e+11,0,71.0,0.0120318590069,1.559057787,5946.50291,821560.0,5854.0,5947.0,93.0,0.0158865732832,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-61630.0,-365157750.0,0.0119831223629,1.0
SR.CZC,2010/1/6,5925.0,5913.0,5990.0,5888.0,5923.0,2337148.0,1.388593721e+11,0,-24.0,-0.00405063291139,1.721518987,5941.402603,764236.0,5947.0,5941.0,-6.0,-0.0010089120565,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,-57324.0,-339530052.0,-0.00405200067533,0.0
SR.CZC,2010/1/7,5923.0,5969.0,5985.0,5703.0,5794.0,2158418.0,1.258302812e+11,0,-147.0,-0.0248185041364,4.761100794,5829.74573,655066.0,5941.0,5830.0,-111.0,-0.0186837232789,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-109170.0,-632530980.0,-0.0253710735243,0.0
SR.CZC,2010/1/8,5794.0,5795.0,5800.0,5596.0,5597.0,1696348.0,96150753800.0,0,-233.0,-0.0402140144978,3.520883673,5668.103113,543520.0,5830.0,5668.0,-162.0,-0.0277873070326,2010/1/8,2010/1/8,-6.27543309813,0.0,0.0,0.0,0.0,0.0,-111546.0,-624322962.0,-0.0416294443452,0.0
SR.CZC,2010/1/11,5597.0,5599.0,5665.0,5551.0,5613.0,2460750.0,1.382745938e+11,0,-55.0,-0.00982669287118,2.036805431,5619.205275,607864.0,5668.0,5619.0,-49.0,-0.00864502470007,2010/1/11,2010/1/11,-7.08826647949,0.0,0.0,0.0,0.0,0.0,64344.0,361162872.0,-0.00979868163193,1.0
SR.CZC,2010/1/12,5613.0,5573.0,5601.0,5527.0,5545.0,1555102.0,86646449500.0,0,-74.0,-0.0131836807411,1.318368074,5571.753461,601602.0,5619.0,5572.0,-47.0,-0.00836447766506,2010/1/12,2010/1/12,-8.1625588209,0.0,0.0,0.0,0.0,0.0,-6262.0,-34722790.0,-0.0133453561767,0.0
SR.CZC,2010/1/13,5545.0,5515.0,5608.0,5354.0,5377.0,2568264.0,1.409078733e+11,0,-195.0,-0.0351668169522,4.580703336,5486.502684,593118.0,5572.0,5487.0,-85.0,-0.0152548456569,2010/1/13,2010/1/13,-9.70828703178,0.0,0.0,0.0,0.0,0.0,-8484.0,-45618468.0,-0.0362655755998,0.0
SR.CZC,2010/1/14,5377.0,5450.0,5479.0,5322.0,5455.0,3022878.0,1.640449121e+11,0,-32.0,-0.00595127394458,2.919843779,5426.779119,635342.0,5487.0,5427.0,-60.0,-0.0109349371241,2010/1/14,2010/1/14,-10.668365566,0.0,0.0,0.0,0.0,0.0,42224.0,230331920.0,-0.00586617781852,1.0
SR.CZC,2010/1/15,5455.0,5443.0,5488.0,5388.0,5391.0,2611636.0,1.420214262e+11,0,-36.0,-0.00659945004583,1.833180568,5438.025291,602286.0,5427.0,5438.0,11.0,0.00202690252441,2010/1/15,2010/1/15,-11.2516225715,-8.65160920183,0.0,0.0,0.0,0.0,-33056.0,-178204896.0,-0.00667779632721,0.0
