heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
T.CZC,2015/3/20,0.0,96.9,97.96,96.53,97.09,3332,3230050900.0,0,0.94,0.977639106,0.0,96.94030312,817,96.15,97.05,0.9,0.00936037441498,2015/3/20,2015/3/20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00968173859306,1.0
T.CZC,2015/3/23,97.09,97.095,97.095,96.84,97.02,1386,1344329100.0,0,-0.03,-0.000308991657225,0.262642909,96.99344156,1682,97.05,96.96,-0.09,-0.000927357032457,2015/3/23,2015/3/23,0.0,0.0,0.0,0.0,0.0,0.0,865,83922.3,-0.000309214594929,0.0
T.CZC,2015/3/24,97.02,97.135,97.22,96.875,96.92,1380,1339140000.0,0,-0.04,-0.000412286126572,0.355596784,97.03913043,2102,96.96,96.91,-0.05,-0.000515676567657,2015/3/24,2015/3/24,0.0,0.0,0.0,0.0,0.0,0.0,420,40706.4,-0.000412711514651,0.0
T.CZC,2015/3/25,96.92,97.02,97.03,96.76,96.85,1234,1195736800.0,0,-0.06,-0.000619067271977,0.278580272,96.89925446,2484,96.91,96.84,-0.07,-0.000722319678052,2015/3/25,2015/3/25,0.0,0.0,0.0,0.0,0.0,0.0,382,36996.7,-0.000619514713474,0.0
T.CZC,2015/3/26,96.85,96.835,96.89,96.37,96.37,1073,1036144550.0,0,-0.47,-0.00485286525555,0.536912752,96.56519571,3014,96.84,96.42,-0.42,-0.00433705080545,2015/3/26,2015/3/26,-7.77895857745,0.0,0.0,0.0,0.0,0.0,530,51076.1,-0.00487703642212,0.0
T.CZC,2015/3/27,96.37,96.3,96.51,95.98,96.49,1792,1725597200.0,0,0.07,0.000726367126699,0.549963682,96.29448661,3577,96.42,96.375,-0.045,-0.000466708151836,2015/3/27,2015/3/27,-8.30428304277,0.0,0.0,0.0,0.0,0.0,563,54323.87,0.00072546377863,1.0
T.CZC,2015/3/30,96.49,96.065,96.4,96.0,96.16,1153,1108582900.0,0,-0.215,-0.00222821017722,0.414550731,96.14769297,3869,96.375,96.09,-0.285,-0.00295719844358,2015/3/30,2015/3/30,-9.05773879728,0.0,0.0,0.0,0.0,0.0,292,28078.72,-0.00223585690516,0.0
T.CZC,2015/3/31,96.16,95.8,95.9,95.565,95.65,2327,2226815900.0,0,-0.44,-0.00457570715474,0.348377704,95.69470993,4666,96.09,95.71,-0.38,-0.00395462587158,2015/3/31,2015/3/31,-10.1709371713,0.0,0.0,0.0,0.0,0.0,797,76233.05,-0.00460010454783,0.0
T.CZC,2015/4/1,95.65,95.66,96.095,95.655,96.095,673,645626000.0,0,0.385,0.00402509147935,0.460010455,95.93254086,4551,95.71,95.99,0.28,0.00292550412705,2015/4/1,2015/4/1,-10.8327129068,0.0,0.0,0.0,0.0,0.0,-115,-11050.925,0.00400645194859,1.0
T.CZC,2015/4/2,96.095,96.3,96.425,96.2,96.32,1011,973665850.0,0,0.33,0.00343410167022,0.234143296,96.30720574,4613,95.99,96.29,0.3,0.00312532555475,2015/4/2,2015/4/2,-10.8765330252,-9.43902653071,0.0,0.0,0.0,0.0,62,5971.84,0.00342607973422,1.0
