heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
TA.CZC,2010/1/4,8138.0,8234.0,8452.0,8202.0,8344.0,721522.0,30133311800.0,0,214.0,0.0262963873188,3.072007864,8352.707693,167786.0,8130.0,8354.0,224.0,0.0275522755228,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,22298.0,186054512.0,0.0256471716203,1.0
TA.CZC,2010/1/5,8344.0,8396.0,8464.0,8352.0,8372.0,638568.0,26832942600.0,0,18.0,0.00215723873442,1.342281879,8404.098733,164064.0,8354.0,8404.0,50.0,0.00598515681111,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-3722.0,-31160584.0,0.00215002388915,1.0
TA.CZC,2010/1/6,8372.0,8346.0,8446.0,8346.0,8352.0,526364.0,22111533900.0,0,-52.0,-0.00621118012422,1.194457716,8401.613294,168978.0,8404.0,8402.0,-2.0,-0.000237981913375,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,4914.0,41041728.0,-0.00622605363985,0.0
TA.CZC,2010/1/7,8352.0,8400.0,8486.0,8064.0,8190.0,632922.0,26232469600.0,0,-212.0,-0.0253831417625,5.052681992,8289.321465,135874.0,8402.0,8290.0,-112.0,-0.0133301594858,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-33104.0,-271121760.0,-0.0258852258852,0.0
TA.CZC,2010/1/8,8190.0,8200.0,8220.0,8066.0,8146.0,533380.0,21707250600.0,0,-144.0,-0.0175824175824,1.88034188,8139.506768,129848.0,8290.0,8140.0,-150.0,-0.0180940892642,2010/1/8,2010/1/8,-3.08110829891,0.0,0.0,0.0,0.0,0.0,-6026.0,-49087796.0,-0.0176773876749,0.0
TA.CZC,2010/1/11,8146.0,8250.0,8312.0,8210.0,8262.0,449352.0,18550753200.0,0,122.0,0.014976675669,1.252148294,8256.668803,127286.0,8140.0,8258.0,118.0,0.0144963144963,2010/1/11,2010/1/11,-3.18388064825,0.0,0.0,0.0,0.0,0.0,-2562.0,-21167244.0,0.0147664003873,1.0
TA.CZC,2010/1/12,8262.0,8200.0,8340.0,8184.0,8320.0,725894.0,30050734600.0,0,62.0,0.00750423626241,1.888162672,8279.648158,157886.0,8258.0,8280.0,22.0,0.00266408331315,2010/1/12,2010/1/12,-3.24907731438,0.0,0.0,0.0,0.0,0.0,30600.0,254592000.0,0.00745192307692,1.0
TA.CZC,2010/1/13,8320.0,8110.0,8216.0,8050.0,8176.0,504518.0,20568971900.0,0,-104.0,-0.0125,1.995192308,8153.910029,129104.0,8280.0,8154.0,-126.0,-0.0152173913043,2010/1/13,2010/1/13,-3.46987835089,0.0,0.0,0.0,0.0,0.0,-28782.0,-235321632.0,-0.0127201565558,0.0
TA.CZC,2010/1/14,8176.0,8250.0,8354.0,8226.0,8334.0,628582.0,26102867900.0,0,180.0,0.0220156555773,1.56555773,8305.318288,141304.0,8154.0,8306.0,152.0,0.018641157714,2010/1/14,2010/1/14,-3.2892074893,0.0,0.0,0.0,0.0,0.0,12200.0,101674800.0,0.0215982721382,1.0
TA.CZC,2010/1/15,8334.0,8332.0,8348.0,8216.0,8232.0,537972.0,22303269600.0,0,-74.0,-0.00887928965683,1.58387329,8291.609824,122620.0,8306.0,8292.0,-14.0,-0.00168552853359,2010/1/15,2010/1/15,-3.18137345371,-3.25051921618,0.0,0.0,0.0,0.0,-18684.0,-153806688.0,-0.00898931000972,0.0
TA.CZC,2010/1/18,8232.0,8194.0,8356.0,8152.0,8348.0,462216.0,19081538500.0,0,56.0,0.00680272108844,2.478134111,8256.546074,140168.0,8292.0,8258.0,-34.0,-0.00410033767487,2010/1/18,2010/1/18,-3.07359020147,-3.24804249316,0.0,0.0,0.0,0.0,17548.0,146490704.0,0.0067081935793,1.0
TA.CZC,2010/1/19,8348.0,8354.0,8400.0,8312.0,8384.0,439870.0,18362132700.0,0,126.0,0.0150934355534,1.054144705,8348.890672,121372.0,8258.0,8350.0,92.0,0.0111407120368,2010/1/19,2010/1/19,-2.99341283436,-3.24061248331,0.0,0.0,0.0,0.0,-18796.0,-157585664.0,0.0150286259542,1.0
TA.CZC,2010/1/20,8384.0,8410.0,8436.0,8262.0,8270.0,279766.0,11654052700.0,0,-80.0,-0.00954198473282,2.075381679,8331.285932,97540.0,8350.0,8332.0,-18.0,-0.00215568862275,2010/1/20,2010/1/20,-2.87570478383,-3.2913889677,0.0,0.0,0.0,0.0,-23832.0,-197090640.0,-0.00967351874244,0.0
TA.CZC,2010/1/21,8270.0,8422.0,8542.0,8422.0,8526.0,439088.0,18633788100.0,0,-8.0,-0.000967351874244,1.451027811,8487.495946,115724.0,8534.0,8488.0,-46.0,-0.00539020389032,2010/1/21,2010/1/21,-2.63547772684,-3.08340042184,0.0,0.0,0.0,0.0,18184.0,155036784.0,-0.000938306357026,1.0
TA.CZC,2010/1/22,8526.0,8400.0,8468.0,8260.0,8324.0,577192.0,24136090300.0,0,-164.0,-0.019235280319,2.439596528,8363.279567,92370.0,8488.0,8364.0,-124.0,-0.0146088595664,2010/1/22,2010/1/22,-2.520465116,-2.97329331818,0.0,0.0,0.0,0.0,-23354.0,-194398696.0,-0.0197020663143,0.0
TA.CZC,2010/1/25,8324.0,8300.0,8358.0,8242.0,8324.0,417478.0,17360194800.0,0,-40.0,-0.00480538202787,1.393560788,8316.699227,100284.0,8364.0,8318.0,-46.0,-0.00549976087996,2010/1/25,2010/1/25,-2.55046231091,-2.93495419073,0.0,0.0,0.0,0.0,7914.0,65876136.0,-0.00480538202787,0.0
TA.CZC,2010/1/26,8324.0,8358.0,8382.0,8206.0,8224.0,443368.0,18373198500.0,0,-94.0,-0.0112926477655,2.114368092,8288.012892,101506.0,8318.0,8288.0,-30.0,-0.00360663621063,2010/1/26,2010/1/26,-2.75055300293,-2.99432081708,0.0,0.0,0.0,0.0,1222.0,10049728.0,-0.0114299610895,0.0
TA.CZC,2010/1/27,8224.0,8250.0,8250.0,8092.0,8126.0,630728.0,25697382700.0,0,-162.0,-0.0196984435798,1.921206226,8148.483245,123170.0,8288.0,8148.0,-140.0,-0.0168918918919,2010/1/27,2010/1/27,-2.9307943472,-3.02524721806,0.0,0.0,0.0,0.0,21664.0,176041664.0,-0.019936007876,0.0
TA.CZC,2010/1/28,8126.0,8026.0,8070.0,7888.0,8008.0,720894.0,28750029600.0,0,-140.0,-0.0172286487817,2.239724342,7976.215532,134242.0,8148.0,7976.0,-172.0,-0.0211094747177,2010/1/28,2010/1/28,-3.58035573947,-3.22699141958,0.0,0.0,0.0,0.0,11072.0,88664576.0,-0.0174825174825,0.0
