heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
V.DCE,2010/1/4,7665.0,7720.0,7730.0,7630.0,7635.0,147506.0,5665918000.0,0,-35.0,-0.00456621004566,1.304631442,7682.288178,109464.0,7670.0,7680.0,10.0,0.0013037809648,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-8410.0,-64210350.0,-0.00458415193189,0.0
V.DCE,2010/1/5,7635.0,7685.0,7815.0,7655.0,7700.0,227562.0,8800339200.0,0,20.0,0.00261951538965,2.095612312,7734.454083,105996.0,7680.0,7730.0,50.0,0.00651041666667,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-3468.0,-26703600.0,0.0025974025974,1.0
V.DCE,2010/1/6,7700.0,7690.0,7750.0,7645.0,7655.0,102842.0,3962607200.0,0,-75.0,-0.00974025974026,1.363636364,7706.20408,102902.0,7730.0,7705.0,-25.0,-0.00323415265201,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,-3094.0,-23684570.0,-0.00979751796212,0.0
V.DCE,2010/1/7,7655.0,7695.0,7725.0,7340.0,7560.0,121086.0,4613222400.0,0,-145.0,-0.0189418680601,5.029392554,7619.745305,86578.0,7705.0,7615.0,-90.0,-0.0116807268008,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-16324.0,-123409440.0,-0.0191798941799,0.0
V.DCE,2010/1/8,7560.0,7600.0,7600.0,7415.0,7470.0,59946.0,2245032500.0,0,-145.0,-0.0191798941799,2.447089947,7490.182831,69534.0,7615.0,7490.0,-125.0,-0.0164149704531,2010/1/8,2010/1/8,7.48207633735,0.0,0.0,0.0,0.0,0.0,-17044.0,-127318680.0,-0.0194109772423,0.0
V.DCE,2010/1/11,7470.0,7520.0,7580.0,7500.0,7525.0,30624.0,1152411600.0,0,35.0,0.00468540829987,1.070950469,7526.19906,65984.0,7490.0,7525.0,35.0,0.00467289719626,2010/1/11,2010/1/11,7.15311512534,0.0,0.0,0.0,0.0,0.0,-3550.0,-26713750.0,0.0046511627907,1.0
V.DCE,2010/1/12,7525.0,7510.0,7510.0,7445.0,7450.0,18846.0,703325100.0,0,-75.0,-0.00996677740864,0.863787375,7463.919134,61642.0,7525.0,7460.0,-65.0,-0.00863787375415,2010/1/12,2010/1/12,6.40054589252,0.0,0.0,0.0,0.0,0.0,-4342.0,-32347900.0,-0.010067114094,0.0
V.DCE,2010/1/13,7450.0,7350.0,7355.0,7270.0,7325.0,26374.0,966129400.0,0,-135.0,-0.0181208053691,1.140939597,7326.377493,48344.0,7460.0,7325.0,-135.0,-0.0180965147453,2010/1/13,2010/1/13,5.39704197138,0.0,0.0,0.0,0.0,0.0,-13298.0,-97407850.0,-0.0184300341297,0.0
V.DCE,2010/1/14,7325.0,7345.0,7395.0,7340.0,7390.0,10198.0,375672600.0,0,65.0,0.00887372013652,0.750853242,7367.574034,45270.0,7325.0,7365.0,40.0,0.00546075085324,2010/1/14,2010/1/14,4.87577879407,0.0,0.0,0.0,0.0,0.0,-3074.0,-22716860.0,0.00879566982409,1.0
V.DCE,2010/1/15,7390.0,7360.0,7430.0,7355.0,7370.0,6664.0,245915400.0,0,5.0,0.000676589986468,1.01488498,7380.414166,42188.0,7365.0,7380.0,15.0,0.0020366598778,2010/1/15,2010/1/15,4.56783339472,6.09981576619,0.0,0.0,0.0,0.0,-3082.0,-22714340.0,0.00067842605156,0.0
V.DCE,2010/1/18,7370.0,7690.0,7810.0,7680.0,7795.0,49064.0,1903448200.0,0,-35.0,-0.00474898236092,1.763907734,7759.042068,52104.0,7830.0,7755.0,-75.0,-0.0095785440613,2010/1/18,2010/1/18,5.39704197138,6.34383012492,0.0,0.0,0.0,0.0,9916.0,77295220.0,-0.00449005772931,1.0
V.DCE,2010/1/19,7795.0,7800.0,7845.0,7750.0,7775.0,54326.0,2114168000.0,0,20.0,0.00256574727389,1.218729955,7783.263999,50460.0,7755.0,7780.0,25.0,0.00322372662798,2010/1/19,2010/1/19,6.38542596299,6.457976146,0.0,0.0,0.0,0.0,-1644.0,-12782100.0,0.00257234726688,0.0
V.DCE,2010/1/20,7775.0,7820.0,7835.0,7725.0,7740.0,58454.0,2272729900.0,0,-40.0,-0.00514469453376,1.414790997,7776.131317,48568.0,7780.0,7775.0,-5.0,-0.000642673521851,2010/1/20,2010/1/20,7.63115689705,6.58715817641,0.0,0.0,0.0,0.0,-1892.0,-14644080.0,-0.00516795865633,0.0
V.DCE,2010/1/21,7740.0,7700.0,7770.0,7690.0,7770.0,43328.0,1675576800.0,0,-5.0,-0.000645994832041,1.033591731,7734.383309,45436.0,7775.0,7730.0,-45.0,-0.00578778135048,2010/1/21,2010/1/21,8.75479708223,6.90546984211,0.0,0.0,0.0,0.0,-3132.0,-24335640.0,-0.000643500643501,1.0
V.DCE,2010/1/22,7770.0,7680.0,7815.0,7660.0,7750.0,113656.0,4400016600.0,0,20.0,0.002574002574,1.994851995,7742.691279,48822.0,7730.0,7740.0,10.0,0.0012936610608,2010/1/22,2010/1/22,9.86126497371,7.32798822296,0.0,0.0,0.0,0.0,3386.0,26241500.0,0.00258064516129,0.0
V.DCE,2010/1/25,7750.0,7730.0,7770.0,7705.0,7715.0,48942.0,1891122700.0,0,-25.0,-0.00322580645161,0.838709677,7728.01561,54482.0,7740.0,7725.0,-15.0,-0.00193798449612,2010/1/25,2010/1/25,9.62979270496,7.61344092633,0.0,0.0,0.0,0.0,5660.0,43666900.0,-0.00324044069994,0.0
V.DCE,2010/1/26,7715.0,7735.0,7740.0,7600.0,7605.0,56266.0,2156027700.0,0,-120.0,-0.0155541153597,1.814646792,7663.696371,56576.0,7725.0,7660.0,-65.0,-0.0084142394822,2010/1/26,2010/1/26,9.13530024082,7.84554638952,0.0,0.0,0.0,0.0,2094.0,15924870.0,-0.0157790927022,0.0
V.DCE,2010/1/27,7605.0,7630.0,7645.0,7530.0,7560.0,49618.0,1881699000.0,0,-100.0,-0.0131492439185,1.512163051,7584.74344,56500.0,7660.0,7580.0,-80.0,-0.0104438642298,2010/1/27,2010/1/27,8.60791261285,8.19612087966,0.0,0.0,0.0,0.0,-76.0,-574560.0,-0.0132275132275,0.0
V.DCE,2010/1/28,7560.0,7540.0,7545.0,7400.0,7420.0,58568.0,2179189000.0,0,-160.0,-0.021164021164,1.917989418,7441.568775,49922.0,7580.0,7440.0,-140.0,-0.0184696569921,2010/1/28,2010/1/28,7.57155844635,8.24075880131,0.0,0.0,0.0,0.0,-6578.0,-48808760.0,-0.0215633423181,0.0
V.DCE,2010/1/29,7420.0,7380.0,7410.0,7320.0,7350.0,52396.0,1929931700.0,0,-90.0,-0.0121293800539,1.212938005,7366.713871,49402.0,7440.0,7365.0,-75.0,-0.0100806451613,2010/1/29,2010/1/29,6.37030338212,8.21100312835,6.833910784,0.0,0.0,0.0,-520.0,-3822000.0,-0.0122448979592,0.0
