heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
WH.CZC,2010/1/4,2272,2275,2283,2272,2278,11170,254457700,0,9,0.0,0.48415493,2278.045658,31424,2269,2278,9,0.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,1326,3020628,0.0,1
WH.CZC,2010/1/5,2278,2280,2286,2277,2278,7190,164024800,0,0,0.0,0.395083406,2281.290682,31588,2278,2281,3,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,164,373592,0.0,0
WH.CZC,2010/1/6,2278,2276,2300,2275,2289,17006,389442500,0,8,0.0,1.097453907,2290.029989,34754,2281,2290,9,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,3166,7246974,0.0,1
WH.CZC,2010/1/7,2289,2295,2296,2256,2277,19124,435802400,0,-13,-1.0,1.747487986,2278.824514,29860,2290,2279,-11,-1.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-4894,-11143638,-1.0,0
WH.CZC,2010/1/8,2277,2278,2289,2270,2278,11380,259376800,0,-1,-1.0,0.834431269,2279.233743,30290,2279,2279,0,0.0,2010/1/8,2010/1/8,-37.5778842188,0.0,0.0,0.0,0.0,0.0,430,979540,-1.0,1
WH.CZC,2010/1/11,2278,2284,2294,2281,2292,11550,264384900,0,13,0.0,0.570676032,2289.046753,32106,2279,2289,10,0.0,2010/1/11,2010/1/11,-37.4041629453,0.0,0.0,0.0,0.0,0.0,1816,4162272,0.0,1
WH.CZC,2010/1/12,2292,2290,2310,2286,2299,36490,839837500,0,10,0.0,1.047120419,2301.555221,38462,2289,2302,13,0.0,2010/1/12,2010/1/12,-37.1421598079,0.0,0.0,0.0,0.0,0.0,6356,14612444,0.0,1
WH.CZC,2010/1/13,2299,2289,2293,2278,2281,14762,337436300,0,-21,-1.0,0.65245759,2285.844059,33722,2302,2286,-16,-1.0,2010/1/13,2010/1/13,-37.2421711896,0.0,0.0,0.0,0.0,0.0,-4740,-10811940,-1.0,0
WH.CZC,2010/1/14,2281,2286,2289,2282,2285,5166,118049000,0,-1,-1.0,0.306882946,2285.114208,33624,2286,2285,-1,-1.0,2010/1/14,2010/1/14,-37.1421598079,0.0,0.0,0.0,0.0,0.0,-98,-223930,-1.0,1
WH.CZC,2010/1/15,2285,2285,2285,2274,2279,5574,127029300,0,-6,-1.0,0.481400438,2278.961249,33066,2285,2279,-6,-1.0,2010/1/15,2010/1/15,-37.1296410514,-37.1908306773,0.0,0.0,0.0,0.0,-558,-1271682,-1.0,0
WH.CZC,2010/1/18,2279,2275,2281,2272,2275,5270,119923800,0,-4,-1.0,0.394910048,2275.593928,31974,2279,2276,-3,-1.0,2010/1/18,2010/1/18,-37.341935702,-37.2093569241,0.0,0.0,0.0,0.0,-1092,-2484300,-1.0,0
WH.CZC,2010/1/19,2275,2274,2282,2274,2277,3662,83407200,0,1,0.0,0.351648352,2277.640634,31728,2276,2278,2,0.0,2010/1/19,2010/1/19,-37.6150112931,-37.2155304578,0.0,0.0,0.0,0.0,-246,-560142,0.0,1
WH.CZC,2010/1/20,2277,2277,2279,2266,2267,4612,104717100,0,-11,-1.0,0.570926658,2270.535559,30084,2278,2271,-7,-1.0,2010/1/20,2010/1/20,-37.7878082747,-37.3511098956,0.0,0.0,0.0,0.0,-1644,-3726948,-1.0,0
WH.CZC,2010/1/21,2267,2269,2277,2263,2276,3942,89512800,0,5,0.0,0.617556242,2270.745814,29512,2271,2271,0,0.0,2010/1/21,2010/1/21,-37.8984888256,-37.3572617549,0.0,0.0,0.0,0.0,-572,-1301872,0.0,1
WH.CZC,2010/1/22,2276,2273,2274,2262,2263,5076,115055200,0,-8,-1.0,0.527240773,2266.650906,29156,2271,2267,-4,-1.0,2010/1/22,2010/1/22,-38.0944728234,-37.4494263353,0.0,0.0,0.0,0.0,-356,-805628,-1.0,0
WH.CZC,2010/1/25,2263,2264,2267,2253,2255,5154,116337000,0,-12,-1.0,0.618647813,2257.217695,28600,2267,2257,-10,-1.0,2010/1/25,2010/1/25,-38.3380417066,-37.6758553931,0.0,0.0,0.0,0.0,-556,-1253780,-1.0,0
WH.CZC,2010/1/26,2255,2256,2259,2254,2256,2628,59296700,0,-1,-1.0,0.22172949,2256.343227,28072,2257,2256,-1,-1.0,2010/1/26,2010/1/26,-38.5920949058,-37.9373693225,0.0,0.0,0.0,0.0,-528,-1191168,-1.0,1
WH.CZC,2010/1/27,2256,2256,2260,2255,2255,2026,45740300,0,-1,-1.0,0.221631206,2257.66535,28108,2256,2258,2,0.0,2010/1/27,2010/1/27,-38.7364862257,-38.0946388717,0.0,0.0,0.0,0.0,36,81180,-1.0,0
WH.CZC,2010/1/28,2255,2247,2252,2242,2247,5454,122469300,0,-11,-1.0,0.44345898,2245.49505,27792,2258,2245,-13,-1.0,2010/1/28,2010/1/28,-39.0830748547,-38.3233306768,0.0,0.0,0.0,0.0,-316,-710052,-1.0,0
WH.CZC,2010/1/29,2247,2244,2251,2244,2245,2490,55968000,0,0,0.0,0.31152648,2247.710843,26992,2245,2248,3,0.0,2010/1/29,2010/1/29,-39.2965157158,-38.526774375,-38.0781652938,0.0,0.0,0.0,-800,-1796000,0.0,0
WH.CZC,2010/2/1,2245,2248,2248,2242,2245,3488,78310100,0,-3,-1.0,0.267260579,2245.129014,24942,2248,2245,-3,-1.0,2010/2/1,2010/2/1,-39.4145350628,-38.705358612,-38.1781071477,0.0,0.0,0.0,-2050,-4602250,-1.0,0
WH.CZC,2010/2/2,2245,2249,2250,2245,2247,2098,47140200,0,2,0.0,0.222717149,2246.911344,24742,2245,2247,2,0.0,2010/2/2,2010/2/2,-39.5204104358,-38.8830731442,-38.2717522991,0.0,0.0,0.0,-200,-449400,0.0,1
WH.CZC,2010/2/3,2247,2254,2258,2250,2255,3246,73175600,0,8,0.0,0.356030263,2254.331485,24584,2247,2254,7,0.0,2010/2/3,2010/2/3,-39.5204104358,-38.9539148968,-38.3741925184,0.0,0.0,0.0,-158,-356290,0.0,1
WH.CZC,2010/2/4,2255,2250,2252,2246,2251,1824,41025000,0,-3,-1.0,0.266075388,2249.177632,24082,2254,2249,-5,-1.0,2010/2/4,2010/2/4,-39.4733947519,-39.1010530496,-38.4523401372,0.0,0.0,0.0,-502,-1130002,-1.0,0
WH.CZC,2010/2/5,2251,2247,2256,2246,2250,2074,46674100,0,1,0.0,0.444247001,2250.438766,24018,2249,2250,1,0.0,2010/2/5,2010/2/5,-39.4145350628,-39.1773248365,-38.5363156395,0.0,0.0,0.0,-64,-144000,0.0,0
WH.CZC,2010/2/8,2250,2254,2270,2252,2266,5854,132481600,0,16,0.0,0.8,2263.095319,23856,2250,2263,13,0.0,2010/2/8,2010/2/8,-39.1662331505,-39.1127978697,-38.6141223019,0.0,0.0,0.0,-162,-367092,0.0,1
