heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
Y.DCE,2010/1/4,7968,8030,8092,7990,8050,922828,74265310500.0,0,132,0.0,1.280120482,8047.578801,681238,7918,8046,128,0.0,2010/1/4,2010/1/4,0.0,0.0,0.0,0.0,0.0,0.0,38284,308186200,0.0,1
Y.DCE,2010/1/5,8050,8088,8090,8020,8056,789080,63617268400.0,0,10,0.0,0.869565217,8062.207685,667422,8046,8062,16,0.0,2010/1/5,2010/1/5,0.0,0.0,0.0,0.0,0.0,0.0,-13816,-111301696,0.0,1
Y.DCE,2010/1/6,8056,8030,8140,8016,8090,1015520,82231489600.0,0,28,0.0,1.539225422,8097.47613,698598,8062,8096,34,0.0,2010/1/6,2010/1/6,0.0,0.0,0.0,0.0,0.0,0.0,31176,252213840,0.0,1
Y.DCE,2010/1/7,8090,8100,8184,7774,7860,1455800,1.16e+11,0,-236,-1.0,5.067985167,7970.79842,644090,8096,7970,-126,-1.0,2010/1/7,2010/1/7,0.0,0.0,0.0,0.0,0.0,0.0,-54508,-428432880,-1.0,0
Y.DCE,2010/1/8,7860,7860,7878,7652,7744,1145050,88890015900.0,0,-226,-1.0,2.875318066,7762.981171,649448,7970,7762,-208,-1.0,2010/1/8,2010/1/8,-3.15541975457,0.0,0.0,0.0,0.0,0.0,5358,41492352,-1.0,0
Y.DCE,2010/1/11,7744,7844,7884,7794,7802,691840,54256854500.0,0,40,0.0,1.162190083,7842.399182,649770,7762,7842,80,0.0,2010/1/11,2010/1/11,-3.50036467058,0.0,0.0,0.0,0.0,0.0,322,2512244,0.0,1
Y.DCE,2010/1/12,7802,7742,7768,7694,7726,669838,51787787100.0,0,-116,-1.0,0.94847475,7731.389844,666748,7842,7730,-112,-1.0,2010/1/12,2010/1/12,-3.96012769507,0.0,0.0,0.0,0.0,0.0,16978,131172028,-1.0,0
Y.DCE,2010/1/13,7726,7560,7574,7450,7498,756186,56842030200.0,0,-232,-1.0,1.60497023,7516.937658,632390,7730,7516,-214,-1.0,2010/1/13,2010/1/13,-4.78691917852,0.0,0.0,0.0,0.0,0.0,-34358,-257616284,-1.0,0
Y.DCE,2010/1/14,7498,7568,7616,7540,7552,764352,57887608100.0,0,36,0.0,1.013603628,7573.422729,672004,7516,7572,56,0.0,2010/1/14,2010/1/14,-5.21799496281,0.0,0.0,0.0,0.0,0.0,39614,299164928,0.0,1
Y.DCE,2010/1/15,7552,7520,7584,7466,7498,809754,60974003100.0,0,-74,-1.0,1.5625,7529.941575,700094,7572,7528,-44,-1.0,2010/1/15,2010/1/15,-5.56270365726,-4.36735038801,0.0,0.0,0.0,0.0,28090,210618820,-1.0,0
Y.DCE,2010/1/18,7498,7420,7464,7382,7456,759174,56385844300.0,0,-72,-1.0,1.093624967,7427.262301,695966,7528,7426,-102,-1.0,2010/1/18,2010/1/18,-6.04809779583,-4.77998945263,0.0,0.0,0.0,0.0,-4128,-30778368,-1.0,0
