heyue,riqi,qianshoupan,kaipanjia,zuigaojia,zuidijia,shoupanjia,chengjiaoliang,chengjiaoe,chengjiaobishu,zhangdie_shoupanjia,zhangdiefu_shoupanjia,zhengfu_shoupanjia,junjia,chicangliang,qianjiesuanjia,jiesuanjia,zhangdie_jiesuanjia,zhangdiefu_jiesuanjia,zuijinjiaoyiriqi,shichangzuijinjiaoyiri,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
ZC.CZC,2013/9/26,0.0,525.4,535.2,523.8,534.4,308648.0,32673990200.0,0,14.4,2.769230769,0.0,529.3083091,32170.0,520.0,529.4,9.4,0.0180769230769,2013/9/26,2013/9/26,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0269461077844,1.0
ZC.CZC,2013/9/27,534.4,535.8,550.6,533.2,546.6,430296.0,46896724600.0,0,17.2,0.0321856287425,3.255988024,544.9356327,39570.0,529.4,545.0,15.6,0.029467321496,2013/9/27,2013/9/27,0.0,0.0,0.0,0.0,0.0,0.0,7400,4044840.0,0.0314672521039,1.0
ZC.CZC,2013/9/30,546.6,545.0,555.8,542.2,555.0,240056.0,26349442100.0,0,10.0,0.0182949140139,2.488108306,548.8186527,44818.0,545.0,548.8,3.8,0.00697247706422,2013/9/30,2013/9/30,0.0,0.0,0.0,0.0,0.0,0.0,5248,2912640.0,0.018018018018,1.0
ZC.CZC,2013/10/8,555.0,555.0,555.0,538.4,547.4,183128.0,19937375100.0,0,-1.4,-0.00252252252252,2.990990991,544.3562727,35386.0,548.8,544.4,-4.4,-0.00801749271137,2013/10/8,2013/10/8,0.0,0.0,0.0,0.0,0.0,0.0,-9432,-5163076.8,-0.00255754475703,0.0
ZC.CZC,2013/10/9,547.4,546.4,549.6,541.6,547.0,190138.0,20807318100.0,0,2.6,0.00474972597735,1.461454147,547.1635891,35204.0,544.4,547.2,2.8,0.0051432770022,2013/10/9,2013/10/9,-5.18945965685,0.0,0.0,0.0,0.0,0.0,-182,-99554.0,0.00475319926874,0.0
ZC.CZC,2013/10/10,547.0,545.6,552.0,545.6,547.4,170136.0,18653921200.0,0,0.2,0.00036563071298,1.170018282,548.2061762,45778.0,547.2,548.2,1.0,0.00182748538012,2013/10/10,2013/10/10,-4.8328179029,0.0,0.0,0.0,0.0,0.0,10574,5788207.6,0.000365363536719,1.0
ZC.CZC,2013/10/11,547.4,549.2,550.8,546.8,547.2,89008.0,9764860000.0,0,-1.0,-0.0018268176836,0.730727073,548.5383336,43222.0,548.2,548.6,0.4,0.000729660707771,2013/10/11,2013/10/11,-4.81636736635,0.0,0.0,0.0,0.0,0.0,-2556,-1398643.2,-0.00182748538012,0.0
ZC.CZC,2013/10/14,547.2,548.0,561.2,547.2,560.0,286206.0,31855659800.0,0,11.4,0.0208333333333,2.558479532,556.516282,61950.0,548.6,556.6,8.0,0.0145825738243,2013/10/14,2013/10/14,-4.67931449251,0.0,0.0,0.0,0.0,0.0,18728,10487680.0,0.0203571428571,1.0
ZC.CZC,2013/10/15,560.0,561.0,567.0,559.2,563.4,255142.0,28730817300.0,0,6.8,0.0121428571429,1.392857143,563.0358251,68998.0,556.6,563.0,6.4,0.0114983830399,2013/10/15,2013/10/15,-4.24118009748,0.0,0.0,0.0,0.0,0.0,7048,3970843.2,0.0120695775648,1.0
ZC.CZC,2013/10/16,563.4,563.2,565.8,560.0,563.8,182074.0,20492833200.0,0,0.8,0.00141995030174,1.029463969,562.7611081,69260.0,563.0,562.8,-0.2,-0.000355239786856,2013/10/16,2013/10/16,-3.78189679692,-4.45099416768,0.0,0.0,0.0,0.0,262,147715.6,0.00141894288755,1.0
ZC.CZC,2013/10/17,563.8,565.0,567.8,558.8,561.8,278130.0,31376093100.0,0,-1.0,-0.00177367860944,1.596310748,564.0544548,70340.0,562.8,564.0,1.2,0.00213219616205,2013/10/17,2013/10/17,-3.38888863197,-4.07770887655,0.0,0.0,0.0,0.0,1080,606744.0,-0.00177999288003,0.0
ZC.CZC,2013/10/18,561.8,562.0,563.2,557.4,562.4,143288.0,16071177600.0,0,-1.6,-0.00284798860805,1.03239587,560.7998437,66612.0,564.0,560.8,-3.2,-0.00567375886525,2013/10/18,2013/10/18,-2.97475529232,-3.86269356301,0.0,0.0,0.0,0.0,-3728,-2096627.2,-0.00284495021337,1.0
ZC.CZC,2013/10/21,562.4,563.0,564.2,558.0,559.0,129934.0,14571162700.0,0,-1.8,-0.00320056899004,1.102418208,560.7140048,56648.0,560.8,560.8,0.0,0.0,2013/10/21,2013/10/21,-3.00197768118,-3.80828776912,0.0,0.0,0.0,0.0,-9964,-5569876.0,-0.00322003577818,0.0
ZC.CZC,2013/10/22,559.0,558.2,560.8,555.6,560.2,131106.0,14630472000.0,0,-0.6,-0.00107334525939,0.930232558,557.9634799,48340.0,560.8,558.0,-2.8,-0.00499286733238,2013/10/22,2013/10/22,-3.08911162077,-3.63426835609,0.0,0.0,0.0,0.0,-8308,-4654141.6,-0.00107104605498,1.0
ZC.CZC,2013/10/23,560.2,561.0,564.4,558.2,559.8,151240.0,16981019400.0,0,1.8,0.00321313816494,1.10674759,561.3931301,41700.0,558.0,561.4,3.4,0.00609318996416,2013/10/23,2013/10/23,-3.19807632156,-3.46037206877,0.0,0.0,0.0,0.0,-6640,-3717072.0,0.0032154340836,0.0
ZC.CZC,2013/10/24,559.8,560.2,560.4,552.2,553.2,117076.0,13000326500.0,0,-8.2,-0.0146480886031,1.46480886,555.2088601,45194.0,561.4,555.2,-6.2,-0.0110438190239,2013/10/24,2013/10/24,-3.43252468081,-3.38161673891,0.0,0.0,0.0,0.0,3494,1932880.8,-0.0148228488792,0.0
ZC.CZC,2013/10/25,553.2,554.0,556.4,552.8,555.6,88500.0,9818577900.0,0,0.4,0.000723065798988,0.650759219,554.7219153,38416.0,555.2,554.8,-0.4,-0.000720461095101,2013/10/25,2013/10/25,-3.61806654279,-3.2676039427,0.0,0.0,0.0,0.0,-6778,-3765856.8,0.000719942404608,1.0
ZC.CZC,2013/10/28,555.6,556.4,560.2,554.8,558.2,106070.0,11831736200.0,0,3.4,0.00611951043916,0.971922246,557.7324503,43378.0,554.8,557.8,3.0,0.00540735400144,2013/10/28,2013/10/28,-3.6399043148,-3.29203057167,0.0,0.0,0.0,0.0,4962,2769788.4,0.0060910068076,1.0
ZC.CZC,2013/10/29,558.2,557.8,559.4,555.8,558.6,68364.0,7624971500.0,0,0.8,0.00143317807238,0.644930133,557.6744705,43248.0,557.8,557.6,-0.2,-0.000358551452133,2013/10/29,2013/10/29,-3.68358566847,-3.35718075586,0.0,0.0,0.0,0.0,-130,-72618.0,0.00143215180809,1.0
ZC.CZC,2013/10/30,558.6,559.0,562.0,554.4,556.8,126806.0,14125224200.0,0,-0.8,-0.00143215180809,1.360544218,556.9619813,43762.0,557.6,557.0,-0.6,-0.00107604017217,2013/10/30,2013/10/30,-3.76550892624,-3.45222375666,-4.11129259617,0.0,0.0,0.0,514,286195.2,-0.0014367816092,0.0
ZC.CZC,2013/10/31,556.8,555.4,558.0,554.6,555.2,59574.0,6627233700.0,0,-1.8,-0.00323275862069,0.610632184,556.2186273,42470.0,557.0,556.2,-0.8,-0.00143626570916,2013/10/31,2013/10/31,-3.71089042929,-3.54187041279,-3.96974734108,0.0,0.0,0.0,-1292,-717318.4,-0.00324207492795,0.0
ZC.CZC,2013/11/1,555.2,553.0,559.2,553.0,559.0,50654.0,5638760600.0,0,2.8,0.00504322766571,1.116714697,556.5957871,38124.0,556.2,556.6,0.4,0.000719165767709,2013/11/1,2013/11/1,-3.61806654279,-3.58806500978,-3.88540113417,0.0,0.0,0.0,-4346,-2429414.0,0.00500894454383,1.0
ZC.CZC,2013/11/4,559.0,559.0,560.8,556.6,557.4,50894.0,5685360800.0,0,0.8,0.00143112701252,0.751341682,558.5492199,33992.0,556.6,558.6,2.0,0.00359324469996,2013/11/4,2013/11/4,-3.6399043148,-3.60980667489,-3.86907925635,0.0,0.0,0.0,-4132,-2303176.8,0.00143523501973,0.0
ZC.CZC,2013/11/5,557.4,556.8,557.6,554.0,554.0,33930.0,3770980100.0,0,-4.6,-0.00825260136347,0.645855759,555.6999853,35278.0,558.6,555.8,-2.8,-0.00501253132832,2013/11/5,2013/11/5,-3.76550892624,-3.69407380869,-3.82419947634,0.0,0.0,0.0,1286,712444.0,-0.00830324909747,0.0
