MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61073800245,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577145177753,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59102420662,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439193227063,0.0
30.0289151029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526660400601,0.0
29.0224736325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705171587521,1.0
28.3918784932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74453846282,1.0
28.2330886625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771540789245,1.0
28.704881742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621604694354,0.0
29.0171446741,29.7337513326,0.0,0.0,0.0,0.0,0.0,0.0,0.525790173817,0.0
29.2157120376,29.3224052942,0.0,0.0,0.0,0.0,0.0,0.0,0.66902441338,0.0
29.3101005044,29.06136345,0.0,0.0,0.0,0.0,0.0,0.0,0.705315252744,0.0
29.3440383271,29.0021374212,0.0,0.0,0.0,0.0,0.0,0.0,0.77239842384,1.0
29.4479744005,29.284067684,0.0,0.0,0.0,0.0,0.0,0.0,0.648571882926,0.0
29.5486042464,29.4878264336,0.0,0.0,0.0,0.0,0.0,0.0,0.512993822524,0.0
29.7020588367,29.6629965659,0.0,0.0,0.0,0.0,0.0,0.0,0.68473091649,1.0
29.6178626008,29.6668650215,0.0,0.0,0.0,0.0,0.0,0.0,0.606111561996,0.0
29.5794269502,29.6642861679,0.0,0.0,0.0,0.0,0.0,0.0,0.810726017875,1.0
29.576860911,29.7144895815,0.0,0.0,0.0,0.0,0.0,0.0,0.655258921377,0.0
30.0636577502,30.0094768145,30.8415187079,0.0,0.0,0.0,0.0,0.0,0.762104911602,1.0
30.749439951,30.4354250369,30.858775537,0.0,0.0,0.0,0.0,0.0,0.735158020479,1.0
31.060579648,30.5579106671,30.8001276065,0.0,0.0,0.0,0.0,0.0,0.468608794125,0.0
31.3549264474,30.6959617758,30.8439854462,0.0,0.0,0.0,0.0,0.0,0.773426534346,1.0
31.4816767967,30.7626440208,31.0075289948,0.0,0.0,0.0,0.0,0.0,0.584590053706,0.0
31.5895201829,31.0467430216,31.2466721017,0.0,0.0,0.0,0.0,0.0,0.716428282438,1.0
