MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.400667779633,0.397365815865,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.752086811352,0.744454188726,0.5,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.167779632721,0.166497008565,1.0,0
-17.4114825705,0.0,0.0,0.0,0.0,0.0,0.17612687813,0.17496484885,0.5,0
-17.4114825705,0.0,0.0,0.0,0.0,0.0,0.154424040067,0.153468844603,0.5,0
-16.2039983397,0.0,0.0,0.0,0.0,0.0,0.339732888147,0.336946190046,1.0,1
-16.6071930155,0.0,0.0,0.0,0.0,0.0,0.262103505843,0.260122096443,0.5,0
-17.27763884,0.0,0.0,0.0,0.0,0.0,0.384808013356,0.381677642434,0.5,0
-17.6120877006,-19.1536438786,0.0,0.0,0.0,0.0,0.23121869783,0.229713661602,0.5,1
-17.8792537901,-19.3009769792,0.0,0.0,0.0,0.0,0.35225375626,0.349454798491,0.5,1
-13.5015546952,-16.2198861225,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
-7.44878309895,-13.1005973943,0.0,0.0,0.0,0.0,0.291318864775,0.286968069843,1.0,1
-3.05733392277,-11.0218466435,0.0,0.0,0.0,0.0,0.315525876461,0.311956053889,0.5,0
0.529038333428,-9.16735361405,0.0,0.0,0.0,0.0,0.195325542571,0.191818749193,0.5,0
1.18445036626,-8.94031592766,0.0,0.0,0.0,0.0,0.0292153589316,0.0289745907402,0.5,0
-1.3214694177,-7.91917726412,0.0,0.0,0.0,0.0,0.252086811352,0.249179328254,1.0,1
-4.94175247032,-6.59760712386,0.0,0.0,0.0,0.0,0.338898163606,0.335720383363,0.5,1
-7.51672640996,-5.5805916296,0.0,0.0,0.0,0.0,0.277128547579,0.274446548731,0.5,0
-10.3744283836,-5.12947257702,-12.3983605223,0.0,0.0,0.0,0.359766277129,0.356792601042,0.5,0
-10.7828569558,-4.97923631026,-12.3983605223,0.0,0.0,0.0,0.362270450751,0.359334423736,0.5,0
-12.5512169011,-7.39019277905,-12.0092445966,0.0,0.0,0.0,0.253756260434,0.251665016715,1.0,1
