MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.592167912247,0.647715717048,0.465259954551,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.631268081003,0.68006665735,0.350541853159,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.552088355834,0.614470300599,0.530682887153,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.575503254581,0.633889124208,0.51296939413,1.0
-11.0141507816,0.0,0.0,0.0,0.0,0.0,0.559260486982,0.620378028241,0.523093855495,1.0
-10.8156443599,0.0,0.0,0.0,0.0,0.0,0.674029652845,0.716684406881,0.677624050455,1.0
-10.343448891,0.0,0.0,0.0,0.0,0.0,0.645491803279,0.692820328005,0.612489505549,1.0
-9.9570683666,0.0,0.0,0.0,0.0,0.0,0.538105713597,0.602054700267,0.520649654876,0.0
-9.50629872272,0.0,0.0,0.0,0.0,0.0,0.596115597878,0.651060712719,0.557830467838,1.0
-9.22191333111,-10.3894920931,0.0,0.0,0.0,0.0,0.534911403086,0.59951304866,0.460784307869,0.0
-9.19508633665,-10.2774485937,0.0,0.0,0.0,0.0,0.588144889103,0.644322088497,0.51815471572,1.0
-8.44948500258,-9.67186473722,0.0,0.0,0.0,0.0,0.858606557377,0.880861072628,0.871103816401,1.0
-7.70442542451,-9.10903006607,0.0,0.0,0.0,0.0,0.54099867406,0.603004872987,0.583284456798,0.0
-7.15818635677,-8.6130253718,0.0,0.0,0.0,0.0,0.555041586307,0.615462406287,0.470039629302,0.0
-6.28108267372,-8.0346296862,0.0,0.0,0.0,0.0,0.661403085824,0.708386705657,0.595097365965,1.0
-5.45909587421,-7.61108386123,0.0,0.0,0.0,0.0,0.579450940212,0.6365771363,0.535208518772,0.0
-5.49108726847,-7.25700229109,0.0,0.0,0.0,0.0,0.588295564127,0.644332122547,0.506399813407,0.0
-5.48575516577,-6.88451940983,0.0,0.0,0.0,0.0,0.6131268081,0.666033657888,0.513610634439,1.0
-5.40578343883,-6.57343781114,0.0,0.0,0.0,0.0,0.589320154291,0.645232773495,0.487095343892,0.0
-5.48575516577,-6.1775794615,-8.43396461717,0.0,0.0,0.0,0.575804604629,0.633428032375,0.523216596055,1.0
-5.70443697723,-5.87761489999,-8.22636096847,0.0,0.0,0.0,0.550882955641,0.611910289083,0.44331802009,0.0
-5.85385584629,-5.96784582743,-7.9679287928,0.0,0.0,0.0,0.593539054966,0.648905739008,0.503850708077,1.0
-5.89655780787,-5.98642537689,-7.69486037797,0.0,0.0,0.0,0.617104628737,0.669468365311,0.564128060391,1.0
-5.88588187163,-5.94130514234,-7.42323791632,0.0,0.0,0.0,0.587286041466,0.643457192554,0.506367431187,0.0
-5.91791056745,-5.99704265607,-7.1610952181,0.0,0.0,0.0,0.580897420444,0.637889040975,0.503950307176,0.0
-6.07809338096,-6.18554616255,-7.04343780896,0.0,0.0,0.0,0.573152724204,0.631344075196,0.381756373687,0.0
-6.32382978397,-6.38210577683,-6.96456825159,0.0,0.0,0.0,0.59918936837,0.653741866733,0.444898446191,0.0
-6.58039987578,-6.5309125785,-6.85230001072,0.0,0.0,0.0,0.579586547734,0.636867601821,0.545099540471,1.0
-6.88526070847,-6.67710936211,-6.76945135984,0.0,0.0,0.0,0.597682618129,0.652460279315,0.498779125001,0.0
-7.76336116707,-7.12926519543,-6.79751145059,-7.95448991657,0.0,0.0,0.644934305689,0.69190564457,0.232319985303,0.0
-8.40122453582,-7.52587300602,-6.84561815771,-7.94890855306,0.0,0.0,0.517779652845,0.585527587569,0.480418422583,0.0
-9.03949733098,-7.96535417012,-7.11162254727,-7.92286272352,0.0,0.0,0.596432015429,0.651268843351,0.492867757801,0.0
-9.710213967,-8.42640836161,-7.35234090751,-7.89402730443,0.0,0.0,0.583534233365,0.640498014356,0.588402296022,1.0
-10.2629544013,-8.8530055945,-7.54364764073,-7.85403161567,0.0,0.0,0.592680207329,0.648145390788,0.558161028348,1.0
-10.3488151442,-9.33308195495,-7.81264207454,-7.83915004841,0.0,0.0,0.58956123433,0.645541475555,0.450112726601,0.0
-10.4239419824,-9.68787100042,-8.08575321394,-7.88100521749,0.0,0.0,0.582283630665,0.639481570084,0.513020408566,0.0
-10.343448891,-9.96531865058,-8.32412994337,-7.92286272352,0.0,0.0,0.573378736741,0.632000192026,0.538170935263,1.0
-10.5097993695,-10.3814890775,-8.60811677984,-7.98983947902,0.0,0.0,0.614196600771,0.665988197818,0.431975585632,0.0
-10.617117736,-10.7095964338,-8.84661368068,-8.04658812356,0.0,0.0,0.580430327869,0.637920417945,0.553293401485,1.0
-10.3917449346,-10.6402436613,-9.03958557569,-8.04193644479,-8.30807894902,0.0,0.607536764706,0.660670460968,0.647660983624,1.0
-10.5258973787,-10.7442720288,-9.29155424959,-8.1117143905,-8.33061097985,0.0,0.602850771456,0.656559052992,0.345558475117,0.0
-11.1643554268,-11.0216543418,-9.65213054715,-8.39367399293,-8.38250494562,0.0,0.556005906461,0.618372761806,0.202211888517,0.0
-11.6684808741,-11.3549799772,-10.0516113292,-8.6775758302,-8.44669336822,0.0,0.584890308582,0.641822670374,0.494509305296,0.0
-12.4669949965,-11.8054814291,-10.4926412131,-8.96806269517,-8.53273945343,0.0,0.615643081003,0.666571975849,0.444597953643,0.0
-13.4463329932,-12.1811696855,-10.9228893598,-9.28654331888,-8.61810938557,0.0,0.586517598843,0.643170026375,0.504744546424,1.0
-14.0714126107,-12.5593265343,-11.2913985287,-9.60879506795,-8.74583450804,0.0,0.588611981678,0.644859441645,0.512552745124,0.0
-14.0714126107,-12.8760565519,-11.5901464802,-9.88543116264,-8.85786075667,0.0,0.570711788814,0.630305563605,0.605826427518,1.0
-14.2261973983,-13.203241643,-11.9637886966,-10.1974677051,-8.99107435415,0.0,0.625,0.674101638822,0.47076308827,0.0
-14.5249087955,-13.7480587403,-12.4028296588,-10.5541980434,-9.17280922184,0.0,0.668921769527,0.708465314156,0.353210475445,0.0
-14.8127099896,-14.3770386429,-12.685110745,-10.909021643,-9.33132897209,0.0,0.574915621986,0.634031796262,0.50709300641,1.0
-15.0523519164,-14.8063537208,-12.9538884417,-11.2349123718,-9.49327598169,0.0,0.572067864031,0.631760393399,0.54677899368,1.0
-15.7488966823,-15.1531077527,-13.2679595952,-11.6072567067,-9.78985690489,0.0,0.598074373192,0.652345956935,0.372972578682,0.0
-16.4489650568,-15.5787297386,-13.6499146792,-12.0343472362,-10.1083180282,0.0,0.613398023144,0.664189224127,0.406575629838,0.0
-16.7876799644,-15.8955483389,-14.0355346995,-12.4519074433,-10.4035380663,0.0,0.586894286403,0.643612574827,0.552603729061,1.0
-17.1839757392,-16.235707464,-14.3954605629,-12.8701275779,-10.7253841784,0.0,0.610836547734,0.662229082451,0.517519589758,0.0
-17.4741351834,-16.4990813147,-14.7177554193,-13.2184047037,-11.0301039829,0.0,0.57818527001,0.636777817313,0.590031981862,1.0
-17.5004934975,-16.8568053017,-15.0570272528,-13.5515917093,-11.3258844744,0.0,0.563720467695,0.625444831578,0.565845467139,1.0
-17.3317428422,-17.1194810325,-15.353421946,-13.9030701538,-11.6229577077,0.0,0.573604749277,0.633186917807,0.48806804372,0.0
-17.1470181333,-17.1955985829,-15.6641154601,-14.2338680078,-11.9042408387,0.0,0.579827627772,0.638023687686,0.557697346126,1.0
-17.1786964662,-17.4080601136,-16.0857788432,-14.5042197168,-12.2195468713,-10.2686266947,0.64818888621,0.69119695969,0.409312674543,0.0
-17.1100542588,-17.518141154,-16.355919819,-14.7290457896,-12.4869711373,-10.3729921555,0.625949252652,0.674233315175,0.541667739054,1.0
-17.1575780903,-17.5548218537,-16.5477524683,-14.9592658948,-12.7692820646,-10.4703095612,0.653296769527,0.695456667266,0.541749698337,0.0
-17.2050915444,-17.4945572641,-16.7301812316,-15.2022488695,-13.0664444157,-10.5724677981,0.586035438766,0.642927611682,0.463777574036,0.0
-17.2631493527,-17.4316537991,-16.8570038842,-15.4468823292,-13.3559453771,-10.6702191568,0.591309064609,0.647043163607,0.565834683093,1.0
-16.554865509,-17.0958529455,-16.858324584,-15.577884255,-13.5751675929,-10.725697905,0.661644165863,0.703594943494,0.789254673558,1.0
-16.0196028442,-16.7963465276,-16.8398340907,-15.6959183383,-13.7527808376,-10.8018687984,0.543334136933,0.608346809234,0.65843093662,1.0
-15.3237230388,-16.4753892929,-16.858324584,-15.8185095888,-13.9139971289,-10.8802381081,0.592755544841,0.648190812898,0.567167830369,1.0
-14.6262000559,-16.1540048768,-16.8292674214,-15.9115680471,-14.0887454137,-10.9564027794,0.586110776278,0.642819846864,0.543802445038,0.0
-14.3329083371,-16.0379949512,-16.8094535998,-16.0865396769,-14.3014641638,-11.0669013174,0.575774469624,0.634688912701,0.335400038183,0.0
-14.5995473511,-15.8163782401,-16.8054906298,-16.3018673815,-14.4427558356,-11.167707603,0.604538331726,0.657535297794,0.462146915978,0.0
-14.8393456948,-15.668532111,-16.7869958647,-16.4379616511,-14.5697345847,-11.2658655124,0.590420081967,0.646323160369,0.575685893804,1.0
-15.7117196843,-15.7556654079,-16.8490795249,-16.6015415181,-14.7611325558,-11.4775603943,0.587421648987,0.644041821518,0.227281136335,0.0
-16.5231002759,-15.8137388348,-16.8477587716,-16.7484832636,-14.9544543139,-11.6821739328,0.5637506027,0.625659336299,0.401198142006,1.0
-17.0096923946,-15.9113795421,-16.8649279676,-16.8705576824,-15.1591792473,-11.8779454843,0.592318587271,0.647832538451,0.555406486911,0.0
-17.3317428422,-16.2040837901,-16.8424756816,-16.9733063642,-15.3305817517,-12.077629765,0.571118611379,0.631276449743,0.574007146502,1.0
-17.3633939118,-16.3384567964,-16.7592509294,-17.0072397873,-15.4517907858,-12.2460455491,0.551334980714,0.615234147451,0.755228621919,1.0
-16.5178056604,-16.348992784,-16.6032892119,-17.0237460694,-15.5445253578,-12.3845299143,0.584558823529,0.641570224794,0.720574358665,1.0
-15.6001586422,-16.2963083567,-16.4154703072,-16.9852295065,-15.5993395875,-12.5133165411,0.580083775313,0.637897594592,0.670321051809,1.0
-14.7381185272,-16.111825513,-16.2645811303,-16.9072590153,-15.6805261382,-12.644273952,0.578381147541,0.636557659739,0.53340292673,0.0
-13.2003334784,-15.5126802787,-15.8524875876,-16.6961458591,-15.6852612877,-12.7106207482,0.634959619094,0.683722901555,0.909845169707,1.0
-11.6416716929,-14.7586788571,-15.3999145818,-16.4214136841,-15.592572976,-12.7330275793,0.5887475892,0.644785976704,0.907966609851,1.0
-10.1931916325,-13.6178942232,-14.8721350635,-16.0690478064,-15.422001065,-12.7404963311,0.560330279653,0.620197298286,0.688357723922,1.0
-8.8785585942,-12.5060781684,-14.3448254458,-15.6830108027,-15.247263916,-12.7580694843,0.586984691418,0.643237847953,0.55721210818,0.0
-6.83711218136,-11.058990791,-13.6699383157,-15.1939370345,-14.9693725707,-12.7224832955,0.700021094503,0.743631650278,0.839590423693,1.0
-5.71510776532,-9.7305546076,-13.1530454788,-14.7179467652,-14.7075249353,-12.6939249043,0.555584016393,0.615319196469,0.535103960439,0.0
-5.88588187163,-9.03968603884,-12.875006897,-14.4199880516,-14.5568351098,-12.717211082,0.457705520733,0.53344283608,0.11060914115,0.0
-3.87431393403,-7.31289622051,-12.0133275739,-13.7102103072,-14.1288517002,-12.5383675858,0.788241321119,0.83274916305,0.610157734962,1.0
-1.841668108,-5.63887204756,-11.1426663251,-12.9936763732,-13.6718091511,-12.3656273593,0.614211668274,0.668541433502,0.607841625465,1.0
-0.360999254506,-3.8829016859,-10.1588552741,-12.2705920705,-13.1618281008,-12.1805306935,0.592906219865,0.648416174133,0.563239197717,1.0
1.53334118822,-2.3692175429,-9.08247143121,-11.4453022328,-12.6124589233,-11.9188539755,0.650207931533,0.703572253,0.715407923861,1.0
4.27249114605,-1.04603913516,-8.02148320882,-10.6557149641,-12.0625924658,-11.6526945868,0.647540983607,0.701040512075,0.573581688552,1.0
4.71821707237,0.163830371561,-6.82156422398,-9.85096750782,-11.4822849698,-11.3820604325,0.605532786885,0.660577801002,0.534346811018,0.0
5.34082849727,1.4739904026,-5.58322151848,-9.00717121659,-10.847688121,-11.0990368429,0.721507352941,0.773302679751,0.620754291652,1.0
5.90013046128,2.48241826137,-4.33455752281,-8.16754092314,-10.2149267946,-10.8185995953,0.60431231919,0.659525630195,0.555844921801,1.0
6.06774128066,3.49244098926,-3.14563753821,-7.4356093264,-9.58962833589,-10.5345991987,0.562605472517,0.619054406628,0.493140001114,0.0
6.11205585689,4.8609885054,-2.08243889848,-6.73331970254,-8.99517342017,-10.258057926,0.562801350048,0.619379950204,0.499511812555,0.0
6.17110728049,5.11119325114,-1.10077725099,-6.04224091834,-8.40299016494,-9.98855025124,0.58275072324,0.638629080682,0.54085131858,0.0
5.8951959576,5.28174899535,-0.189634640654,-5.37640973893,-7.8289007118,-9.71640091546,0.569506388621,0.625978091391,0.420567170646,0.0
5.81126785606,5.51852933647,0.794990342203,-4.60941149804,-7.23276318368,-9.43457748468,0.681262054002,0.734037955878,0.599292372663,1.0
5.84583597892,5.61946999527,1.58932863502,-3.83154059646,-6.60047418368,-9.16599058749,0.59118852459,0.646764744008,0.601295204003,1.0
6.27435155035,5.85538265346,2.36097011879,-3.01568763574,-5.95816382548,-8.84021577347,0.682467454195,0.736494982351,0.670824264306,1.0
6.59803348697,6.04660709442,3.05417515572,-2.12333786404,-5.31826407128,-8.48943464921,0.55144045323,0.607853502152,0.506316323809,0.0
7.27567931157,6.24963670301,3.80363457432,-1.20229921982,-4.64774590477,-8.11501635365,0.734631147541,0.788528181217,0.608457114507,1.0
7.72592692312,6.43512954689,4.39642456827,-0.282466911697,-3.98618626733,-7.72713467384,0.576241562199,0.631973911165,0.557481028198,0.0
8.00542182945,6.59345783905,4.97704057454,0.585305009953,-3.41121707895,-7.35308961032,0.537020853423,0.593497110171,0.502132206747,0.0
8.10156393561,6.85344742766,5.7889672261,1.40409735379,-2.83024272884,-6.96786098536,0.627229990357,0.68233471342,0.568146208918,1.0
8.40839865841,7.16823227658,6.07360179588,2.18677682899,-2.24277286316,-6.5899361628,0.619349686596,0.674685246034,0.622953012094,1.0
8.73302617939,7.6669529251,6.41248469463,2.988293411,-1.62293848958,-6.17418054712,0.776970829315,0.833015530401,0.686840674357,1.0
9.18412296983,8.11716575743,6.75980251814,3.82096426507,-0.943924119049,-5.72162430503,0.626386210222,0.682219986135,0.621392619232,1.0
10.2781953124,8.80877707185,7.16400314302,4.61241845082,-0.190068918465,-5.22371143828,0.81925024108,0.882083037792,0.788024422607,1.0
11.2396060404,9.34607832808,7.55653682069,5.33127293706,0.547626468824,-4.73004082973,0.59043514947,0.645929184694,0.582634749467,0.0
12.0776338681,9.92582276481,7.9495343696,6.01215082217,1.35171964591,-4.21714056557,0.6499969865,0.707327151662,0.539877321,0.0
12.4562258911,10.2786861413,8.2315903606,6.64709620419,2.11187467654,-3.71042654144,0.518307015429,0.572353669868,0.465951332485,0.0
12.7787105457,10.6641748983,8.52213948668,7.18793516332,2.87967588921,-3.20257235393,0.559396094503,0.614174640906,0.509211031394,1.0
12.9526028079,11.2870272399,8.92318869539,7.80726841992,3.67646021095,-2.65990523778,0.72131147541,0.782059714002,0.711288466011,1.0
13.0948678751,11.8313489515,9.33380182046,8.55276411111,4.41568241166,-2.13373602708,0.577205882353,0.632188880894,0.557989362459,0.0
13.4797428661,12.4399341871,9.80530711833,8.96764538296,5.14698950988,-1.58700866937,0.753691538091,0.817167930448,0.643689560793,1.0
14.1366907471,12.9601737146,10.3200505259,9.38668067825,5.86642403873,-1.03589574145,0.686731557377,0.747179224955,0.589492009343,1.0
14.802283944,13.4579242605,10.7995909298,9.8031946449,6.60133393467,-0.483980644136,0.668093056895,0.727877820616,0.57533169672,1.0
15.250860479,13.7726320316,11.2995343559,10.1896278028,7.25451819164,0.0980155829535,0.714681774349,0.777863744159,0.618504574997,1.0
15.5728628599,14.0074021322,11.6829008052,10.5383771664,7.83312031845,0.642537191685,0.435676832208,0.48282028492,0.499719895135,0.0
15.7792661031,14.3014890505,12.1180025286,10.9092485658,8.40133592932,1.20443974114,0.621519406943,0.678809911483,0.495895026184,1.0
16.3554500384,14.9184992191,12.6125220339,11.3264353684,9.02809162309,1.80737063041,0.886677314368,0.96601784635,0.758716753532,1.0
17.0139363785,15.5821680689,13.1481130583,11.7675996234,9.6014486787,2.42001746425,0.818225650916,0.893981963598,0.668227615398,1.0
17.5574262702,16.0809002539,13.7112821162,12.2203496076,10.1836865943,2.98954144563,0.556292189007,0.608595212091,0.585304084933,1.0
18.4218953104,16.684644073,14.292194014,12.7192105294,10.8854559173,3.56991554698,0.730171166827,0.799417542971,0.623021710596,1.0
