MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.73341599504,0.737591658836,0.5,1
0.0,0.0,0.0,0.0,0.0,0.0,0.976441413515,0.974951212451,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.284562926224,0.300347713186,0.5,0
0.0,0.0,0.0,0.0,0.0,0.0,0.692498450093,0.697667189373,1.0,1
-24.3356964551,0.0,0.0,0.0,0.0,0.0,0.959082455053,0.960083040114,1.0,1
-22.3178777974,0.0,0.0,0.0,0.0,0.0,0.473651580905,0.481399271373,1.0,1
-20.6037408761,0.0,0.0,0.0,0.0,0.0,0.77495350279,0.778769832447,1.0,1
-18.9446288709,0.0,0.0,0.0,0.0,0.0,0.618102913825,0.623643706134,1.0,0
-17.7276820327,0.0,0.0,0.0,0.0,0.0,0.668319900806,0.673411452698,0.5,0
-17.4604460383,-20.8251606674,0.0,0.0,0.0,0.0,0.720396776193,0.724726567402,1.0,1
-17.3458105684,-19.7470994378,0.0,0.0,0.0,0.0,0.701177929324,0.705766070742,0.5,0
-17.9945628557,-19.2052199696,0.0,0.0,0.0,0.0,0.6943583385,0.699083535153,0.5,0
-18.3751814127,-18.5676707239,0.0,0.0,0.0,0.0,0.634221946683,0.6398881073,0.5,0
-18.8308860375,-18.1915729545,0.0,0.0,0.0,0.0,0.690018598884,0.694970855924,0.5,0
-19.7009488215,-18.4925128213,0.0,0.0,0.0,0.0,0.740235585865,0.744280518279,0.5,0
-20.4536564338,-18.8117159557,0.0,0.0,0.0,0.0,0.712337259764,0.716917002374,0.5,0
-21.5753610972,-19.6911277952,0.0,0.0,0.0,0.0,0.623062616243,0.629846221645,0.5,0
-22.9822781413,-20.5842159693,0.0,0.0,0.0,0.0,0.616243025418,0.623598648671,0.5,0
-22.5028092851,-20.5656648438,0.0,0.0,0.0,0.0,0.73899566026,0.743094597946,1.0,1
-21.5381209605,-20.5099971018,-20.5633076035,0.0,0.0,0.0,0.794172349659,0.797686852608,1.0,1
-20.9408524566,-20.5842159693,-20.0665632955,0.0,0.0,0.0,0.686918784873,0.691748654452,0.5,0
-20.0777709763,-20.7140063997,-19.863712798,0.0,0.0,0.0,0.673899566026,0.679045414168,0.5,0
-19.0961688782,-20.9362266368,-19.6605961092,0.0,0.0,0.0,0.721016738996,0.725426143802,0.5,0
-19.6632163771,-20.9732288563,-19.4942154049,0.0,0.0,0.0,0.724736515809,0.729073031626,0.5,1
-20.0777709763,-20.6954721642,-19.5034633109,0.0,0.0,0.0,0.721016738996,0.725370810076,1.0,1
-20.2282394331,-20.4728733429,-19.5496948701,0.0,0.0,0.0,0.752634841909,0.756515595712,1.0,0
-20.3785558798,-20.119727992,-19.8083435158,0.0,0.0,0.0,0.72783632982,0.732110062735,0.5,0
-20.2282394331,-19.5604502389,-19.9743918575,0.0,0.0,0.0,0.726596404216,0.730891930268,0.5,0
-20.0777709763,-19.7657522189,-20.0665632955,0.0,0.0,0.0,0.721636701798,0.726015645611,1.0,1
-20.5287181876,-20.1941443205,-20.250737442,-20.2595925192,0.0,0.0,0.734035957843,0.738200329829,0.5,0
-20.9034356914,-20.4543078961,-20.4162991447,-20.0175556744,0.0,0.0,0.726596404216,0.730898451743,1.0,0
-21.314457626,-20.7325382063,-20.6183971308,-19.9751593401,0.0,0.0,0.731556106634,0.73577098161,0.5,0
-21.5381209605,-20.7695945171,-20.7468565726,-19.8539623286,0.0,0.0,0.732176069436,0.736375897814,1.0,1
-21.9471696242,-20.8992145109,-20.8293759538,-19.7872634624,0.0,0.0,0.732176069436,0.736377478778,0.5,0
-22.1697286161,-21.2319643548,-20.8568716104,-19.9024525802,0.0,0.0,0.723496590205,0.727871894518,1.0,1
-21.8728949224,-21.2688861839,-20.7651984031,-19.9448690424,0.0,0.0,0.73341599504,0.737591658836,1.0,1
-20.9034356914,-20.9917262413,-20.4530652421,-20.023611331,0.0,0.0,0.727216367018,0.731471353433,1.0,1
-20.0024804112,-20.6583964227,-20.0112671309,-20.023611331,0.0,0.0,0.732796032238,0.736979035434,0.5,1
-18.6411500936,-20.1941443205,-19.8821648307,-19.9327512474,0.0,0.0,0.737755734656,0.741891089393,1.0,1
-17.2693523693,-19.6351362891,-19.8175731,-19.8721479556,-20.3717805636,0.0,0.736515809051,0.740664656867,1.0,1
-16.4649460019,-19.0928831097,-19.6790721243,-19.8054568977,-20.0484228435,0.0,0.731556106634,0.73574904574,1.0,0
-15.9656140367,-18.3609118357,-19.4572184839,-19.7023327842,-19.8324659658,0.0,0.725356478611,0.729601863956,0.5,1
-15.3112193953,-17.5882693074,-19.0960604512,-19.5384089005,-19.5456256792,0.0,0.745815251085,0.749911317822,1.0,1
-14.9255929835,-16.7179311402,-18.7341285532,-19.313500836,-19.277129788,0.0,0.728456292622,0.732662214278,1.0,1
-14.7712100525,-15.95844148,-18.5296316545,-19.088285193,-19.1780995398,0.0,0.72783632982,0.732053148044,0.5,0
-14.6553753645,-15.5016746819,-18.3249033328,-18.8810652435,-19.0978892064,0.0,0.732796032238,0.736976861609,0.5,0
-13.959569451,-14.9106100151,-17.8961109571,-18.4842236912,-19.0129190808,0.0,0.734035957843,0.73820981561,1.0,1
-13.41753647,-14.3184544051,-17.4383225256,-18.0007445081,-18.866482594,0.0,0.763174209547,0.767291641347,1.0,1
-14.5395010561,-14.6815107639,-17.3821965264,-18.0313810861,-18.8853846133,0.0,0.73341599504,0.737591658836,0.5,0
