MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.588110403397,0.549205812024,0.5,1
0.0,0.0,0.0,0.0,0.0,0.0,0.588110403397,0.549205812024,0.5,0
0.0,0.0,0.0,0.0,0.0,0.0,0.588110403397,0.549205812024,0.5,0
0.0,0.0,0.0,0.0,0.0,0.0,0.592356687898,0.552972927702,0.5,0
-35.8036347777,0.0,0.0,0.0,0.0,0.0,0.594479830149,0.554894942938,1.0,1
-36.1512556326,0.0,0.0,0.0,0.0,0.0,0.624203821656,0.581168181888,0.5,0
-36.4237502221,0.0,0.0,0.0,0.0,0.0,0.617834394904,0.575575621771,1.0,1
-36.7304907699,0.0,0.0,0.0,0.0,0.0,0.588110403397,0.549205812024,1.0,0
-36.6945191679,0.0,0.0,0.0,0.0,0.0,0.594479830149,0.554861613194,1.0,1
-36.6765217942,-36.3334636505,0.0,0.0,0.0,0.0,0.634819532909,0.590944906788,1.0,1
-36.5322654461,-36.4335683314,0.0,0.0,0.0,0.0,0.611464968153,0.569962551042,0.5,0
-36.3331099261,-36.4699120489,0.0,0.0,0.0,0.0,0.619957537155,0.577600190065,1.0,1
-36.2786338705,-36.5968710617,0.0,0.0,0.0,0.0,0.632696390658,0.588778473429,0.5,0
-36.3875170915,-36.633075252,0.0,0.0,0.0,0.0,0.596602972399,0.556726369639,0.5,0
-36.6044552161,-36.7324764886,0.0,0.0,0.0,0.0,0.588110403397,0.549205812024,1.0,1
-36.6405039159,-36.678286792,0.0,0.0,0.0,0.0,0.607218683652,0.566173215534,0.5,0
-36.9277819817,-36.7234497356,0.0,0.0,0.0,0.0,0.59872611465,0.558602235999,0.5,0
-37.0171499713,-36.7415012956,0.0,0.0,0.0,0.0,0.583864118896,0.545445533216,1.0,1
-37.0171499713,-36.7956092494,0.0,0.0,0.0,0.0,0.605095541401,0.564246927254,1.0,0
-37.1063238201,-36.9485339001,-39.1683398387,0.0,0.0,0.0,0.609341825902,0.568032844326,1.0,1
-37.19530318,-37.0113387734,-39.2523019207,0.0,0.0,0.0,0.596602972399,0.556729788074,0.5,0
-37.1063238201,-37.1098383296,-39.3221172856,0.0,0.0,0.0,0.59872611465,0.558623601219,1.0,1
-37.0885045983,-37.1455975403,-39.4057118716,0.0,0.0,0.0,0.59872611465,0.558610782087,0.5,0
-37.0706775998,-37.1366606806,-39.4196247877,0.0,0.0,0.0,0.590233545648,0.551086806036,0.5,0
-37.1063238201,-37.1991774731,-39.5029850976,0.0,0.0,0.0,0.594479830149,0.554848794061,0.5,0
-37.1063238201,-37.2437733931,-39.4983592419,0.0,0.0,0.0,0.673036093418,0.624445572528,1.0,0
-36.4961244234,-36.8946249107,-39.3407112003,0.0,0.0,0.0,0.87898089172,0.811234003859,1.0,1
-36.0965505425,-36.68732327,-39.24298269,0.0,0.0,0.0,0.615711252654,0.57390315231,1.0,0
-35.3420828511,-36.306121833,-39.0748139517,0.0,0.0,0.0,0.626326963907,0.58369440556,1.0,1
