MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.412803904845,0.411635738581,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.400440815086,0.396633361844,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.441119096076,0.444942140162,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.405203644747,0.402701828231,1.0,0
13.0502532508,0.0,0.0,0.0,0.0,0.0,0.451033213137,0.45599298949,0.0,0
12.0897904691,0.0,0.0,0.0,0.0,0.0,0.43627181908,0.438889533729,1.0,1
10.9636512971,0.0,0.0,0.0,0.0,0.0,0.44949627165,0.453836963992,0.0,0
10.7050544921,0.0,0.0,0.0,0.0,0.0,0.382183301384,0.376057896728,1.0,1
10.482553119,0.0,0.0,0.0,0.0,0.0,0.45516268779,0.460905260931,1.0,1
10.5712348398,12.1982761109,0.0,0.0,0.0,0.0,0.415455551146,0.414725442577,1.0,1
10.5629905706,11.7000553519,0.0,0.0,0.0,0.0,0.421586427624,0.421831062212,0.0,0
10.7564482942,11.2235375427,0.0,0.0,0.0,0.0,0.415421772212,0.414674729279,1.0,0
10.9697953152,11.2007025511,0.0,0.0,0.0,0.0,0.409290895733,0.407512301035,1.0,1
11.0168792139,11.1123961745,0.0,0.0,0.0,0.0,0.399537228607,0.396169807837,0.0,0
11.0802833806,11.1892818485,0.0,0.0,0.0,0.0,0.392249423647,0.387612887279,0.0,1
11.31288447,11.3033925778,0.0,0.0,0.0,0.0,0.414011501727,0.413053308067,1.0,1
11.5952892967,11.5443902527,0.0,0.0,0.0,0.0,0.427143062229,0.428509052008,1.0,1
11.8420542753,11.7772202126,0.0,0.0,0.0,0.0,0.403033348252,0.400031378323,1.0,1
12.4703769194,12.121670217,0.0,0.0,0.0,0.0,0.444556102587,0.449785909712,1.0,1
12.9711813887,12.4101908167,13.0803363805,0.0,0.0,0.0,0.40854775919,0.40653899434,0.0,0
13.6298043104,12.8649183809,13.0608128044,0.0,0.0,0.0,0.441262656544,0.446130920542,1.0,1
14.1584794116,13.2778611221,13.03441832,0.0,0.0,0.0,0.411165626557,0.409657067941,1.0,0
14.7332325914,13.6975375349,13.2446848156,0.0,0.0,0.0,0.470650328922,0.482313252643,1.0,1
15.0095152481,14.150240803,13.4404993377,0.0,0.0,0.0,0.431981894492,0.434995423109,1.0,0
15.3747546692,14.5861969743,13.7117451856,0.0,0.0,0.0,0.430664516075,0.43341729557,1.0,1
15.7464615015,15.1032442742,14.0458217982,0.0,0.0,0.0,0.443720073976,0.449808249548,1.0,1
16.0705877669,15.5315551335,14.3962075679,0.0,0.0,0.0,0.424786981599,0.42634656976,0.0,0
16.1225240821,15.8430469467,14.6797393294,0.0,0.0,0.0,0.420927738416,0.421587506145,0.0,0
16.1410578108,15.9899403055,14.9300919496,0.0,0.0,0.0,0.420851735815,0.421447556874,0.0,0
16.1706953923,16.1872360391,15.1796333519,16.0351491708,0.0,0.0,0.418022750112,0.418009809067,0.0,1
16.0594505327,16.3170193207,15.4756168035,16.070508404,0.0,0.0,0.440299956932,0.44539710059,1.0,1
16.1280850276,16.5147018783,15.7871658078,16.1268141461,0.0,0.0,0.438171884104,0.442885458406,1.0,1
16.2003127965,16.5772818115,16.0300862951,16.2893767553,0.0,0.0,0.415928456218,0.415477249672,0.0,0
16.5559782243,16.7663249129,16.356992187,16.4894691476,0.0,0.0,0.433037486172,0.436749982149,1.0,1
16.8722714493,16.9415648771,16.6682251066,16.7341330123,0.0,0.0,0.38884619607,0.381901783089,1.0,0
17.1065624508,17.0053568489,16.9616326779,16.9787452352,0.0,0.0,0.419500578464,0.419956928472,1.0,1
17.4348358882,17.207171307,17.2833337614,17.2851972418,0.0,0.0,0.469772076644,0.482995746296,1.0,1
17.708729178,17.383281732,17.5326365159,17.5376815428,0.0,0.0,0.413124804716,0.412035875907,0.0,0
17.7408269395,17.5759298386,17.7075083366,17.7741291957,0.0,0.0,0.403768040062,0.400401715706,0.0,0
17.4348358882,17.5777514182,17.8079690555,17.9396634653,17.8767673125,0.0,0.417423174038,0.417278567382,0.0,0
17.1083734426,17.5303630494,17.8488408528,18.1181371222,17.8894027251,0.0,0.390982713631,0.384971832501,0.0,1
16.7135090425,17.4984350753,17.9323511825,18.3129984946,17.9218748179,0.0,0.416950268965,0.416726902201,1.0,1
16.3868061189,17.4756136474,17.9522530985,18.4659864516,18.0353118429,0.0,0.445738365269,0.452033367769,1.0,0
16.3019685487,17.4500380918,18.0350669471,18.674130467,18.1758046913,0.0,0.410827837219,0.409189327022,1.0,1
16.5724915831,17.4281031103,18.112984716,18.8735971439,18.3504357636,0.0,0.408353530321,0.40612456137,1.0,1
16.9850430083,17.4692212991,18.1667257941,19.0839634077,18.5427584834,0.0,0.364322690154,0.351144678914,1.0,1
17.1915921082,17.3750437703,18.2213315885,19.2656878048,18.7436622261,0.0,0.385713199963,0.378019599965,0.0,0
17.2349429147,17.2338206804,18.2392025485,19.3832100051,18.8922987534,0.0,0.422236672099,0.423231872483,0.0,0
17.0612615354,17.1031633937,18.2716308064,19.4551372623,19.0325750734,0.0,0.394377496474,0.389025370592,0.0,0
16.9341520491,17.1740649245,18.3087245195,19.5473958706,19.1750407984,0.0,0.398701199997,0.394284149487,1.0,1
16.6054989768,17.216362728,18.3059085606,19.5895985386,19.3194136808,0.0,0.423258484846,0.424465362414,0.0,0
16.2447010414,17.1409315288,18.2509551425,19.6196203067,19.4444186525,0.0,0.438889686447,0.443421344596,0.0,0
16.0965636357,17.08933704,18.2128634429,19.6151506485,19.5448380069,0.0,0.456319616271,0.464734268152,0.0,1
15.9962860986,16.9508162137,18.1290207158,19.6231317711,19.6636293261,0.0,0.446278828209,0.452505270541,1.0,1
