MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,chicangliangbianhua,zijinbiandong,jiagebiandonggongxiandu,fenlei
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33932767751,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283438133001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445074009996,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487439136144,0.0
-12.8392300361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464001714657,1.0
-12.4602200833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478836117251,0.0
-12.1633014089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405932433731,0.0
-12.0309271913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39452071537,0.0
-12.0943362143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335394085813,0.0
-12.3890603908,-12.5344512201,0.0,0.0,0.0,0.0,0.0,0.0,0.301524475792,0.0
-12.7547796558,-12.5277993089,0.0,0.0,0.0,0.0,0.0,0.0,0.426647277474,0.0
-13.4177960813,-12.7107005525,0.0,0.0,0.0,0.0,0.0,0.0,0.21991794017,0.0
-13.9535216164,-12.9123797461,0.0,0.0,0.0,0.0,0.0,0.0,0.422138711615,1.0
-14.5615762866,-13.2479741953,0.0,0.0,0.0,0.0,0.0,0.0,0.358024861194,0.0
-15.2271001827,-13.7276997905,0.0,0.0,0.0,0.0,0.0,0.0,0.257219028384,0.0
-15.685047696,-14.1389382644,0.0,0.0,0.0,0.0,0.0,0.0,0.516699985149,1.0
-15.8173276061,-14.5348345505,0.0,0.0,0.0,0.0,0.0,0.0,0.397479588155,0.0
-15.8316540627,-14.808443269,0.0,0.0,0.0,0.0,0.0,0.0,0.585529343457,1.0
-15.616678147,-15.0035816564,0.0,0.0,0.0,0.0,0.0,0.0,0.496569806053,1.0
-15.235934877,-15.1451744357,-13.4992052025,0.0,0.0,0.0,0.0,0.0,0.437934176528,0.0
-14.8735043916,-15.1930918689,-13.5199814792,0.0,0.0,0.0,0.0,0.0,0.758438519131,1.0
-14.2759481279,-14.9616975725,-13.4950498325,0.0,0.0,0.0,0.0,0.0,0.560779235701,0.0
-13.9524131609,-14.8078918638,-13.5185964239,0.0,0.0,0.0,0.0,0.0,0.343403444212,0.0
-13.7206798634,-14.5850494338,-13.5745492476,0.0,0.0,0.0,0.0,0.0,0.493448542704,0.0
-13.2091005331,-14.1400431673,-13.5914445079,0.0,0.0,0.0,0.0,0.0,0.586082070757,0.0
-12.8092293695,-13.7597736021,-13.6069543406,0.0,0.0,0.0,0.0,0.0,0.446955261032,0.0
-12.4757852279,-13.2950281187,-13.5728873838,0.0,0.0,0.0,0.0,0.0,0.745749852135,1.0
-11.7650001681,-12.7794125192,-13.4523858375,0.0,0.0,0.0,0.0,0.0,0.616078939923,0.0
