准确率,组合
0.5377643504531722,"(0,)"
0.5770392749244713,"(1,)"
0.5861027190332326,"(2,)"
0.5800604229607251,"(3,)"
0.5558912386706949,"(4,)"
0.5740181268882175,"(5,)"
0.486404833836858,"(6,)"
0.552870090634441,"(7,)"
0.7824773413897281,"(8,)"
0.56797583081571,"(0, 1)"
0.540785498489426,"(0, 2)"
0.5498489425981873,"(0, 3)"
0.552870090634441,"(0, 4)"
0.5589123867069486,"(0, 5)"
0.5105740181268882,"(0, 6)"
0.525679758308157,"(0, 7)"
0.8217522658610272,"(0, 8)"
0.5558912386706949,"(1, 2)"
0.5226586102719033,"(1, 3)"
0.5709969788519638,"(1, 4)"
0.5619335347432024,"(1, 5)"
0.5347432024169184,"(1, 6)"
0.5770392749244713,"(1, 7)"
0.8006042296072508,"(1, 8)"
0.5800604229607251,"(2, 3)"
0.5740181268882175,"(2, 4)"
0.5589123867069486,"(2, 5)"
0.5347432024169184,"(2, 6)"
0.56797583081571,"(2, 7)"
0.8096676737160121,"(2, 8)"
0.5558912386706949,"(3, 4)"
0.5921450151057401,"(3, 5)"
0.5740181268882175,"(3, 6)"
0.5709969788519638,"(3, 7)"
0.7854984894259819,"(3, 8)"
0.6012084592145015,"(4, 5)"
0.5438066465256798,"(4, 6)"
0.5317220543806647,"(4, 7)"
0.8096676737160121,"(4, 8)"
0.5589123867069486,"(5, 6)"
0.5709969788519638,"(5, 7)"
0.8066465256797583,"(5, 8)"
0.5468277945619335,"(6, 7)"
0.797583081570997,"(6, 8)"
0.7794561933534743,"(7, 8)"
0.5709969788519638,"(0, 1, 2)"
0.5287009063444109,"(0, 1, 3)"
0.5498489425981873,"(0, 1, 4)"
0.56797583081571,"(0, 1, 5)"
0.5649546827794562,"(0, 1, 6)"
0.5800604229607251,"(0, 1, 7)"
0.8126888217522659,"(0, 1, 8)"
0.5619335347432024,"(0, 2, 3)"
0.5619335347432024,"(0, 2, 4)"
0.56797583081571,"(0, 2, 5)"
0.5558912386706949,"(0, 2, 6)"
0.5558912386706949,"(0, 2, 7)"
0.7885196374622356,"(0, 2, 8)"
0.5468277945619335,"(0, 3, 4)"
0.513595166163142,"(0, 3, 5)"
0.540785498489426,"(0, 3, 6)"
0.5709969788519638,"(0, 3, 7)"
0.7643504531722054,"(0, 3, 8)"
0.6012084592145015,"(0, 4, 5)"
0.6072507552870091,"(0, 4, 6)"
0.5770392749244713,"(0, 4, 7)"
0.7794561933534743,"(0, 4, 8)"
0.6344410876132931,"(0, 5, 6)"
0.6012084592145015,"(0, 5, 7)"
0.7915407854984894,"(0, 5, 8)"
0.5347432024169184,"(0, 6, 7)"
0.797583081570997,"(0, 6, 8)"
0.7824773413897281,"(0, 7, 8)"
0.5196374622356495,"(1, 2, 3)"
0.540785498489426,"(1, 2, 4)"
0.5347432024169184,"(1, 2, 5)"
0.5800604229607251,"(1, 2, 6)"
0.56797583081571,"(1, 2, 7)"
0.7885196374622356,"(1, 2, 8)"
0.5619335347432024,"(1, 3, 4)"
0.5709969788519638,"(1, 3, 5)"
0.5981873111782477,"(1, 3, 6)"
0.6102719033232629,"(1, 3, 7)"
0.797583081570997,"(1, 3, 8)"
0.5317220543806647,"(1, 4, 5)"
0.5981873111782477,"(1, 4, 6)"
0.6314199395770392,"(1, 4, 7)"
0.8006042296072508,"(1, 4, 8)"
0.5830815709969789,"(1, 5, 6)"
0.5770392749244713,"(1, 5, 7)"
0.7945619335347432,"(1, 5, 8)"
0.5709969788519638,"(1, 6, 7)"
0.8217522658610272,"(1, 6, 8)"
0.8006042296072508,"(1, 7, 8)"
0.5468277945619335,"(2, 3, 4)"
0.552870090634441,"(2, 3, 5)"
0.5830815709969789,"(2, 3, 6)"
0.5619335347432024,"(2, 3, 7)"
0.8006042296072508,"(2, 3, 8)"
0.5709969788519638,"(2, 4, 5)"
0.5891238670694864,"(2, 4, 6)"
0.5709969788519638,"(2, 4, 7)"
0.7824773413897281,"(2, 4, 8)"
0.5861027190332326,"(2, 5, 6)"
0.6132930513595166,"(2, 5, 7)"
0.770392749244713,"(2, 5, 8)"
0.552870090634441,"(2, 6, 7)"
0.797583081570997,"(2, 6, 8)"
0.7915407854984894,"(2, 7, 8)"
0.5649546827794562,"(3, 4, 5)"
0.5498489425981873,"(3, 4, 6)"
0.5740181268882175,"(3, 4, 7)"
0.7915407854984894,"(3, 4, 8)"
0.6163141993957704,"(3, 5, 6)"
0.6072507552870091,"(3, 5, 7)"
0.7854984894259819,"(3, 5, 8)"
0.5981873111782477,"(3, 6, 7)"
0.8157099697885196,"(3, 6, 8)"
0.7915407854984894,"(3, 7, 8)"
0.5891238670694864,"(4, 5, 6)"
0.6042296072507553,"(4, 5, 7)"
0.8006042296072508,"(4, 5, 8)"
0.5438066465256798,"(4, 6, 7)"
0.8096676737160121,"(4, 6, 8)"
0.797583081570997,"(4, 7, 8)"
0.6072507552870091,"(5, 6, 7)"
0.8217522658610272,"(5, 6, 8)"
0.8066465256797583,"(5, 7, 8)"
0.8006042296072508,"(6, 7, 8)"
0.5377643504531722,"(0, 1, 2, 3)"
0.5468277945619335,"(0, 1, 2, 4)"
0.552870090634441,"(0, 1, 2, 5)"
0.5589123867069486,"(0, 1, 2, 6)"
0.5498489425981873,"(0, 1, 2, 7)"
0.797583081570997,"(0, 1, 2, 8)"
0.5770392749244713,"(0, 1, 3, 4)"
0.5830815709969789,"(0, 1, 3, 5)"
0.5649546827794562,"(0, 1, 3, 6)"
0.5619335347432024,"(0, 1, 3, 7)"
0.797583081570997,"(0, 1, 3, 8)"
0.5770392749244713,"(0, 1, 4, 5)"
0.6102719033232629,"(0, 1, 4, 6)"
0.6012084592145015,"(0, 1, 4, 7)"
0.7794561933534743,"(0, 1, 4, 8)"
0.6042296072507553,"(0, 1, 5, 6)"
0.6374622356495468,"(0, 1, 5, 7)"
0.7915407854984894,"(0, 1, 5, 8)"
0.5498489425981873,"(0, 1, 6, 7)"
0.797583081570997,"(0, 1, 6, 8)"
0.7915407854984894,"(0, 1, 7, 8)"
0.5468277945619335,"(0, 2, 3, 4)"
0.5709969788519638,"(0, 2, 3, 5)"
0.5770392749244713,"(0, 2, 3, 6)"
0.5861027190332326,"(0, 2, 3, 7)"
0.7734138972809668,"(0, 2, 3, 8)"
0.5830815709969789,"(0, 2, 4, 5)"
0.6012084592145015,"(0, 2, 4, 6)"
0.6072507552870091,"(0, 2, 4, 7)"
0.7945619335347432,"(0, 2, 4, 8)"
0.622356495468278,"(0, 2, 5, 6)"
0.6163141993957704,"(0, 2, 5, 7)"
0.7824773413897281,"(0, 2, 5, 8)"
0.5709969788519638,"(0, 2, 6, 7)"
0.8338368580060423,"(0, 2, 6, 8)"
0.8217522658610272,"(0, 2, 7, 8)"
0.5498489425981873,"(0, 3, 4, 5)"
0.6042296072507553,"(0, 3, 4, 6)"
0.5800604229607251,"(0, 3, 4, 7)"
0.7824773413897281,"(0, 3, 4, 8)"
0.6163141993957704,"(0, 3, 5, 6)"
0.5921450151057401,"(0, 3, 5, 7)"
0.7945619335347432,"(0, 3, 5, 8)"
0.5619335347432024,"(0, 3, 6, 7)"
0.8157099697885196,"(0, 3, 6, 8)"
0.7824773413897281,"(0, 3, 7, 8)"
0.6193353474320241,"(0, 4, 5, 6)"
0.6404833836858006,"(0, 4, 5, 7)"
0.7945619335347432,"(0, 4, 5, 8)"
0.5468277945619335,"(0, 4, 6, 7)"
0.8096676737160121,"(0, 4, 6, 8)"
0.8066465256797583,"(0, 4, 7, 8)"
0.6525679758308157,"(0, 5, 6, 7)"
0.7945619335347432,"(0, 5, 6, 8)"
0.7945619335347432,"(0, 5, 7, 8)"
0.8036253776435045,"(0, 6, 7, 8)"
0.5498489425981873,"(1, 2, 3, 4)"
0.5800604229607251,"(1, 2, 3, 5)"
0.5981873111782477,"(1, 2, 3, 6)"
0.6132930513595166,"(1, 2, 3, 7)"
0.770392749244713,"(1, 2, 3, 8)"
0.5709969788519638,"(1, 2, 4, 5)"
0.6042296072507553,"(1, 2, 4, 6)"
0.6253776435045317,"(1, 2, 4, 7)"
0.770392749244713,"(1, 2, 4, 8)"
0.6102719033232629,"(1, 2, 5, 6)"
0.5861027190332326,"(1, 2, 5, 7)"
0.7643504531722054,"(1, 2, 5, 8)"
0.5468277945619335,"(1, 2, 6, 7)"
0.797583081570997,"(1, 2, 6, 8)"
0.7885196374622356,"(1, 2, 7, 8)"
0.5709969788519638,"(1, 3, 4, 5)"
0.6193353474320241,"(1, 3, 4, 6)"
0.6042296072507553,"(1, 3, 4, 7)"
0.7854984894259819,"(1, 3, 4, 8)"
0.6042296072507553,"(1, 3, 5, 6)"
0.6042296072507553,"(1, 3, 5, 7)"
0.7643504531722054,"(1, 3, 5, 8)"
0.6102719033232629,"(1, 3, 6, 7)"
0.8217522658610272,"(1, 3, 6, 8)"
0.7854984894259819,"(1, 3, 7, 8)"
0.5830815709969789,"(1, 4, 5, 6)"
0.5619335347432024,"(1, 4, 5, 7)"
0.8096676737160121,"(1, 4, 5, 8)"
0.6042296072507553,"(1, 4, 6, 7)"
0.8187311178247734,"(1, 4, 6, 8)"
0.8006042296072508,"(1, 4, 7, 8)"
0.5709969788519638,"(1, 5, 6, 7)"
0.797583081570997,"(1, 5, 6, 8)"
0.770392749244713,"(1, 5, 7, 8)"
0.8157099697885196,"(1, 6, 7, 8)"
0.5709969788519638,"(2, 3, 4, 5)"
0.5800604229607251,"(2, 3, 4, 6)"
0.5740181268882175,"(2, 3, 4, 7)"
0.7643504531722054,"(2, 3, 4, 8)"
0.6042296072507553,"(2, 3, 5, 6)"
0.6283987915407855,"(2, 3, 5, 7)"
0.7764350453172205,"(2, 3, 5, 8)"
0.6102719033232629,"(2, 3, 6, 7)"
0.7945619335347432,"(2, 3, 6, 8)"
0.7945619335347432,"(2, 3, 7, 8)"
0.5921450151057401,"(2, 4, 5, 6)"
0.6132930513595166,"(2, 4, 5, 7)"
0.7794561933534743,"(2, 4, 5, 8)"
0.5830815709969789,"(2, 4, 6, 7)"
0.7824773413897281,"(2, 4, 6, 8)"
0.770392749244713,"(2, 4, 7, 8)"
0.6042296072507553,"(2, 5, 6, 7)"
0.7915407854984894,"(2, 5, 6, 8)"
0.770392749244713,"(2, 5, 7, 8)"
0.7915407854984894,"(2, 6, 7, 8)"
0.5830815709969789,"(3, 4, 5, 6)"
0.6163141993957704,"(3, 4, 5, 7)"
0.7915407854984894,"(3, 4, 5, 8)"
0.5649546827794562,"(3, 4, 6, 7)"
0.8217522658610272,"(3, 4, 6, 8)"
0.8066465256797583,"(3, 4, 7, 8)"
0.6042296072507553,"(3, 5, 6, 7)"
0.797583081570997,"(3, 5, 6, 8)"
0.7854984894259819,"(3, 5, 7, 8)"
0.8126888217522659,"(3, 6, 7, 8)"
0.5830815709969789,"(4, 5, 6, 7)"
0.8338368580060423,"(4, 5, 6, 8)"
0.797583081570997,"(4, 5, 7, 8)"
0.8187311178247734,"(4, 6, 7, 8)"
0.8217522658610272,"(5, 6, 7, 8)"
0.5558912386706949,"(0, 1, 2, 3, 4)"
0.5770392749244713,"(0, 1, 2, 3, 5)"
0.5800604229607251,"(0, 1, 2, 3, 6)"
0.5770392749244713,"(0, 1, 2, 3, 7)"
0.7885196374622356,"(0, 1, 2, 3, 8)"
0.540785498489426,"(0, 1, 2, 4, 5)"
0.595166163141994,"(0, 1, 2, 4, 6)"
0.6042296072507553,"(0, 1, 2, 4, 7)"
0.7764350453172205,"(0, 1, 2, 4, 8)"
0.5891238670694864,"(0, 1, 2, 5, 6)"
0.6132930513595166,"(0, 1, 2, 5, 7)"
0.7734138972809668,"(0, 1, 2, 5, 8)"
0.5709969788519638,"(0, 1, 2, 6, 7)"
0.8157099697885196,"(0, 1, 2, 6, 8)"
0.8006042296072508,"(0, 1, 2, 7, 8)"
0.5619335347432024,"(0, 1, 3, 4, 5)"
0.5981873111782477,"(0, 1, 3, 4, 6)"
0.5921450151057401,"(0, 1, 3, 4, 7)"
0.7824773413897281,"(0, 1, 3, 4, 8)"
0.6042296072507553,"(0, 1, 3, 5, 6)"
0.622356495468278,"(0, 1, 3, 5, 7)"
0.7945619335347432,"(0, 1, 3, 5, 8)"
0.5498489425981873,"(0, 1, 3, 6, 7)"
0.7915407854984894,"(0, 1, 3, 6, 8)"
0.7794561933534743,"(0, 1, 3, 7, 8)"
0.5861027190332326,"(0, 1, 4, 5, 6)"
0.5921450151057401,"(0, 1, 4, 5, 7)"
0.7824773413897281,"(0, 1, 4, 5, 8)"
0.5891238670694864,"(0, 1, 4, 6, 7)"
0.824773413897281,"(0, 1, 4, 6, 8)"
0.7885196374622356,"(0, 1, 4, 7, 8)"
0.6344410876132931,"(0, 1, 5, 6, 7)"
0.8126888217522659,"(0, 1, 5, 6, 8)"
0.797583081570997,"(0, 1, 5, 7, 8)"
0.797583081570997,"(0, 1, 6, 7, 8)"
0.5740181268882175,"(0, 2, 3, 4, 5)"
0.5709969788519638,"(0, 2, 3, 4, 6)"
0.5830815709969789,"(0, 2, 3, 4, 7)"
0.7945619335347432,"(0, 2, 3, 4, 8)"
0.6042296072507553,"(0, 2, 3, 5, 6)"
0.5921450151057401,"(0, 2, 3, 5, 7)"
0.7915407854984894,"(0, 2, 3, 5, 8)"
0.5619335347432024,"(0, 2, 3, 6, 7)"
0.7915407854984894,"(0, 2, 3, 6, 8)"
0.7764350453172205,"(0, 2, 3, 7, 8)"
0.5830815709969789,"(0, 2, 4, 5, 6)"
0.6314199395770392,"(0, 2, 4, 5, 7)"
0.7885196374622356,"(0, 2, 4, 5, 8)"
0.5649546827794562,"(0, 2, 4, 6, 7)"
0.824773413897281,"(0, 2, 4, 6, 8)"
0.7854984894259819,"(0, 2, 4, 7, 8)"
0.6102719033232629,"(0, 2, 5, 6, 7)"
0.8066465256797583,"(0, 2, 5, 6, 8)"
0.7854984894259819,"(0, 2, 5, 7, 8)"
0.8126888217522659,"(0, 2, 6, 7, 8)"
0.6193353474320241,"(0, 3, 4, 5, 6)"
0.6586102719033232,"(0, 3, 4, 5, 7)"
0.7794561933534743,"(0, 3, 4, 5, 8)"
0.595166163141994,"(0, 3, 4, 6, 7)"
0.797583081570997,"(0, 3, 4, 6, 8)"
0.7915407854984894,"(0, 3, 4, 7, 8)"
0.6042296072507553,"(0, 3, 5, 6, 7)"
0.8036253776435045,"(0, 3, 5, 6, 8)"
0.7794561933534743,"(0, 3, 5, 7, 8)"
0.7945619335347432,"(0, 3, 6, 7, 8)"
0.6072507552870091,"(0, 4, 5, 6, 7)"
0.7915407854984894,"(0, 4, 5, 6, 8)"
0.8006042296072508,"(0, 4, 5, 7, 8)"
0.8126888217522659,"(0, 4, 6, 7, 8)"
0.8066465256797583,"(0, 5, 6, 7, 8)"
0.5709969788519638,"(1, 2, 3, 4, 5)"
0.5800604229607251,"(1, 2, 3, 4, 6)"
0.6283987915407855,"(1, 2, 3, 4, 7)"
0.7794561933534743,"(1, 2, 3, 4, 8)"
0.5770392749244713,"(1, 2, 3, 5, 6)"
0.5861027190332326,"(1, 2, 3, 5, 7)"
0.7583081570996979,"(1, 2, 3, 5, 8)"
0.6283987915407855,"(1, 2, 3, 6, 7)"
0.7885196374622356,"(1, 2, 3, 6, 8)"
0.7945619335347432,"(1, 2, 3, 7, 8)"
0.6072507552870091,"(1, 2, 4, 5, 6)"
0.6012084592145015,"(1, 2, 4, 5, 7)"
0.7764350453172205,"(1, 2, 4, 5, 8)"
0.5740181268882175,"(1, 2, 4, 6, 7)"
0.7945619335347432,"(1, 2, 4, 6, 8)"
0.7824773413897281,"(1, 2, 4, 7, 8)"
0.6012084592145015,"(1, 2, 5, 6, 7)"
0.7824773413897281,"(1, 2, 5, 6, 8)"
0.7824773413897281,"(1, 2, 5, 7, 8)"
0.797583081570997,"(1, 2, 6, 7, 8)"
0.5649546827794562,"(1, 3, 4, 5, 6)"
0.552870090634441,"(1, 3, 4, 5, 7)"
0.770392749244713,"(1, 3, 4, 5, 8)"
0.5649546827794562,"(1, 3, 4, 6, 7)"
0.8066465256797583,"(1, 3, 4, 6, 8)"
0.797583081570997,"(1, 3, 4, 7, 8)"
0.5709969788519638,"(1, 3, 5, 6, 7)"
0.7915407854984894,"(1, 3, 5, 6, 8)"
0.7824773413897281,"(1, 3, 5, 7, 8)"
0.8036253776435045,"(1, 3, 6, 7, 8)"
0.5709969788519638,"(1, 4, 5, 6, 7)"
0.797583081570997,"(1, 4, 5, 6, 8)"
0.8006042296072508,"(1, 4, 5, 7, 8)"
0.7945619335347432,"(1, 4, 6, 7, 8)"
0.7824773413897281,"(1, 5, 6, 7, 8)"
0.5861027190332326,"(2, 3, 4, 5, 6)"
0.6193353474320241,"(2, 3, 4, 5, 7)"
0.7764350453172205,"(2, 3, 4, 5, 8)"
0.595166163141994,"(2, 3, 4, 6, 7)"
0.8036253776435045,"(2, 3, 4, 6, 8)"
0.7764350453172205,"(2, 3, 4, 7, 8)"
0.5921450151057401,"(2, 3, 5, 6, 7)"
0.7824773413897281,"(2, 3, 5, 6, 8)"
