准确率,组合
0.4842454394693201,"(0,)"
0.48092868988391374,"(1,)"
0.49917081260364843,"(2,)"
0.4759535655058043,"(3,)"
0.5207296849087893,"(4,)"
0.4859038142620232,"(5,)"
0.5240464344941956,"(6,)"
0.5157545605306799,"(7,)"
0.8225538971807629,"(8,)"
0.45107794361525705,"(0, 1)"
0.46102819237147596,"(0, 2)"
0.4660033167495854,"(0, 3)"
0.4593698175787728,"(0, 4)"
0.4494195688225539,"(0, 5)"
0.5240464344941956,"(0, 6)"
0.5008291873963516,"(0, 7)"
0.7877280265339967,"(0, 8)"
0.4759535655058043,"(1, 2)"
0.4660033167495854,"(1, 3)"
0.4444444444444444,"(1, 4)"
0.46102819237147596,"(1, 5)"
0.527363184079602,"(1, 6)"
0.5422885572139303,"(1, 7)"
0.7976782752902156,"(1, 8)"
0.46766169154228854,"(2, 3)"
0.472636815920398,"(2, 4)"
0.4527363184079602,"(2, 5)"
0.4792703150912106,"(2, 6)"
0.5339966832504146,"(2, 7)"
0.7993366500829188,"(2, 8)"
0.4792703150912106,"(3, 4)"
0.4560530679933665,"(3, 5)"
0.5024875621890548,"(3, 6)"
0.5223880597014925,"(3, 7)"
0.7960199004975125,"(3, 8)"
0.4560530679933665,"(4, 5)"
0.5339966832504146,"(4, 6)"
0.5655058043117744,"(4, 7)"
0.8076285240464345,"(4, 8)"
0.5140961857379768,"(5, 6)"
0.5373134328358209,"(5, 7)"
0.8076285240464345,"(5, 8)"
0.5223880597014925,"(6, 7)"
0.7976782752902156,"(6, 8)"
0.8059701492537313,"(7, 8)"
0.4626865671641791,"(0, 1, 2)"
0.4693200663349917,"(0, 1, 3)"
0.45439469320066334,"(0, 1, 4)"
0.4361525704809287,"(0, 1, 5)"
0.5306799336650083,"(0, 1, 6)"
0.5373134328358209,"(0, 1, 7)"
0.7943615257048093,"(0, 1, 8)"
0.4709784411276949,"(0, 2, 3)"
0.46102819237147596,"(0, 2, 4)"
0.43781094527363185,"(0, 2, 5)"
0.5174129353233831,"(0, 2, 6)"
0.5339966832504146,"(0, 2, 7)"
0.8092868988391376,"(0, 2, 8)"
0.4660033167495854,"(0, 3, 4)"
0.4527363184079602,"(0, 3, 5)"
0.49917081260364843,"(0, 3, 6)"
0.5223880597014925,"(0, 3, 7)"
0.8092868988391376,"(0, 3, 8)"
0.46766169154228854,"(0, 4, 5)"
0.5207296849087893,"(0, 4, 6)"
0.5422885572139303,"(0, 4, 7)"
0.8043117744610282,"(0, 4, 8)"
0.5356550580431177,"(0, 5, 6)"
0.5655058043117744,"(0, 5, 7)"
0.8076285240464345,"(0, 5, 8)"
0.5505804311774462,"(0, 6, 7)"
0.8126036484245439,"(0, 6, 8)"
0.7943615257048093,"(0, 7, 8)"
0.45439469320066334,"(1, 2, 3)"
0.4494195688225539,"(1, 2, 4)"
0.4427860696517413,"(1, 2, 5)"
0.5107794361525705,"(1, 2, 6)"
0.5290215588723052,"(1, 2, 7)"
0.8126036484245439,"(1, 2, 8)"
0.4693200663349917,"(1, 3, 4)"
0.47761194029850745,"(1, 3, 5)"
0.5257048092868989,"(1, 3, 6)"
0.5091210613598673,"(1, 3, 7)"
0.8159203980099502,"(1, 3, 8)"
0.42786069651741293,"(1, 4, 5)"
0.5472636815920398,"(1, 4, 6)"
0.548922056384743,"(1, 4, 7)"
0.7976782752902156,"(1, 4, 8)"
0.5555555555555556,"(1, 5, 6)"
0.5290215588723052,"(1, 5, 7)"
0.8059701492537313,"(1, 5, 8)"
0.5240464344941956,"(1, 6, 7)"
0.7910447761194029,"(1, 6, 8)"
0.7761194029850746,"(1, 7, 8)"
0.46102819237147596,"(2, 3, 4)"
0.4427860696517413,"(2, 3, 5)"
0.472636815920398,"(2, 3, 6)"
0.4975124378109453,"(2, 3, 7)"
0.7960199004975125,"(2, 3, 8)"
0.45439469320066334,"(2, 4, 5)"
0.5223880597014925,"(2, 4, 6)"
0.548922056384743,"(2, 4, 7)"
0.7943615257048093,"(2, 4, 8)"
0.5091210613598673,"(2, 5, 6)"
0.5290215588723052,"(2, 5, 7)"
0.7910447761194029,"(2, 5, 8)"
0.538971807628524,"(2, 6, 7)"
0.7943615257048093,"(2, 6, 8)"
