准确率,组合
0.47085201793721976,"(0,)"
0.45739910313901344,"(1,)"
0.4798206278026906,"(2,)"
0.5291479820627802,"(3,)"
0.49327354260089684,"(4,)"
0.484304932735426,"(5,)"
0.48878923766816146,"(6,)"
0.4484304932735426,"(7,)"
0.7892376681614349,"(8,)"
0.4439461883408072,"(0, 1)"
0.47533632286995514,"(0, 2)"
0.5291479820627802,"(0, 3)"
0.4618834080717489,"(0, 4)"
0.48878923766816146,"(0, 5)"
0.5067264573991032,"(0, 6)"
0.5381165919282511,"(0, 7)"
0.7937219730941704,"(0, 8)"
0.49327354260089684,"(1, 2)"
0.484304932735426,"(1, 3)"
0.47085201793721976,"(1, 4)"
0.4125560538116592,"(1, 5)"
0.5246636771300448,"(1, 6)"
0.47533632286995514,"(1, 7)"
0.7668161434977578,"(1, 8)"
0.4977578475336323,"(2, 3)"
0.48878923766816146,"(2, 4)"
0.45739910313901344,"(2, 5)"
0.5246636771300448,"(2, 6)"
0.5381165919282511,"(2, 7)"
0.7937219730941704,"(2, 8)"
0.45739910313901344,"(3, 4)"
0.48878923766816146,"(3, 5)"
0.48878923766816146,"(3, 6)"
0.4798206278026906,"(3, 7)"
0.7443946188340808,"(3, 8)"
0.4618834080717489,"(4, 5)"
0.48878923766816146,"(4, 6)"
0.515695067264574,"(4, 7)"
0.7713004484304933,"(4, 8)"
0.4439461883408072,"(5, 6)"
0.4663677130044843,"(5, 7)"
0.7668161434977578,"(5, 8)"
0.4798206278026906,"(6, 7)"
0.820627802690583,"(6, 8)"
0.8116591928251121,"(7, 8)"
0.48878923766816146,"(0, 1, 2)"
0.5067264573991032,"(0, 1, 3)"
0.5067264573991032,"(0, 1, 4)"
0.452914798206278,"(0, 1, 5)"
0.5336322869955157,"(0, 1, 6)"
0.5246636771300448,"(0, 1, 7)"
0.7847533632286996,"(0, 1, 8)"
0.49327354260089684,"(0, 2, 3)"
0.5112107623318386,"(0, 2, 4)"
0.4618834080717489,"(0, 2, 5)"
0.5381165919282511,"(0, 2, 6)"
0.5515695067264574,"(0, 2, 7)"
0.7668161434977578,"(0, 2, 8)"
0.5201793721973094,"(0, 3, 4)"
0.484304932735426,"(0, 3, 5)"
0.5336322869955157,"(0, 3, 6)"
0.547085201793722,"(0, 3, 7)"
0.7354260089686099,"(0, 3, 8)"
0.4798206278026906,"(0, 4, 5)"
0.515695067264574,"(0, 4, 6)"
0.5291479820627802,"(0, 4, 7)"
0.7892376681614349,"(0, 4, 8)"
0.5246636771300448,"(0, 5, 6)"
0.5426008968609866,"(0, 5, 7)"
0.7354260089686099,"(0, 5, 8)"
0.484304932735426,"(0, 6, 7)"
0.7802690582959642,"(0, 6, 8)"
0.8071748878923767,"(0, 7, 8)"
0.4977578475336323,"(1, 2, 3)"
0.4798206278026906,"(1, 2, 4)"
0.452914798206278,"(1, 2, 5)"
0.5112107623318386,"(1, 2, 6)"
0.5426008968609866,"(1, 2, 7)"
0.7488789237668162,"(1, 2, 8)"
0.4304932735426009,"(1, 3, 4)"
0.4304932735426009,"(1, 3, 5)"
0.515695067264574,"(1, 3, 6)"
0.5650224215246636,"(1, 3, 7)"
0.7399103139013453,"(1, 3, 8)"
0.4304932735426009,"(1, 4, 5)"
0.5515695067264574,"(1, 4, 6)"
0.5381165919282511,"(1, 4, 7)"
0.7623318385650224,"(1, 4, 8)"
0.4977578475336323,"(1, 5, 6)"
0.5067264573991032,"(1, 5, 7)"
0.7488789237668162,"(1, 5, 8)"
0.49327354260089684,"(1, 6, 7)"
0.7713004484304933,"(1, 6, 8)"
0.8071748878923767,"(1, 7, 8)"
0.5246636771300448,"(2, 3, 4)"
0.5067264573991032,"(2, 3, 5)"
0.5246636771300448,"(2, 3, 6)"
0.5426008968609866,"(2, 3, 7)"
0.757847533632287,"(2, 3, 8)"
0.484304932735426,"(2, 4, 5)"
0.5426008968609866,"(2, 4, 6)"
0.47085201793721976,"(2, 4, 7)"
0.7757847533632287,"(2, 4, 8)"
0.5739910313901345,"(2, 5, 6)"
0.5201793721973094,"(2, 5, 7)"
0.726457399103139,"(2, 5, 8)"
0.5381165919282511,"(2, 6, 7)"
0.7847533632286996,"(2, 6, 8)"
0.7892376681614349,"(2, 7, 8)"
0.4439461883408072,"(3, 4, 5)"
0.5291479820627802,"(3, 4, 6)"
0.5695067264573991,"(3, 4, 7)"
0.7668161434977578,"(3, 4, 8)"
0.5067264573991032,"(3, 5, 6)"
0.4663677130044843,"(3, 5, 7)"
0.7488789237668162,"(3, 5, 8)"
0.547085201793722,"(3, 6, 7)"
0.8026905829596412,"(3, 6, 8)"
0.7847533632286996,"(3, 7, 8)"
0.48878923766816146,"(4, 5, 6)"
0.4663677130044843,"(4, 5, 7)"
0.7399103139013453,"(4, 5, 8)"
0.5201793721973094,"(4, 6, 7)"
0.8026905829596412,"(4, 6, 8)"
0.8295964125560538,"(4, 7, 8)"
0.5067264573991032,"(5, 6, 7)"
0.7668161434977578,"(5, 6, 8)"
0.7937219730941704,"(5, 7, 8)"
0.8071748878923767,"(6, 7, 8)"
0.5022421524663677,"(0, 1, 2, 3)"
0.515695067264574,"(0, 1, 2, 4)"
0.47085201793721976,"(0, 1, 2, 5)"
0.547085201793722,"(0, 1, 2, 6)"
0.5426008968609866,"(0, 1, 2, 7)"
0.7533632286995515,"(0, 1, 2, 8)"
0.48878923766816146,"(0, 1, 3, 4)"
0.49327354260089684,"(0, 1, 3, 5)"
0.5381165919282511,"(0, 1, 3, 6)"
0.5919282511210763,"(0, 1, 3, 7)"
0.7443946188340808,"(0, 1, 3, 8)"
0.43946188340807174,"(0, 1, 4, 5)"
0.5605381165919282,"(0, 1, 4, 6)"
0.5650224215246636,"(0, 1, 4, 7)"
0.7757847533632287,"(0, 1, 4, 8)"
0.4977578475336323,"(0, 1, 5, 6)"
0.5112107623318386,"(0, 1, 5, 7)"
0.7488789237668162,"(0, 1, 5, 8)"
0.5022421524663677,"(0, 1, 6, 7)"
0.7802690582959642,"(0, 1, 6, 8)"
0.7982062780269058,"(0, 1, 7, 8)"
0.49327354260089684,"(0, 2, 3, 4)"
0.452914798206278,"(0, 2, 3, 5)"
0.5201793721973094,"(0, 2, 3, 6)"
0.5201793721973094,"(0, 2, 3, 7)"
0.7533632286995515,"(0, 2, 3, 8)"
0.45739910313901344,"(0, 2, 4, 5)"
0.5515695067264574,"(0, 2, 4, 6)"
0.5560538116591929,"(0, 2, 4, 7)"
0.7668161434977578,"(0, 2, 4, 8)"
0.547085201793722,"(0, 2, 5, 6)"
0.5695067264573991,"(0, 2, 5, 7)"
0.7668161434977578,"(0, 2, 5, 8)"
0.5605381165919282,"(0, 2, 6, 7)"
0.7757847533632287,"(0, 2, 6, 8)"
0.8116591928251121,"(0, 2, 7, 8)"
0.5022421524663677,"(0, 3, 4, 5)"
0.5426008968609866,"(0, 3, 4, 6)"
0.5515695067264574,"(0, 3, 4, 7)"
0.757847533632287,"(0, 3, 4, 8)"
0.547085201793722,"(0, 3, 5, 6)"
0.5874439461883408,"(0, 3, 5, 7)"
0.7533632286995515,"(0, 3, 5, 8)"
0.5426008968609866,"(0, 3, 6, 7)"
0.8026905829596412,"(0, 3, 6, 8)"
0.8071748878923767,"(0, 3, 7, 8)"
0.5605381165919282,"(0, 4, 5, 6)"
0.5336322869955157,"(0, 4, 5, 7)"
0.726457399103139,"(0, 4, 5, 8)"
0.57847533632287,"(0, 4, 6, 7)"
0.8161434977578476,"(0, 4, 6, 8)"
0.7982062780269058,"(0, 4, 7, 8)"
0.5695067264573991,"(0, 5, 6, 7)"
0.8071748878923767,"(0, 5, 6, 8)"
0.7937219730941704,"(0, 5, 7, 8)"
0.7982062780269058,"(0, 6, 7, 8)"
0.5112107623318386,"(1, 2, 3, 4)"
0.452914798206278,"(1, 2, 3, 5)"
0.5291479820627802,"(1, 2, 3, 6)"
0.5022421524663677,"(1, 2, 3, 7)"
0.7219730941704036,"(1, 2, 3, 8)"
