准确率,组合
0.5,"(0,)"
0.517578125,"(1,)"
0.4609375,"(2,)"
0.529296875,"(3,)"
0.515625,"(4,)"
0.5234375,"(5,)"
0.51171875,"(6,)"
0.578125,"(7,)"
0.796875,"(8,)"
0.478515625,"(0, 1)"
0.490234375,"(0, 2)"
0.4921875,"(0, 3)"
0.470703125,"(0, 4)"
0.482421875,"(0, 5)"
0.55859375,"(0, 6)"
0.51171875,"(0, 7)"
0.796875,"(0, 8)"
0.4453125,"(1, 2)"
0.4765625,"(1, 3)"
0.490234375,"(1, 4)"
0.48828125,"(1, 5)"
0.50390625,"(1, 6)"
0.509765625,"(1, 7)"
0.77734375,"(1, 8)"
0.470703125,"(2, 3)"
0.490234375,"(2, 4)"
0.482421875,"(2, 5)"
0.501953125,"(2, 6)"
0.4921875,"(2, 7)"
0.77734375,"(2, 8)"
0.498046875,"(3, 4)"
0.498046875,"(3, 5)"
0.49609375,"(3, 6)"
0.498046875,"(3, 7)"
0.8125,"(3, 8)"
0.517578125,"(4, 5)"
0.513671875,"(4, 6)"
0.5,"(4, 7)"
0.818359375,"(4, 8)"
0.5078125,"(5, 6)"
0.529296875,"(5, 7)"
0.80859375,"(5, 8)"
0.533203125,"(6, 7)"
0.8046875,"(6, 8)"
0.798828125,"(7, 8)"
0.46484375,"(0, 1, 2)"
0.4765625,"(0, 1, 3)"
0.44921875,"(0, 1, 4)"
0.462890625,"(0, 1, 5)"
0.501953125,"(0, 1, 6)"
0.5,"(0, 1, 7)"
0.78515625,"(0, 1, 8)"
0.44921875,"(0, 2, 3)"
0.50390625,"(0, 2, 4)"
0.50390625,"(0, 2, 5)"
0.537109375,"(0, 2, 6)"
0.5078125,"(0, 2, 7)"
0.78125,"(0, 2, 8)"
0.44921875,"(0, 3, 4)"
0.462890625,"(0, 3, 5)"
0.5078125,"(0, 3, 6)"
0.5546875,"(0, 3, 7)"
0.806640625,"(0, 3, 8)"
0.484375,"(0, 4, 5)"
0.509765625,"(0, 4, 6)"
0.513671875,"(0, 4, 7)"
0.806640625,"(0, 4, 8)"
0.54296875,"(0, 5, 6)"
