准确率,组合
0.5538971807628524,"(0,)"
0.48258706467661694,"(1,)"
0.4892205638474295,"(2,)"
0.49917081260364843,"(3,)"
0.5190713101160862,"(4,)"
0.494195688225539,"(5,)"
0.5058043117744611,"(6,)"
0.5024875621890548,"(7,)"
0.7761194029850746,"(8,)"
0.5107794361525705,"(0, 1)"
0.5157545605306799,"(0, 2)"
0.5008291873963516,"(0, 3)"
0.5439469320066335,"(0, 4)"
0.49585406301824214,"(0, 5)"
0.48756218905472637,"(0, 6)"
0.49585406301824214,"(0, 7)"
0.7761194029850746,"(0, 8)"
0.5140961857379768,"(1, 2)"
0.494195688225539,"(1, 3)"
0.5041459369817579,"(1, 4)"
0.5058043117744611,"(1, 5)"
0.47761194029850745,"(1, 6)"
0.5356550580431177,"(1, 7)"
0.7844112769485904,"(1, 8)"
0.5190713101160862,"(2, 3)"
0.49585406301824214,"(2, 4)"
0.4709784411276949,"(2, 5)"
0.46434494195688225,"(2, 6)"
0.48756218905472637,"(2, 7)"
0.7960199004975125,"(2, 8)"
0.5223880597014925,"(3, 4)"
0.5041459369817579,"(3, 5)"
0.4660033167495854,"(3, 6)"
0.5041459369817579,"(3, 7)"
0.7777777777777778,"(3, 8)"
0.5223880597014925,"(4, 5)"
0.5024875621890548,"(4, 6)"
0.4925373134328358,"(4, 7)"
0.7777777777777778,"(4, 8)"
0.4975124378109453,"(5, 6)"
0.5174129353233831,"(5, 7)"
0.7777777777777778,"(5, 8)"
0.5024875621890548,"(6, 7)"
0.7893864013266998,"(6, 8)"
0.7794361525704809,"(7, 8)"
0.5207296849087893,"(0, 1, 2)"
0.47761194029850745,"(0, 1, 3)"
0.5140961857379768,"(0, 1, 4)"
0.5240464344941956,"(0, 1, 5)"
0.5024875621890548,"(0, 1, 6)"
0.5406301824212272,"(0, 1, 7)"
0.7927031509121062,"(0, 1, 8)"
0.5190713101160862,"(0, 2, 3)"
0.49917081260364843,"(0, 2, 4)"
0.48756218905472637,"(0, 2, 5)"
0.494195688225539,"(0, 2, 6)"
0.4842454394693201,"(0, 2, 7)"
0.7927031509121062,"(0, 2, 8)"
0.5157545605306799,"(0, 3, 4)"
0.5041459369817579,"(0, 3, 5)"
0.5174129353233831,"(0, 3, 6)"
0.4859038142620232,"(0, 3, 7)"
0.7877280265339967,"(0, 3, 8)"
0.5190713101160862,"(0, 4, 5)"
0.5091210613598673,"(0, 4, 6)"
0.49917081260364843,"(0, 4, 7)"
0.7777777777777778,"(0, 4, 8)"
0.4892205638474295,"(0, 5, 6)"
0.5024875621890548,"(0, 5, 7)"
0.7960199004975125,"(0, 5, 8)"
0.48258706467661694,"(0, 6, 7)"
0.7694859038142621,"(0, 6, 8)"
0.7694859038142621,"(0, 7, 8)"
0.5107794361525705,"(1, 2, 3)"
0.4892205638474295,"(1, 2, 4)"
0.4693200663349917,"(1, 2, 5)"
0.48258706467661694,"(1, 2, 6)"
0.5207296849087893,"(1, 2, 7)"
0.7860696517412935,"(1, 2, 8)"
0.5058043117744611,"(1, 3, 4)"
0.4892205638474295,"(1, 3, 5)"
0.5008291873963516,"(1, 3, 6)"
0.48092868988391374,"(1, 3, 7)"
0.7761194029850746,"(1, 3, 8)"
0.5257048092868989,"(1, 4, 5)"
0.5257048092868989,"(1, 4, 6)"
0.5091210613598673,"(1, 4, 7)"
0.75787728026534,"(1, 4, 8)"
0.49917081260364843,"(1, 5, 6)"
0.5074626865671642,"(1, 5, 7)"
0.7761194029850746,"(1, 5, 8)"
0.5223880597014925,"(1, 6, 7)"
0.7761194029850746,"(1, 6, 8)"
0.7761194029850746,"(1, 7, 8)"
0.49917081260364843,"(2, 3, 4)"
0.49585406301824214,"(2, 3, 5)"
0.49585406301824214,"(2, 3, 6)"
0.5174129353233831,"(2, 3, 7)"
0.7844112769485904,"(2, 3, 8)"
0.5074626865671642,"(2, 4, 5)"
0.4577114427860697,"(2, 4, 6)"
0.4975124378109453,"(2, 4, 7)"
0.7860696517412935,"(2, 4, 8)"
0.49917081260364843,"(2, 5, 6)"
0.49917081260364843,"(2, 5, 7)"
0.7893864013266998,"(2, 5, 8)"
0.4892205638474295,"(2, 6, 7)"
0.7562189054726368,"(2, 6, 8)"
0.7993366500829188,"(2, 7, 8)"
0.5140961857379768,"(3, 4, 5)"
0.4925373134328358,"(3, 4, 6)"
0.5058043117744611,"(3, 4, 7)"
0.7844112769485904,"(3, 4, 8)"
0.5008291873963516,"(3, 5, 6)"
0.5091210613598673,"(3, 5, 7)"
0.7728026533996684,"(3, 5, 8)"
0.5041459369817579,"(3, 6, 7)"
0.7595356550580431,"(3, 6, 8)"
0.7860696517412935,"(3, 7, 8)"
0.49087893864013266,"(4, 5, 6)"
0.5041459369817579,"(4, 5, 7)"
0.7744610281923715,"(4, 5, 8)"
0.5041459369817579,"(4, 6, 7)"
0.7927031509121062,"(4, 6, 8)"
0.7545605306799337,"(4, 7, 8)"
0.49087893864013266,"(5, 6, 7)"
0.7495854063018242,"(5, 6, 8)"
0.7711442786069652,"(5, 7, 8)"
0.7844112769485904,"(6, 7, 8)"
0.5091210613598673,"(0, 1, 2, 3)"
0.5024875621890548,"(0, 1, 2, 4)"
0.5041459369817579,"(0, 1, 2, 5)"
0.5223880597014925,"(0, 1, 2, 6)"
0.527363184079602,"(0, 1, 2, 7)"
0.7976782752902156,"(0, 1, 2, 8)"
0.5140961857379768,"(0, 1, 3, 4)"
0.494195688225539,"(0, 1, 3, 5)"
0.5124378109452736,"(0, 1, 3, 6)"
0.49087893864013266,"(0, 1, 3, 7)"
0.7827529021558872,"(0, 1, 3, 8)"
0.5091210613598673,"(0, 1, 4, 5)"
