准确率,组合
0.4859038142620232,"(0,)"
0.49087893864013266,"(1,)"
0.48258706467661694,"(2,)"
0.472636815920398,"(3,)"
0.4693200663349917,"(4,)"
0.47429519071310117,"(5,)"
0.5058043117744611,"(6,)"
0.5041459369817579,"(7,)"
0.814262023217247,"(8,)"
0.5041459369817579,"(0, 1)"
0.4892205638474295,"(0, 2)"
0.4892205638474295,"(0, 3)"
0.5008291873963516,"(0, 4)"
0.48258706467661694,"(0, 5)"
0.4709784411276949,"(0, 6)"
0.4975124378109453,"(0, 7)"
0.7960199004975125,"(0, 8)"
0.47429519071310117,"(1, 2)"
0.472636815920398,"(1, 3)"
0.49087893864013266,"(1, 4)"
0.4759535655058043,"(1, 5)"
0.4709784411276949,"(1, 6)"
0.48756218905472637,"(1, 7)"
0.7943615257048093,"(1, 8)"
0.46766169154228854,"(2, 3)"
0.4842454394693201,"(2, 4)"
0.4792703150912106,"(2, 5)"
0.46434494195688225,"(2, 6)"
0.48756218905472637,"(2, 7)"
0.7877280265339967,"(2, 8)"
0.4925373134328358,"(3, 4)"
0.4759535655058043,"(3, 5)"
0.46434494195688225,"(3, 6)"
0.4842454394693201,"(3, 7)"
0.7893864013266998,"(3, 8)"
0.46766169154228854,"(4, 5)"
0.46766169154228854,"(4, 6)"
0.4842454394693201,"(4, 7)"
0.7877280265339967,"(4, 8)"
0.46434494195688225,"(5, 6)"
0.4842454394693201,"(5, 7)"
0.7910447761194029,"(5, 8)"
0.49585406301824214,"(6, 7)"
0.802653399668325,"(6, 8)"
0.7943615257048093,"(7, 8)"
0.49087893864013266,"(0, 1, 2)"
0.4975124378109453,"(0, 1, 3)"
0.49585406301824214,"(0, 1, 4)"
0.4975124378109453,"(0, 1, 5)"
0.4842454394693201,"(0, 1, 6)"
0.4925373134328358,"(0, 1, 7)"
0.7844112769485904,"(0, 1, 8)"
0.4975124378109453,"(0, 2, 3)"
0.4892205638474295,"(0, 2, 4)"
0.494195688225539,"(0, 2, 5)"
0.49585406301824214,"(0, 2, 6)"
0.494195688225539,"(0, 2, 7)"
0.7761194029850746,"(0, 2, 8)"
0.49917081260364843,"(0, 3, 4)"
0.48756218905472637,"(0, 3, 5)"
0.48756218905472637,"(0, 3, 6)"
0.4859038142620232,"(0, 3, 7)"
0.7827529021558872,"(0, 3, 8)"
0.48756218905472637,"(0, 4, 5)"
0.4925373134328358,"(0, 4, 6)"
0.48756218905472637,"(0, 4, 7)"
0.7744610281923715,"(0, 4, 8)"
0.47429519071310117,"(0, 5, 6)"
0.4925373134328358,"(0, 5, 7)"
0.7810945273631841,"(0, 5, 8)"
0.4892205638474295,"(0, 6, 7)"
0.7761194029850746,"(0, 6, 8)"
0.7761194029850746,"(0, 7, 8)"
0.48258706467661694,"(1, 2, 3)"
