combination,rate
"(6, 7, 8)",0.90988372093
"(7, 8)",0.90988372093
"(6, 8)",0.904069767442
"(6,)",0.872093023256
"(6, 7)",0.811046511628
"(0, 5, 7, 8)",0.802325581395
"(0, 6, 7, 8)",0.793604651163
"(0, 6, 8)",0.790697674419
"(0, 5, 6, 8)",0.790697674419
"(0, 7, 8)",0.790697674419
"(7,)",0.790697674419
"(2, 3, 6, 8)",0.787790697674
"(1, 5, 7, 8)",0.78488372093
"(2, 5, 7, 8)",0.781976744186
"(1, 5, 6, 8)",0.781976744186
"(1, 3, 7, 8)",0.781976744186
"(0, 4, 7, 8)",0.779069767442
"(0, 3, 6, 8)",0.776162790698
"(0, 3, 7, 8)",0.776162790698
"(1, 3, 6, 8)",0.776162790698
"(2, 4, 6, 8)",0.776162790698
"(3, 4, 6, 8)",0.776162790698
"(2, 5, 6, 8)",0.773255813953
"(0, 4, 6, 8)",0.773255813953
"(1, 4, 6, 8)",0.770348837209
"(3, 6, 8)",0.770348837209
"(2, 6, 8)",0.767441860465
"(1, 2, 6, 8)",0.767441860465
"(2, 7, 8)",0.767441860465
"(2, 6, 7, 8)",0.764534883721
"(0, 1, 6, 8)",0.764534883721
"(0, 1, 7, 8)",0.764534883721
"(1, 2, 7, 8)",0.761627906977
"(2, 3, 7, 8)",0.758720930233
"(1, 6, 8)",0.758720930233
"(3, 5, 7, 8)",0.758720930233
"(4, 5, 6, 8)",0.758720930233
"(4, 5, 7, 8)",0.758720930233
"(2, 4, 7, 8)",0.758720930233
"(3, 5, 6, 8)",0.755813953488
"(0, 8)",0.755813953488
"(5, 6, 7, 8)",0.752906976744
"(3, 4, 7, 8)",0.752906976744
"(1, 6, 7, 8)",0.752906976744
"(2, 3, 8)",0.752906976744
"(5, 7, 8)",0.75
"(1, 4, 7, 8)",0.75
"(3, 4, 8)",0.75
"(0, 2, 3, 8)",0.75
