combination,rate
"(4, 5, 8)",0.916666666667
"(4, 5, 7, 8)",0.90625
"(0, 3, 5, 8)",0.895833333333
"(1, 4, 7, 8)",0.895833333333
"(4, 5, 6, 8)",0.895833333333
"(0, 4, 5, 8)",0.885416666667
"(1, 5, 6, 8)",0.885416666667
"(2, 4, 7, 8)",0.885416666667
"(1, 4, 5, 8)",0.885416666667
"(3, 7, 8)",0.885416666667
"(0, 2, 8)",0.885416666667
"(4, 8)",0.885416666667
"(0, 4, 6, 8)",0.885416666667
"(3, 4, 5, 8)",0.885416666667
"(1, 2, 7, 8)",0.885416666667
"(1, 4, 6, 8)",0.885416666667
"(5, 7, 8)",0.885416666667
"(5, 6, 7, 8)",0.885416666667
"(3, 4, 8)",0.885416666667
"(1, 2, 8)",0.875
"(0, 1, 2, 8)",0.875
"(0, 1, 4, 8)",0.875
"(1, 2, 6, 8)",0.875
"(4, 6, 7, 8)",0.875
"(4, 7, 8)",0.875
"(0, 2, 5, 8)",0.875
"(2, 4, 8)",0.875
"(2, 3, 4, 8)",0.875
"(0, 3, 6, 8)",0.875
"(1, 5, 7, 8)",0.875
"(5, 6, 8)",0.875
"(0, 3, 7, 8)",0.875
"(3, 6, 7, 8)",0.875
"(1, 3, 4, 8)",0.875
"(2, 8)",0.875
"(3, 5, 8)",0.875
"(0, 3, 4, 8)",0.875
"(1, 2, 3, 8)",0.875
"(2, 5, 6, 8)",0.875
"(1, 5, 8)",0.875
"(6, 8)",0.875
"(6, 7, 8)",0.875
"(0, 5, 7, 8)",0.864583333333
"(2, 6, 7, 8)",0.864583333333
"(5, 8)",0.864583333333
"(0, 4, 8)",0.864583333333
"(2, 3, 8)",0.864583333333
"(7, 8)",0.864583333333
"(0, 4, 7, 8)",0.864583333333
"(0, 2, 7, 8)",0.864583333333
"(2, 3, 6, 8)",0.864583333333
"(3, 6, 8)",0.864583333333
"(1, 3, 7, 8)",0.864583333333
"(1, 4, 8)",0.864583333333
"(3, 8)",0.864583333333
"(3, 4, 6, 8)",0.854166666667
"(2, 3, 5, 8)",0.854166666667
"(2, 5, 7, 8)",0.854166666667
"(0, 2, 3, 8)",0.854166666667
"(0, 1, 3, 8)",0.854166666667
"(1, 2, 4, 8)",0.854166666667
"(3, 5, 6, 8)",0.854166666667
"(3, 5, 7, 8)",0.854166666667
"(0, 2, 4, 8)",0.854166666667
"(2, 4, 6, 8)",0.854166666667
"(2, 6, 8)",0.854166666667
"(4, 6, 8)",0.854166666667
"(2, 7, 8)",0.854166666667
"(1, 2, 5, 8)",0.854166666667
"(2, 4, 5, 8)",0.854166666667
"(1, 8)",0.854166666667
"(1, 3, 6, 8)",0.84375
"(0, 1, 7, 8)",0.84375
"(1, 6, 7, 8)",0.84375
"(2, 5, 8)",0.84375
"(3, 4, 7, 8)",0.84375
"(1, 3, 8)",0.84375
"(1, 3, 5, 8)",0.84375
"(0, 2, 6, 8)",0.84375
"(0, 1, 5, 8)",0.833333333333
"(8,)",0.833333333333
"(1, 6, 8)",0.833333333333
"(0, 5, 8)",0.833333333333
"(2, 3, 7, 8)",0.833333333333
"(0, 6, 8)",0.833333333333
"(0, 5, 6, 8)",0.833333333333
"(0, 3, 8)",0.833333333333
"(0, 6, 7, 8)",0.833333333333
"(0, 7, 8)",0.822916666667
"(0, 1, 6, 8)",0.822916666667
"(1, 7, 8)",0.822916666667
"(0, 1, 8)",0.8125
"(0, 8)",0.78125
