combination,rate
"(8,)",0.873529411765
"(1, 2, 8)",0.855882352941
"(1, 2, 3, 8)",0.855882352941
"(0, 1, 8)",0.85
"(4, 8)",0.85
"(6, 8)",0.85
"(1, 3, 8)",0.85
"(2, 3, 8)",0.844117647059
"(3, 6, 8)",0.844117647059
"(1, 8)",0.841176470588
"(2, 3, 6, 8)",0.835294117647
"(0, 1, 2, 8)",0.832352941176
"(0, 1, 4, 8)",0.832352941176
"(2, 4, 8)",0.832352941176
"(3, 7, 8)",0.832352941176
"(2, 5, 8)",0.829411764706
"(3, 5, 8)",0.829411764706
"(1, 4, 8)",0.829411764706
"(2, 3, 5, 8)",0.826470588235
"(1, 2, 4, 8)",0.826470588235
"(1, 2, 5, 8)",0.826470588235
"(2, 4, 5, 8)",0.826470588235
"(3, 8)",0.826470588235
"(3, 5, 7, 8)",0.823529411765
"(0, 4, 8)",0.820588235294
"(2, 4, 7, 8)",0.820588235294
"(0, 1, 3, 8)",0.820588235294
"(2, 3, 4, 8)",0.820588235294
"(2, 6, 8)",0.820588235294
"(1, 3, 5, 8)",0.820588235294
"(5, 8)",0.817647058824
"(4, 6, 7, 8)",0.817647058824
"(3, 6, 7, 8)",0.817647058824
"(0, 2, 8)",0.817647058824
"(2, 8)",0.817647058824
"(3, 4, 7, 8)",0.817647058824
"(3, 4, 6, 8)",0.814705882353
"(4, 5, 8)",0.814705882353
"(3, 4, 5, 8)",0.814705882353
"(6, 7, 8)",0.814705882353
"(0, 4, 5, 8)",0.811764705882
"(0, 1, 5, 8)",0.811764705882
"(3, 5, 6, 8)",0.811764705882
"(1, 3, 4, 8)",0.811764705882
"(1, 5, 8)",0.811764705882
"(1, 3, 6, 8)",0.808823529412
"(2, 5, 7, 8)",0.805882352941
"(2, 3, 7, 8)",0.805882352941
"(1, 2, 6, 8)",0.802941176471
"(4, 7, 8)",0.802941176471
"(1, 4, 5, 8)",0.802941176471
"(1, 6, 8)",0.802941176471
"(1, 2, 7, 8)",0.802941176471
"(2, 5, 6, 8)",0.802941176471
"(4, 6, 8)",0.802941176471
"(4, 5, 6, 8)",0.802941176471
"(0, 2, 3, 8)",0.8
"(0, 8)",0.8
"(1, 3, 7, 8)",0.8
"(0, 2, 4, 8)",0.8
"(3, 4, 8)",0.8
"(1, 6, 7, 8)",0.797058823529
"(0, 6, 8)",0.797058823529
"(1, 7, 8)",0.797058823529
"(2, 6, 7, 8)",0.794117647059
"(0, 3, 5, 8)",0.794117647059
"(0, 2, 5, 8)",0.794117647059
"(1, 5, 7, 8)",0.794117647059
"(0, 4, 6, 8)",0.794117647059
"(0, 3, 4, 8)",0.794117647059
"(7, 8)",0.791176470588
"(5, 6, 8)",0.791176470588
"(0, 5, 8)",0.791176470588
"(2, 4, 6, 8)",0.791176470588
"(0, 3, 8)",0.791176470588
"(0, 1, 7, 8)",0.788235294118
"(1, 4, 6, 8)",0.788235294118
"(2, 7, 8)",0.788235294118
"(0, 3, 6, 8)",0.782352941176
"(0, 4, 7, 8)",0.782352941176
"(0, 2, 6, 8)",0.782352941176
"(1, 4, 7, 8)",0.779411764706
"(0, 3, 7, 8)",0.776470588235
"(4, 5, 7, 8)",0.776470588235
"(5, 6, 7, 8)",0.773529411765
"(0, 7, 8)",0.770588235294
"(1, 5, 6, 8)",0.770588235294
"(5, 7, 8)",0.770588235294
"(0, 2, 7, 8)",0.761764705882
"(0, 1, 6, 8)",0.761764705882
"(0, 5, 6, 8)",0.761764705882
"(0, 6, 7, 8)",0.758823529412
