combination,rate
"(8,)",0.85
"(4, 8)",0.8
"(2, 3, 7, 8)",0.79375
"(2, 3, 4, 8)",0.7875
"(3, 6, 8)",0.7875
"(3, 4, 5, 8)",0.7875
"(3, 4, 8)",0.7875
"(3, 8)",0.7875
"(4, 6, 7, 8)",0.7875
"(1, 2, 4, 8)",0.78125
"(0, 6, 8)",0.78125
"(2, 6, 8)",0.78125
"(0, 1, 2, 8)",0.78125
"(3, 5, 8)",0.78125
"(0, 3, 5, 8)",0.78125
"(0, 2, 7, 8)",0.78125
"(6, 8)",0.78125
"(0, 2, 6, 8)",0.78125
"(0, 1, 6, 8)",0.78125
"(0, 2, 8)",0.78125
"(1, 2, 8)",0.775
"(1, 2, 7, 8)",0.775
"(0, 3, 8)",0.775
"(5, 8)",0.775
"(0, 4, 5, 8)",0.775
"(2, 3, 6, 8)",0.775
"(3, 6, 7, 8)",0.775
"(3, 7, 8)",0.775
"(2, 5, 7, 8)",0.76875
"(0, 3, 4, 8)",0.76875
"(2, 7, 8)",0.76875
"(6, 7, 8)",0.76875
"(1, 4, 5, 8)",0.76875
"(0, 2, 3, 8)",0.76875
"(4, 6, 8)",0.7625
"(3, 5, 6, 8)",0.7625
"(2, 3, 5, 8)",0.7625
"(0, 4, 7, 8)",0.7625
"(2, 3, 8)",0.7625
"(0, 4, 8)",0.7625
"(0, 3, 7, 8)",0.7625
"(0, 5, 6, 8)",0.7625
"(0, 6, 7, 8)",0.7625
"(0, 8)",0.7625
"(4, 5, 8)",0.7625
"(0, 5, 7, 8)",0.7625
"(5, 6, 7, 8)",0.7625
"(0, 1, 3, 8)",0.75625
"(5, 7, 8)",0.75625
"(2, 5, 6, 8)",0.75625
"(0, 1, 5, 8)",0.75625
"(3, 5, 7, 8)",0.75625
"(2, 4, 5, 8)",0.75625
"(0, 2, 4, 8)",0.75625
"(0, 3, 6, 8)",0.75625
"(4, 5, 6, 8)",0.75625
"(2, 4, 8)",0.75625
"(2, 4, 6, 8)",0.75625
"(7, 8)",0.75625
"(2, 6, 7, 8)",0.75
"(2, 8)",0.75
"(0, 1, 4, 8)",0.75
"(2, 4, 7, 8)",0.75
"(0, 4, 6, 8)",0.75
"(5, 6, 8)",0.75
"(0, 7, 8)",0.75
"(1, 2, 3, 8)",0.75
"(1, 5, 8)",0.75
"(1, 5, 7, 8)",0.75
"(4, 5, 7, 8)",0.75
"(0, 5, 8)",0.75
"(6,)",0.75
