combination,rate
"(6, 8)",0.837133550489
"(8,)",0.820846905537
"(1, 5, 7, 8)",0.817589576547
"(0, 1, 2, 8)",0.814332247557
"(2, 5, 6, 8)",0.811074918567
"(0, 4, 7, 8)",0.807817589577
"(0, 1, 4, 8)",0.807817589577
"(0, 4, 8)",0.804560260586
"(0, 1, 6, 8)",0.804560260586
"(5, 6, 7, 8)",0.804560260586
"(0, 1, 5, 8)",0.801302931596
"(1, 2, 6, 8)",0.801302931596
"(1, 6, 7, 8)",0.798045602606
"(0, 8)",0.798045602606
"(7, 8)",0.798045602606
"(0, 1, 3, 8)",0.794788273616
"(4, 8)",0.794788273616
"(3, 5, 6, 8)",0.794788273616
"(1, 5, 6, 8)",0.794788273616
"(5, 7, 8)",0.791530944625
"(0, 5, 8)",0.791530944625
"(4, 5, 6, 8)",0.791530944625
"(4, 5, 8)",0.791530944625
"(1, 3, 8)",0.788273615635
"(0, 2, 6, 8)",0.788273615635
"(0, 2, 8)",0.788273615635
"(1, 7, 8)",0.788273615635
"(0, 1, 7, 8)",0.785016286645
"(3, 5, 7, 8)",0.785016286645
"(0, 2, 3, 8)",0.785016286645
"(4, 6, 8)",0.781758957655
"(0, 4, 5, 8)",0.781758957655
"(0, 5, 7, 8)",0.781758957655
"(0, 3, 4, 8)",0.781758957655
"(1, 3, 7, 8)",0.781758957655
"(1, 2, 3, 8)",0.781758957655
"(3, 4, 8)",0.781758957655
"(0, 2, 4, 8)",0.781758957655
"(1, 4, 8)",0.781758957655
"(1, 8)",0.781758957655
"(0, 3, 8)",0.778501628664
"(3, 6, 8)",0.778501628664
"(2, 4, 7, 8)",0.778501628664
"(0, 3, 5, 8)",0.778501628664
"(1, 3, 6, 8)",0.778501628664
"(3, 8)",0.778501628664
"(4, 6, 7, 8)",0.778501628664
"(1, 2, 8)",0.775244299674
"(1, 4, 6, 8)",0.775244299674
"(1, 2, 5, 8)",0.775244299674
"(1, 2, 7, 8)",0.775244299674
"(1, 6, 8)",0.775244299674
"(6, 7, 8)",0.775244299674
"(2, 4, 8)",0.775244299674
"(1, 3, 4, 8)",0.775244299674
"(2, 8)",0.771986970684
"(5, 6, 8)",0.771986970684
"(0, 6, 7, 8)",0.771986970684
"(2, 4, 6, 8)",0.768729641694
"(1, 2, 4, 8)",0.768729641694
"(2, 3, 7, 8)",0.768729641694
"(0, 2, 5, 8)",0.768729641694
"(0, 6, 8)",0.765472312704
"(2, 7, 8)",0.765472312704
"(3, 5, 8)",0.765472312704
"(4, 5, 7, 8)",0.765472312704
"(2, 3, 8)",0.765472312704
"(3, 7, 8)",0.765472312704
"(2, 6, 8)",0.762214983713
"(1, 4, 7, 8)",0.762214983713
"(0, 3, 7, 8)",0.762214983713
"(2, 4, 5, 8)",0.758957654723
"(0, 4, 6, 8)",0.758957654723
"(0, 7, 8)",0.758957654723
"(5, 8)",0.758957654723
"(4, 7, 8)",0.758957654723
"(0, 1, 8)",0.758957654723
"(2, 3, 5, 8)",0.758957654723
"(1, 3, 5, 8)",0.758957654723
"(3, 6, 7, 8)",0.758957654723
"(3, 4, 5, 8)",0.758957654723
"(1, 5, 8)",0.755700325733
"(2, 3, 6, 8)",0.755700325733
"(1, 4, 5, 8)",0.755700325733
"(3, 4, 7, 8)",0.752442996743
