category,combination,rate,trend
IF,"(0, 1, 5, 6, 8)",0.908783783784,0
IC,"(2, 3, 4, 6, 8)",0.932692307692,0
IH,"(4, 5, 6, 8)",0.927083333333,0
T,"(2, 4, 5, 6, 7, 8)",0.948717948718,0
TF,"(0, 2, 5, 8)",0.927374301676,0
AP,"(0, 1, 4, 8)",1.0,0
CF,"(8,)",0.875776397516,0
CY,"(0, 1, 5, 6, 8)",0.935483870968,0
FG,"(8,)",0.808823529412,0
JR,"(0, 1, 5, 6, 8)",0.976109215017,0
LR,"(6,)",0.98275862069,0
MA,"(8,)",0.877637130802,0
OI,"(8,)",0.836477987421,0
PM,"(0, 1, 2, 4, 8)",0.974093264249,0
RI,"(8,)",0.870558375635,0
RM,"(8,)",0.857142857143,0
RS,"(8,)",0.875471698113,0
SF,"(8,)",0.853503184713,0
SM,"(8,)",0.910828025478,0
SR,"(8,)",0.811258278146,0
TA,"(8,)",0.86119873817,0
WH,"(8,)",0.832258064516,0
ZC,"(0, 1, 2, 3, 6, 7, 8)",0.84756097561,0
A,"(8,)",0.852564102564,0
B,"(7, 8)",0.894444444444,0
BB,"(2, 3, 5, 8)",0.932367149758,0
C,"(8,)",0.787878787879,0
CS,"(8,)",0.84496124031,0
FB,"(0, 3, 6, 8)",0.926470588235,0
I,"(0, 1, 3, 8)",0.814432989691,0
J,"(1, 6, 8)",0.809885931559,0
JD,"(8,)",0.834394904459,0
JM,"(0, 6, 8)",0.840425531915,0
L,"(8,)",0.855218855219,0
M,"(8,)",0.829113924051,0
P,"(8,)",0.854430379747,0
PP,"(8,)",0.811188811189,0
V,"(8,)",0.828478964401,0
Y,"(8,)",0.851851851852,0
