category,combination,rate,trend
AP,"(0, 5, 7, 8)",1.0,0
TF,"(0, 7, 8)",0.965986394558,0
T,"(0, 3, 5, 8)",0.936363636364,0
IC,"(4, 5, 8)",0.916666666667,0
IF,"(1, 2, 8)",0.914893617021,0
B,"(6, 7, 8)",0.90988372093,0
IH,"(0, 2, 3, 8)",0.908163265306,0
SM,"(8,)",0.894736842105,0
CS,"(8,)",0.871559633028,0
OI,"(8,)",0.86524822695,0
A,"(8,)",0.861736334405,0
P,"(8,)",0.85910652921,0
MA,"(8,)",0.852813852814,0
SF,"(8,)",0.85,0
CF,"(8,)",0.845890410959,0
V,"(6, 8)",0.837133550489,0
RM,"(8,)",0.835978835979,0
Y,"(8,)",0.834415584416,0
M,"(8,)",0.830508474576,0
TA,"(8,)",0.827242524917,0
I,"(0, 6, 8)",0.825301204819,0
L,"(8,)",0.821782178218,0
SR,"(8,)",0.814814814815,0
JD,"(8,)",0.80981595092,0
FG,"(8,)",0.802083333333,0
J,"(0, 4, 7, 8)",0.800766283525,0
JM,"(2, 6, 7, 8)",0.794736842105,0
PP,"(0, 1, 6, 8)",0.792857142857,0
ZC,"(0, 3, 7, 8)",0.790849673203,0
C,"(0, 7, 8)",0.775919732441,0
